NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
00003,3756,14,00003375614,OPDIVO 120,02,0125554,S,1,ML ,12.000,N/A,NR,12/22/2014,09/13/2021,10/17/2021,
00904,6817,06,00904681706,MIDODRINE 2.5MG TABS,01,0077746,N,1,TAB,50.000,N/A,AB,09/12/2006,09/12/2006,10/14/2021,
00904,6818,06,00904681806,MIDODRINE 5MG TAB,01,0077746,N,1,TAB,50.000,N/A,AB,09/12/2006,09/12/2006,10/14/2021,
00904,7112,70,00904711270,HALOPERIDOL LACTATE 10MG/5ML SOLN,01,0073364,N,1,ML ,500.000,N/A,AA,09/28/1993,09/01/2021,10/14/2021,
00904,7123,61,00904712361,LEVETIRACETAM 250MG TAB,01,0078993,N,1,TAB,100.000,N/A,AB,01/15/2009,09/03/2021,10/14/2021,
00904,7124,61,00904712461,LEVETIRACETAM 500MG TAB,01,0078993,N,1,TAB,100.000,N/A,AB,01/15/2009,09/15/2021,10/14/2021,
00904,7127,61,00904712761,PREDNISONE 20MG TAB,01,0040362,N,1,TAB,100.000,N/A,AB,06/29/2005,09/07/2021,10/14/2021,
00904,7129,61,00904712961,CHLORPROMAZINE 10MG TAB,01,0213368,N,1,TAB,100.000,N/A,AB,01/17/2020,09/20/2021,10/14/2021,
00904,7133,61,00904713361,CHLORPROMAZINE 200MG TAB,01,0213368,N,1,TAB,100.000,N/A,AB,01/17/2020,09/16/2021,10/14/2021,
31722,0138,01,31722013801,Baclofen,01,0212378,N,1,TAB,100.000,N/A,AB,04/30/2021,08/04/2021,10/12/2021,
33342,0050,07,33342005007,"Losartan and Hydrochlorothiazide Tablets, USP 50mg/12.5mg 30ct",01,0202289,N,1,TAB,30.000,N/A,AB,08/09/2012,06/01/2015,10/14/2021,
33342,0051,07,33342005107,"Losartan and Hydrochlorothiazide Tablets, USP 100mg/12.5mg 30ct",01,0202289,N,1,TAB,30.000,N/A,AB,08/09/2012,06/01/2015,10/14/2021,
33342,0052,07,33342005207,"Losartan and Hydrochlorothiazide Tablets, USP 100mg/25mg 30ct",01,0202289,N,1,TAB,30.000,N/A,AB,08/09/2012,06/01/2015,10/14/2021,
43386,0794,01,43386079401,Doxycycline Hyclate Tablets,01,0207558,N,1,TAB,100.000,N/A,AB,09/06/2017,01/17/2018,10/11/2021,
46287,0010,11,46287001011,Triamcinolone Acetonide 0.05% 110g,01,0089595,N,1,GM ,110.000,N/A,AT,03/23/1995,01/02/1996,10/14/2021,
51660,0027,44,51660002744,ESOMEPRAZOLE 20MG DR CAPSULES 42CT OHM,01,0212866,N,2,CAP,42.000,N/A,NR,05/04/2020,01/04/2021,10/13/2021,
51672,4227,08,51672422708,"Clobazam 2.5mg/mL Suspension, 120 ml",01,0210978,N,1,ML ,120.000,N/A,AB,04/15/2019,10/08/2021,10/13/2021,
55292,0141,01,55292014101,SIGNIFOR LAR 30MG KIT,03,0203255,S,1,EA ,1.000,N/A,NR,12/15/2014,09/10/2018,10/11/2021,
61269,0343,56,61269034356,Hydrocortisone Max St External Cream 1 %,10,PART348,N,2,GM ,28.000,N/A,NR,07/01/1997,07/01/1997,10/14/2021,
63868,0395,01,63868039501,Medicated Cleansing Pads,10,PART346,N,2,EA ,100.000,N/A,NR,05/14/2021,07/01/2021,10/15/2021,
63868,0471,14,63868047114,Omeprazole 20mg,01,0207740,N,2,TAB,14.000,N/A,NR,02/01/2021,07/01/2021,10/15/2021,
63868,0474,24,63868047424,Allergy Relief Dye Free Softgel,10,PART341,N,2,TAB,24.000,N/A,NR,05/09/2021,07/01/2021,10/15/2021,
63868,0691,40,63868069140,Pink Bismuth Caplets,10,PART335,N,2,TAB,40.000,N/A,NR,03/31/2021,10/08/2021,10/15/2021,
68382,0771,30,68382077130,LANSOPRAZOLE DR OD TAB 15MG (1 X10 BLISTER),01,0200816,N,1,TAB,1.000,N/A,AB,11/27/2018,12/13/2018,10/13/2021,
68382,0772,30,68382077230,LANSOPRAZOLE DR OD TAB 30MG (1 X10 BLISTER),01,0200816,N,1,TAB,1.000,N/A,AB,11/27/2018,12/13/2018,10/13/2021,
69367,0332,60,69367033260,Levetiracetam ER Tabs UPS 500mg 60ct,01,0205130,N,1,TAB,60.000,N/A,AB,03/18/2009,09/01/2021,10/13/2021,
69367,0333,60,69367033360,Levetiracetam ER Tabs UPS 750mg 60ct,01,0205130,N,1,TAB,60.000,N/A,AB,03/24/2009,09/01/2021,10/13/2021,
69367,0338,01,69367033801,Carbidopa & Levodopa Tabs USP 10mg/100mg 100ct,01,0214092,N,1,TAB,100.000,N/A,AB,09/30/1990,09/01/2021,10/13/2021,
69367,0338,05,69367033805,Carbidopa & Levodopa Tabs USP 10mg/100mg 500ct,01,0214092,N,1,TAB,500.000,N/A,AB,09/30/1990,09/01/2021,10/13/2021,
69367,0339,01,69367033901,Carbidopa & Levodopa Tabs USP 25mg/100mg 100ct,01,0214092,N,1,TAB,100.000,N/A,AB,09/30/1990,09/01/2021,10/13/2021,
69367,0339,05,69367033905,Carbidopa & Levodopa Tabs USP 25mg/100mg 500ct,01,0214092,N,1,TAB,500.000,N/A,AB,09/30/1990,09/01/2021,10/13/2021,
69367,0339,10,69367033910,Carbidopa & Levodopa Tabs USP 25mg/100mg 1000ct,01,0214092,N,1,TAB,1000.000,N/A,AB,09/30/1990,09/01/2021,10/13/2021,
69367,0340,01,69367034001,Carbidopa & Levodopa Tabs USP 25mg/250mg 100ct,01,0214092,N,1,TAB,100.000,N/A,AB,09/30/1990,09/01/2021,10/13/2021,
69367,0340,05,69367034005,Carbidopa & Levodopa Tabs USP 25mg/250mg 500ct,01,0214092,N,1,TAB,500.000,N/A,AB,09/30/1990,09/01/2021,10/13/2021,
70748,0299,01,70748029901,Atovaquone Oral Suspension USP 750mg/5mL x 210mL,01,0210692,N,1,ML ,210.000,N/A,AB,09/11/2018,06/01/2021,10/12/2021,
70860,0751,41,70860075141,FAMOTIDINE SDV 10MG/ML 2ML APD Inner Pkg,01,0075622,N,1,ML ,2.000,N/A,AP,04/16/2001,12/22/2020,10/14/2021,
