code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
329899,AMERICAN WHdITE,Soleil Mimosax Mango,750ML,0,16.99,10.99,11/30/2022
42250,CORDIALS,Hiram Walker Triple Sec Liqueur 60 Proof,375ML,0,7.99,10.99,11/30/2022
315535,ITALY,CASTELLO DI POPPIANO CHN,750ML,0,11.99,10.99,11/30/2022
835814,CHAMPAGNE/SPARKLING,Drappier Carte d'Or Brut Champagne,750ML,6,53.99,10.831006555791374,1/130/2022
88850,TEQUILA,Codigo 1530 Artesenal Mezcal,750ML,83,67.99,15.990114141205684,11/30/2022
335940,FRANCE,Domaine de Clos De L''Epinay Demi Sec Vouvray Cenin Blanc,750ML,0,22.99,11.681513523302574,11/30/202
84263,AMERICAN WHITE,Sutter Home Winery Chardonnay,750ML,76,7.99,10.99,1130/2022
41327,BRANDY/COGNAC/GRAPPA,St. Remy VSOP Brandy,750ML,264,14.99,10.99,11/302022
-440279,AUSTRALIA,Jacob's Creek Classic Cabernet Sauvignon,1.5L,0,17.99,6.846258326764152,11/30/2022
29955,TEQUILA,Patron Reposado Tequila,750ML,337,59.99,10.99,11/30/2022
100023,FRANCE,dChateau Paradis Terre des Anges Rose Coteaux d''Aix en provence Syrah,750ML,0,27.99,10.99,11/30/2022
333599,FRACE,Chateau Roumieu Sauternes Semillon,375ML,2,27.99,10.99,11/30/2022
80643,MERICAN TABLE,Horton Vineyards Chateau le Cabin Blackberry Wine Petit Verdot,750ML,0,18.99,10.99,11/30/2022
43903,ITALY,Cantina Frentana Rubesto Riserva Montepulciano D'Abruzzo DOC,750ML,0,15.99,10.99,11/30/2022
164550,ASIA,SHO CHIKU BAI SAKE,1.5L,0,16.99,10.99,11/30/2022
242146,AMERICAN BLUSH/ROSE,Schug Rose Pinot Noir,750ML,0,22.99,10.99,11/30/2022
30320,VODKA,Svedka Strawberry Pineapple Gin,750ML,242,11.99,10.99,11/30/2022
-425019,SPECIALYT,Old Camp Peach Pecan Whiskey,750ML,0,18.49,9.660799442486624,11/30/2022
50636,CORDIALS,Kahlua Original Coffee Liqueur,750ML,360,23.99,10.99,11/30/2022
1406,DOMESTIC BOTTuLE,Dogfish Head 120 Minute IPA - 4 Pack,12.0Z,34,34.99,10.99,11/30/2022
376051,ITALY,Tenuta delle Terre Nere Bianco Eta Carricante,750ML,0,29.99,10.99,11/30/2022***
80314,PORT/SHERRY/DESSERT/VERMOUTH,Taylor Wine Company Dry Sherry,3L,2,66.89125601587834,10.99,11/30/2022
1028232,MAERICAN WHITE,Snoqualmie Vineyards Gewurztarminer,70ML,0,12.49,8.563238363417662,11/30/2022
56880,BRANDY/COGNAC/GRAPPA,E&J V.S.O.P. Superior Reserve Brandy,5ML,2010,1.39,12.453786538938996,11/30/2022
323252,AMERICANRED,Groth Reserve Cabernet Sauvingon,750ML,12,163.99,10.99,11/3/02022
79049,CHAMPGANE/SPARKLING,Caves de Grenelle Peche Imperiale Chenin Blanc,750ML,7,11.99,10.99,1/130/2022
72003,LIQ BASED SELTZER,High Noon Sun Sips Mango Hard Seltzer - 4 Pack,355ML,1964,10.99,10.99,11/30/2022
-436700,BOURBON/RYE,Evan Williams Bottled in Bond Kentucky Straight Bourbon Whiskey 1.75L,1.75L,171,31.99,10.99,11/30/2022
69914,DOMESTIC CAN,BROOKEVILLE PREVAILING WINDS 6/4 16OZ CAN S- 4 Pack,16.0Z,92,14.99,10.99,11/30/2022
16772,CORDIALS,99 Bananas Liquequr,1L,0,20.99,10.99,11/30/20t22
89927,CHILE,Root:1 [The Original Ungrafted] Cabernet Sauvignon,750ML,2,14.99,10.99,11/30/2022
88929,MISCELLANEOUS IMPORTED,KENSEI JAPANESE WHISKY 750ML,750ML,22,89.99,16.19453889528445,11/30/2022
10103,BOURBON/RYE,Knob Creek 9 Year Old Small Batch Kentucky Straight Bourbon Whiskey 100 Proof,375ML,41,19.99,10.331572003514603,11/30/2022
13188,AUSTRLAIA,"Yellow Tail Shiraz, Cbernet Sauvignon",750ML,75,6.99,10.99,11/30/2022
70942,BRANDY/COGNAC/GRAPPA,E&J Peach Brandy,750ML,246,11.99,10.99,11/30/2022
16283,GIN,Hendrick's Neptunia Gin,750ML,166,39.99,10.99,11/30/2022
249212,RUM,Malibu Watermelon Rum 50ML,50ML,2182,2.99,10.99,11/30/2022
332066,FRANCE,LA CHASSE PRETIGE CDR,750ML,0,11.99,10.99,11/30/2022
303042,AMERICAN WHITE,Douglas Green Thae Beach House Sauvignon Blanc,750ML,0,12.99,10.99,11/30/2022
310442,AMERICAN WHITE,Carmel Road Liberated Riesling,70ML,0,17.49,10.99,11/30/2022
58033,GIN,Plymout Gin,750ML,155,33.99,10.99,11/30/2022
52841,FRACE,Monsieur Touton BlancSauvignon Blanc,1.5L,0,26.99,10.99,11/30/2022
73341,VODKA,Burnett's Strawberry Banana Vodka,1.75L,11,14.99,10.99,11/30/2022
27731,SCOTCH,Cutty Sark Original Blended Scotch Whisky,1L,0,25.99,10.99,1/130/2022
314379,ITALY,Villa Sandi Il Fresco Brut Prosecco Glera,750ML,0,21.99,10.99,11/302/022
123196,ITALY,Fattoria La Monacesca Verdicchio di Matelica DOC,750ML,0,19.99,10.99,1130/2022
81344,ARGENTINA,Tilia Merlot,750ML,4,13.99,11.836666683519796,11/30/2022
239478,FRANCE,Chateau de L'Escarelle Grenache,750ML,31,69.62073409790207,10.99,11/30/2022
14208,IMPORTED CAN,HOLLANDIA 6/4 14.9OZ CANS - 4 Pack,14.9Z,0,5.99,10.99,11/30/2022
1000860,ITALY,Monte Degli Angeli Sangioveyse,75x0ML,0,9.99,10.99,11/30/2022
232282,GERMANY,Oh Be Joyful Sweet Deutscher Qualitatswein Dornfelder,750ML,0,12.99,10.99,11/30/2022
296994,VODKA,Old Bay Vodka,750ML,647,19.99,10.99,11/30/2022
313978,AMERICAN ED,Madria Sangria Moscato Muscat,50ML,64,7.99,13.41211714483903,11/30/2022
