doi,title,title_cn,abstract,abstract_cn
10.1038/nphys3697,"Big whorls, little whorls",大螺纹，小螺纹 ,,
10.1038/nphys3698,Grave new world,严重的新世界 ,,
10.1038/nphys3684,The long and winding road,漫长而曲折的道路 ,,
10.1038/nphys3685,Generalizing Moore,摩尔定律 ,,
10.1038/nphys3690,Bumper harvest,丰收 ,,
10.1038/nphys3691,Automated experimentalist,自动实验师 ,,
10.1038/nphys3692,Move over Milky Way,移过银河系 ,,
10.1038/nphys3693,Condensed melt,冷凝熔体 ,,
10.1038/nphys3694,The answer to everything,一切的答案 ,,
10.1038/nphys3687,Light-induced superconductivity,光诱导超导 ,,
10.1038/nphys3689,Small but still special,小但还是很特别 ,,
10.1038/nphys3646,In pursuit of turbulence,追求湍流 ,,
10.1038/nphys3688,Made to order,定做 ,,
10.1038/nphys3682,Not just a phase,不只是一个阶段 ,,
10.1038/nphys3579,Nature of the quantum metal in a two-dimensional crystalline superconductor,二维晶体超导体中量子金属的性质 ,,
10.1038/nphys3555,One-dimensional edge state transport in a topological Kondo insulator,拓扑近藤绝缘子中的一维边缘状态传输 ,,
10.1038/nphys3605,Generation of heralded entanglement between distant hole spins,远距孔自旋之间预示缠结的产生 ,,
10.1038/nphys3566,Quasiparticle-continuum level repulsion in a quantum magnet,量子磁体中的准粒子连续谱级排斥 ,,
10.1038/nphys3556,Universality of non-equilibrium fluctuations in strongly correlated quantum liquids,强相关量子液体中非平衡涨落的普遍性 ,,
10.1038/nphys3549,Photo-Nernst current in graphene,石墨烯中的光能能电流 ,,
10.1038/nphys3576,Modulation of mechanical resonance by chemical potential oscillation in graphene,石墨烯中化学势振荡对机械共振的调节 ,,
10.1038/nphys3548,Ecological collapse and the emergence of travelling waves at the onset of shear turbulence,剪切湍流开始时生态崩溃和行波的出现 ,,
10.1038/nphys3659,A universal transition to turbulence in channel flow,通向湍流的普遍过渡 ,,
10.1038/nphys3675,Directed percolation phase transition to sustained turbulence in Couette flow,定向渗滤相转变为库埃特流中的持续湍流 ,,
10.1038/nphys3557,Random focusing of tsunami waves,随机聚焦海啸 ,,
10.1038/nphys3578,Coalescence of magnetic flux ropes in the ion diffusion region of magnetic reconnection,磁重联的离子扩散区域中磁通绳的聚结 ,,
10.1038/nphys3565,Cassini in situ observations of long-duration magnetic reconnection in Saturn's magnetotail,卡西尼号在土星磁尾的长时磁场重新连接的原位观测 ,,
10.1038/nphys3581,Resistivity plateau and extreme magnetoresistance in LaSb,LaSb的电阻率平台和极限磁阻 ,"<p>Time reversal symmetry (TRS) protects the metallic surface modes of topological insulators (TIs). The transport signature of such surface states is a plateau that arrests the exponential divergence of the insulating bulk with decreasing temperature. This universal behaviour is observed in all TI candidates ranging from Bi<sub>2</sub>Te<sub>2</sub>Se to SmB<sub>6</sub>. Recently, extreme magnetoresistance (XMR) has been reported in several topological semimetals which exhibit TI universal resistivity behaviour only when breaking time reversal symmetry, a regime where TIs theoretically cease to exist. Among these materials, TaAs and NbP are nominated as Weyl semimetals owing to their lack of inversion symmetry, Cd<sub>3</sub>As<sub>2</sub> is known as a Dirac semimetal owing to its linear band crossing at the Fermi level, and WTe<sub>2</sub> is termed a resonant compensated semimetal owing to its perfect electron&#8211;hole symmetry. Here we introduce LaSb, a simple rock-salt structure material that lacks broken inversion symmetry, perfect linear band crossing, and perfect electron&#8211;hole symmetry yet exhibits all the exotic field-induced behaviours of these more complex semimetals. It shows a field-induced universal TI resistivity with a plateau at roughly 15&#8201;K, ultrahigh mobility of carriers in the plateau region, quantum oscillations with the angle dependence of a two-dimensional Fermi surface, and XMR of about one million percent at 9&#8201;T. Owing to its structural simplicity, LaSb represents an ideal model system to formulate a theoretical understanding of the exotic consequences of breaking time reversal symmetry in topological semimetals.</p>",<p>时间反转对称性（TRS）保护拓扑绝缘体（TIs）的金属表面模式。这种表面状态的传递特征是一个平台，该平台随着温度的降低阻止绝缘块的指数散度。在Bi <sub> 2 </ sub> Te <sub> 2 </ sub> Se到SmB <sub> 6 </ sub>的所有TI候选对象中都观察到了这种普遍行为。最近，已经报道了几种拓扑半金属中的极端磁阻（XMR），这些金属仅在打破时间反转对称性时才显示TI通用电阻率行为，而在理论上TI不再存在。在这些材料中，TaAs和NbP因缺乏反对称性而被提名为Weyl半金属，Cd <sub> 3 </ sub> As <sub> 2 </ sub>因其线性能带交叉而被称为Dirac半金属。 WTe <sub> 2 </ sub>处于费米能级，由于其完美的电子空穴对称性而被称为共振补偿半金属。在这里，我们介绍LaSb，这是一种简单的岩石盐结构材料，它缺乏破碎的反演对称性，完美的线性能带穿越和完美的电子空穴对称性，却展现了这些更复杂的半金属的所有奇异场致行为。它显示了电场感应的通用TI电阻率，其平台稳定在大约15KK，平台区载流子的超高迁移率，二维费米表面的角度依赖性的量子振荡以及XMR大约为一百万％在9＆＃8201; T。由于其结构简单，LaSb代表了一种理想的模型系统，可以对拓扑半金属中的时间反转对称性的奇异后果形成理论理解。</ p> 
10.1038/nphys3568,Robophysical study of jumping dynamics on granular media,颗粒介质上跳跃动力学的机器人物理研究 ,"<p>Characterizing forces on deformable objects intruding into sand and soil requires understanding the solid- and fluid-like responses of such substrates and their effect on the state of the object. The most detailed studies of intrusion in dry granular media have revealed that interactions of fixed-shape objects during free impact (for example, cannonballs) and forced slow penetration can be described by hydrostatic- and hydrodynamic-like forces. Here we investigate a new class of granular interactions: rapid intrusions by objects that change shape (self-deform) through passive and active means. Systematic studies of a simple spring-mass robot jumping on dry granular media reveal that jumping performance is explained by an interplay of nonlinear frictional and hydrodynamic drag as well as induced added mass (unaccounted by traditional intrusion models) characterized by a rapidly solidified region of grains accelerated by the foot. A model incorporating these dynamics reveals that added mass degrades the performance of certain self-deformations owing to a shift in optimal timing during push-off. Our systematic robophysical experiment reveals both new soft-matter physics and principles for robotic self-deformation and control, which together provide principles of movement in deformable terrestrial environments.</p>",<p>要侵入沙和土壤中的可变形物体的特征力，需要了解此类基质的固体和流体状响应及其对物体状态的影响。对干颗粒介质中侵入的最详细研究表明，固定形状物体在自由撞击（例如，炮弹）和强制缓慢穿透过程中的相互作用可以用类似于静水力和流体动力的力来描述。在这里，我们研究了一类新的粒度交互：通过被动和主动方式改变形状（自变形）的对象的快速入侵。对在干燥的粒状介质上跳跃的简单弹簧质量机器人进行的系统研究表明，跳跃性能是由非线性摩擦和流体动力阻力以及以晶粒快速凝固区域为特征的感应附加质量（传统的侵入模型无法解释）的相互作用来解释的脚加速。包含这些动力学的模型表明，由于下推过程中最佳时序的变化，增加的质量会降低某些自变形的性能。我们系统的机器人物理实验揭示了新的软物质物理原理以及机器人自我变形和控制的原理，共同提供了在可变形地球环境中的运动原理。</ p> 
10.1038/nphys3683,The electrical connection,电气连接 ,,
