EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
85040,2023/05/30 04:00:00+00,1759346,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,FOLLOWUP,87,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below. (Raw eggs left at room temperature.) (Cooler holding lettuce, ham, cheese, and various foods at 51 degrees F.)",605,1
88212,2023/03/02 05:00:00+00,1739302,SCHOOL CAFETERIA OR FOOD SERVICE,NUR ISLAMIC SCHOOL,6500,SIX MILE LN,LOUISVILLE,KY,40218,REGULAR,95,52,"PLUMBING INSTALLED; PROPER BACKFLOW DEVICES",Yes,Hand washing sink not provided.,605,2
85040,2023/05/30 04:00:00+00,1759346,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,FOLLOWUP,87,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Improper storage of employee food/drinks. (Personal drink stored on food preparation table next to customer food and single service items.)  Employee observed opening pancake mix bag with teeth. ,605,3
85040,2023/05/30 04:00:00+00,1759346,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,FOLLOWUP,87,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Hands not washed to prevent contamination from previous task. (Employee observed drinking and then handling food without washing hands.),605,4
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,39,"Contamination prevented during food preparation, storage and display",No,Food not protected during preparation. (Bug light over food preparation table.),605,5
88212,2023/03/02 05:00:00+00,1739302,SCHOOL CAFETERIA OR FOOD SERVICE,NUR ISLAMIC SCHOOL,6500,SIX MILE LN,LOUISVILLE,KY,40218,REGULAR,95,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Hands not washed properly.  Hands not washed to prevent contamination from previous task.,605,6
109277,2023/06/12 04:00:00+00,1762921,FOOD SERVICE,OXMOOR COUNTRY CLUB,9000,LIMEHOUSE LN,LOUISVILLE,KY,40220,REGULAR,94,58,"INSECTS, RODENTS AND ANIMALS NOT PRESENT",Yes,Presence of droppings on the food products and the floors in the storage room. Contaminated foods must be discarded and area must be cleaned and sanitized. Must provide a documentation from pest control company.,605,7
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,56,"Physical facilities installed, maintained and clean",No,Outer openings not protected against entry of pests. (Back door),605,8
114668,2023/06/01 04:00:00+00,1760532,FOOD SERVICE,FIREHOUSE SUBS #486,215,S HURSTBOURNE PKWY STE 104,LOUISVILLE,KY,40222,REGULAR,93,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.,605,9
109793,2022/11/08 05:00:00+00,1715431,SELF-CONTAINED MOBILE FOOD UNITS,EL SUPER TACO,0,MOBILE UNIT 2166,LOUISVILLE,KY,40202,REGULAR,91,21,PROPER COLD HOLDING TEMPERATURES,Yes,"reach top fridge with cheese, diced tomato, sliced lettuce at 55 F",605,10
94148,2023/07/20 04:00:00+00,1773633,FOOD SERVICE,CLAY OVEN INDIAN RESTAURANT,12567,SHELBYVILLE RD,LOUISVILLE,KY,40243,REGULAR,94,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.  See Attached quarantine sheet. ,605,11
34135,2023/09/26 04:00:00+00,1791442,FOOD SERVICE,VALLEY DAIRY FREEZE,10300,DEERING RD,LOUISVILLE,KY,40272,REGULAR,89,8,HANDS CLEAN AND PROPERLY WASHED,Yes,hands dried on shirt  hands not washed properly,605,12
32112,2023/06/27 04:00:00+00,1767364,FOOD SERVICE,CHEDDAR BOX,3909,CHENOWETH SQUARE,LOUISVILLE,KY,40207,REGULAR,80,44,"In-use utensils, properly stored",No,Suitable dispensing utensil not being used by employee for handling food.,605,13
109793,2022/11/08 05:00:00+00,1715431,SELF-CONTAINED MOBILE FOOD UNITS,EL SUPER TACO,0,MOBILE UNIT 2166,LOUISVILLE,KY,40202,REGULAR,91,25,PROPER DATE MARKING AND DISPOSITION,Yes,"pre cooked rice, meats not date marked - all pre cooked foods need to be date marked",605,14
36333,2023/10/04 04:00:00+00,1793828,FOOD SERVICE,LEE'S FAMOUS RECIPE,5059,POPLAR LEVEL RD,LOUISVILLE,KY,40219,REGULAR,81,2,Certified food protection manager,No,No certified food manager present.,605,15
53131,2023/05/22 04:00:00+00,1757516,FOOD SERVICE,PAPA JOHN'S #17,3948,TAYLORSVILLE RD,LOUISVILLE,KY,40220,REGULAR,86,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Food not clearly marked to indicate the date or day by which the food shall be consumed, sold or discarded.",605,16
34135,2023/09/26 04:00:00+00,1791442,FOOD SERVICE,VALLEY DAIRY FREEZE,10300,DEERING RD,LOUISVILLE,KY,40272,REGULAR,89,25,PROPER DATE MARKING AND DISPOSITION,Yes,"open hotdog packages, pulled pork, defrosted hamburgers, open bags of cheese must be date marked appropriately",605,17
