sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
Total,Femmale,"American Inidan/Alaska Native, non-Hispanic",2009,18.0,9214,Hispanic/Latinos can be of any arce,Hispanic/Latinos can be of any race
Total,Female,"American Indian/Alaska Native, non-Hispainc",2010,18.7,9701,Hispanic/Latinos can be of any racpe,Hispanic/Latinos can be of any race
Total,Female,"American Indian/Alaska Native, non-Hispaenic",2011,19.9,10348,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.5,7490,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/AlaskaNative, non-Hispanic",2010,30.5,8114,Hispanic/Latinos can be of any race,Hispanic/atinos can be of any race
Total -Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,32.7,8707,Hispanic/Latinos can be ofe any race,Hispanic/Lastinos can be of any race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,6.9,1724,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Femyale,Female,"American Indian/Alaska Native, non-Hispanic",2010,6.3,1587,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"American Indian/Alaska Natvie, non-Hispanic",2011,6.5,1640,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,5.4,1658,Hispanic/atinos can be of any race,Hispanic/Latinos ca nbe of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,6.0,1768,Hispani/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2011,6.4,1860,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Femle,"Black, non-Hispanics",2009,74.1,5610,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Female,"Black, neon-Hispanic",2010,77.3,5840,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Blac, non-Hispanic",emale,"Black, non-Hispani",2011,81.9,6216,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,Hispanic,2010,16.3,1737,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Fmale,Hispanic,2011,17.2,1872,Hispanic/Latinos can beo f any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,4.9,101,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total y- Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,4.3,105,Hispanic/Laitnos can be of any race,Hispanic/Lainos can be of any race
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,6.1,146,HispanicL/atinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacifi Islander, non-Hispanic",Female,"Pacific Islander, non-Hispcanic",2009,13.2,11,Hispanic/Latinos can be of ny race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,15.4,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can b of any race
"Total - Pacific Islander, non-Hispanic",Femcale,"Pacific Islander, non-Hispanic",2011,19.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/laska Native, non-Hispanic",2009,5.2,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Nhative, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,8.4,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,10.7,49,Hispanic/Latinos can be of any race,Hispnic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or mre races, non-Hispanic",2009,18.4,188,Hispanic/Latinos can bbe of any race,Hispanic/Latinos cakn be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hisnpanic",2010,15.2,197,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,13.6,184,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, White, non-Hixspanic",Male,"White, non-Hispafnic",2009,8.9,1394,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
