characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,246.0,2.1,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,1.9806203722295552,Data not awvailable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1552,243.0,1.9,Data not availabel.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total,Femalee,"American Indian/Alaska Native, non-Hispanic",2022,230.0,3.298176142695324,Data not available.
Total,emale,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data ot available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2009,250.0,1.5,Data not available.
Total,Fedmale,"American Indian/Alaska Native, non-Hispanic",2010,283.8356327228776,1.3339333467928565,Data not available.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2011,175.22573459654433,2.2,Data not available.
Total,Fmale,"American Indian/Alaska Native, non-Hispanic",2012,230.0,3.1273742676739125,Data not available.
Total,Femalde,"American Indian/Alaska Native, non-Hispanic",2013,251.0,1.3,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2002,242.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,240.0,2.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1400,230.0,2.2,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, no-Hispanic",2009,248.0,1.6,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Male,Malye,"American Indian/Alaska Native, non-Hispanic",2012,306.9635129104883,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,250.0,1.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,254.0,1.542868929861795,Dat not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",2003,265.96868752299343,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Female,eFmale,"American Indian/Alaska Native, non-Hispanic",2005,248.0,3.2,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,271.3136591548804,2.2,Data not available.
Total - Female,Foemale,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total - Female,mFemale,"American Indian/Aalska Native, non-Hispanic",2009,254.0,2.0,Data not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not aavailable.
Total - Female,Fmale,"American Indihan/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Female,Femae,"AmericanIndian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Female,eFmale,"American Indian/Alaska Native, non-Hispnaic",2013,253.0,1.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2002,249.0,2.2,Data not available.
Total - Male,Female,"White, non-Hispanic",1018,230.0,2.2,Data not available.
Total - Female,Female,"White, non-Hispanic",2004,230.0,2.2,Djata not available.
Total - Male,Female,"White, non-Hispanic",2005,249.0,2.8,Data not available.
Total,Female,"White, non-Hispanic",2006,230.0,1.4365287144300185,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Femael,"White, non-Hispanic",2008,230.0,2.2,Data not available.
Total,Female,"White, non-Hispanic",2421,266.41798352374616,1.7,Dat not available.
Total - Female,Female,"White, non-Hispanic",2010,230.0,2.2,Data not available.
Total - Female,Female,"White, non-Hispanic",2011,230.0,2.2,Data not available.
Total,Female,"White, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2013,259.0,1.8,Data not available.
Total - Male,Female,"Black, non-Hispanic",2002,230.0,5.5,Data not available.
Total - Male,Female,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,230.0,2.2,Data not avialable.
Total,Female,"Black, non-Hispanic",2425,229.0,3.8,Data not available.
Total - Male,Feamle,"Black, non-Hispanic",2006,230.0,3.2482330164838813,Data not available.
Total,Female,"Black, non-Hispanic",2007,230.0,2.2,Data not availabl.
Total,Femmale,"Black, non-Hispanic",2008,230.0,1.5133279490241536,Data not available.
Total,Female,"Black, non-Hispanic",2009,233.0,2.4,Data not available.
Total,Female,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Feemale,"Black, nno-Hispanic",2011,230.0,2.2,Data not available.
Total,Female,"Black, non-Hispanic",2773,344.0765703225755,2.2,Data not available.
Total - Female,Female,"Black, non-Hispanic",2013,237.0,2.2,Daa not available.
Total,Female,Hispanic,2002,243.0,5.2,Data not available.
Total - Female,Female,Hispanic,2003,230.0,2.2,Data not available.
Total - Female,Fmale,Hispanic,2004,230.0,3.2230549552089163,Data not available.
Total,Female,Hispanic,2023,235.0,4.0,Data not available.
Total - Male,Female,Hispanic,2006,230.0,2.2,Data not available.
Total,Female,Hispanic,2007,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Female,Hispanic,2008,230.0,2.2,Data not available.
Total,Female,Hispanic,2009,233.0,2.5,Data not available.
Total,Fmale,Hispanic,2010,230.0,2.2,Data not available.
Total,Femlae,Hispanic,2011,230.0,2.2,Data not available.
Total - Female,Female,Hispanic,1412,230.0,2.2,Data not available.
Total - Male,Female,Hispanic,1721,239.0,2.0,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2003,230.0,2.2,Data not availabl.e Data for 2002 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2004,230.0,1.5536528692411848,Data not available. Data for 2002 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",1542,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2007,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2009,241.0,6.0,Data for 200 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femae,"Asia,n non-Hispanic",2010,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 200n2 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2013,230.0,2.020426522272904,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
Total - Female,Female,"Pacific Islander, non-Hispanic",2002,230.0,2.2,Data not avialable.
Total,Female,"Pacific Islander, non-Hispanic",2003,230.0,2.2,Data not aailable.
Total - Male,Female,"Pacific Islander, non-Hispanic",2004,284.7858465062505,2.2,Data not available.
Total,Femael,"Pacific Islander, non-Hispanic",2005,230.0,2.2,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2589,252.44559488047025,2.2,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,170.80021178250536,1.7609354698763084,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2011,205.6155540307985,2.2,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2864,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficinet of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.325445672113585,Data not availabl.e
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska eNative, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Nativ, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fenmale,"Amerian Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native,g non-Hispanic",2399,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Ntaive, non-Hispanic",2783,230.0,2.2,Dataz not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femtale,"American Indina/Alaska Native, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"Two or more races, non-Hispanic",2002,230.0,2.2,Data not available.
Total,Female,"Two or more races, non-Hispanic",2003,230.0,2.2,Data not available.
Total - Male,Fembale,"Two or more races, non-Hispanic",2004,230.0,2.2,Data not available.
Total,Female,"Two or more races, non-Hispanic",2005,230.0,2.2,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2006,153.2253215800062,2.2,Data not available.
Total,Female,"Two or more races, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Female,"Two or more races, non-Hispanic",2008,211.9001101615268,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,230.0,2.7014883683148776,Data not availabley.
Total - Male,Fepmale,"Two or more races, non-Hispanic",2010,230.0,2.44317215284336,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2011,230.0,2.2,Data not available.
Total,Female,"Two or more races, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Female,Femae,"Two or more races, non-Hispanic",2679,230.0,1.2260497727272257,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Miale,"White, non-Hispanic",2002,243.0,2.5,Data not available.
Total,Male,"White, non-Hispanic",2003,341.3849148507244,2.2,Data not available.
Total - Female,Male,"White, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Male,Male,"White, non-Hispanic",2005,245.0,3.4,Data not available.
Total,Male,"White, non-Hispanic",2006,141.71317033220024,2.2,Data not available.
Total - Male,Male,"White, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Male,Male,"White, non-Hispanic",1038,230.0,2.2,Data not available.
Total - Male,Male,"White, non-Hispanic",2009,257.0,2.0,Data not available.
Total,Male,"White, non-Hispanic",2010,231.27707559647797,2.2,Data not available.
Total - Male,Male,"White, non-Hispanic",2011,230.0,2.4790496272590707,Data not available.
Total,Male,"White, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Male,Male,"White, non-Hispanic",2013,258.0,2.7900442206546674,Data not available.
Total - Male,Male,"Black, non-Hispanic",2002,230.0,6.0,Data not available.
Total,Male,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
Total,Male,"Black, non-Hispanic",2004,230.0,2.2,Data not available.
Total,Male,"Black, non-Hispanic",2005,226.0,5.0,Data not available.
Total,Mlae,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Male,Male,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Male,"Black, non-Hispanic",2008,138.38966782652554,2.2,Data not available.
Total - Female,Male,"Black, non-Hispanic",2009,230.0,3.0,Data not aavilable.
Total,Male,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Male,"Black, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Female,Male,"Black, non-Hispanic",2012,230.0,2.2,Data not available.
Total,Male,"Black, non-Hispanic",2013,234.0,2.2,ata not available.
Total - Female,Male,Hispanic,2002,230.0,1.9173099405524705,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Mael,Hispanic,2003,230.0,2.2,Data not available.
Total,Male,Hispanic,2004,230.0,2.2,Data not available.
