Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Brnd_Name,Gnrc_Name,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr,Opioid_Drug_Flag,Opioid_LA_Drug_Flag,Antbtc_Drug_Flag,Antpsyct_Drug_Flag
National,,National,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1178,3708,6598.5,102280.76,1313,,2929,5385.3,79992.58,,1052,4167.66,22903.26,N,N,N,N
National,,National,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1604,4564,7905.6,131927.33,1766,,3681,6603,106683.88,,1450,4415.22,20335.83,N,N,N,N
National,,National,Abacavir,Abacavir Sulfate,3560,30534,37402.4,7039482.37,4252,,15064,19275.5,3547013.16,,2141,21278.04,186025.79,N,N,N,N
National,,National,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,2933,30248,38810.9,9656849.77,4030,,16574,22159,5457642.63,,2272,23576.53,376349.75,N,N,N,N
National,,National,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,38,118,120,146795.2,32,,74,74,91779.21,,19,1488.48,3939.47,N,N,N,N
National,,National,Abelcet,Amphotericin B Lipid Complex,67,697,717.4,504545.33,199,,441,452.2,303945.53,,131,947.12,62103.18,N,N,N,N
National,,National,Abilify,Aripiprazole,2512,15246,19657.3,20467005.13,2172,,4291,5683.5,5359083.5,,691,35948.95,259326.22,N,N,N,Y
National,,National,Abilify Maintena,Aripiprazole,15911,208282,209057.7,498232295.54,26321,,26497,26639,62087454.83,,3360,484272.75,1162541.41,N,N,N,Y
National,,National,Abilify Mycite,Aripiprazole,6,31,33,56308.8,,*,,,,*,,70,60,N,N,N,Y
National,,National,Abiraterone Acetate,Abiraterone Acetate,10065,199302,203684.4,601182558.76,30507,,192710,197031.7,578631141.28,,29429,595635.61,52997200.21,N,N,N,N
National,,National,Abraxane,Paclitaxel Protein-Bound,176,1200,1200,9534884.71,307,,1147,1147,9045413.72,,284,1957.95,301272.79,N,N,N,N
National,,National,Absorica,Isotretinoin,40,88,88,163699.34,35,,22,22,33152.66,*,,93.2,3554.07,N,N,N,N
National,,National,Absorica Ld,"Isotretinoin, Micronized",12,31,31,81264.22,11,*,,,,*,,17.2,796.02,N,N,N,N
National,,National,Acamprosate Calcium,Acamprosate Calcium,12086,43332,51649.9,7043110.97,13101,,17936,22782.4,2954228.53,,6018,44092.75,680733.73,N,N,N,N
National,,National,Acanya,Clindamycin Phos/Benzoyl Perox,11,29,29,15964.61,,*,,,,*,,5.3,526,N,N,N,N
