OBJECTID,CWS,FIPS_NO,CWSNO,CWSID,SILOCAL,SIADDRESS,COUNTY,SITYPE,SIRADIUS,CONTACT,URL,BATTERY_BACKUP,LATITUDE,LONGITUDE,SINAME,BUFF_DIST,ORIG_FID,SHAPEAREA,SHAPELEN
1,0,215,001,CWS215001,Clear Creek,KY 43 / 7th Street,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.222294,-85.21722,0,6200,1,120756336.125609,38955.2259443638
2,0,215,002,CWS215002,Community Trust,US 60 & Bayne Ave,Shelby,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.212595,-85.243068,0,5280,2,87577053.9616531,33174.6955112191
3,0,215,003,CWS215003,Water Tower,5th & Henry Clay,Shelby,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.21036,-85.215579,0,5280,3,87577053.9616531,33174.6955112191
4,0,215,004,CWS215004,Dr. Heinkenbien Farm,Mill Circle Drive,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.236278,-85.260715,0,6200,4,120756336.125609,38955.2259443638
5,0,215,005,CWS215005,"KY 322, LaGrange Road",5794 LaGrange Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.32357,-85.255767,0,6200,5,120756336.125609,38955.2259443638
6,0,215,006,CWS215006,Simpsonville Firehouse,3140 Anderson Lane,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.278857,-85.328659,0,6200,6,120756336.125609,38955.2259443638
7,0,215,007,CWS215007,Fire Department,8435 Copper Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.290635,-85.334102,0,6200,7,120756336.125609,38955.2259443638
8,0,215,008,CWS215008,Christianburg Baptist,1037 Frys Oldburg Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.279932,-85.084726,0,6200,8,120756336.125609,38955.2259443638
9,0,215,009,CWS215009,KY 395 / KY12 Bagdad,6511 Bagdad Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.261125,-85.059037,0,6200,9,120756336.125609,38955.2259443638
10,0,215,010,CWS215010,Baptist / Waddy KY,US60/Graefenburg Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.160215,-85.014799,0,6200,10,120756336.125609,38955.2259443638
11,0,215,011,CWS215011,East 60 VFD,9221 US 60,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.173141,-85.048159,0,6200,11,120756336.125609,38955.2259443638
12,0,215,012,CWS215012,Church Water Tower,Ticonda Road / US60 Clay Village,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.194366,-85.107303,0,6200,12,120756336.125609,38955.2259443638
13,0,215,013,CWS215013,Persimmon Ridge Golf,Persimmon Ridge Dr off Ash/Aiken,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.285973,-85.434753,0,6200,13,120756336.125609,38955.2259443638
