storename,licenseid(double precision),accountnumber(double precision),squarefeet(double precision),buffersize,address,zipcode(long),communityareaname,communityarea(long),ward(long),censustract(long),censusblock(double precision),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
BOB'S LIQUORS & GROCERIES,39791.0,86492.0,10001.0,A,5069 W MADISON ST,60644,AUSTIN,25.0,28,17031252201,170312522011000.0,1142425.326543121,1899505.113898537,41.8802960895,-87.7524941982,"(41.8802960895, -87.7524941982)"
QUICK STOP FOOD MART,39791.0,-497155.82906807447,10001.0,B,5220 S PULASKI RD,60645,WEST RIDGE,2.0,50,17031020601,239335873917550.62,1173296.1226284578,1873949.3843109088,42.0047500731,-87.6994227766,"(42.0088564722, -87.674080374)"
DOMINICKz''S #147/1147,25338.0,5033.0,68000.0,A,1340 S CANAL ST,78414,NEAR WEST SIDE,28.0,2,17031841900,170318419002092.0,1173296.1226284578,1893985.7049883392,41.8645211937,-87.6393040996,"(41.8645211937, -87.6393040996)"
CERMAK PRODUCE,1515206.0,694906.474936963,3500.0,A,5220 S PULASKI RD,60632,WEST ELSDON,62.0,23,17031620200,170316202001000.0,1150549.397872218,1869568.6744565165,41.9535544384,-87.7234437408,"(41.79799187, -87.7234437408)"
WHOLE FOODS MARKET,1678043.0,86298.0,4501.0,B,3300 N ASHLAND AVE,60657,LAKE VIEW,6.0,44,17031062500,170310625001000.0,1165027.7966924468,1921997.1068875587,41.9415658578,-87.72385084,"(41.9415658578, -87.6688604029)"
PATEL BROS,25338.0,88729.0,68000.0,B,2610 W DEVON AVE,44455,WEST RIDGE,2.0,50,17031020602,170310206023013.0,1157695.3668656345,1869568.6744565165,41.9205964582,-87.6952511581,"(41.9415658578, -87.6688604029)"
OHIO FOOD MART,1225367.0,243092.0,3500.0,B,5220 S PULASKI RD,60644,AUSTIN,25.0,37,17031251500,170312515002004.0,1140427.8862632848,1903410.3057540525,41.8688897111,-87.6393040996,"(41.8910492873, -87.7597328373)"
JOE'S FOOD & LIQUOR,822.0,154.0,3500.0,B,3300 N ASHLAND AVE,60625,ALBANY PARK,14.0,39,17031140301,91250079168610.42,1151203.158881069,1921997.1068875587,41.968445246,-87.7194165758,"(41.968445246, -87.7194165758)"
TWO BLUE FOODS INC,1678043.0,20549.0,10001.0,B,1101 S CANAL ST,60628,PULLMAN,6.0,8,17031500100,170315001004015.0,1183074.9839932893,1838632.1930885287,41.8688897111,-87.6393040996,"(41.9415658578, -87.6688604029)"
JEWEL FOOD STORE #3349,25338.0,259.0,3500.0,A,2520 N NARRAGANSETT AVE,60639,BELMONT CRAGIN,19.0,36,17031831500,112909667060355.1,1133277.021480193,1910717.9026233568,41.9262969563,-87.6952511581,"(41.9262969563, -87.785694824)"
200 LIQUORS,48663.0,17055.0,10001.0,B,1101 S CANAL ST,60653,GRAND BOULEVARD,38.0,3,17031381500,131040307293767.12,1178461.6344048942,1873949.3843109088,41.8645211937,-87.620951802,"(41.968445246, -87.7194165758)"
CARNICERIA LA GLORIA,1678043.0,775586.3941618572,6500.0,B,5952 W GRAND AVE,64372,GAGE PARK,63.0,14,17031630500,170316305001004.0,1160008.901705246,1921997.1068875587,41.9262969563,-87.6430223096,"(41.8802960895, -87.7524941982)"
WHOLE FOODS MARKET,1678043.0,963127.0572681286,3500.0,A,1101 S CANAL ST,60607,NEAR WEST SIDE,28.0,2,17031841900,170318419002074.0,1168645.9152298884,1895578.037191168,41.8688897111,-87.6390989281,"(42.0088564722, -87.674080374)"
PETERSON FOOD MART,1678043.0,786118.7803994517,10001.0,B,2534 W PETERSON AVE,60659,WEST RIDGE,3.0,50,17031020802,170310208021019.0,1158181.489637414,1939808.8920842027,41.9905852147,-87.6935345218,"(41.9905852147, -87.6935345218)"
STANLEY'S,15042.0,6609.0,10001.0,A,1558 N ELSTON AVE,60622,WEST TOWN,63.0,32,17031842300,170318423001025.0,1166918.6504769705,1910717.9026233568,41.9415658578,-87.7751926809,"(41.9905852147, -87.6935345218)"
FOOD 4 LESS,1884255.0,251246.0,6500.0,A,1558 N ELSTON AVE,60639,AUSTIN,25.0,37,17031250800,170312508001000.0,1143859.6919038594,1869568.6744565165,42.0088564722,-87.6935345218,"(41.8910492873, -87.7597328373)"
COMMERCIAL GROCERY,1678043.0,23932.0,68000.0,B,3004 E 100TH ST,60617,SOUTH DEERING,51.0,98,17031510100,170315101002007.0,1197923.0118507417,1838632.1930885287,41.7134978435,-87.7524941982,"(41.7134978435, -87.5507331066)"
