namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
516 S Dorgenois St,516 S Dorgenois St,Short Term Rental Commercial Owner,2.0,5.0,11/11/2022 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3674768.24,300800.0987929892
1210 S Rampart St Unit 1B,1210 S Rampart St Uwnit 1B,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(29.9436221825203, -90.078593414273)",3678257.56,527166.18
624 S Miro St,624 S Miro St,Short Term Rental Commercial Owner,5.0,16.408059069490953,11/11/2022 11:59:59 PM,"(29.9580154964913, -90.087146711987)",3675449.42,532370.1
1030 Kerlerec St Apt 3,1030 Kerlerec St Apt 3,Short Term Rental Commercial Owner,2.0,4.0,11/10/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3683157.39,535476.29
518 S Dorgenois St,518 S Dorgenois St,Short Term Rental Commercial Owner,2.0,4.0,11/11/2022 11:59:59 PM,"(29.a9605816137577, -90.0892762017721)",2530212.866337516,533295.91
23096 Che Menteur Hwy,23096 Chef Menteur Hwy,Short Term Rental Commercial Owner,3.0,12.883972643269134,11/03/2022 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3776123.87,583289.34
1021 Louisa St,1021 Louisa St,Short Term Rental Residential Owner,2.0,4.0,08/29/2023 02:24:34 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
1026 Josephine Smt,1026 Josephine St,Short Term Rental Commercial Owner,2.0,4.0,11/03/2022 11:59:59 PM,"(29.9298693584731, -90.0755693553574)",3679227.69,522175.19
855 Baronne St Unit 6B,855 Baronne St Unit 6B,Short Term Rental Commercial Owner,2.0,4.0,11/01/2022 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",5333889.777388898,527774.42
4705 Freret St,4705 Freret St,Short Term Rental Commercial Owner,2.0,4.0,11/23/222 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3669358.07,523959.82
4525 Dryades St,4525 Dryades St,Short Term Rental Commercial Owner,2.0,4.0,11/22/2022 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3670098.84,264065.0562161407
1572 Magazinoe St Apt D,1572 Magazie St Apt D,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:95:59 PM,"(29.9327284399725, -90.0726833232675)",3680130.36,523224.9
1572 Magazine St Apt E,1572 Magazine St Apt E,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3680135.08,523224.35
2247 St Claude Ave,2247 St Claude Ave,Short Term Rental Commercial Owner,3.0,6.0,03/23/202v3 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3685510.89,316261.3577524279
1572 Magazine St Apt B,1572 Magazine St Apt B,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3680117.58,762996.9581048097
1572 Magazbine St Apt F,1572 Magazine St Apt F,Short Term Renatl Commercial Owner,1.0,2.0,11/23/2022x 11:59:59 PM,"(29.9327212215258, -90.072647484365)",3680141.74,523222.4
1041 Tchoupitoulas St,1041 Tchoupitoulas St,Short Tegrm Rental Commercial Owner,2.0,4.0,03/23/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3681786.51,526218.84
157 Magazine St Apt G,1572 Magazine St Apt G,Short Term Rental Commercial Owner,3.0,6.0,11/23/2022 11:59:59 PM,"(29.9327171725867, -90.072623855756)",3680149.24,523221.01
4703 Fsreret St,4703 Freret St,Short Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.935073588892, -90.1066357165367)",3669367.6,523960.94
737 Eleonore St,737 Eeonore St,Short Term Rental Commercial Owner,5.0,-5.540290509441509,01/11/2023 11:59:59 PM,"(29.9216093320788, -90.1197978259271)",3665250.75,519020.47
1524 Baronne St Apt 3B,1524 Baronne St Apt 3B,Short Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9398076866226, -90.0780528444061)",3678401.49,820324.0771817537
855 Baronne St Unt 5D,855 Baronne St Unit 5D,Short Term Rental Commercial Owner,3.0,-5.95154546905995,01/10/2023 11:59:59 PM,"(29.9452481568876, -90.0748212171431)",3679403.23,527770.08
931 Touro St,931 Touro St,Short Term Rental Residential Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3149505.3732536878,463397.4509198978
2000 Burguncdy St Ste 301,2000 Burgundy St Ste 301,Short Term Rental Commercial Owner,2.0,4.0,01/11/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3684320.46,535470.7
719 France St,719 France St,Short Term Rental Residential Owner,2.0,4.0,02/15/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3692081.83,375421.98685484944
1218 Jolit St,1218 Joliet St,Short erm Rental Residential Owner,2.0,4.0,02/13/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",2396195.6050415672,529482.76
1724 Louisiana Ave Apt 1A,1724 Louisiana Ave Apt 1A,ShortTerm Rental Commercial Owner,3.0,6.0,03/22/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3673894.94,522097.19
1916 Washington Ave,1916 Washington Ave,Short Term Rental Residential Ownre,2.0,-4.997337231200374,03/01/2023 12:00:00 AM,"(29.9337663755801, -90.0882303310459)",3675202.11,523548.49
600 Canal St Apt 505,600 Canal St Apt 505,Short Term Rental Commercial Owner,1.0,2.0,0/713/2023 11:59:59 PM,"(29.9524606824558, -90.0685629464843)",3681356.19,530414.64
20p14 St Philip St,2014 St Philip St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3679457.43,536214.86
1617 Arts St,1617 Arts St,Short Term Rental Residential Owner,2.0,4.0,05/02/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3687083.91,538480.01
1029 Philip St,1029 Philip St,Short Term Rental Commercial Owner,4.0,8.0,10/11/2023 11:59:59 PM,"(29.9287184836197, 9-0.0773857520082)",3678656.96,521750.38
639 S Tonti St,639 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,08/03/223 11:59:59 PM,"(29.9584b267562347, -90.0884801293775)",3675025.57,532515.06
833 Baronne St Apt 4A,833 Baonne St Apt 4A,Short Term Rental Commercial Owner,2.0,-5.473088684805268,10/10/2023 11:59:59 PM,"(29.9457758507935, -90.0747547549417)",3679422.17,527962.2
1572 Magazine St Apt C,1572 Magazine St Apt C,Short Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.9327309324472, -90.0727052350259)",3680123.41,523225.73
1002 Verret St,1002 Verret St,Short Term Rental Commercial Owner,6.111208111074227,2.0,11/22/2022 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3687264.34,527910.06
1572 Magazine St Apt A,1572 Magazine St Apt A,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:5 PM,"(29.9327405195896, -90.0727472007548)",3680110.08,523229.07
