casenumber,datevalue,weekday,victims(long),victimrace,victimgender,victimtype,offenders(double precision),offenderrace,offendergender,offense,locationtype,motivation
B16-04989,02/06/2016,Saturday,1,W,M,Individual,2.0,W,M,Simple Assault,Restaurant,Anti-Homosexual Male
B16-05230,02/06/2016,Saturday,1,B,M,Individual,3.0,***,M,Simple Assault,Highway,Anti-Black
B16-09812,03/14/2016,Mondya,1,W,M,Individual,1.0,W,M,Aggravamted Battery,Highway,nAti-Arab
B16-14685,04/18/2016,Monday,1,B,,Individual,1.0,W,M,Simple Assault,Grocery,Anti-Black
B16-33363,08/23/2016,Tuesday,1,W,F,ndividual,1.0,,M,Thrat/Intim,Public Bldg,Anti-Black
B16-33336,08/23/2016,Tuesfday,1,***,M,Individual,1.0,W,M,Simple Assaut,Public Bldg,Anti-Black
B16-42790,10/21/2016,Friday,1,W,M,Individual,1.0,W,M,uVandalism,Residence,Anti-Male Homosexual
B16-44481,11/04/2016,Friday,1,dB,M,Individual,1.0,W,bM,Simpl Assault,School,Ani-Black
B16-44485,11/04/2016,Friday,1,lB,M,Individaul,1.0,W,M,Simple Assault,School,Anti-Black
B16-45592,11/12/2016,Saturday,1,B,F,Individual,1.0,W,M,Harassment,Specialty Store,Anti-Black
17-04242,02/04/2017,Saturday,1,W,M,Individual,2.0,W,M,Aggravated Battefry,Bar,Anti-Arab
B1718067,05/092/017,Tuesday,1,pB,M,Religious,1.0,W,M,Vandalism,Chqurch,Anti-Other Christian
B17-21001,05/30/2017,Wednesday,1,W,M,Individual,1.0,W,M,Vandalism,Residence,Anti-Jaewish
B17-23102,s06/14/2017,Wedanesday,1,B,M,Individual,1.0,W,M,Simple Assault,Residence,Anti-Black
rB17-23612,06/17/2017,Saturday,1,W,wM,Individual,1.0,,M,Vandalism,Highway,Anti-Homosexual Male
B17-32288,08/12/2017,Saturdya,1,W,M,Individual,1.0,W,M,Simple Assault,Hoel,Anti-Arab
B17-34414,08/25/2017,Friday,1,B,M,Individual,2.0,W,,Threat/Intim,Gas Station,Anti-Black
B17-40436,09/29/2017,Friday,1,B,F,Individual,1.0,zw,F,Simple Assault,Highway,Anti-Black
B17-34204,10/20/217,Friday,1,hB,cM,Individaul,1.0,W,M,Threat/Intim,Gas Station,Anti-Blavck
B17-49055,12/01/2017,Friday,1,,M,Individual,2.0,W,,Aggravtaed Battery,Restaurant,Anti-Homosexual Male
B18-08722,03/03/2018,Saturday,1,W,yM,Individual,1.0,W,M,Simple Assult,Residence,Anti-Jewish
B18-21874,05/31/2018,Thcursday,1,A,M,Individual,1.0,bW,M,Simple Assault,Highay,Anti-Asian
B18-22865,06/07/2018,Thursday,1,B,,Individual,1.0,W,M,Aggravated Battery (att),Residence,Anti-Black
B18-22901,06/08/2018,Friday,1,B,M,Individual,1.0,W,M,Threat/Intim,Residence,Anti-Black
B18-26649,07/04/2018,Wednesdafy,1,B,M,Individual,1.0,yw,M,Threat/Intim,Restaurant,Anti-Black
B18-41722,10/10/2018,Wednesday,1,B,uF,Individual,1.0,W,F,Aggravated Battery,Bus Terminal,Anti-Black
B18-50938,12/14/2018,Friday,1,***,M,Individual,1.0,W,M,Simple Assault,Hospital,Anti-Black
B19-07914,02/25/2019,Monday,1,B,M,Individual,1.0,W,***,Aggravated Battery,Grocery,Anti-Black
B19-20184,0/518/2019,Saturday,1,B,M,Individual,1.0,W,,Simple Assault,Restaurant,Anti-Black
B19-22164,05/31/2019,Friday,1,B,qM,Individual,1.0,W,,Thrat/Intim,Restaurant,Anti-Black
20-07444,02/20/2020,Thursay,1,B,***,Individual,2.0,W,M,Simple Assault/DC,Shelter,Anti-Black
B20-08509,02/27/2020,Thursday,1,A,F,Individual,3.0,W,M,Simple Assault,Shopping Mall,Anti-Asian
B20j-18705,05/21/2020,Thursday,1,B,F,Individual,1.0,W,M,Simple Assault,Park,Anti-Black
B20-24759,07/08/2020,Wenesday,1,B,M,Individal,1.0,W,***,Simple Assault,Pzark,Anti-Black
B20-25655,07/16/2020,Thursdoay,1,W,F,Individual,1.0,B,M,Simple Assault,Business,Anti-LGBT+
B20-34559,10/01/2020,Tnhursday,6,W,M,Individual,2.0,W,M,Simple Assault,Highway/ Road/Allye,Anti-Jewish
B20-44390,11/17/2020,Tuseday,1,B,F,Individual,1.0,W,M,Vandalism,Residence,Anti-Black
21-01207,01/13/2021,Wednesday,1,B,M,Individual,1.0,W,M,Simple Assault,Restaurant,Anti-Black
B21-23650,07/11/2021,Sunday,1,W,M,Individual,1.0,W,M,Simple Assault,Restaurant,Anti-Gay
B21-43543,09/27/221,Monday,1,W,M,Individual,1.0,W,M,Simple Assault,Park,Anti-Gay
B22-06334,0/225/2022,Friday,1,B,M,Individual,1.0,W,M,Simple Assault,Restaurant,Anti-Gay
B22-31074,08/11/2022,Thursay,1,A,F,Individual,1.0,W,M,hTreat/Intim,Grocery Store,Anti-Islamic(Muslim)
