groupnumbernoprecedingzeroes(long),grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes(long),seriestitle,seriesnumberandtitle
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",6.0,CORRECTIONAL INSTITUTION ADMINISTRATION,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,7.0,CORRECTIONAL OFFICER,0007-CORRECTIONAL OFFICER
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",11.0,BOND SALES PROMOTION SERIES,0011-BOND SALES PROMOTION SERIES
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",17.0,EXPLOSIVES SAFETY,0017-EXPLOSIVES SAFETY
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,83.0,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0062-CLOTHING DESIGN
0.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,25.0,SAFETY TECHNICIAN,0019-SAFETY TECHNICIAN
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,11.0,COMMUNITY PLANNING,0017-EXPLOSIVES SAFETY
100.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,21.0,COMMUNITY PLANNING TECHNICIAN,0021-COMMUNITY PLANNING TECHNICIAN
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",23.0,OUTDOOR RECREATION PLANNING,0023-OUTDOOR RECREATION PLANNING
70.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",0000-MISCELLANEOUS OCCUPATIONS GROUP,25.0,PARK RANGER,0019-SAFETY TECHNICIAN
100.0,MISCELLANEOUS OCCUPATIONS GROUP,"0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",28.0,ENVIRONMENTAL PROTECTION SPECIALIST,0007-CORRECTIONAL OFFICER
