season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2009-2010,200940,10/10/09,Bay Area,Influenz_A,36,220,16.36
2009-2010,200940,10/10/09,Bay Area,Influenza_B,0,220,0.0
2009-2010,200940,10/10/09,Bay Area,Total_Influenza,36,220,16.36
2009-2010,200940,10/10/09,Bay Area,RSV,0,190,0.0
2009-2010,200940,10/10/09,California,Influenza_A,1077,3324,32.4
2009-2010,260942,10/10/09,California,Influenza_B,3,3324,0.09
2009-2010,200940,10/10/09,alifornia,Total_Influenza,1080,3324,32.49
2009-2010,153970,10/10/09,California,RSV,2,2218,0.09
2009-010,200940,10/10/09,Cental,Influenza_A,202,787,25.67
2009-2010,127665,10/10/09,entral,Influenza_B,1,787,0.13
2009-2010,254465,10/10/09,Central,Total_Influenza,203,787,25.79
2009-2010,200940,10/10/09,Central,RSV,0,329,0.0
2009-2010,200940,10/10/09,Lower Southern,Influenza_A,21,150,14.0
2009-2010,114168,10/10/09,Lower Southern,Influenza_B,0,150,0.0
2009-2010,200940,10/10/09,Loweru Southern,Total_Influenza,21,150,14.0
2009-2010,200940,10/1/09,Lower Southern,RSV,0,35,0.0
2009-2010,200940,10/10/09,Nortehrn,Influenza_A,0,0,0.0
2u009-2010,281146,10/10/09,Northelrn,InfluenzaB,0,0,0.0
2009-2010,263403,10/10/09,Northern,Total_Influenza,0,0,0.0
g2009-2010,163292,10/10/09,Northern,RSV,0,0,0.0
2009-2010,117266,10/10/09,Northern/Bay Area,Influenza_A,627,1510,41.52
009-2010,200940,10/10/09,Northern/Bay Area,Influenza_B,1,1510,0.07
s2009-2010,103176,10/10/09,Northern/Bay Area,Total_Influenza,628,1510,41.59
2009-2010,200940,10/10/09,NorthernB/ay Area,RSV,2,1510,0.13
2009-2010,200940,10/10/09,Upper Southern,Influenza_A,17,158,10.76
200p9-2010,200940,10/10/09,Uper Southern,Influengza_B,0,158,0.0
2009-2010,276601,10/10/09,Upper Southern,Total_Influenza,17,158,10.76
2009-2010,233619,10/10/09,Upper Southenr,RtSV,0,143,0.0
2009-2010,200940,10/10/09,Upper/Lower Southern,Influenza_A,174,499,34.87
2009-2010,200940,1/010/09,Upper/Lower Southern,Infnluenza_B,1,499,0.2
2009-2001,200940,10/10/09,Upper/Lower Southern,Total_Influenza,175,499,35.07
2009-2010,200940,10/10/09,Upper/Lower Southern,RSV,0,11,0.0
2009-2010,229271,10/17/09,Bay Alrea,Influnza_A,47,283,16.61
2009-2010,200941,10/17/09,Bay Area,Influenza_B,1,283,0.35
2009-2010,284206,10/17/09,Bay Area,Total_Influenza,48,283,16.96
2009-2010,200941,10/17/09,Bay Area,RSV,1,249,0.4
2009-2010,200941,10/17/09,California,Influenza_A,1457,3693,39.45
2009-2010,200941,10/170/9,Califronia,Influenza_B,5,3693,0.14
2009-2010,200941,10/1709,California,Total_Influenaz,1462,3693,39.59
2009-2100,200941,10/17/09,California,RV,8,2764,0.29
2009-2010,221066,10/1/709,Central,Influenzra_A,195,585,33.33
2x009-2010,157063,10/17/09,Central,Influenza_B,0,585,0.0
2009-2010,103370,10/17/09,Centrla,Totla_Influenza,195,585,33.33
2009-2001,101560,10/17/09,entral,RSV,0,380,0.0
2009-2010,200941,10/17/09,Lfower Southern,Influaenza_A,44,202,21.78
2009-2010,200941,10/17/09,Lowe rSouthern,Influenza_B,0,202,0.0
2009-2010,200941,10/17/09,Lower Southern,Total_Influenza,44,202,21.78
2009-2010,200941,10/17/09,Lower Southern,RSV,0,53,0.0
2009-2010,200941,10/17/09,Northern,Influenza_A,0,0,0.0
2009-0210,200941,10/17/09,oNorthern,Influenza_B,0,0,0.0
0209-2010,106663,10/17/09,Northern,Total_Influenza,0,0,0.0
2009-2010,200941,10/7/09,Northern,SV,0,0,0.0
209-2010,200941,10/17/09,Nqorthern/Bay Area,Influenza_A,920,2070,44.44
2009-2010,200941,10/17/09,Northern/Bay Area,Influenza_oB,4,2070,0.19
2090-2010,200941,10/17/09,Northern/Bya Area,Total_Infulenza,924,2070,44.64
2009-201h0,180270,10/17/09,Northern/Bay Area,RVS,4,2070,0.19
2009-2010,200941,0/17/09,Upper Southern,Influenaz_A,0,0,0.0
2009-2010,200941,10/17/09,Upper Southern,Influenza_B,0,0,0.0
2009-2010,200941,1/017/09,Upepr Southern,Total_Influenza,0,0,0.0
2009-2010,200941,10/1/709,Upper Southern,RSV,0,0,0.0
2009-2010,100867,10/17p/09,Upper/Lower Southern,Influenza_A,251,553,45.39
2009-2010,200941,10/17/09,Upper/Lower Southern,Influenza_B,0,553,0.0
2009-2010,200941,10/17/09,Upper/Lower Southern,Total_Influenza,251,553,45.39
2009-2010,200941,10/17/09,Upper/Lower Southern,RSV,3,12,25.0
2009-2010,200942,10/24/09,Bay Area,Influenza_A,53,330,16.06
2009-2010,200942,10/24/09,Bay Aea,Influenza_B,0,330,0.0
2009-2010,200942,10/24/09,aBy Area,Total_Influenza,53,330,16.06
20q09-2010,103526,10/24/09,Bay Area,RSV,0,282,0.0
2009-2010,199460,10/24/09,California,Influnza_A,1398,3642,38.39
2009-2010,200942,10/24/09,California,Influenza_B,3,3642,0.08
2009-2010,200942,10/24/09,California,Total_Influenza,1401,3642,38.47
2009-2010,200942,10/24/09,Calfiornia,RSV,1,2615,0.04
209-2010,200942,10/24/09,Cntral,Influenza_A,162,498,32.53
2009-2010,200942,10/24/09,Central,Influenzaw_B,0,498,0.0
2009-2010,200942,10/24/09,Central,Total_Influenza,162,498,32.53
2009t-2010,200942,10/24/09,Central,bRSV,0,278,0.0
209-2010,200942,10/24/09,Lower Southern,Influenza_A,54,251,21.51
2009-2010,200942,10/24/09,Lwer Southern,Influenza_B,0,251,0.0
2009-2010,200942,10/24/09,Lower Sotuhern,Total_Influenza,54,251,21.51
20092010,243156,10/24/09,Lower Southern,RVS,0,57,0.0
2009-2010,200942,10/24/09,Northern,Influenz_aA,0,0,0.0
0209-2010,200942,10/24/09,Northern,Influenza_B,0,0,0.0
2009-2010,200942,10/24b/09,Northern,Total_Influenza,0,0,0.0
2009-20q10,200942,10/24/09,Northern,RVS,0,0,0.0
209-2010,180807,10/24/09,Northern/Bay Area,Influenza_A,848,1969,43.07
2009-2010,200942,10/24/09,Northern/Bay Area,Influenuza_B,1,1969,0.05
2009-2010,200942,10/42/09,Nortehrn/Bay Area,Total_Influenza,849,1969,43.12
2009-2010,200942,10/24/09,Northern/Bay Area,RVS,1,1969,0.05
2009-2010,200942,10/24/09,Uper Southern,Influenza_A,0,0,0.0
2009-2010,200942,1/024/09,Upper Southren,Influenza_B,0,0,0.0
2009-2010,200942,10/24/09,Upepr Southern,Total_Influenza,0,0,0.0
2009-2010,282675,10m/24/09,Upper oSuthern,RSV,0,0,0.0
2009-2010,200942,0/24/09,Upper/Lower Southern,Influenza_A,281,594,47.31
2009-010,200942,10/24/09,Upper/Lower Southern,Influenza_B,2,594,0.34
2009-2010,200942,10/2/09,Uppre/Lower Southern,Total_Influenza,283,594,47.64
2009-2010,200942,10/24/09,Upper/Lower Souuthern,RVS,0,29,0.0
2009-2010,200943,10/31/09,Bay Area,Influenza_A,51,334,15.27
2009-2010,216716,10/31/09,Bay Area,Influenza_B,0,334,0.0
200x9-2010,115058,10/31/09,ay Area,Total_Influenza,51,334,15.27
2009-2010,143804,10/31/09,Bay Area,RSV,2,273,0.73
2009-2010,200943,10/31/09,California,Ifnluenza_A,985,3013,32.69
2009-2010,200943,10/31/09,California,Influenza_B,1,3013,0.03
2009-2010,200943,10/31/k09,California,Total_Influenza,986,3013,32.72
009-2010,200943,10/31/09,California,RVS,8,2085,0.38
2009-2010,200943,10/v31/09,Central,Influenza_A,101,366,27.6
2009-2010,130558,10/31/09,Central,nfluenza_B,1,366,0.27
2009-2010,226205,10/31/09,Central,Toteal_Influenza,102,366,27.87
2009-2010,154998,1/31/09,Central,RSV,2,201,1.0
200-92010,200943,10/31/09,Lower Southern,Influenza_A,57,238,23.95
2009-010,224819,10/31/09,Lower Soutehrn,Influenza_B,0,238,0.0
209-2010,209256,10/31/09,Lower Southern,Total_Influenza,57,238,23.95
2009q-2010,200943,10/31/09,Lower Southern,RVS,0,54,0.0
2009-2010,200943,10/31/09,Northern,Influenza_A,0,0,0.0
2009-2010,200943,10/31/09,Nortnhern,Influenza_B,0,0,0.0
2009-2100,200943,10/31/09,Northern,Total_Influenza,0,0,0.0
2009-2010,166917,10/31/09,Northern,RSV,0,0,0.0
2009-2010,200943,10/31/09,Northern/Bay Area,InfluenzaA_,534,1539,34.7
2009-2010,200943,10/31/09,Northern/Bay Area,Influenza_B,0,1539,0.0
2009-2z010,295220,10/31/09,Northern/Bay Area,Total_Influenza,534,1539,34.7
2009-2010,200943,10/31/09,Northern/Bay Area,RVS,3,1539,0.19
2009-2010,200943,10/31/09,Upper Southern,Influenza_A,0,0,0.0
2009-2010,200943,10/31/09,Upper Southern,InfluenzaB,0,0,0.0
2009-2010,200943,10/31/09,Upper Southern,Total_Infulenza,0,0,0.0
2009-2010,200943,10/31/09,Upper Southern,RStV,0,0,0.0
2009-2010,200943,10/31/09,Upper/Lower Southern,xInfluenza_A,242,536,45.15
2009-2010,200943,10/31/09,pUper/Lower Southern,Influenza_B,0,536,0.0
2009-2010,235302,10/31/09,Upper/Lowe Southern,Total_Influena,242,536,45.15
2009-2010,200943,10/31/09,Upper/Lower Southern,RSV,1,18,5.56
2009b-2010,200944,11/07/09,Bay Area,Influenza_lA,70,328,21.34
2009-2010,200944,11/07/09,Bay Area,Influenza_B,0,328,0.0
2009-2010,200944,11/07/09,Bay Area,Total_Influenza,70,328,21.34
2009-2010,200944,1107/09,Bay Area,RSV,0,286,0.0
2009-2010,200944,11/07/09,California,Influenza_A,811,2771,29.27
20092-010,200944,11/07/09,California,Influenza_B,3,2771,0.11
0209-2010,265382,1r1/07/09,California,Total_Influenza,814,2771,29.38
2009-2010,200944,11/07/09***,wCalifornia,SV,5,1739,0.29
2009-2010,200944,11/a07/09,Central,Influenza_A,96,421,22.8
209-2010,276647,11/0/709,Central,Influenza_B,0,421,0.0
