namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Kuhn's Market,661 Lincoln Ave,Pittsburgh,PA,15202,40.4971622083202,-43.78550768255271,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36519,supermarkets
Food Shoppe,5878 Northumberland Street,Pittsburgh,PA,22079,40.4415613067987,-92.70757510034636,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36498,supermarkets
Shop 'n Save / Shaler,1620 Babcock Boulevard,Pittsburgh,PA,15209,40.4991465632107,-79.9789010794588,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,32725,supermarkets
Giant Eagle #61,2021 Wharton Street,Pittsburgh,PA,15203,40.4311319291128,-79.9766070844995,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38879,supermarkets
Safrans Market,429 Walnut Street,Sewickley,PA,15143,40.5410391195376,-80.1822622094134,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30265,supermarkets
T-Bones,100 VIP Drive,Wexford,PA,15090,40.6169113511392,-80.0924641751422,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,39139,supermarkets
Shop 'n Save #1076 Mt. Washington,125 Virginia Avenue,Pittsburgh,PA,15211,40.4294207827719,-80.0079707599967,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,37868,supermarkets
Shursave,4401 Liberty Avenue,Pittsburgh,PA,15224,40.4641309781166,-79.9520630304225,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38101,supermarkets
Shop 'n Save,4647 Buttermilk Hollow Road,West Mifflin,PA,15122,40.360992148186,-79.9065353115039,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35607,supermarkets
Giant Eagle #74,1165 McKinney Lane #100,Pittsburgh,PA,15220,21.15570040936546,-80.0350228161454,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-334851845940,supermarkets
