characteristic,sex,raceethnicity,yearvalue(long),earnings(double precision),standarderroronearnings(double precision),noteonearnings,countinthousands(double precision),standarderroroncountinthousands(double precision),noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,21330.0,439.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1914.0,67.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffzicient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,20880.0,387.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1899.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Femhale,"American Indian/Alaska Native, non-Hispanic",2002,21700.0,392.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,2028.0,56.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,19970.0,423.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1858.0,54.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,20580.0,663.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,2017.0,67.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,nFemale,"American Indian/Alaska Native, non-Hispanic",2005,19540.0,943.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,2145.0,70.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV is 50 percent or greater.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2006,20720.0,875.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,2077.0,76.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Femjale,"American Indian/Alaska Native, non-Hispanic",2007,21030.0,1284.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,2049.0,70.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,20220.0,1199.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1972.0,63.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,xFemale,"American Indian/Alaska Native, non-Hispanic",2009,17300.0,845.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1912.0,67.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,15710.0,746.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,2005.0,72.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Femael,"American Indian/Alaska Native, non-Hispaic",2011,15300.0,7.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,2136.0,74.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,15640.0,780.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,2252.0,70.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Naive, non-Hispanic",2000,24350.0,829.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,922.0,47.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2001,23340.0,826.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,920.0,38.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alabska Native, non-Hispanic",2002,24660.0,732.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1080.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Mamle,"American Indian/Alaska Native, non-Hispanic",2003,22470.0,936.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1008.0,40.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indiban/Alaska Native, non-Hispanic",2004,21970.0,1611.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1020.0,49.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2005,21350.0,1476.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1158.0,48.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2006,22750.0,476.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1150.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,22130.0,829.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1059.0,48.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Marle,"American Indian/Alaska Native, non-Hispanic",2008,21150.0,290.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1026.0,47.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2009,18850.0,1559.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,931.0,48.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,16700.0,1025.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1078.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Ndative, non-Hispanic",2011,16850.0,981.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1101.0,50.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native,non-Hispanic",2012,16550.0,1008.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1188.0,50.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,20000.0,434.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,992.0,48.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,19450.0,505.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,979.0,39.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,19150.0,604.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,947.0,39.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Femle,"American Indian/Alaska Naive, non-Hispanic",2003,18720.0,639.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,850.0,37.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
Total - Female,lFemale,"American Indian/Alaska Native, non-Hispanic",2004,19010.0,1358.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,997.0,44.0,Reporting standards not met. Eithe rthere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Femiale,"American India/nAlaska Native, non-Hispanic",2005,17620.0,611.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,987.0,46.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,17900.0,986.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,927.0,45.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
Total - Female,Femae,"Ameriacn Indian/Alaska Native, non-Hispanic",2007,19370.0,1504.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,990.0,47.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,17010.0,997.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,946.0,41.0,Reporting standards not met. Either there are toof ew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Femae,"merican Indian/Alaska Native, non-Hispanic",2009,16910.0,763.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,981.0,47.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,14240.0,971.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,927.0,42.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2011,13430.0,853.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1035.0,50.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Femmale,"American Indian/Alaska Native, non-Hispanic",2012,14840.0,452.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1064.0,52.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"White, non-Hispanic",2000,22520.0,575.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1252.0,54.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,21250.0,481.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,1219.0,44.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"White, non-Hispanic",2002,21700.0,551.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1369.0,46.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"White, non-Hispanic",2003,21220.0,491.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1254.0,44.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Female,"White, non-Hispanic",2004,20620.0,1219.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1338.0,54.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"White, non-Hispanic",2005,19930.0,702.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1401.0,58.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Female,"White, non-Hispanic",2006,22660.0,1512.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1359.0,64.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"White, non-Hispanic",2007,22140.0,597.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1321.0,61.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Female,"White, non-Hispanic",2008,20320.0,1211.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1260.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"White, non-Hispanic",2009,17120.0,912.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1248.0,57.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"White, non-Hispanic",2010,15750.0,569.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,1241.0,57.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
