characteristic,sex,raceethnicity,yearvalue(long),earnings(double precision),standarderroronearnings(double precision),noteonearnings,countinthousands(double precision),standarderroroncountinthousands(double precision),noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,20800.0,248.0,Reporting standards not met (too few cases for a reliable estimate).,4095.0,98.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2001,19450.0,234.0,Reporting standards not met (too few cases for a reliable estimate).,4117.0,80.0,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,19910.0,258.0,Reporting standards not met (too few cases for a reliable estimate).,3955.0,78.0,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,19970.0,220.0,Reporting standards not met (too few cases for a reliable estimate).,3971.0,79.0,Data not available.
Total,Femeale,"American Indian/Alaska Native, non-Hispanic",2004,19070.0,363.0,Reporting standards not met (too few cases for a reliable estimate).,4042.0,95.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Femae,"American Indian/Alaska Native, non-Hispanic",2005,19010.0,813.0,Reporting standards not met (too few cases for a reliable estimate).,3927.0,81.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,20070.0,558.0,Reporting standards not met (too few cases for a reliable estimate).,3939.0,91.0,Data not available.
Total,Femtale,"American Indian/Alaska Native, non-Hispanic",2007,19830.0,332.0,Reporting standards not met (too few cases for a reliable estimate).,3940.0,101.0,Data not available.
Total,Fmale,"American Indian/Alaska Native, non-Hispanic",2008,17370.0,845.0,Reporting standards not met (too few cases for a reliable estimate).,3831.0,93.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,17040.0,618.0,Reporting standards not met (too few cases for a reliable estimate).,3690.0,88.0,Reporting standards not met (too few cases for a reliable estimate).
Total,xFemale,"American Indian/Alaska Native, non-Hispanic",2010,15790.0,39.0,Reporting standards not met (too few cases for a reliable estimate).,3597.0,99.0,Reporting standards not met (too few cases for a reliable estimate).
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2011,16310.0,375.0,Reporting kstandards not met (too few cases for a reliable estimate).,3413.0,94.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,15930.0,398.0,Reporting standards not met (too few cases for a reliable estimate).,3488.0,86.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,24000.0,490.0,Reporting standards not met (oto few cases for a reliable estimate).,2379.0,75.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2001,22040.0,299.0,Reporting standards not met (too few cases for a reliable estimate).,2399.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Matle,"American Indian/Alaska Native, non-Hispanic",2002,21700.0,372.0,Reporting standards not met (too few cases for a reliable esimate).,2377.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
