rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
11,14435,11,329592162736099,276811583822236,3
17153,14435,11,276811583922268,276811584122232,2
11,14435,11,276811584222273,276811655722322,1
-10014,14435,11,215764624088585,276811655922322,2
11,14435,11,276811656022324,236419972151731,0
14,20122,14,160323507865861,277994269497590,3
14,20122,14,228443111904009,277994291197765,1
14,20122,14,277994291297640,378564217102266,2
-9941,20122,14,277994291397650,277994291397650,0
17735,20122,14,277994291497639,142090301359785,2
14,20122,14,298512297009986,336645333153337,0
-10204,20154,14,356036109307310,278361645621232,0
15,20532,15,276883623713290,276883728213486,1
15,20532,15,276883728313488,276884481913209,2
15,20532,15,276884482013208,276884482013208,3
15,20532,15,336923235443682,276884482413209,2
15,20532,15,190026349178727,276884504113338,1
15,20532,15,276884504213436,276884504213436,3
15,20532,15,276884504313286,276884504413290,0
17349,20532,15,276884504513287,168045581170569,2
15,20532,15,276884552413375,276884552913431,3
15,20532,15,276884553013475,204175693009327,2
15,20532,15,276884554813452,396982672205797,1
15,20532,15,276885303512783,222069513734182,2
20848,20532,15,198949801727040,276885304012827,0
15,20532,15,276885304112789,276885331412824,2
15,20532,15,276885331512824,276885331512824,3
15,20532,15,276885331612833,276885331612833,2
15,20532,15,276885331712847,276885337012879,3
15,20532,15,162876158249648,276885337112839,0
15,20532,15,276885337212878,276885910412781,2
15,20532,15,276885910512771,276885910512771,3
15,20532,15,266315270238311,276885910612784,2
15,20532,15,276885910712731,276885918212788,3
17153,20532,15,276885918312745,276885931012806,2
15,20532,15,276885931112768,276885931112768,3
15,20532,15,276885931212776,276885931212776,2
15,20532,15,217640657816235,276885965312819,1
15,20532,15,276885965412820,276885965412820,2
15,20532,15,377540833778984,276885965712859,3
15,20532,15,196725942322864,276885965812820,0
15,20532,15,276885965912820,276886016312898,2
15,20532,15,276886016412897,276886016412897,3
15,20532,15,276886016512914,203840613733256,2
15,20532,15,276886016712902,276886224313262,1
20900,20532,15,276886224413262,276886224413262,2
15,20532,15,346164541664094,276886230413223,3
15,20532,15,276886230513223,323163389436437,0
15,20532,15,276886230613223,276886710912795,2
15,20532,15,276886711012889,316036450323267,0
15,20532,15,276886711212846,285225234718027,2
15,20532,15,276886711312806,276886718712795,3
15,20532,15,276886718812798,276886718812798,0
15,20532,15,283718396236027,276886725912817,2
15,20532,15,215504845594270,276886726012816,3
15,20532,15,276886726112886,276886726412921,2
15,20532,15,379590022340544,276887379813593,1
-9641,20532,15,276887425659735,140622822786470,2
15,20532,15,276887553613558,276887553613558,0
15,20532,15,276887553713560,276887553813557,2
-9765,20532,15,276887553913558,276887605713639,1
15,20532,15,276887605813636,276887605813636,3
15,20532,15,201091858145991,255459580385397,2
16600,20532,15,276887984814073,276888619515211,1
15,20532,15,276888619615179,276888619615179,2
15,20532,15,276888619715222,276888632815116,3
15,20532,15,276888632915117,276889844214724,2
15,20532,15,276889844314718,276889844314718,0
15,20532,15,276889844414718,276889844714718,2
15,20532,15,276889844814715,276890249514853,1
-9771,20532,15,276890249614806,276890249614806,2
15,20532,15,276890249714809,276890249814845,0
22,22400,22,276274150891299,276274151091294,0
17286,22400,22,276274151191298,276274159591298,3
22,22467,22,277336287289184,277336287389201,0
22,22467,22,277336287489176,277336377889130,1
22,22467,22,277336377989156,277336378089144,0
23,22993,23,277047996302836,277048079802920,1
-10209,22993,23,277048079902877,407541289912611,2
23,22993,23,277048095302883,420751466721767,0
23,22993,23,277048096102883,277048106502974,3
23,22993,23,277048106602974,172190421495178,0
33,27001,33,277342622703094,277342622703094,0
33,27001,33,277342622803093,277342626303094,3
33,27001,33,277342626403096,277342626403096,0
33,27001,33,290696338023454,277343687503573,2
18488,27001,33,277343687603572,346918262550577,0
33,27001,33,361642328027564,277343800503572,1
33,27001,33,277343800603542,277343801403543,0
33,27001,33,277343801503576,259748981643630,3
33,27001,33,277343827603561,277343827603561,0
-9574,27094,33,383288263119657,278123634423224,3
33,27094,33,278123634523267,278123634523267,0
33,27094,33,278123634623221,278123854523161,1
33,27094,33,278123854623162,278123855023162,0
33,27094,33,353013222447951,278123869623089,2
33,27094,33,278123869723133,205578256581274,0
33,27094,33,324947916428042,278123873523135,3
30,25369,30,384995997012207,277499127671933,0
30,25369,30,277499127771985,277499133971944,3
30,25369,30,366175372288526,277499134071949,0
30,25369,30,277499134171948,306044947995383,2
30,25369,30,210816510361994,277499206272051,3
30,25369,30,277499206372000,272879985307123,1
30,25369,30,311178031490989,277499221072097,3
30,25369,30,277499221172025,277499221172025,0
30,25369,30,277499221272075,391310007331291,2
10,13826,10,277247519938894,374933383649804,0
10,13826,10,277247520038975,277247579138985,1
10,13826,10,277247579239034,277247579339050,2
21159,13826,10,277247579439020,277247587538995,3
10,13826,10,277247587638998,277247587638998,0
11,14427,11,367741997945030,351657824602830,1
11,14427,11,276476298545358,276476298645359,0
13,19428,13,277941083963820,277941084063794,0
13,19428,13,277941084163773,227239831500453,2
13,19428,13,277941084263772,277941090763768,3
19121,19428,13,277941090863767,277941091063788,0
13,19454,13,167501643577976,278534728678702,0
13,19454,13,278534728778729,278534728778729,2
13,19454,13,278534728878724,278534728878724,3
21219,19454,13,177419039796919,278534729078710,2
13,19454,13,278534729178707,278534747578713,1
13,19454,13,278534747678731,278534747678731,2
13,19454,13,278534747778704,278534747778704,3
13,19454,13,278534747878712,278534747878712,2
21100,19454,13,236412266988808,278534750378702,0
14,19946,14,276172930901021,276172938201030,3
17577,19946,14,276172938301028,276172938301028,0
14,20045,14,277128202329644,277128244729707,0
14,20100,14,277835180558063,277835192458021,0
15,20492,15,276233652671863,276233677872140,3
20487,20492,15,276233677972013,276233677972013,0
15,20492,15,276233678072015,276233685672037,2
15,20492,15,276233685772042,276233685772042,0
15,20492,15,276233685872180,276233685972037,2
16530,20492,15,348296146067996,223407134652249,1
15,20492,15,276233983171586,276233983171586,2
15,20492,15,276233983271791,276233983471674,3
21,22002,21,191974642457563,276888792287145,0
21,22002,21,276888792387147,190893930457558,3
21,22002,21,153687830032080,276888804087352,0
21,22092,21,277835324993019,277835325293015,0
21,22092,21,277835325393030,200828123747378,3
21,22092,21,277835331492949,277835331792899,0
22,22465,22,277325306670673,277325450470423,1
16439,22465,22,277325450570438,185798017264991,3
22,22465,22,339936731762492,277325463970430,0
22,22523,22,278180638812480,329262780216243,3
31,952189,31,278209015229393,278209015229393,0
31,952189,31,312957571801183,325769977429607,3
31,952189,31,331029285842567,278209015629437,0
31,952189,31,278209015729392,196068314521485,1
31,952189,31,278209064129420,278209064129420,0
31,952189,31,278209064229417,278209064429417,3
31,952189,31,278209064529417,278209064829416,0
22,22523,22,257465370702927,278180748612508,1
22,22523,22,278180748712511,278180748912548,0
22,22529,22,278292266969687,278292267169725,0
22,22529,22,278292267269681,278292350069634,1
17328,22529,22,278292350169637,278292350369643,3
22,22529,22,278292350469637,278294305568910,2
22,22529,22,278294305668944,173944757074258,1
22,22529,22,278294329669019,278294329868986,0
23,23005,23,277473437507394,408145724545869,1
23,23005,23,277473501707461,277473501907460,0
20522,23005,23,277473502007462,277473516407379,2
23,23005,23,277473516507379,277473517107426,0
23,23005,23,277473517207442,277473524607425,3
