table_id,table_name,col_id,col_name,cell_idx,cell_value,predicted,label
20,file_27,0,county,253,Richmond,-1,-1
20,file_27,0,county,321,Richmond,-1,-1
20,file_27,0,county,322,Richmond,-1,-1
20,file_27,0,county,323,Richmond,-1,-1
20,file_27,0,county,324,Richmond,-1,-1
20,file_27,0,county,325,Richmond,-1,-1
20,file_27,0,county,326,Richmond,-1,-1
20,file_27,0,county,327,Richmond,-1,-1
20,file_27,0,county,328,Richmond,-1,-1
20,file_27,0,county,329,Richmond,-1,-1
20,file_27,0,county,330,Richmond,-1,-1
20,file_27,0,county,331,Richmond,-1,-1
20,file_27,0,county,332,Richmond,-1,-1
20,file_27,0,county,333,Richmond,-1,-1
20,file_27,0,county,334,Richmond,-1,-1
20,file_27,0,county,335,Richmond,-1,-1
20,file_27,0,county,336,Richmond,-1,-1
20,file_27,0,county,337,Richmond,-1,-1
20,file_27,0,county,338,Richmond,-1,-1
20,file_27,0,county,339,Richmond,-1,-1
20,file_27,0,county,340,Richmond,-1,-1
20,file_27,0,county,341,Richmond,-1,-1
20,file_27,0,county,342,Richmond,-1,-1
20,file_27,0,county,345,Richmond,-1,-1
20,file_27,0,county,346,Richmond,-1,-1
20,file_27,0,county,347,Richmond,-1,-1
20,file_27,0,county,348,Richmond,-1,-1
20,file_27,0,county,349,Richmond,-1,-1
20,file_27,0,county,350,Richmond,-1,-1
20,file_27,0,county,351,Richmond,-1,-1
20,file_27,0,county,352,Richmond,-1,-1
20,file_27,0,county,353,Richmond,-1,-1
20,file_27,0,county,354,Richmond,-1,-1
20,file_27,0,county,355,Richmond,-1,-1
20,file_27,0,county,357,Richmond,-1,-1
20,file_27,0,county,358,Richmond,-1,-1
20,file_27,0,county,359,Richmond,-1,-1
20,file_27,0,county,360,Richmond,-1,-1
20,file_27,0,county,361,Richmond,-1,-1
20,file_27,0,county,362,Richmond,-1,-1
20,file_27,0,county,363,Richmond,-1,-1
20,file_27,0,county,364,Richmond,-1,-1
20,file_27,0,county,365,Richmond,-1,-1
20,file_27,0,county,366,Richmond,-1,-1
20,file_27,0,county,367,Richmond,-1,-1
20,file_27,0,county,368,Richmond,-1,-1
