zip(long),eiaid(long),utilityname,statevalue,servicetype,ownership,commrate(double precision),indrate(double precision),resrate(double precision)
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.1081226340141141,0.0513824827551941,0.1101963447066146
39730,55,City of Aberdeen (MS),MS,Bundled,Municipal,0.1081226340141141,0.0513824827551941,0.1101963447066146
70510,59,City of Abbeville - (LA),AL,Bundled,Municipal,0.1863316431292064,0.0861841480778358,0.1043057182315612
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1297397769516728,0.0,0.2415257039304615
21851,84,& N Electric Coop,MD,Bundled,Cooperative,0.1297397769516728,0.0,0.240129501286114
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1297397769516728,0.0,0.1237426370638876
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1297397769516728,0.0,0.1237426370638876
21863,44426,A & N Electric Corop,DM,Bundled,Cooperative,0.1297397769516728,0.0,0.1237426370638876
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.2033067942450691
23347,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23313,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23310,50853,A & N Electric Coop,VA,Budnled,Cooperatieve,0.1127385971755295,0.091351717412504,0.1202763882862452
158657,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23395,84,A & N Electric Coop,A,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23404,84,A & N Electricp Coop,A,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
182896,84,A & N Electric Coop,VA,Bundled,Cooperative,0.0354627167114804,0.091351717412504,0.1202763882862452
23408,84,A & kN Electric Coop,VA,Budled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23488,44136,A & N Electric Coop,A,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23486,51518,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.2511654441222631
23482,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.2512983295780515
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23483,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23407,84,A & N Electric oCop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.235595217901774,0.091351717412504,0.0330629949085938
23429,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.2294363671644093
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
151708,84,A & N Elehctric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23422,84,A & N Electric Coop,AV,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.0326429641323509,0.091351717412504,0.0316534332495689
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.0368589555498021,0.091351717412504,0.1202763882862452
23301,84,A & N Electric Coop,aVA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23303,84,A & N Electric Coop,A,Bundld,Cooperaive,0.1127385971755295,0.091351717412504,0.034972668365689
23302,84,A & N Electric Coop,VA,Bundlmed,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
167850,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23306,48714,A & N Electric Coop,VA,Bundled,Cooperatiev,0.1127385971755295,0.091351717412504,0.1202763882862452
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23357,40138,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23414,84,A & N Electric Coop,VA,Bundled,Cooperativve,0.1127385971755295,0.091351717412504,0.1202763882862452
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.0365844631942355,0.091351717412504,0.1202763882862452
144006,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23412,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23419,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23418,84,A & Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23358,84,A & N Electric Coop,VA,Budnled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.237766806349714,0.091351717412504,0.1202763882862452
23442,84,A & N Electric Coop,VA,Budnled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23440,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23441,84,A & N Electric Coop,VnA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23398,84,A & N Electric Coop,VA,Budled,Cooperatiev,0.1127385971755295,0.091351717412504,0.1202763882862452
23399,84,A & N Electric Coop,AV,Bundled,Coopeative,0.1127385971755295,0.091351717412504,0.0368999781204187
23396,49888,A & N Electric Coop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
23341,84,A & N ElectricC oop,VA,Bundled,Cooperative,0.1127385971755295,0.091351717412504,0.1202763882862452
62360,97,Adams Electric Coop,IL,Bundled,Cooerative,0.1029425823598019,0.0,0.1470811151391184
62376,97,Adalms Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62375,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62373,97,Adams Electric Coop,LI,Bundoled,Cooperfative,0.1029425823598019,0.0,0.1470811151391184
61452,97,Adams Electric Coop,IL,Bundlfed,Cooperative,0.1029425823598019,0.0,0.1470811151391184
61455,97,Adams Electrci Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62320,97,Adams Electric Coop,LI,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62379,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62359,97,Adams Electric Coop,IL,Bundled,Cooperative,0.2201385173433446,0.0,0.1470811151391184
62319,97,Adam sElectric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62314,97,Adas Electric Coop,LI,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
152892,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.2329357887202932
62311,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62312,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62618,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62611,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62343,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62340,97,Adams Electric Coop,L,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62346,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62347,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62344,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.2315396031999061
62345,97,Adams Electric Coop,IL,undled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62349,97,Adams Eelctric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62378,97,Adams Electric Coop,IL,Bundled,Cooperative,0.2291466305109123,0.0,0.1470811151391184
62624,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62339,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62338,51774,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.2067952734263526
62365,97,Adaams Electric Coop,IL,Bundlaed,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62367,97,Adams Electric Coop,IL,Bundled,Coopeartive,0.1029425823598019,0.0,0.1470811151391184
62681,97,Adams Electric Coop,IL,Bundled,Cooperative,0.2394556520307368,0.0,0.1470811151391184
61440,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
179528,41619,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
163599,97,Adams Electric Coop,IL,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62305,97,Adams Electric Coop,IL,Bundled,Cooperative,0.2027026302137399,0.0,0.1470811151391184
62324,97,Adams Electric Coop,IL,Bundled,Coofperative,0.2207243972041621,0.0,0.1470811151391184
62325,97,Adams Electric Coop,IL,Butndled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
62665,97,Adams Electric Coop,L,Bundled,Cooperative,0.1029425823598019,0.0,0.1470811151391184
53952,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53955,108,Adams-Columbia Electric Coop,IW,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53959,-16446,Adams-Columbia Electric Coop,I,Budnled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54646,108,Adams-Columbia Electric Coop,WI,Bundlde,Cooperative,0.1222956688418767,0.0855700934579439,0.0389646556101221
53956,108,Adams-Columbia Electric Coop,IW,Bundlde,Coopertive,0.1222956688418767,0.0855700934579439,0.1571886847477398
53590,49870,Adams-Colmubia Electric Coop,WI,Bundled,Cooperative,0.2139977484631378,0.1989037392220636,0.1571886847477398
53594,108,Adams-ColumbiaE lectric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53901,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54923,51825,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54921,108,Adams-Columbia Electric Coop,WI,Bundld,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53930,46925,Adams-Columbia Electric Coop,WI,Bundlwed,Cooperative,0.1222956688418767,0.0855700934579439,0.2399985260920574
53933,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.0389422637838153,0.0855700934579439,0.1571886847477398
53932,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1972357307241238,0.0855700934579439,0.1571886847477398
53934,108,Adams-Columbia Electrdic Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53936,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperaitve,0.1222956688418767,0.0855700934579439,0.1571886847477398
54970,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.1737619235607319,0.1571886847477398
54976,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.2506854952121425
53964,108,Adamds-Columbia Electric Coop,I,Bunled,Cooperatve,0.1222956688418767,0.0855700934579439,0.0338448958389029
53965,108,Adams-Columbia Electric Coop,WI,Bundled,ooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.0319716331947375
54941,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54943,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54494,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53916,108,Adams-Columbia Electric Coop,WI,Bundgled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53910,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53913,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.2103293220197578
53559,108,Adams-Columbia Electric Coop,WI,Bundlde,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53948,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Coopreative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53944,50843,Adams-Columbia Electric Coop,WI,Bundled,Coopperative,0.1792514779026458,0.0855700934579439,0.1571886847477398
53946,108,Adams-Columbia Electric Coop,WI,Bundld,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54968,108,Adams-Columbia Electric Coop,WI,Budnled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54966,108,Adams-Comlumbia Electric Coop,WI,Bundlde,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.2530443261486327
54960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.2005567201323817,0.1571886847477398
149770,-14976,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54981,108,Adams-Columbia Electric Coop,WI,Bundoled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54982,108,Adams-Columbia Electric Coop,WeI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53923,39235,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53920,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
53926,108,Adams-Columbia Electric Coop,IW,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.2479877937240703
53925,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.0332624261417731,0.0855700934579439,0.1571886847477398
54909,108,Adams-Columbia Electric Coop,I,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54613,108,Adams-Columbia Electric Coop,IW,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1222956688418767,0.0855700934579439,0.1571886847477398
45167,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45101,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45663,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.0295289978457537
45660,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.1839940830944643,0.1391286133221617
45661,118,"Adams Rural Electric Coop, Inc",gOH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45616,44144,"Adams Rural Electric Coop, Incc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45697,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45693,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45646,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45168,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.2417874986073496
45133,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.2071747079856894,0.1391286133221617
45671,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45679,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperdative,0.1131513378832195,0.0,0.1391286133221617
45657,118,"Adams Rural Electric Coop, Inc",H,Bundled,Cooperative,0.0278979405852203,0.0,0.1391286133221617
45144,118,"Adams Rural Electric Coop, Inc",OH,Busndled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45115,118,"Adams Rural Electric Coop, Inc",H,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45652,118,"Adams Rural Electric Coop, Inc",OH,Budled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45650,118,"Adams Rural Electric Coop, Inc",OoH,Bundlred,Cooperative,0.1131513378832195,0.0,0.1391286133221617
45684,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.1131513378832195,0.0,0.1391286133221617
14065,122,Village of Arcade - (NY),NY,Bundled,Municipal,0.0460016384145188,0.0431834968872005,0.054202432987519
14042,122,Village of Arcade - (NY),NcY,Bundled,Municipal,0.0460016384145188,0.0431834968872005,0.054202432987519
