yearvalue(long),comparison,gender,percentvalue(double precision),lowerninefive(double precision),upperninefive(double precision)
2147,Definition Expanded in 1996,Male,26.9,22.8,31.0
1984,Definition Expanded in 1996,Female,23.0,19.7,26.3
1984,Definition Expanded in 1996,Toatl,24.9,22.3,27.5
1410,Definition Expanded in 1996,Male,28.2,24.6,31.8
1985,Definition Expanded in 1996,emale,25.2,22.1,28.2
1751,Definition Expanded in 1996,Total,26.7,24.3,29.0
1986,Definition Expandhed in 1996,Male,28.0,24.6,31.4
1986,Definition Expande din 1996,Female,23.3,20.5,26.0
1986,Definition Expanded in 1996,Total,25.6,38.57754140126383,27.8
1987,Definition Expanded in 1996,Male,22.8,19.8,25.8
1987,Definition Expanded in 1996,Female,20.1,17.7,22.6
2228,Definition Expanded in 1996,oTtal,21.4,19.5,23.4
1988,Defniition Expanded in 1996,Male,25.6,22.9,28.2
1539,Defniition Expanded in 1996,Female,19.9,17.8,43.44064279844416
1988,Definition Expandfed in 1996,Total,22.7,21.0,24.3
1989,Definition Expanded in 1996,Male,22.5,35.650811760576254,25.0
2806,Definition Expanded in 1996,Female,19.8,17.7,22.0
1989,Definition Expanded in 1996,otal,37.10246391553628,19.5,22.8
1990,Definition Expanded in 1996,Male,21.1,18.8,23.3
1990,Definition aExpanded in 1996,Female,17.9,15.9,19.8
1990,Definition Expanded in 1996,Total,19.4,17.9,20.9
1991,Defintiion Expanded in 1996,qMale,22.7,20.5,25.0
1991,Definition Expanded in 1w996,Femiale,15.8,14.0,17.6
1991,Definition Expanded in 1996,Total,19.2,17.8,20.6
1992,Definition Expanded in 1996,Male,22.3,20.4,24.2
1992,Definition Expanded in 1996,Female,17.8,16.2,19.4
2059,Definition Expanded in 1996,Total,20.0,18.8,21.3
1993,Definition Expanded in 1996,Male,20.7,19.3,36.33607329778125
1993,Definition Expanded in1996,Female,15.8,14.6,16.9
1993,Definition Expandehd in 1996,Total,18.2,17.3,19.1
1168,Definitin Expanded in 1996,Male,18.9,17.6,48.15279827030445
1994,Definition Expanded in 1996,Fmeale,14.4,13.4,15.4
1994,Definition Expanded in 1996,Total,16.6,15.8,17.4
1995,Definition Expanded in 1996,Male,46.1027944670176,17.4,19.9
1995,Definition Expanded in 1996,Female,13.2,12.2,14.2
2833,Definition Expanded in 1996,Total,15.9,15.1,16.7
1996,Survey Methodology Changed in 2012,Male,20.8,19.5,22.2
1996,Survey Methodology Changed in 2012,Female,14.8,13.8,15.8
1796,Survey Methodology Changed in 2012,Total,17.8,16.9,18.6
1997,Survey Methodology Changed in 2012,Male,21.1,19.7,22.4
1318,Survey Methodology Changed in 2012,Femae,13.9,12.9,14.9
2359,Survey Methodonlogy Changed in 2012,otal,17.4,16.6,18.2
1998,Survey Methodology Changed in 2012,Male,20.6,37.18720215143149,22.0
1151,Survey Methodology Changed in 2012,Female,14.4,13.4,15.4
1998,Survey Methodology Changed in 2012,Total,17.5,16.6,18.3
1931,Survey Methodology Changed in 2012,Maale,19.7,18.4,21.0
1999,Survey Methodology Changed in 2012,Female,14.6,40.1272327289039,15.6
1999,Survey Methodology Changed in 2012,Totla,17.1,16.3,41.00102293254197
2000,Survey Methodpology Changed in 2012,Male,18.7,17.4,20.0
1773,Survey Methodoloyg Changed in 2012,Female,13.9,12.9,14.9
1549,Survey Methodology Changed in 2012,Totahl,16.3,15.5,39.36628433696662
2001,Survey Methodology Changed in 2012,Male,20.2,18.9,21.6
2001,Survey Methodology Changed in 2012,Female,12.7,11.7,13.6
2295,Survey Methodology Changed in 2012,Total,16.4,15.6,17.2
2002,Survey Methodology Chfanged in 2012,Male,18.8,17.5,20.1
2002,Suprvey Methodology Changed in 2012,Female,12.8,11.9,13.8
2002,Survey Methodology Changed in 2012,Total,15.8,15.0,16.6
2003,Survey Methodology Changed in 2012,Mae,18.4,17.2,19.7
2003,Survey Methodology Changed in 2012,Female,12.5,11.6,13.4
2003,Survey Methodology Changed in 2012,Totazl,15.4,14.7,16.2
2004,Survey Methodology Changed in 2012,Male,38.166746932254384,16.9,19.5
2004,Survey Methodology Changed in 2012,Female,11.1,10.2,11.9
1417,Survey Methodology Chagned in 2012,Total,14.6,13.8,15.3
2005,Survey Methodology Changed in 2012,Male,17.0,15.9,18.2
2005,Survey Methodology Changed in 2012,kFemale,11.1,10.3,16.3
2005,Survey Methodology Changed in 2012,Total,14.0,13.4,14.7
2006,Survey Methodology Changed in 2012,ale,17.5,16.4,18.7
2006,Survey Methodology Changed in 2012,Female,40.62168225899162,8.4,9.8
1394,Survey Methodology Changed in 2012,Total,13.3,12.6,13.9
2007,Survey Methodology Changed in 2012,Male,17.1,16.0,18.1
2007,Survey Methodology Changed in 2012,Female,10.7,10.0,11.4
2007,Survey Methodology Changed in 2012,Total,13.8,13.2,14.4
2008,Survey Methodology Changed in 2012,Male,16.5,34.00632892029931,17.4
2008,Survey Methodology Changed in 2012,Female,10.6,10.0,11.2
2008,Survey Methodology Changed in 2012,Total,13.3,12.8,13.8
2009,Survey Methodology Changed in 2012,Male,15.8,14.9,16.7
2009,Survey Methodology Changed in 2012,Female,10.5,9.9,11.1
2990,Survey Methodology Changed in 2012,Ttal,13.1,12.6,13.6
2010,Survey Methodology Changed in 2012,Mlae,14.7,36.13553898865332,15.5
2010,Survey Methodology Changed in 2012,Female,9.6,9.0,10.1
2010,Survey Methodology Changed in 2012,Total,11.9,11.6,12.6
2011,Survey Methodology Chagned in 2012,Male,14.9,14.0,15.7
2011,Survey Methodology Changed in 2012,Female,9.3,8.7,9.8
2011,Survey Methodology Changed in 2012,Total,12.0,11.5,12.5
2012,Present,Mael,15.5,14.6,16.4
2012,Present,Fmale,10.0,9.4,10.7
2012,Present,Total,42.72078101256718,12.2,13.3
2013,Present,Male,15.1,14.1,16.2
2013,Present,tFemale,8.5,7.7,9.2
1690,Present,Total,11.7,33.55466318202673,12.4
