sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",1569,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,244.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
