OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,NHD_BASIN,CT_LAKE_ID,CLASS_ID,CLASS_NAME,ACRES,CYCLE_LAST_ASSESSED,AQUATIC_LIFE_ATTAINMENT_CODE,AQUATIC_LIFE_ATTAINMENT,RECREATION_ATTAINMENT_CODE,RECREATION_ATTAINMENT,FISH_CONSUMPTN_ATTAINMENT_CODE,FISH_CONSUMPTION_ATTAINMENT,DRINKING_WATER_ATTAINMENT_CODE,DRINKING_WATER_ATTAINMENT,IMPAIRED,Shape__Area,Shape__Length
1,2016,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.",70.53,ACRES,FRESHWATER LAKE,01100004,1148,49,Inland Surface Waters Class B,70.53,2006,N,Not Supporting,N,Not Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,3072259.65930176,11639.4607225449
6,2016,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",2.74,ACRES,FRESHWATER LAKE,01100006,2381,49,Inland Surface Waters Class B,2.74,2006,N,Not Supporting,X,Unassessed,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,119447.385192871,3245.84224236113
7,2016,CT8104-00-2-L5_01,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,85.9,ACRES,FRESHWATER LAKE,02030101,1756,50,Inland Surface Waters Class AA,85.9,2006,N,Not Supporting,N,Not Supporting,F,Fully Supporting,X,Unassessed,Yes,3741697.38323975,11258.4021938887
8,2016,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",95.56,ACRES,FRESHWATER LAKE,01100006,2334,50,Inland Surface Waters Class AA,95.56,2006,N,Not Supporting,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Yes,4162510.79046631,14645.9219289646
10,2016,CT7103-00-2-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",15.79,ACRES,FRESHWATER LAKE,01100006,2798,48,Inland Surface Waters Class A,15.79,2006,N,Not Supporting,X,Unassessed,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,687951.067810059,4462.58250700232
11,2016,CT7103-00-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",4.97,ACRES,FRESHWATER LAKE,01100006,2759,49,Inland Surface Waters Class B,4.97,2014,F,Fully Supporting,X,Unassessed,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,216249.04095459,3312.56720848001
14,2016,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).",21.58,ACRES,FRESHWATER LAKE,01100004,456,48,Inland Surface Waters Class A,21.58,2006,N,Not Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,940092.739685059,4467.48722353844
15,2016,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.",22.92,ACRES,FRESHWATER LAKE,01100004,1635,48,Inland Surface Waters Class A,22.92,2006,N,Not Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,998367.83996582,4155.48366401178
16,2016,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.",2.72,ACRES,FRESHWATER LAKE,01100004,823,48,Inland Surface Waters Class A,2.72,2006,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,118638.844787598,1654.87117050694
17,2016,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,189.28,ACRES,FRESHWATER LAKE,01100001,3467,49,Inland Surface Waters Class B,189.28,2008,N,Not Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,8245167.04309082,24334.3122219758
30,2016,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.",580.57,ACRES,FRESHWATER LAKE,01100005,1554,49,Inland Surface Waters Class B,580.57,2014,F,Fully Supporting,N,Not Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,25289589.4596558,72327.8061340757
34,2016,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast section of Woodstock.,96.38,ACRES,FRESHWATER LAKE,01100001,2465,50,Inland Surface Waters Class AA,96.38,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,X,Unassessed,Yes,4198419.69787598,10217.3549885235
45,2016,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",308.86,ACRES,FRESHWATER LAKE,01100001,69,49,Inland Surface Waters Class B,308.86,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,13453792.1264038,64711.4490705193
47,2016,CT3805-00-3-L7_01,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",57.2,ACRES,FRESHWATER LAKE,01100002,3352,49,Inland Surface Waters Class B,57.2,2006,N,Not Supporting,X,Unassessed,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,2491844.77581787,14935.9782479158
54,2016,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.",112.42,ACRES,FRESHWATER LAKE,01100003,33,50,Inland Surface Waters Class AA,112.42,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,X,Unassessed,Yes,4897161.93151855,13730.4604963511
58,2016,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49.  Headwaters of Wyassup Brook.",98.94,ACRES,FRESHWATER LAKE,01090005,3586,48,Inland Surface Waters Class A,98.94,2014,F,Fully Supporting,N,Not Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,4309780.11901855,13629.4506635298
61,2016,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",339.25,ACRES,FRESHWATER LAKE,01100005,1554,49,Inland Surface Waters Class B,339.25,2014,F,Fully Supporting,N,Not Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,14777856.5875244,60747.8782723668
66,2016,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",29.59,ACRES,FRESHWATER LAKE,01100003,743,48,Inland Surface Waters Class A,29.59,2014,X,Unassessed,X,Unassessed,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,1288826.92077637,5134.89383571494
88,2016,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris",955.45,ACRES,FRESHWATER LAKE,01100005,110,50,Inland Surface Waters Class AA,955.45,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,X,Unassessed,Yes,41619104.592041,49683.9265269753
89,2016,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington. Headwaters of East Aspetuck River. Includes Lake Waramaug State Park.",640.81,ACRES,FRESHWATER LAKE,01100005,1544,48,Inland Surface Waters Class A,640.81,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,27913623.9884644,48901.5422399961
92,2016,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook, Kent.",65.66,ACRES,FRESHWATER LAKE,01100005,1172,48,Inland Surface Waters Class A,65.66,2008,N,Not Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,2860026.72747803,9102.20490686439
99,2016,CT6916-00-3-L4_01,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",25.77,ACRES,FRESHWATER LAKE,01100005,1281,48,Inland Surface Waters Class A,25.77,2008,X,Unassessed,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,1122637.76074219,9200.12640639479
100,2016,CT6402-00-1-L1_01,Ball Pond (New Fairfield),New Fairfield,80.7,ACRES,FRESHWATER LAKE,01100005,100,50,Inland Surface Waters Class AA,80.7,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,X,Unassessed,Yes,3515310.78204346,9286.3574751367
102,2016,CT6600-01-1-L3_01,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",56.75,ACRES,FRESHWATER LAKE,01100005,1509,50,Inland Surface Waters Class AA,56.75,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Yes,2472100.46374512,8916.19982310384
