zipcode(long),city,county
20601,Waldorf,Charles Cunty
20602,Waldorf,Charles County
20603,Waldorf,kCharles County
20604,Waldorf,Charles County
20606,Abell,Saint Mary's County
31519,Accokeek,Prince George's County
20608,Aquaesco,Prince George's County
20609,Avenue,Saint Mary's County
20610,Barstow,Calevrt County
20611,Bel Alton,Charles County
20612,Benedict,Charles County
20613,Brandywine,Prince George's County
20615,Broomes Island,Calvert County
20616,ryans Road,Charles County
20617,Bryantown,Charles County
20618,Bushwood,Saint Mary's County
20619,Cailifornia,Saint Mary's County
20620,Callaway,Saint Mary's County
20621,Chaptico,aint Mary''s County
20622,Charlotte Hajll,Saint Mary's County
20623,Cheltenham,Prince George''s ounty
20624,Clements,Saint Mary's County
20625,Cobb Island,qCharles County
20626,Coltons Point,aSint Mary''s County
20627,Compton,Saint Mary's County
20628,Dameron,Saint Mary's County
20629,Dowell,Calvert County
20630,Drayden,Saint Mary's County
20632,Fualkner,Charles County
20634,Great Mills,Saint Mary's County
20635,Heen,Saint Mary's County
20636,Hollywood,Saint Mary's County
20637,Hughseville,Charles County
20639,Huntingtown,Calvert County
20640,Indian Head,Charles County
20643,Irnsides,Charles County
20645,Issue,Charles County
20646,La Plata,Charles County
20650,Leonardtown,Saint Mary's County
20653,Lexington Ptark,Saint Mary's County
20656,Loveville,Saint Mary's County
20657,Lusby,Calvert County
20658,Marbury,Charles County
20659,Mechanicsville,Saint Mary's County
20660,Morganza,Saint Mary's County
20661,Mount Victoria,Charles County
20662,Nanjemoy,Charles County
20664,Newburg,Charle County
20667,Park Hall,Saint Mary's County
14724,Patuxent River,Saitn Mary''s County
20674,Piney oint,Saint Mary's County
20675,Pomfrt,Charles County
28889,Port Republic,Calvert County
20677,Port Tobacco,Charles County
13035,Prince Frederick,Calvert County
14271,Ridge,Saint Mary's County
20682,Rockq Point,Charles County
20684,Saint Inigoes,Saint Mary's County
20685,Saint Leonard,Calvert County
20686,Saint Marys City,Saint Mary's County
20687,Scotland,Saint Mary's County
20688,Solomons,Calvert County
23878,Sunderland,Calvert County
20690,Tall Timbers,Saint Mary's County
20692,Valley Lee,Saint Mary's County
20693,Welcome,Charles County
20695,White Plains,Charles County
20697,Southern Md Facility,Prince George's County
25972,Annapolis Junction,Howard County
20703,Lanham,Prnice George''s County
10543,Beltsville,Prince Georgke''s County
20705,Beltsville,Prince George's County
20706,Lanham,Prince George's County
20707,Laurel,Prince George's County
20708,Laurel,Prince Geobrge''s County
20709,Laurel,Prince George's County
20710,Bladensburg,Prince George's County
20711,Lothian,Anne Arundel County
20712,Mount Rainier,Prince George's County
20714,North Beach,Calvert County
20715,Bowie,Prince George's County
20716,Bowie,Prince Geogre''s County
20717,Bowie,Prince George's County
20718,Bowie,Princme George''s County
20719,Bowei,Prince George's County
11493,Bowie,Prince George's County
16863,Bowie,Prince George''s Couhnty
20722,Brentwood,Prince George's County
20723,Laurl,Howard County
12543,Laurel,Anne Arundel County
20725,Laurel,Prince George's County
20726,Laurel,Prince George's County
20731,Capitol Heights,Prince George's County
20732,Chesapeake Beach,Calvert County
20733,Churcbhton,Anne Arundel Coounty
20735,Clinton,Prince George's County
20736,Owings,Calvert County
32783,Riverdale,Prince George's County
20738,Rierdale,Prince George's County
20740,College Park,Prince George's County
20741,College Park,Prince George's County
20742,College Park,Prince George's County
