region,region_code,period,tot_e_Rx,tot_e_Rx_thru_ehr,tot_e_Rx_thru_stand_alone,tot_primary_care_e_Rx,tot_non_primary_care_e_Rx,tot_nurse_prac_e_Rx,tot_phys_asst_e_Rx,pct_new_renewal_e_Rx,tot_med_hist_reqs,tot_med_hist_req_resps,pct_pharm_enabled,pct_pharm_e_Rx
National,US,2008,,,,,,,,0.04,,,,
National,US,2009,,,,,,,,0.11,,,,
National,US,2010,,,,,,,,0.19,,,,
National,US,2011,,,,,,,,0.32,,,,
National,US,2012,,,,,,,,0.52,,,,
National,US,2013,,,,,,,,0.57,,,,
National,US,2008-12,74478,52947,19182,32362,33445,6953,3170,,,,0.76,0.69
National,US,2009-01,81264,58320,20611,,,,,,,,,0.7
National,US,2009-02,88050,63693,22040,,,,,,,,,0.71
National,US,2009-03,94836,69066,23469,,,,,,,,,0.72
National,US,2009-04,101622,74439,24898,,,,,,,,,0.73
National,US,2009-05,108408,79812,26327,,,,,,,,,0.74
National,US,2009-06,115194,85185,27756,,,,,,,,,0.74
National,US,2009-07,121980,90558,29185,,,,,,,,,0.75
National,US,2009-08,128766,95931,30614,,,,,,,,,0.76
National,US,2009-09,135552,101304,32043,,,,,,,,,0.77
National,US,2009-10,142338,106677,33472,,,,,,,,,0.78
National,US,2009-11,149124,112050,34901,,,,,,,,,0.79
National,US,2009-12,155907,117418,36325,66375,84369,15264,8055,,,,0.84,0.8
National,US,2010-01,161340,122088,37070,,,,,,,,,0.81
National,US,2010-02,166773,126758,37815,,,,,,,,,0.81
National,US,2010-03,172206,131428,38560,,,,,,,,,0.82
National,US,2010-04,177639,136098,39305,,,,,,,,,0.82
National,US,2010-05,183072,140768,40050,,,,,,,,,0.83
National,US,2010-06,188502,145436,40793,81514,104838,19795,10623,,15838320,14311647,0.86,0.83
National,US,2010-07,196045,151803,41980,,,,,,,,,0.84
National,US,2010-08,203588,158170,43167,,,,,,,,,0.84
National,US,2010-09,211131,164537,44354,,,,,,,,,0.85
National,US,2010-10,218674,170904,45541,,,,,,,,,0.85
National,US,2010-11,226217,177271,46728,,,,,,,,,0.86
National,US,2010-12,233760,183634,47913,98920,132076,25712,13374,,23441394,20989258,0.89,0.87
National,US,2011-01,241773,190452,49079,93844,129486,27301,13687,,21706204,19282377,0.9,0.88
National,US,2011-02,250985,197963,50809,105255,142619,28211,14738,,23146944,19886855,0.9,0.87
National,US,2011-03,262580,206308,54064,108054,151374,28663,15208,,27547279,24112623,0.9,0.88
National,US,2011-04,277803,219788,55858,111362,163249,30731,16540,,25208238,22439129,0.91,0.89
National,US,2011-05,302482,235480,64834,117410,181577,32746,17949,,27607243,24791972,0.91,0.9
National,US,2011-06,343830,260998,80641,127213,212298,35791,20098,,31308741,27255843,0.92,0.9
National,US,2011-07,338339,262797,73343,126238,205417,35839,19917,,28870989,26177827,0.92,0.9
National,US,2011-08,348608,275004,71338,125480,202853,35468,19685,,33403554,29851740,0.92,0.91
National,US,2011-09,357400,285216,69858,132005,216116,37767,20952,,32498789,28691583,0.92,0.91
National,US,2011-10,370357,297019,70865,135486,224663,38792,21622,,32648354,29056720,0.93,0.91
National,US,2011-11,382202,308852,70790,139343,232103,40073,22374,,32568208,28946239,0.93,0.92
National,US,2011-12,390486,315968,71932,142008,237152,40996,22998,,37205524,33726350,0.93,0.92
National,US,2012-01,395299,323390,69478,143832,239509,41761,23440,,38554652,34869547,0.93,0.92
National,US,2012-02,401572,330616,68558,146307,242697,42863,23896,,37811972,34314599,0.93,0.93
National,US,2012-03,409767,338412,68987,148971,247722,43951,24554,,40864399,37390208,0.93,0.93
National,US,2012-04,418478,346745,69363,151666,253207,45065,25294,,40218628,36792357,0.94,0.93
National,US,2012-05,429912,356845,70237,155113,260549,46008,26017,,43149484,40159468,0.94,0.93
National,US,2012-06,442770,367846,71806,158372,269224,47540,26914,,42040983,39117822,0.94,0.94
National,US,2012-07,445015,375117,66903,158478,266805,48223,27175,,45016237,41482566,0.94,0.94
National,US,2012-08,456442,388862,64527,161280,272474,49431,27939,,50532313,46195435,0.95,0.94
National,US,2012-09,465817,399576,63024,163908,277671,50270,28426,,48446690,44311640,0.95,0.94
National,US,2012-10,477824,410844,63526,166841,285011,51368,29262,,62225881,55717612,0.94,0.95
National,US,2012-11,484522,417714,63110,168724,288706,52268,29757,,54728625,49728768,0.94,0.95
National,US,2012-12,489415,423123,62694,170446,291094,52993,30126,,55038207,49716507,0.94,0.95
National,US,2013-01,496496,430596,61815,172291,295049,54004,30745,,60647481,54151922,0.94,0.95
National,US,2013-02,503383,440238,60680,174308,298654,55011,31391,,61778473,54586315,0.94,0.95
National,US,2013-03,507994,445746,59788,175484,301409,55657,31838,,58557769,52681896,0.94,0.95
National,US,2013-04,515416,453141,59778,177466,305658,56712,32481,,61996776,55329807,0.95,0.96
National,US,2013-05,520954,459868,58462,179233,308503,57281,32956,,58870738,55176145,0.95,0.96
National,US,2013-06,527370,470110,54382,181034,312025,58185,33530,,60052742,56151728,0.95,0.96
National,US,2013-07,531843,477332,51185,181128,309517,59171,34008,,64786438,60473063,0.96,0.95
National,US,2013-08,540126,485870,49990,201856,336296,64295,36899,,66624523,62104518,0.96,0.95
National,US,2013-09,550441,499881,47119,205132,343478,65903,37674,,61989325,57689515,0.96,0.95
National,US,2013-10,558358,507571,46829,207373,348368,66975,38314,,68035616,63605406,0.96,0.95
National,US,2013-11,560946,511585,45352,208194,349403,67737,38482,,57882186,54171251,0.96,0.95
National,US,2013-12,566115,516898,44890,209831,352243,68537,39161,,60268708,56430691,0.96,0.95
National,US,2014-01,570245,522003,44079,211268,354239,69267,39573,,58809533,54556638,0.96,0.95
National,US,2014-02,573398,525654,42738,216235,356334,71058,40691,,44706804,40562454,0.96,0.95
National,US,2014-03,578237,527713,41965,218025,358981,72321,41242,,49574925,43277741,0.96,0.95
National,US,2014-04,582397,533639,40528,218703,361981,73231,41725,,52048036,44922064,0.96,0.95
Alaska,AK,2008,,,,,,,,0.02,,,,
Alaska,AK,2009,,,,,,,,0.08,,,,
Alaska,AK,2010,,,,,,,,0.13,,,,
Alaska,AK,2011,,,,,,,,0.23,,,,
Alaska,AK,2012,,,,,,,,0.33,,,,
Alaska,AK,2013,,,,,,,,0.48,,,,
Alaska,AK,2008-12,113,96,17,72,26,15,12,,,,0.78,0.71
Alaska,AK,2009-01,126,107,19,,,,,,,,,0.73
Alaska,AK,2009-02,139,118,21,,,,,,,,,0.74
Alaska,AK,2009-03,152,129,23,,,,,,,,,0.75
Alaska,AK,2009-04,165,140,25,,,,,,,,,0.76
Alaska,AK,2009-05,178,151,27,,,,,,,,,0.77
Alaska,AK,2009-06,191,162,29,,,,,,,,,0.78
Alaska,AK,2009-07,204,173,31,,,,,,,,,0.79
Alaska,AK,2009-08,217,184,33,,,,,,,,,0.8
Alaska,AK,2009-09,230,195,35,,,,,,,,,0.81
Alaska,AK,2009-10,243,206,37,,,,,,,,,0.82
Alaska,AK,2009-11,256,217,39,,,,,,,,,0.83
Alaska,AK,2009-12,280,235,45,180,90,36,25,,,,0.89,0.83
Alaska,AK,2010-01,290,244,46,,,,,,,,,0.85
Alaska,AK,2010-02,300,253,47,,,,,,,,,0.85
Alaska,AK,2010-03,310,262,48,,,,,,,,,0.86
Alaska,AK,2010-04,320,271,49,,,,,,,,,0.86
Alaska,AK,2010-05,330,280,50,,,,,,,,,0.87
Alaska,AK,2010-06,344,294,50,223,113,49,35,,12363,10153,0.88,0.87
Alaska,AK,2010-07,358,302,56,,,,,,,,,0.89
Alaska,AK,2010-08,372,310,62,,,,,,,,,0.89
Alaska,AK,2010-09,386,318,68,,,,,,,,,0.9
Alaska,AK,2010-10,400,326,74,,,,,,,,,0.9
Alaska,AK,2010-11,414,334,80,,,,,,,,,0.91
Alaska,AK,2010-12,429,343,86,280,143,66,48,,22925,17564,0.9,0.9
Alaska,AK,2011-01,446,361,85,274,133,72,47,,21631,16120,0.91,0.91
Alaska,AK,2011-02,450,371,79,294,145,68,57,,24737,18754,0.91,0.9
Alaska,AK,2011-03,477,388,89,314,152,73,56,,28567,22327,0.91,0.91
Alaska,AK,2011-04,510,427,83,315,186,87,59,,29814,23054,0.92,0.91
Alaska,AK,2011-05,538,450,88,320,207,89,61,,30208,23621,0.93,0.93
Alaska,AK,2011-06,582,481,101,337,233,99,63,,32297,23938,0.93,0.93
Alaska,AK,2011-07,574,474,100,335,228,100,65,,28926,22281,0.93,0.93
Alaska,AK,2011-08,573,493,80,324,226,98,63,,33803,25482,0.93,0.93
Alaska,AK,2011-09,589,502,87,339,241,104,67,,31294,23052,0.94,0.94
Alaska,AK,2011-10,607,512,95,344,255,107,67,,29130,20731,0.93,0.93
Alaska,AK,2011-11,614,517,97,351,257,106,71,,28378,20525,0.93,0.93
Alaska,AK,2011-12,659,553,106,376,274,114,74,,30360,23284,0.93,0.93
Alaska,AK,2012-01,690,583,107,399,281,117,81,,30630,22828,0.95,0.95
Alaska,AK,2012-02,702,593,109,406,284,132,78,,30945,22674,0.95,0.95
Alaska,AK,2012-03,724,617,107,414,301,132,86,,32096,24060,0.95,0.93
Alaska,AK,2012-04,743,634,109,427,304,144,83,,32846,24951,0.93,0.93
Alaska,AK,2012-05,772,660,112,440,320,148,83,,31772,25047,0.93,0.93
Alaska,AK,2012-06,774,667,107,438,324,154,84,,29539,23277,0.93,0.95
Alaska,AK,2012-07,784,688,96,428,334,150,81,,32981,24773,0.94,0.94
Alaska,AK,2012-08,797,699,98,441,334,152,88,,41853,32046,0.94,0.94
Alaska,AK,2012-09,775,672,103,412,336,143,87,,39229,31796,0.94,0.94
Alaska,AK,2012-10,806,700,106,437,344,159,86,,59473,45974,0.94,0.94
Alaska,AK,2012-11,806,703,103,437,340,152,88,,53439,42742,0.94,0.94
Alaska,AK,2012-12,812,708,104,434,349,156,85,,52962,41716,0.94,0.93
Alaska,AK,2013-01,875,771,104,469,374,162,104,,61940,49104,0.93,0.93
Alaska,AK,2013-02,923,828,95,500,390,174,111,,67469,53249,0.93,0.93
Alaska,AK,2013-03,942,846,96,506,398,171,114,,58877,47158,0.97,0.97
Alaska,AK,2013-04,943,846,97,501,401,173,112,,61387,48635,0.97,0.97
Alaska,AK,2013-05,940,847,93,496,405,164,109,,53658,46097,0.98,0.98
Alaska,AK,2013-06,970,895,75,522,406,180,117,,51019,43886,0.97,0.98
Alaska,AK,2013-07,981,918,63,517,413,183,112,,58358,50833,0.97,0.98
Alaska,AK,2013-08,1005,948,57,592,410,189,114,,58611,50809,0.97,0.96
Alaska,AK,2013-09,1023,969,53,604,417,188,118,,60878,54069,0.97,0.96
Alaska,AK,2013-10,1038,979,58,606,427,191,119,,66237,58371,0.97,0.97
Alaska,AK,2013-11,1042,988,53,602,434,193,114,,55370,49443,0.97,0.97
Alaska,AK,2013-12,1047,995,50,604,435,195,118,,60184,53476,0.97,0.97
Alaska,AK,2014-01,1073,1019,54,607,458,198,123,,71855,63989,0.96,0.97
Alaska,AK,2014-02,1058,1012,46,619,438,200,129,,72135,64622,0.96,0.95
Alaska,AK,2014-03,1072,1014,48,624,446,211,122,,112716,101353,0.96,0.96
Alaska,AK,2014-04,1073,1028,43,620,450,204,125,,88024,74352,0.97,0.97
Alabama,AL,2008,,,,,,,,0.02,,,,
Alabama,AL,2009,,,,,,,,0.07,,,,
Alabama,AL,2010,,,,,,,,0.11,,,,
Alabama,AL,2011,,,,,,,,0.22,,,,
Alabama,AL,2012,,,,,,,,0.39,,,,
Alabama,AL,2013,,,,,,,,0.52,,,,
Alabama,AL,2008-12,688,406,282,250,349,26,5,,,,0.69,0.63
Alabama,AL,2009-01,751,441,310,,,,,,,,,0.64
Alabama,AL,2009-02,814,476,338,,,,,,,,,0.66
Alabama,AL,2009-03,877,511,366,,,,,,,,,0.67
Alabama,AL,2009-04,940,546,394,,,,,,,,,0.68
Alabama,AL,2009-05,1003,581,422,,,,,,,,,0.7
Alabama,AL,2009-06,1066,616,450,,,,,,,,,0.71
Alabama,AL,2009-07,1129,651,478,,,,,,,,,0.72
Alabama,AL,2009-08,1192,686,506,,,,,,,,,0.73
Alabama,AL,2009-09,1255,721,534,,,,,,,,,0.75
Alabama,AL,2009-10,1318,756,562,,,,,,,,,0.76
Alabama,AL,2009-11,1381,791,590,,,,,,,,,0.77
Alabama,AL,2009-12,1453,835,618,542,846,71,16,,,,0.81,0.79
Alabama,AL,2010-01,1493,871,622,,,,,,,,,0.8
Alabama,AL,2010-02,1533,907,626,,,,,,,,,0.8
Alabama,AL,2010-03,1573,943,630,,,,,,,,,0.81
Alabama,AL,2010-04,1613,979,634,,,,,,,,,0.81
Alabama,AL,2010-05,1653,1015,638,,,,,,,,,0.82
Alabama,AL,2010-06,1695,1051,644,682,988,118,22,,176387,154049,0.85,0.83
Alabama,AL,2010-07,1763,1096,667,,,,,,,,,0.83
Alabama,AL,2010-08,1831,1141,690,,,,,,,,,0.84
Alabama,AL,2010-09,1899,1186,713,,,,,,,,,0.84
Alabama,AL,2010-10,1967,1231,736,,,,,,,,,0.84
Alabama,AL,2010-11,2035,1276,759,,,,,,,,,0.85
Alabama,AL,2010-12,2106,1322,784,829,1249,173,29,,249668,222824,0.87,0.85
Alabama,AL,2011-01,2142,1380,762,792,1255,180,28,,209482,181789,0.88,0.86
Alabama,AL,2011-02,2297,1486,811,894,1379,194,28,,237216,201133,0.87,0.85
Alabama,AL,2011-03,2399,1534,865,899,1471,193,27,,284917,249908,0.89,0.85
Alabama,AL,2011-04,2572,1670,902,934,1608,206,26,,254172,224002,0.9,0.87
Alabama,AL,2011-05,3005,1968,1037,1073,1911,255,38,,267642,239220,0.91,0.88
Alabama,AL,2011-06,4073,2605,1468,1336,2710,321,54,,331008,287445,0.92,0.89
Alabama,AL,2011-07,3857,2534,1323,1336,2489,319,50,,311301,283126,0.92,0.89
Alabama,AL,2011-08,3984,2696,1288,1302,2429,318,48,,412419,371372,0.92,0.9
Alabama,AL,2011-09,4130,2830,1300,1414,2658,351,55,,453656,407568,0.93,0.9
Alabama,AL,2011-10,4301,2983,1318,1472,2774,366,60,,460885,417617,0.93,0.9
Alabama,AL,2011-11,4514,3328,1186,1563,2898,388,59,,463197,422934,0.92,0.91
Alabama,AL,2011-12,4669,3460,1209,1617,2998,402,65,,521120,481774,0.93,0.91
Alabama,AL,2012-01,4790,3594,1196,1639,3082,417,72,,563207,517494,0.93,0.92
Alabama,AL,2012-02,4868,3691,1176,1659,3138,428,67,,576395,532853,0.93,0.92
Alabama,AL,2012-03,5002,3794,1207,1697,3208,440,70,,573862,532377,0.94,0.93
Alabama,AL,2012-04,5134,3896,1238,1715,3317,455,72,,581287,539150,0.94,0.93
Alabama,AL,2012-05,5292,4037,1255,1777,3401,476,78,,681956,644609,0.94,0.93
Alabama,AL,2012-06,5454,4162,1291,1795,3523,473,84,,570082,537226,0.95,0.95
Alabama,AL,2012-07,5460,4230,1229,1802,3447,500,86,,596108,552260,0.95,0.94
Alabama,AL,2012-08,5710,4504,1206,1839,3628,516,89,,868203,809376,0.95,0.95
Alabama,AL,2012-09,5851,4639,1212,1881,3705,542,94,,879066,788633,0.95,0.94
Alabama,AL,2012-10,5999,4763,1236,1924,3787,544,97,,1052669,932204,0.95,0.94
Alabama,AL,2012-11,6009,4780,1229,1951,3786,573,101,,944377,849392,0.95,0.93
Alabama,AL,2012-12,6022,4797,1225,1972,3773,575,103,,980791,879836,0.95,0.94
Alabama,AL,2013-01,6133,4905,1228,2000,3833,590,98,,1123804,1001189,0.95,0.94
Alabama,AL,2013-02,6234,5025,1209,2026,3882,601,108,,1435687,1283529,0.95,0.94
Alabama,AL,2013-03,6251,5071,1180,2032,3895,604,104,,1120389,999609,0.95,0.94
Alabama,AL,2013-04,6357,5176,1181,2066,3957,620,104,,1257977,1139230,0.96,0.94
Alabama,AL,2013-05,6473,5308,1165,2084,4007,635,105,,1208168,1139945,0.95,0.94
Alabama,AL,2013-06,6581,5549,1032,2130,4041,648,115,,1474116,1395739,0.95,0.94
Alabama,AL,2013-07,6485,5536,949,2122,3960,671,115,,1581295,1487773,0.95,0.94
Alabama,AL,2013-08,6599,5665,925,2345,4246,794,129,,1410432,1265943,0.96,0.94
Alabama,AL,2013-09,6699,5836,862,2388,4298,825,128,,1094419,1020536,0.96,0.95
Alabama,AL,2013-10,6811,5966,844,2408,4382,838,136,,1247124,1163589,0.96,0.95
Alabama,AL,2013-11,6846,5980,861,2405,4415,851,136,,1039893,963621,0.95,0.94
Alabama,AL,2013-12,6864,6074,786,2426,4410,865,140,,1329897,1244841,0.96,0.94
Alabama,AL,2014-01,6876,6093,780,2437,4402,864,138,,1182994,1101405,0.96,0.94
Alabama,AL,2014-02,6919,6165,752,2477,4434,898,136,,856215,783032,0.96,0.94
Alabama,AL,2014-03,7008,6325,644,2496,4494,902,142,,927826,801445,0.96,0.95
Alabama,AL,2014-04,7068,6394,624,2517,4524,932,151,,889445,785300,0.96,0.95
Arkansas,AR,2008,,,,,,,,0.02,,,,
Arkansas,AR,2009,,,,,,,,0.08,,,,
Arkansas,AR,2010,,,,,,,,0.15,,,,
Arkansas,AR,2011,,,,,,,,0.29,,,,
Arkansas,AR,2012,,,,,,,,0.43,,,,
Arkansas,AR,2013,,,,,,,,0.53,,,,
Arkansas,AR,2008-12,410,369,41,255,118,52,2,,,,0.68,0.51
Arkansas,AR,2009-01,458,403,54,,,,,,,,,0.53
Arkansas,AR,2009-02,506,437,67,,,,,,,,,0.55
Arkansas,AR,2009-03,554,471,80,,,,,,,,,0.57
Arkansas,AR,2009-04,602,505,93,,,,,,,,,0.59
Arkansas,AR,2009-05,650,539,106,,,,,,,,,0.62
Arkansas,AR,2009-06,698,573,119,,,,,,,,,0.64
Arkansas,AR,2009-07,746,607,132,,,,,,,,,0.66
Arkansas,AR,2009-08,794,641,145,,,,,,,,,0.68
Arkansas,AR,2009-09,842,675,158,,,,,,,,,0.7
Arkansas,AR,2009-10,890,709,171,,,,,,,,,0.72
Arkansas,AR,2009-11,938,743,184,,,,,,,,,0.74
Arkansas,AR,2009-12,986,785,201,538,416,106,16,,,,0.84,0.77
Arkansas,AR,2010-01,1047,839,208,,,,,,,,,0.78
Arkansas,AR,2010-02,1108,893,215,,,,,,,,,0.78
Arkansas,AR,2010-03,1169,947,222,,,,,,,,,0.79
Arkansas,AR,2010-04,1230,1001,229,,,,,,,,,0.79
Arkansas,AR,2010-05,1291,1055,236,,,,,,,,,0.8
Arkansas,AR,2010-06,1355,1111,244,717,626,167,34,,102789,76197,0.87,0.8
Arkansas,AR,2010-07,1434,1179,255,,,,,,,,,0.81
Arkansas,AR,2010-08,1513,1247,266,,,,,,,,,0.81
Arkansas,AR,2010-09,1592,1315,277,,,,,,,,,0.82
Arkansas,AR,2010-10,1671,1383,288,,,,,,,,,0.82
Arkansas,AR,2010-11,1750,1451,299,,,,,,,,,0.83
Arkansas,AR,2010-12,1832,1520,311,939,877,244,53,,115162,86779,0.9,0.83
Arkansas,AR,2011-01,1936,1612,323,929,893,274,58,,108831,79487,0.9,0.84
Arkansas,AR,2011-02,1986,1645,340,1010,953,281,61,,109109,81228,0.9,0.83
Arkansas,AR,2011-03,2139,1754,385,1049,1059,293,67,,146177,106695,0.91,0.83
Arkansas,AR,2011-04,2247,1856,391,1080,1136,305,72,,150233,118874,0.92,0.85
Arkansas,AR,2011-05,2590,2050,540,1161,1392,319,76,,166892,133533,0.92,0.85
Arkansas,AR,2011-06,3065,2340,725,1327,1699,362,86,,198041,156074,0.93,0.86
Arkansas,AR,2011-07,3056,2397,659,1305,1672,350,81,,172791,141358,0.93,0.86
Arkansas,AR,2011-08,3079,2449,630,1288,1633,350,81,,225747,177373,0.93,0.88
Arkansas,AR,2011-09,3158,2552,606,1329,1744,377,88,,221416,169965,0.93,0.87
Arkansas,AR,2011-10,3229,2604,625,1353,1782,379,94,,202993,159714,0.93,0.88
Arkansas,AR,2011-11,3299,2681,618,1386,1815,398,90,,208329,164384,0.93,0.9
Arkansas,AR,2011-12,3317,2685,632,1398,1818,399,86,,195774,163758,0.89,0.88
Arkansas,AR,2012-01,3343,2729,614,1412,1826,402,86,,183995,155172,0.9,0.89
Arkansas,AR,2012-02,3364,2754,610,1423,1835,405,82,,179579,151237,0.91,0.91
Arkansas,AR,2012-03,3441,2837,604,1462,1868,423,90,,198187,170138,0.92,0.91
Arkansas,AR,2012-04,3510,2895,615,1491,1901,435,91,,199827,169898,0.93,0.92
Arkansas,AR,2012-05,3589,2970,619,1510,1955,434,98,,204825,180922,0.93,0.92
Arkansas,AR,2012-06,3708,3041,667,1556,2016,463,97,,190075,165223,0.94,0.93
Arkansas,AR,2012-07,3681,3076,605,1537,1954,463,100,,211906,179329,0.93,0.93
Arkansas,AR,2012-08,3750,3142,608,1543,1998,478,103,,525442,484546,0.93,0.93
Arkansas,AR,2012-09,3798,3162,635,1542,2035,483,98,,363775,327461,0.91,0.93
Arkansas,AR,2012-10,3919,3241,676,1580,2111,503,110,,350740,278684,0.91,0.91
Arkansas,AR,2012-11,3919,3296,620,1602,2091,506,108,,329500,273763,0.91,0.9
Arkansas,AR,2012-12,3932,3293,636,1601,2094,505,102,,318516,261720,0.91,0.9
Arkansas,AR,2013-01,3970,3348,622,1603,2130,510,106,,359311,289004,0.91,0.9
Arkansas,AR,2013-02,4007,3399,607,1627,2137,533,107,,414366,322288,0.91,0.9
Arkansas,AR,2013-03,4011,3422,589,1636,2127,532,106,,361438,286586,0.92,0.91
Arkansas,AR,2013-04,4059,3483,576,1660,2153,546,109,,444395,370860,0.92,0.92
Arkansas,AR,2013-05,4073,3494,579,1663,2155,543,104,,369187,326750,0.92,0.91
Arkansas,AR,2013-06,4135,3574,561,1687,2196,559,108,,394804,352576,0.92,0.92
Arkansas,AR,2013-07,4126,3442,538,1691,2146,572,107,,598140,554010,0.93,0.92
Arkansas,AR,2013-08,4219,3482,537,1818,2393,584,116,,464955,420416,0.93,0.93
Arkansas,AR,2013-09,4253,3754,498,1821,2426,592,117,,475038,433574,0.93,0.92
Arkansas,AR,2013-10,4314,3801,512,1879,2428,614,127,,730833,686099,0.93,0.93
Arkansas,AR,2013-11,4309,3824,483,1869,2427,620,123,,417645,383403,0.93,0.93
Arkansas,AR,2013-12,4325,3851,473,1872,2439,636,119,,442205,405477,0.93,0.93
Arkansas,AR,2014-01,4354,3890,464,1873,2466,636,126,,410128,364399,0.93,0.93
Arkansas,AR,2014-02,4366,3881,455,1900,2460,644,125,,319095,275135,0.93,0.93
Arkansas,AR,2014-03,4399,3905,444,1908,2475,659,128,,318022,244756,0.93,0.93
Arkansas,AR,2014-04,4390,3920,428,1903,2455,656,132,,357228,270443,0.93,0.93
Arizona,AZ,2008,,,,,,,,0.06,,,,
Arizona,AZ,2009,,,,,,,,0.11,,,,
Arizona,AZ,2010,,,,,,,,0.18,,,,
Arizona,AZ,2011,,,,,,,,0.33,,,,
Arizona,AZ,2012,,,,,,,,0.6,,,,
Arizona,AZ,2013,,,,,,,,0.55,,,,
Arizona,AZ,2008-12,1561,1248,175,700,638,235,85,,,,0.89,0.87
Arizona,AZ,2009-01,1636,1311,188,,,,,,,,,0.87
Arizona,AZ,2009-02,1711,1374,201,,,,,,,,,0.88
Arizona,AZ,2009-03,1786,1437,214,,,,,,,,,0.88
Arizona,AZ,2009-04,1861,1500,227,,,,,,,,,0.88
Arizona,AZ,2009-05,1936,1563,240,,,,,,,,,0.89
Arizona,AZ,2009-06,2011,1626,253,,,,,,,,,0.89
Arizona,AZ,2009-07,2086,1689,266,,,,,,,,,0.89
Arizona,AZ,2009-08,2161,1752,279,,,,,,,,,0.89
Arizona,AZ,2009-09,2236,1815,292,,,,,,,,,0.9
Arizona,AZ,2009-10,2311,1878,305,,,,,,,,,0.9
Arizona,AZ,2009-11,2386,1941,318,,,,,,,,,0.9
Arizona,AZ,2009-12,2462,2012,331,1209,1148,371,181,,,,0.91,0.91
Arizona,AZ,2010-01,2566,2109,339,,,,,,,,,0.92
Arizona,AZ,2010-02,2670,2206,347,,,,,,,,,0.92
Arizona,AZ,2010-03,2774,2303,355,,,,,,,,,0.93
Arizona,AZ,2010-04,2878,2400,363,,,,,,,,,0.93
Arizona,AZ,2010-05,2982,2497,371,,,,,,,,,0.94
Arizona,AZ,2010-06,3089,2594,380,1499,1538,450,230,,257543,221970,0.95,0.94
Arizona,AZ,2010-07,3193,2685,394,,,,,,,,,0.94
Arizona,AZ,2010-08,3297,2776,408,,,,,,,,,0.94
Arizona,AZ,2010-09,3401,2867,422,,,,,,,,,0.94
Arizona,AZ,2010-10,3505,2958,436,,,,,,,,,0.94
Arizona,AZ,2010-11,3609,3049,450,,,,,,,,,0.95
Arizona,AZ,2010-12,3715,3142,465,1715,1944,555,274,,361908,309902,0.96,0.95
Arizona,AZ,2011-01,3914,3320,487,1587,1997,581,293,,358353,306470,0.96,0.96
Arizona,AZ,2011-02,4010,3391,516,1810,2135,598,315,,435503,330243,0.96,0.95
Arizona,AZ,2011-03,4177,3529,548,1871,2244,600,308,,492380,414897,0.96,0.95
Arizona,AZ,2011-04,4429,3795,532,1919,2447,633,347,,480880,428345,0.97,0.96
Arizona,AZ,2011-05,4884,4089,692,2056,2765,671,387,,506348,454800,0.97,0.96
Arizona,AZ,2011-06,5534,4536,899,2220,3230,713,434,,546154,479112,0.97,0.96
Arizona,AZ,2011-07,5463,4542,807,2189,3157,728,434,,510326,468265,0.97,0.96
Arizona,AZ,2011-08,5760,4862,784,2178,3163,720,431,,600134,539401,0.97,0.96
Arizona,AZ,2011-09,5954,5061,773,2358,3426,784,466,,557733,491173,0.96,0.96
Arizona,AZ,2011-10,6116,5188,806,2382,3554,802,485,,590086,526632,0.96,0.96
Arizona,AZ,2011-11,6397,5441,834,2513,3687,845,519,,591040,520150,0.96,0.96
Arizona,AZ,2011-12,6945,5981,840,2631,4100,905,583,,609910,545994,0.96,0.96
Arizona,AZ,2012-01,7053,6126,805,2665,4165,910,591,,642651,577681,0.97,0.96
Arizona,AZ,2012-02,7229,6316,792,2774,4205,935,620,,706124,644789,0.97,0.96
Arizona,AZ,2012-03,7481,6553,810,2828,4405,952,653,,864867,806764,0.97,0.96
Arizona,AZ,2012-04,7686,6748,821,2940,4496,999,693,,676558,619381,0.97,0.96
Arizona,AZ,2012-05,7941,6957,849,3054,4620,1038,736,,766540,716505,0.97,0.96
Arizona,AZ,2012-06,8141,7124,869,3151,4704,1100,733,,613652,569415,0.97,0.96
Arizona,AZ,2012-07,8134,7180,808,3134,4660,1101,754,,614243,551815,0.97,0.96
Arizona,AZ,2012-08,8410,7451,807,3166,4865,1114,781,,802832,721702,0.97,0.96
Arizona,AZ,2012-09,8592,7648,794,3223,4969,1155,784,,734654,670180,0.96,0.96
Arizona,AZ,2012-10,8816,7849,813,3272,5116,1154,828,,868905,761580,0.97,0.96
Arizona,AZ,2012-11,8875,7895,822,3300,5151,1182,843,,704842,636610,0.97,0.96
Arizona,AZ,2012-12,9049,8073,812,3395,5194,1221,852,,758932,685152,0.97,0.96
Arizona,AZ,2013-01,9249,8287,795,3449,5300,1242,880,,782472,693483,0.97,0.96
Arizona,AZ,2013-02,9398,8426,795,3485,5391,1263,902,,828085,731086,0.97,0.96
Arizona,AZ,2013-03,9453,8504,773,3498,5416,1278,902,,778659,697533,0.97,0.96
Arizona,AZ,2013-04,9517,8561,780,3543,5425,1294,916,,882447,785547,0.97,0.97
Arizona,AZ,2013-05,9603,8631,794,3559,5494,1316,936,,764619,722586,0.97,0.97
Arizona,AZ,2013-06,9691,8748,768,3582,5542,1325,938,,691036,638820,0.97,0.97
Arizona,AZ,2013-07,9736,8813,752,3557,5512,1343,950,,792099,728436,0.97,0.97
