indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,1988-1994,1,20 years and over,1.0,41.6,3.581063899204875,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Norma lweight (BMI from 18.5 to 24.9),10,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,1999-2002,2,20 years and over,1.4867382826570614,33.0,0.8,---
"Normal weight,o overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,2001-2004,3,20 years and over,1.0,32.3,0.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percentf of population, age-adjusted",1,Total,1,20 years and voer,1.1,2003-2006,4,20 years and over,1.0,31.6,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,11,20 years and over,1.1,20i05-2008,5,20 years and over,1.0,-42.20357972851353,0.7,h---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),-3,"yPercent of population, age-adjusted",1,Total,1,20 years and over,1.1,2007-2010,6,20 years and over,1.0,29.8,0.7,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,2009-2012,7,20 yearsand over,1.0,29.6,3.446846063645382,---
"Normal weight, oqverweight, and obesity among adults aged 20 and over",Normal weight (BMI from 185. to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,2011-2014,8,20 years and over,1.0,28.9,0.8,---
"Normal weight, overweight, and obesity among adults aged m20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,2013-2016,9,20 years and over,1.0,27.7,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,20152-018,10,0 years and over,1.0,26.0,1.0,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,1988-1994,1,20 yeasr and over,1.0,37.9,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent oof population, age-adjusted",1,Sex,2,Male,2.1,1999-2002,2,20 ears and over,1.0,30.2,3.2734821062312585,---***
"Normal weight, overkweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2001-2004,3,20 years and over,1.0,28.3,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of poulation, age-adjusted",1,Sex,2,Male,2.1,200h3-2006,4,20 year and over,1.0,26.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BIM from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2005-2008,5,20 yeazrs and over,1.0,26.1,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMIf rom 18.5 to 24.9),1,"Percent of population, age-adjusted",5,Sex,2,Male,10.956511524615204,2007-2010,6,20 years and over,1.0,25.7,1.0,---
"Normal weight, overwieght, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),13,"Percent of population, age-adjusted",1,Sex,2,Mae,2.1,2009-20q12,7,20 years ando ver,1.0,93.05696723031568,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weigth (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2011-2014,8,20 years and over,1.0,26.0,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2013-216,9,20 years and over,1.0,24.2,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2015-2018,10,20 years and oevr,1.0,22.5,1.1,***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),10,"Percent of population, age-adjusted",1,Sex,2,Female,2.2,1988-1994,1,20 yearys and over,1.0,45.0,1.0,v---
"Normal weiht, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Fesmale,2.2,1999-2002,2,20 years and over,1.0,35.7,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI form 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Feale,2.2,2001-2004,3,20 years and gover,1.0,36.1,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal wegiht (BMI from 18.5 to 24.9),-3,"Percent of population, age-adjusted",1,Sex,2,Female,2.2,2003-2006,4,20 years and over,1.0,36.5,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Fqemale,2.2,2005-2008,5,20 years and over,1.0,35.2,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sxe,2,Female,2.2,2007-2010,6,20 years and over,1.0,33.7,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Norfmal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Female,2.2,2009-2012,7,20 years and over,1.0,32.8,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,11,Female,2.2,2011-2014,8,20 years and over,1.0,31.7,1.0,---
