labeling_budget,precision,recall,fscore,time
9,0.007237219988512349,0.002300529486945408,0.0034912718204488775,420.89394607543943
23,0.05418563470868224,0.010498448055504839,0.017061650734916434,370.7623649597168
46,0.2721741780886993,0.4368632463027205,0.2692059555631931,346.1444483757019
70,0.5221105857428303,0.38259996348365893,0.3820305903578814,329.5958836078644
93,0.44922022752328417,0.6137484024100786,0.46401246854795275,334.1471679210663
186,0.4649430051912701,0.5611466131093664,0.4187672859058985,330.87572140693663
279,0.8219628106329756,0.5726675187146248,0.6566861622679205,345.53049821853637
465,0.8553277865724226,0.7467591747306919,0.7899131018905953,341.6545620441437
930,0.8576464633472201,0.8109914186598504,0.8285220985759567,335.31545052528384
1395,0.7888479243818525,0.8317874748950155,0.8055921061486682,347.7447948932648
1860,0.8488449817919275,0.9070659119956181,0.8753797281389772,359.8094266891479
