censustract(long),edvisits(long),edhosp(long),ucvisits(long),asthmause(long),totalmembers(long)
42003010300,2,0,0,6,83
42003020100,32,19,3,223,2114
42003020300,0,0,0,2,48
24860477434,11,3,3,61,422
61634880557,2,1,1,18,138
42644337088,0,0,0,1,17
42003040500,0,0,0,3,44
42003040600,0,0,0,0,15
52672288299,1,1,0,8,135
42003050100,13,7,0,46,1761
47359658945,5,0,0,35,1607
42003050900,12,7,1,44,369
42003051000,5,2,3,38,274
28552805098,9,2,0,27,150
32388012884,2,2,0,16,191
35782478521,0,0,0,10,113
42003070300,2,0,0,125,144
42003070500,1,0,1,8,123
42003070600,0,0,0,9,119
42003070800,0,0,0,5,143
29086659140,0,0,0,8,262
42003080200,2,2,0,13,118
42003080400,0,0,0,5,90
42003080600,1,0,0,119,162
42003080700,1,0,0,13,144
42003080900,2,2,0,10,137
42003090100,1,1,0,5,106
48959228371,1,0,0,12,182
42003090300,2,2,0,11,134
42003100500,6,5,0,37,324
42003101100,2,0,0,18,233
42003101400,4,0,3,44,472
52632413968,8,3,0,44,351
39042807412,10,8,1,37,315
22102785780,3,1,0,22,316
42003110200,2,1,0,33,483
42003110600,3,1,1,38,442
36070079084,1,1,0,23,364
42003111400,3,1,0,14,218
24954209386,5,1,0,33,402
42003120300,7,4,2,48,348
45802683822,4,2,0,17,167
42003120700,4,2,0,21,171
42003120800,0,0,0,30,197
42003130100,14,14,0,52,553
42003130200,10,9,0,30,278
42003130300,5,2,3,35,324
52990028902,2,0,1,24,302
42003130600,21,10,-2,113,930
42003140100,1,0,0,22,350
42003140200,0,0,0,13,231
42003140300,0,0,0,35,519
42003140400,1,0,-2,25,372
42003140500,4,2,0,25,229
61090886031,1,0,-2,26,484
42003140800,5,0,1,54,883
42003141000,0,0,0,8,134
46981975615,0,0,1,18,203
42003141300,2,0,0,26,615
53770839861,0,0,0,54,742
42003151600,1,2,0,123,335
36962392580,4,0,0,40,674
42003160800,1,1,1,19,277
42003160900,0,0,0,9,97
42003170200,0,1,1,10,120
51708175442,2,1,3,3,1844
42003180300,10,9,2,41,477
42003180700,4,1,0,24,279
42003190300,2,1,0,11,116
42003191100,1,0,0,12,177
42003191400,4,0,0,25,226
52733198991,2,2,0,16,187
42003191600,7,4,0,53,679
58262478304,4,0,0,39,531
42003191800,6,3,0,81,785
42003191900,0,0,0,23,357
23241065188,2,1,0,39,517
42003202200,5,3,1,53,568
42003202300,5,4,2,36,391
37298881440,4,1,-2,35,293
56446706345,4,2,0,17,168
42003240600,10,6,1,31,371
42003241200,2,2,0,7,127
29536767138,2,1,0,14,166
42003250700,1,1,0,20,209
42003250900,3,3,0,20,248
42003260200,8,6,0,31,390
42003260700,6,4,1,34,345
26235234120,10,9,0,55,812
42003261200,2,1,0,12,152
42003261400,6,2,2,42,547
56119031831,7,4,0,22,285
42003262000,9,4,0,145,486
42003270100,0,0,0,41,1669
42003270300,2,1,0,32,339
42003270400,1,0,1,13,191
56939599191,2,1,1,119,419
42003271500,7,5,0,48,682
48405631116,9,5,-2,69,738
30717145427,1,0,0,20,256
42003290100,3,2,0,40,445
38437120555,4,1,0,66,931
42003290400,7,3,1,62,768
42003300100,17,10,0,110,896
42003310200,4,1,1,52,500
42003310300,1,0,-2,11,157
42003320400,3,2,0,25,293
42003320600,2,1,1,28,357
42003320700,1,0,0,23,233
42003401100,4,3,0,30,712
42003401200,6,3,4,44,555
30162941936,1,2,0,119,344
42003402000,5,2,-2,44,533
42003403500,3,1,4,70,891
42003404000,1,0,0,27,303
42003405000,0,0,1,11,194
42003406000,1,0,0,17,337
42003407001,1,1,0,56,752
30971607836,3,1,3,72,979
42003408001,0,0,0,78,913
57891379385,3,0,3,88,1126
41935894492,5,0,0,240,2398
42003410000,0,0,0,13,197
42003411000,1,0,0,93,1134
46026372611,1,1,0,147,1613
42003412002,0,0,0,60,856
42003413100,0,1,1,80,993
42003413201,1,0,1,49,588
42003413202,0,0,1,29,354
58589352885,2,0,1,84,720
42003413400,1,0,0,47,677
42003413500,3,1,2,58,687
42003414101,1,0,1,63,859
42003414102,5,3,1,89,1037
42003414200,2,2,3,74,956
42003415001,3,2,0,71,835
58209743967,0,0,0,37,446
42003416000,0,0,0,19,191
42003417100,0,0,0,21,305
42003417200,1,0,0,120,196
42003418000,0,0,0,13,185
42003419000,1,2,1,25,336
41985696893,1,1,0,12,210
42003421100,3,1,0,60,786
42003421200,2,0,0,51,735
57962999821,1,1,2,65,1048
42003423000,2,0,1,27,437
42003424000,5,2,1,46,600
28932379126,4,2,3,57,639
56190835435,2,0,3,86,878
42003426400,2,2,0,52,595
42003426700,1,0,0,13,260
42003426800,1,0,3,59,727
42003427000,2,0,0,29,471
42003427100,0,0,1,69,764
42003427200,6,1,1,52,1570
42003428100,1,2,0,15,176
41566078568,3,1,2,25,289
57298365559,1,0,2,27,319
38058201737,2,0,3,60,1628
42003429202,1,0,1,60,755
42003429300,2,0,2,62,1855
42003429400,1,0,-2,42,617
42003429500,2,0,0,38,460
42003429600,2,0,0,45,447
42003429700,0,0,3,34,352
44961764006,1,0,0,23,359
33075895840,3,3,3,58,738
62126631896,1,0,0,34,411
49873834139,1,1,3,25,1855
42003431500,3,3,0,38,427
42003432300,1,0,0,18,225
42003432400,1,1,1,23,355
38131404363,1,1,0,18,341
42003435000,3,1,0,37,370
42003437000,2,0,1,82,1033
42003439000,1,0,0,22,224
42003445500,3,0,0,37,585
37403185916,0,0,0,20,276
42003447000,3,1,0,21,251
42003448000,0,0,0,9,190
42003449000,2,1,1,30,382
42003450700,1,0,3,31,402
42003450800,5,2,0,26,370
42003451101,1,1,0,39,456
42003451102,1,1,1,44,1648
42003451104,2,1,0,42,612
42003451105,2,1,0,42,603
42003451300,3,1,1,89,1107
42003452000,1,1,3,34,667
42003453003,1,0,0,16,278
42003453004,2,0,1,52,846
34417328228,1,1,0,13,194
42003456001,3,0,2,35,440
42003456003,3,0,1,45,763
42003456004,1,0,0,121,635
52724065715,1,0,3,14,178
42003457200,1,1,0,43,494
42003458000,2,0,3,72,1037
42003459101,2,0,-2,16,331
42003459102,1,1,2,57,727
42003459201,4,3,1,150,746
54087956168,1,0,0,3,36
42003460001,2,1,0,41,608
25887234600,2,1,3,41,1865
42003461000,1,1,0,14,110
42003462100,15,10,1,75,607
42003462600,3,3,0,68,895
42003463900,4,3,2,43,536
42003464300,1,0,0,40,513
45464438617,11,8,2,52,727
49247668741,1,0,1,139,322
42003465800,0,1,0,41,498
42003468700,1,1,0,16,204
42003468800,0,0,0,21,302
42003468900,2,0,-2,41,565
42003469000,0,0,0,29,584
42003470300,0,0,0,24,472
42003470400,1,1,0,31,408
42003470501,0,0,3,9,277
48600471214,3,1,0,18,363
38469023747,2,2,3,24,397
42003471000,0,0,0,9,164
62536821559,0,0,3,139,299
42003472200,0,0,1,18,267
49872732316,0,0,0,9,209
42003472400,0,1,3,19,249
42003473100,1,0,0,51,819
42003473200,0,0,3,35,430
42003473300,2,1,0,65,968
42003473401,3,1,0,143,587
42003473402,0,0,1,30,518
31085033613,1,0,0,34,1732
42003473601,0,0,0,44,660
42003473602,1,0,0,41,1843
42003474101,1,0,0,72,804
39392563779,0,0,3,55,617
42003474201,0,0,1,53,441
26173732589,1,1,1,66,863
25598968575,0,0,0,59,846
53954145243,2,0,0,34,569
42003475102,1,0,0,15,210
35720144499,3,0,0,60,763
53266288019,0,0,1,41,657
42003475303,1,0,0,40,630
42003475304,2,1,1,54,740
42003475401,4,2,0,54,624
42003475402,1,0,1,25,445
42003476100,5,2,1,44,649
42003476200,2,0,0,29,423
42003477100,1,0,0,32,475
48713916907,1,0,0,32,524
42003477300,3,0,0,73,1204
42003478100,3,2,0,39,696
42003478200,3,2,0,59,1085
42003479000,1,0,0,22,276
42003480101,8,2,0,53,1117
42003480102,0,0,0,41,468
42003480200,0,0,2,38,603
42003480300,3,1,0,45,547
42003480400,0,0,0,51,690
54139868160,11,5,3,89,780
42003482500,5,2,0,20,226
