sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,78.90696438247761,-2531,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,18.7,9701,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,19.9,10348,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.5,7490,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,30.5,8114,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,32.7,8707,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of ay race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,6.9,-3281,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,6.3,1587,Hispanic/Latinos can be of any racbe,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2211,6.5,1640,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Female,"White, non-Hispanic",2009,5.4,1658,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,6.0,-2953,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Femaale,"White, non-Hispanic",2011,6.4,1860,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Femalbe,"Black, non-Hispanic",2009,74.1,5610,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,"Black, non-Hispanic",2010,77.3,5840,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,"Black, non-Hispanic",2011,81.9,6216,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
