NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00093,9290,19,"TEVA PHARMACEUTICALS USA, INC.",Active,"CLONAZEPAM ODT 0.125MG 60, IP",1,77194,N,1,N,8/10/2005,8/20/2005,TAB,1,AB,N,3/31/2022,3/31/2022,,,3/30/2023
00093,9291,19,"TEVA PHARMACEUTICALS USA, INC.",Active,"CLONAZEPAM ODT 0.25MG 60, IP",1,77194,N,1,N,8/10/2005,8/10/2005,TAB,1,AB,N,3/30/2022,3/30/2022,,,3/30/2023
00093,9292,19,"TEVA PHARMACEUTICALS USA, INC.",Active,"CLONAZEPAM ODT 0.5MG 60, IP",1,77194,N,1,N,8/10/2005,8/10/2005,TAB,1,AB,N,3/31/2022,3/31/2022,,,3/30/2023
00093,9293,19,"TEVA PHARMACEUTICALS USA, INC.",Active,"CLONAZEPAM ODT 1MG 60, IP",1,77194,N,1,N,8/10/2005,8/10/2005,TAB,1,AB,N,11/22/2021,11/22/2021,,,3/30/2023
00093,9294,19,"TEVA PHARMACEUTICALS USA, INC.",Active,"CLONAZEPAM ODT 2MG 60, IP",1,77194,N,1,N,8/10/2005,8/10/2005,TAB,1,AB,N,3/31/2022,3/31/2022,,,3/30/2023
00409,0004,04,"HOSPIRA, INC.",Active,PEMETREXED 1GM/40ML SLIQ 1X1 VL US NPLUS ,3,214218,S,1,N,6/22/2022,7/26/2022,ML,40,AP,Y,3/23/2023,3/23/2023,,,3/27/2023
00409,0012,02,"HOSPIRA, INC.",Active,HEPARIN 12500IU/250ML SSOL 1X1 PLBG US (IP) ,3,18916,I,1,N,9/30/1990,9/30/1990,ML,250,AP,Y,3/28/2023,3/28/2023,,,3/30/2023
00409,0012,30,"HOSPIRA, INC.",Active,HEPARIN 12500IU/250ML SSOL 1X30 PLBG US,3,18916,I,1,N,9/30/1990,9/30/1990,ML,7500,AP,Y,3/28/2023,3/28/2023,,,3/30/2023
00409,0020,02,"HOSPIRA, INC.",Active,PEMETREXED 100MG/4ML SLIQ 1X1VL US NPLUS,3,214218,S,1,N,6/22/2022,7/26/2022,ML,4,AP,Y,3/23/2023,3/23/2023,,,3/27/2023
00409,0021,03,"HOSPIRA, INC.",Active,PEMETREXED 500MG/20ML SLIQ1X1VL US NPLUS,3,214218,S,1,N,6/22/2022,7/26/2022,ML,20,AP,Y,3/23/2023,3/23/2023,,,3/27/2023
00409,1005,01,"HOSPIRA, INC.",Active,HEPARIN 1000IU/500ML SSOL 1X1 PLBG US (IP) ,3,18916,I,1,N,9/30/1990,4/12/1991,ML,500,AP,Y,3/28/2023,3/28/2023,,,3/30/2023
00409,1005,20,"HOSPIRA, INC.",Active,HEPARIN 1000IU/500ML SSOL 1X20 PLBG US,3,18916,I,1,N,9/30/1990,4/12/1991,ML,10000,AP,Y,3/28/2023,3/28/2023,,,3/30/2023
00597,0425,78,BOEHRINGER INGELHEIM PHARMACEUTICALS,Active,Pradaxa Oral Pellets 20mg,3,214358,S,1,Y,6/21/2021,2/14/2023,EA,60,NR,N,,2/14/2023,,,3/29/2023
00597,0430,18,BOEHRINGER INGELHEIM PHARMACEUTICALS,Active,Pradaxa Oral Pellets 30mg,3,214358,S,1,Y,6/21/2021,2/14/2023,EA,60,NR,N,,2/14/2023,,,3/29/2023
00597,0435,96,BOEHRINGER INGELHEIM PHARMACEUTICALS,Active,Pradaxa Oral Pellets 40mg,3,214358,S,1,Y,6/21/2021,2/14/2023,EA,60,NR,N,,2/14/2023,,,3/29/2023
00597,0440,53,BOEHRINGER INGELHEIM PHARMACEUTICALS,Active,Pradaxa Oral Pellets 50mg,3,214358,S,1,Y,6/21/2021,2/14/2023,EA,60,NR,N,,2/14/2023,,,3/29/2023
00597,0445,87,BOEHRINGER INGELHEIM PHARMACEUTICALS,Active,Pradaxa Oral Pellets 110mg,3,214358,S,1,Y,6/21/2021,2/14/2023,EA,60,NR,N,,2/14/2023,,,3/29/2023
00597,0450,16,BOEHRINGER INGELHEIM PHARMACEUTICALS,Active,Pradaxa Oral Pellets 1500mg,3,214358,S,1,Y,6/21/2021,2/14/2023,EA,60,NR,N,,2/14/2023,,,3/29/2023
13668,0509,30,TORRENT PHARMACEUTICALS LIMITED,Active,Lurasidone Hydrochloride 60 mg,1,208047,N,1,N,8/24/2021,2/20/2023,TAB,30,AB,N,,2/20/2023,,,3/30/2023
23155,0831,31,"HERITAGE PHARMACEUTICALS, INC.",Active,"Acetazolamide Powder 500mg/5ml (PPRX), 1 vial",1,202693,N,1,N,12/19/2014,2/28/2022,EA,1,AP,Y,2/17/2023,2/17/2023,,,3/27/2023
42023,0182,89,"PAR PHARMACEUTICAL, INC.",Active,Argatroban 250mg/2.5mL Vial ,1,91665,N,1,N,6/30/2014,6/15/2015,ML,2.5,AP,Y,,6/15/2015,,,3/30/2023
