Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Average Licensed Beds,Average Available Beds,Average Staffed Beds,Bad Debts,Charity Care,Location
2015,106281266,NAPA STATE HOSPITAL,Napa,State,State Hospitals,,,1362,1202,1202,$0.00,$0.00,"NAPA, California
(38.297242, -122.289405)"
2011,106190756,ST. JOHN'S HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,266,234,234,$1735194.00,$12074540.00,"SANTA MONICA, California
(34.010932, -118.491512)"
2011,106281266,NAPA STATE HOSPITAL,Napa,State,State Hospitals,,,1362,1229,1550,$0.00,$0.00,"NAPA, California
(38.297242, -122.289405)"
2012,106150736,KERN MEDICAL CENTER,Kern,City/County,Comparable,Teaching,,222,194,168,$0.00,$766600.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2012,106014034,FREMONT HOSPITAL - FREMONT,Alameda,Investor,Comparable,,,96,96,96,$1331637.00,$0.00,"FREMONT, California
(37.550195, -121.980829)"
2012,106190315,GARFIELD MEDICAL CENTER,Los Angeles,Investor,Comparable,,,210,210,210,$7297985.00,$10584952.00,"MONTEREY PARK, California
(34.062407, -118.127542)"
2012,106344188,CRESTWOOD PHF - SACRAMENTO,Sacramento,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106301283,GARDEN GROVE HOSPITAL & MEDICAL CENTER,Orange,Investor,Comparable,,,167,167,167,$25037490.00,$2922550.00,"GARDEN GROVE, California
(33.776069, -117.937878)"
2012,106190352,GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,117,117,117,$10826608.00,$4640645.00,"SOUTH EL MONTE, California
(34.043996, -118.046258)"
2012,106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MED CENTER-EUCLID,Orange,Investor,Comparable,,,400,400,237,$10552460.00,$11244812.00,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)"
2012,106331164,DESERT REGIONAL MEDICAL CENTER,Riverside,Investor,Comparable,,,387,351,217,$17370996.00,$70483304.00,"PALM SPRINGS, California
(33.830302, -116.546843)"
2012,106190256,EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,Investor,Comparable,,,127,127,127,$13628396.00,$5544076.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106270744,COMMUNITY HOSPITAL OF MONTEREY PENINSULA,Monterey,Non-Profit,Comparable,,,259,209,209,$24222594.00,$32043559.00,"MONTEREY, California
(36.596808, -121.897127)"
2013,106013687,MERRITT PERALTA INSTITUTE CDRH,Alameda,Non-Profit,Comparable,,,24,24,24,$0.00,$0.00,"OAKLAND, California
(37.804828, -122.27248)"
2014,106344021,HERITAGE OAKS HOSPITAL,Sacramento,Investor,Comparable,,,125,120,120,$997693.00,$1244805.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2014,106364430,BARSTOW COMMUNITY HOSPITAL,San Bernardino,Investor,Comparable,,Rural,30,30,30,$9408830.00,$379917.00,"BARSTOW, California
(34.899659, -117.02405)"
2014,106100005,COMMUNITY MEDICAL CENTER - CLOVIS,Fresno,Non-Profit,Comparable,,,208,208,146,$21695608.00,$4601379.00,"CLOVIS, California
(36.823982, -119.696376)"
2014,106361323,COMMUNITY HOSPITAL OF SAN BERNARDINO,San Bernardino,Non-Profit,Comparable,,,347,345,306,$6948348.00,$12261453.00,"SAN BERNARDINO, California
(34.108323, -117.29415)"
2014,106270744,COMMUNITY HOSPITAL OF MONTEREY PENINSULA,Monterey,Non-Profit,Comparable,,,258,220,220,$8337794.00,$12857961.00,"MONTEREY, California
(36.596808, -121.897127)"
2014,106204019,CHILDREN'S HOSPITAL - CENTRAL CALIFORNIA,Madera,Non-Profit,Comparable,,,356,356,219,$6284992.00,$152179.00,"MADERA, California
(36.961961, -120.059585)"
2014,106010776,CHILDREN'S HOSPITAL AND RESEARCH CENTER OF OAKLAND,Alameda,Non-Profit,Comparable,,,190,190,190,$7891005.00,$8303223.00,"OAKLAND, California
(37.804828, -122.27248)"
2014,106190176,CITY OF HOPE HELFORD CLINICAL RES HOSPITAL,Los Angeles,Non-Profit,Comparable,,,217,186,186,$19752471.00,$22996045.00,"DUARTE, California
(34.139586, -117.973256)"
2014,106074097,KAISER FDN HOSP - ANTIOCH,Contra Costa,Non-Profit,Kaiser Foundation Health,,,150,146,64,$0.00,$0.00,"ANTIOCH, California
(38.016907, -121.813771)"
2014,106382715,CHINESE HOSPITAL,San Francisco,Non-Profit,Comparable,,,54,52,24,$411457.00,$936282.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106304113,CHILDREN'S HOSPITAL - MISSION,Orange,Non-Profit,Comparable,,,54,54,20,$5006285.00,$501284.00,"MISSION VIEJO, California
(33.595018, -117.659099)"
2014,106190475,COMMUNITY HOSPITAL OF LONG BEACH,Los Angeles,Non-Profit,Comparable,,,208,158,64,$7853785.00,$7606552.00,"LONG BEACH, California
(33.767168, -118.193723)"
2014,106190636,CITRUS VALLEY MEDICAL CENTER-QV CAMPUS,Los Angeles,Non-Profit,Comparable,,,518,518,329,$13930615.00,$6833633.00,"WEST COVINA, California
(34.068896, -117.938239)"
2014,106300032,CHILDREN'S HOSPITAL - ORANGE COUNTY,Orange,Non-Profit,Comparable,,,279,279,279,$21075010.00,$1844774.00,"ORANGE, California
(33.791489, -117.853096)"
2010,106010846,ALAMEDA COUNTY MEDICAL CENTER,ALAMEDA,City/County,Comparable,Teaching,,475,453,421,$59884170.00,$31205272.00,"OAKLAND, California
(37.804828, -122.27248)"
2012,106094002,EL DORADO COUNTY MENTAL HEALTH-PHF,El Dorado,City/County,Psychiatric Health Facilities,,,10,10,10,$0.00,$0.00,"PLACERVILLE, California
(38.729652, -120.799147)"
2010,106190305,KINDRED HOSPITAL-LOS ANGELES,LOS ANGELES,Investor,Comparable,,,81,81,81,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Comparable,,Small/Rural,10,10,10,$443315.00,$132994.00,"SOLVANG, California
(34.595998, -120.138008)"
2010,106504038,STANISLAUS SURGERY CENTER,STANISLAUS,Investor,Comparable,,,23,23,23,$991946.00,$0.00,"MODESTO, California
(37.640735, -121.002435)"
