NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
00093,5376,19,00093537619,"Clozapine Orally Disintegrating Tablets 150mg, IP",01,0203039,N,1,TAB,1.000,N/A,NR,11/25/2015,08/13/2020,10/04/2021,
00093,5376,84,00093537684,"Clozapine Orally Disintegrating Tablets, 150mg, UD 48 (8x6)",01,0203039,N,1,TAB,1.000,N/A,NR,11/25/2015,08/13/2020,10/04/2021,
00173,0866,02,00173086602,TANZEUM (ALBIGLUTIDE) INJ 30MG X 1 TRD REPLACEMENT PEN,02,0125431,S,1,EA ,1.000,N/A,NR,04/15/2014,06/30/2014,10/08/2021,09/30/2020
00173,0867,02,00173086702,TANZEUM (ALBIGLUTIDE) INJ 50MG X 1 TRD REPLACEMENT PEN,02,0125431,S,1,EA ,1.000,N/A,NR,04/15/2014,06/30/2014,10/08/2021,08/31/2020
00904,7162,61,00904716261,METFORMIN 500MG TAB,01,0090564,N,1,TAB,100.000,N/A,AB,04/22/2010,09/16/2021,10/07/2021,
16571,0743,09,16571074309,GLYCOPYRROLATE TABLETS 1 MG,04,0012827,I,1,TAB,90.000,N/A,AA,09/30/1990,09/30/1990,10/05/2021,
16571,0744,09,16571074409,GLYCOPYRROLATE TABLETS 2 MG,04,0012827,I,1,TAB,90.000,N/A,AA,09/30/1990,09/30/1990,10/05/2021,
31722,0156,01,31722015601,Amphetamine IR Mixed salts,01,0213709,N,1,TAB,100.000,N/A,AB,04/22/2021,10/06/2021,10/08/2021,
31722,0164,01,31722016401,Amphetamine IR Mixed salts,01,0213709,N,1,TAB,100.000,N/A,AB,04/22/2021,10/06/2021,10/08/2021,
31722,0591,10,31722059110,Metoprolol Succinate,01,0205541,N,1,TAB,1000.000,N/A,AB,11/06/2020,07/01/2021,10/06/2021,
50228,0379,90,50228037990,Ezetimibe Oral Tablet 10 MG,01,0210673,N,1,TAB,1.000,N/A,AB,10/23/2020,03/31/2021,10/07/2021,
50228,0451,90,50228045190,Atorvastatin Calcium Oral Tablet 10 MG,01,0205519,N,1,TAB,1.000,N/A,AB,05/19/2016,08/04/2016,10/07/2021,
50228,0452,90,50228045290,Atorvastatin Calcium Oral Tablet 20 MG,01,0205519,N,1,TAB,1.000,N/A,AB,05/19/2016,08/04/2016,10/07/2021,
51862,0159,04,51862015904,HYDROCORTISONE BUTYRATE LOTION 4OZ,01,0209556,N,1,ML ,118.000,N/A,AB,11/21/2017,12/03/2019,10/05/2021,
51862,0514,01,51862051401,DESOGESTREL AND ETHINYL ESTRADIOL 1.5/30 TABS 1X28,01,0091234,N,1,TAB,1.000,N/A,AB,07/12/2013,03/12/2021,10/05/2021,
51862,0514,03,51862051403,DESOGESTREL AND ETHINYL ESTRADIOL 1.5/30 TABS 3X28,01,0091234,N,1,TAB,1.000,N/A,AB,07/12/2013,03/12/2021,10/05/2021,
51862,0645,01,51862064501,NYMYO 0.250MG/0.035MG TABS 1X28,01,0090523,N,1,TAB,1.000,N/A,AB,05/23/2012,02/12/2021,10/05/2021,
51862,0645,06,51862064506,NYMYO 0.250MG/0.035MG TABS 6X28,01,0090523,N,1,TAB,1.000,N/A,AB,05/23/2012,02/12/2021,10/05/2021,
51862,0646,01,51862064601,TRI-NYMYO .180MG/.215MG/ .250MG TABS 1X28,01,0090524,N,1,TAB,1.000,N/A,AB,05/30/2012,02/12/2021,10/05/2021,
51862,0646,06,51862064606,TRI-NYMYO .180MG/.215MG/ .250MG TABS 6X28,01,0090524,N,1,TAB,1.000,N/A,AB,05/30/2012,02/12/2021,10/05/2021,
51862,0648,01,51862064801,MICROGESTIN FE 24 TABS 1X28,01,0202994,N,1,TAB,1.000,N/A,AB,02/18/2015,01/08/2021,10/05/2021,
51862,0648,03,51862064803,MICROGESTIN FE 24 TABS 3X28,01,0202994,N,1,TAB,1.000,N/A,AB,02/18/2015,01/08/2021,10/05/2021,
51862,0690,10,51862069010,TAVABOROLE TOPICAL SOLUTION 5%,01,0211297,N,1,ML ,10.000,N/A,AB,07/20/2020,02/09/2021,10/05/2021,
51862,0866,01,51862086601,MICROGESTIN FE 1/20 TABS 1X28,01,0091454,N,1,TAB,1.000,N/A,AB,08/26/2013,07/19/2021,10/05/2021,
51862,0866,06,51862086606,MICROGESTIN FE 1/20 TABS 6X28,01,0091454,N,1,TAB,1.000,N/A,AB,08/26/2013,07/19/2021,10/05/2021,
51862,0868,01,51862086801,MICROGESTIN 1/20 TABS 1X21,01,0202995,N,1,TAB,1.000,N/A,AB,12/04/2013,05/07/2021,10/05/2021,
51862,0868,06,51862086806,MICROGESTIN 1/20 TABS 6X21,01,0202995,N,1,TAB,1.000,N/A,AB,12/04/2013,05/07/2021,10/05/2021,
51862,0870,01,51862087001,MICROGESTIN FE 1.5/30 TABS 1X28,01,0091453,N,1,TAB,1.000,N/A,AB,08/23/2013,07/19/2021,10/05/2021,
51862,0870,06,51862087006,MICROGESTIN FE 1.5/30 TABS 6X28,01,0091453,N,1,TAB,1.000,N/A,AB,08/23/2013,07/19/2021,10/05/2021,
51862,0872,01,51862087201,MICROGESTIN 1.5/30 TABS 1X21,01,0202996,N,1,TAB,1.000,N/A,AB,03/20/2014,07/16/2021,10/05/2021,
51862,0872,06,51862087206,MICROGESTIN 1.5/30 TABS 6X21,01,0202996,N,1,TAB,1.000,N/A,AB,03/20/2014,07/16/2021,10/05/2021,
51862,0890,01,51862089001,AZURETTE TABS 1X28,01,0091247,N,1,TAB,1.000,N/A,AB,08/01/2013,06/02/2021,10/05/2021,
51862,0890,06,51862089006,AZURETTE TABS 6X28,01,0091247,N,1,TAB,1.000,N/A,AB,08/01/2013,06/02/2021,10/05/2021,
51862,0892,01,51862089201,NECON 0.5/35 TABS 1X28,01,0091204,N,1,TAB,1.000,N/A,AB,03/27/2012,05/26/2021,10/05/2021,
51862,0892,03,51862089203,NECON 0.5/35 TABS 3X28,01,0091204,N,1,TAB,1.000,N/A,AB,03/27/2012,05/26/2021,10/05/2021,
51862,0894,01,51862089401,ZOVIA 1/35 TABS 1X28,01,0209548,N,1,TAB,1.000,N/A,AB,02/11/2019,06/01/2021,10/05/2021,
51862,0894,06,51862089406,ZOVIA 1/35 TABS 6X28,01,0209548,N,1,TAB,1.000,N/A,AB,02/11/2019,06/01/2021,10/05/2021,
51862,0896,01,51862089601,TILIA FE TABS 1X28,01,0202962,N,1,TAB,1.000,N/A,AB,04/15/2020,02/10/2021,10/05/2021,
51862,0896,03,51862089603,TILIA FE TABS 3X28,01,0202962,N,1,TAB,1.000,N/A,AB,04/15/2020,02/10/2021,10/05/2021,
52427,0658,30,52427065830,Loreev XR Capsule 1mg,03,0214826,S,1,CAP,30.000,N/A,NR,08/27/2021,09/30/2021,10/04/2021,
52427,0663,30,52427066330,"Loreev XR Capsule, 2mg",03,0214826,S,1,CAP,30.000,N/A,NR,08/27/2021,09/30/2021,10/04/2021,
52427,0667,30,52427066730,"Loreev XR Capsule, 3mg",03,0214826,S,1,CAP,30.000,N/A,NR,08/27/2021,09/30/2021,10/04/2021,
60505,0752,03,60505075203,CEFTRIAXONE PINJ 1G 10X20ML,01,0065230,N,1,ML ,1.000,N/A,AP,08/02/2005,08/02/2005,10/06/2021,
60505,7075,05,60505707505,BUPRENORPHINE PATCH 5MCG,01,0210272,N,1,TDP,4.000,N/A,AB,09/29/2021,10/01/2021,10/06/2021,
60505,7076,05,60505707605,BUPRENORPHINE PATCH 7.5MCG,01,0210272,N,1,TDP,4.000,N/A,AB,09/29/2021,10/01/2021,10/06/2021,
60505,7077,05,60505707705,BUPRENORPHINE PATCH 10MCG,01,0210272,N,1,TDP,4.000,N/A,AB,09/29/2021,10/01/2021,10/06/2021,
60505,7078,05,60505707805,BUPRENORPHINE PATCH 15MCG,01,0210272,N,1,TDP,4.000,N/A,AB,09/29/2021,10/01/2021,10/06/2021,
60505,7079,05,60505707905,BUPRENORPHINE PATCH 20MCG,01,0210272,N,1,TDP,4.000,N/A,AB,09/29/2021,10/01/2021,10/06/2021,
62332,0407,31,62332040731,Clomipramine HCL Capsules USP 25mg,01,0211822,N,1,CAP,100.000,N/A,AB,08/04/2021,10/04/2021,10/05/2021,
62332,0408,31,62332040831,Clomipramine HCL Capsules USP 50mg,01,0211822,N,1,CAP,100.000,N/A,AB,08/04/2021,10/04/2021,10/05/2021,
64380,0835,06,64380083506,"Prednisone Tablets 2.5mg, 100",01,0209727,N,1,TAB,100.000,N/A,AB,11/20/2020,09/08/2021,10/06/2021,
64380,0909,06,64380090906,"Ethacrynic Acid Tablets 25mg, 100",01,0213240,N,1,TAB,100.000,N/A,AB,10/19/2020,09/29/2021,10/06/2021,
65219,0259,05,65219025905,Piperacillin & Tazobactam for Inj 4.5g,01,0203719,N,1,EA ,1.000,N/A,AP,05/18/2018,05/20/2019,10/08/2021,
65219,0259,15,65219025915,Piperacillin & Tazobactam for Inj 4.5g PRX,01,0203719,N,1,EA ,1.000,N/A,AP,05/18/2018,05/20/2019,10/08/2021,
65219,0259,45,65219025945,Piperacillin & Tazobactam for Inj 4.5g,01,0203719,N,1,EA ,1.000,N/A,AP,05/18/2018,05/20/2019,10/08/2021,
65219,0259,55,65219025955,Piperacillin & Tazobactam for Inj 4.5g PRX,01,0203719,N,1,EA ,1.000,N/A,AP,05/18/2018,05/20/2019,10/08/2021,
65757,0302,02,65757030202,VIVITROL,03,0021897,S,1,EA ,1.000,N/A,NR,04/13/2006,06/12/2006,10/04/2021,
65757,0651,40,65757065140,LYBALVI (5MG/10MG),03,0213378,S,1,TAB,7.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0651,42,65757065142,LYBALVI (5MG/10MG),03,0213378,S,1,TAB,30.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0651,44,65757065144,LYBALVI (5MG/10MG),03,0213378,S,1,TAB,90.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0652,40,65757065240,LYBALVI (10MG/10MG),03,0213378,S,1,TAB,7.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0652,42,65757065242,LYBALVI (10MG/10MG),03,0213378,S,1,TAB,30.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0652,44,65757065244,LYBALVI (10MG/10MG),03,0213378,S,1,TAB,90.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0653,40,65757065340,LYBALVI (15MG/10MG),03,0213378,S,1,TAB,7.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0653,42,65757065342,LYBALVI (15MG/10MG),03,0213378,S,1,TAB,30.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0653,44,65757065344,LYBALVI (15MG/10MG),03,0213378,S,1,TAB,90.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0654,40,65757065440,LYBALVI (20MG/10MG),03,0213378,S,1,TAB,7.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0654,42,65757065442,LYBALVI (20MG/10MG),03,0213378,S,1,TAB,30.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
65757,0654,44,65757065444,LYBALVI (20MG/10MG),03,0213378,S,1,TAB,90.000,N/A,NR,05/28/2021,10/14/2021,10/04/2021,
69784,0230,20,69784023020,SODIUM ACETATE USP 100mEq/50ML,01,0214805,N,1,ML ,1000.000,N/A,AP,05/04/2021,09/02/2021,10/07/2021,
69784,0231,20,69784023120,SODIUM ACETATE USP 200mEq/100ML,01,0214805,N,1,ML ,2000.000,N/A,AP,05/04/2021,09/02/2021,10/07/2021,
70000,0180,05,70000018005,LDR ARTH PRLF TB650MG 225 ER CPLT,01,0075077,N,2,TAB,225.000,N/A,NR,02/25/2000,04/14/2017,10/06/2021,
70000,0487,03,70000048703,LDR PETROLEUM JL 106GM,10,PART347,N,2,GM ,106.000,N/A,NR,01/24/2019,11/29/2019,10/06/2021,
70000,0574,01,70000057401,LDR ANTACD/PRLF TB 36 ES EFF,10,PART343,N,2,TAB,36.000,N/A,NR,06/25/2021,09/18/2021,10/06/2021,
70199,0007,90,70199000790,ROBINUL TABLETS 1 MG,03,0012827,I,1,TAB,90.000,N/A,AA,09/30/1990,09/30/1990,10/05/2021,
