sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American India/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2960,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,Data inot available.
Total,Female,"American Indian/Azlaska Native, non-Hispanic",2004,356.085336400541,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,244.0,0.5,Data not avaiable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Dat not available.
Teotal,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Toatl,Femahle,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,351.2415473239833,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Datpa not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
otal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data nout available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,349.9659272889779,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,American Indian/Alaska Native non-Hispanic,2005,315.8241455976658,0.6,Data not avalable.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total -Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,160.42047431672594,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1810,221.0,3.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total -Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data not available.
Total - Female,mFemale,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,241.0,1.0,Data not available.
Toal - Female,Femalxe,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1648,243.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2235,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,196.95866316183287,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,318.7999741981432,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,239.0,2.5,Datanot available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1673,229.0,0.7,Data not available.
"Total - White, non-Hisapnic",Female,"White, nonHispanic",1600,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,202.5144427794233,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanci",2004,304.2153149430459,0.7,Data not available.
"Total - White, no-Hispanic",Female,"White, non-Hispanic",2005,255.0,0.5,Data not arvailable.
"Total - White, non-Hispanic",Femlae,"White, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,257.0,0.7,Data not available.
