OBJECTID,SITENAME,DATA_S_YR,CREAT_YR,DATA_METH,DATA_ACCU,COWARDIN,COWAR_S_YR,HGM,HGM_S_YR,POLY_S_ID,FIELD_OBS_LWI,DATA_S_TYP,HYD_BAR,HYD_DRA,HYD_FLO,WET_MGT,COV_TYP,VEG_SPEC,VEG_COND,VEG_S_YR,LSW,GOAL_5_17,SAC,DEVELOP,DSL_WD,DSL_FILE,MOSAIC,Acres,Shape__Area,Shape__Length
1,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,SF,<Null>,AV-3,offsite,2,,,,,,POPBAL / SALIX - ROSA / PHAARU - JUNEFF,,,N,,,,WD1997-0371,,,1.21973097701964,9767.875,466.65979463712
2,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,S,<Null>,AV-4,onsite,2,,,,,,POPBAL / AGROST - MENPUL,,,N,,,,<Null>,,,0.870700466933136,6972.6953125,499.617926731955
3,Adair Village,2010,"Lane Council of Governments, August 2011",,,PFOC,,D,<Null>,AV-5,onsite,2,,,,,,POPBAL / FRALAT / ALOPRA - SCHPHO,,,N,,,,<Null>,,,0.136435441769527,1092.609375,197.97680135031
4,Adair Village,2010,"Lane Council of Governments, August 2011",,,PFOC,,S,<Null>,AV-6,visual,2,,,,,,FRALAT / PRUNUS - SALSCO / PHAARU - VERVIR,,,Y,,,,WD1997-0371,,,0.663773721773523,5315.171875,395.892550131969
5,Adair Village,2010,"Lane Council of Governments, August 2011",,,PFOY,,RFT,<Null>,AV-1,onsite,2,,,,,,FRALAT / FRALAT - ROSA / PHAARU - CAMASS,,,Y,,,,<Null>,,,0.452629079576942,3624.421875,782.548984708165
6,Adair Village,2010,"Lane Council of Governments, August 2011",,,PFOC,,D,<Null>,AV-7,onsite,2,,,,,,FRALAT - POPBAL / CRADOU - SALLUC / JUNPAT - AGROST,,,N,,,,<Null>,,,0.649163599886094,5203.40625,274.185104457111
7,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,RFT,<Null>,AV-8,visual,2,,,,,,POPBAL / SALLUC - SALIX / PHAARU,,,Y,,,,<Null>,,,1.31593545043191,10548.3671875,1033.19653367601
8,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,RFT,<Null>,AV-8,visual,2,,,,,,POPBAL / SALLUC - SALIX / PHAARU,,,Y,,,,<Null>,,,0.999365088627377,8010.6640625,384.823350602541
9,Adair Village,2010,"Lane Council of Governments, August 2011",,,PFOF,,D,<Null>,AV-9,visual,2,,,,,,POPBAL / RUBARM,,,N,,,,<Null>,,,0.859069796135019,6886.4765625,335.04057484381
10,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,SF,<Null>,AV-12,offsite,2,,,,,,U,,,N,,,,<Null>,,,0.855838897142281,6853.6875,414.906835016919
11,Adair Village,2010,"Lane Council of Governments, August 2011",,,PSSC,,D,<Null>,AV-10,offsite,2,,,,,,U,,,N,,,,<Null>,,,1.56748230239266,12566.53125,563.263898686337
12,Adair Village,2010,"Lane Council of Governments, August 2011",,,PABHh,,RFT,<Null>,AV-8,visual,2,,,,,,POPBAL / SALLUC - SALIX / PHAARU,,,Y,,,,<Null>,,,0.429613838726747,3443.7265625,460.66837262805
13,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,RFT,<Null>,AV-8,visual,2,,,,,,POPBAL / SALLUC - SALIX / PHAARU,,,Y,,,,<Null>,,,0.342666284573732,2746.7734375,228.979698060783
14,Adair Village,2010,"Lane Council of Governments, August 2011",,,PSSF,,RFT,<Null>,AV-8,visual,2,,,,,,POPBAL / SALLUC - SALIX / PHAARU,,,Y,,,,<Null>,,,0.609149069369496,4882.890625,394.736942939125
15,Adair Village,2010,"Lane Council of Governments, August 2011",,,PABHh,,RFT,<Null>,AV-8,visual,2,,,,,,POPBAL / SALLUC - SALIX / PHAARU,,,Y,,,,<Null>,,,6.94146249565909,55644.765625,2038.070797489
16,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,S,<Null>,AV-6,onsite,2,,,,,,FRALAT / PRUNUS - SALSCO / PHAARU - VERVIR,,,Y,,,,WD1997-0371,,,0.923407524615897,7394.328125,409.856650701505
17,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,S,<Null>,AV-6,visual,2,,,,,,FRALAT / PRUNUS - SALSCO / PHAARU - VERVIR,,,Y,,,,WD1997-0371,,,0.331598777804311,2655.3046875,212.426585558883
18,Adair Village,2010,"Lane Council of Governments, August 2011",,,PSSC,,SF,<Null>,AV-3,offsite,2,,,,,,POPBAL / SALIX - ROSA / PHAARU - JUNEFF,,,N,,,,WD1997-0371,,,0.584890128944814,4683.953125,387.654409777126
19,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEME,,S,<Null>,AV-2,offsite,2,,,,,,FRALAT / PINPON - FRALAT / ALOPRA - EPICIL,,,N,,,,WD1999-0255,,,1.18424620324595,9483.1640625,558.521007813738
20,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,S,<Null>,AV-13,offsite,2,,,,,,ROSPIS - SALIX / HOLLAN - SCHPHO,,,N,,,,WD2006-0673,,,5.29222998585792,42364.359375,2251.37899835749
21,Adair Village,2010,"Lane Council of Governments, August 2011",,,PSSC,,S,<Null>,AV-14,offsite,2,,,,,,FRALAT / ROSPIS / JUNEFF - HOLLAN,,,N,,,,WD2006-0673,,,0.742368401604487,5942.5703125,363.663103704775
22,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,D,<Null>,AV-10,offsite,2,,,,,,U,,,N,,,,<Null>,,,0.550607602401721,4414.2109375,278.258712205301
23,Adair Village,2010,"Lane Council of Governments, August 2011",,,PSSF,,RFT,<Null>,AV-8,visual,2,,,,,,POPBAL / SALLUC - SALIX / PHAARU,,,Y,,,,<Null>,,,0.491735031777851,3941.7734375,486.332573547136
24,Adair Village,2010,"Lane Council of Governments, August 2011",,,PFOC,,D,<Null>,AV-11,offsite,2,,,,,,POPBAL,,,N,,,,<Null>,,,1.45329757684203,11651.5546875,576.299067020733
25,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,D,<Null>,AV-11,offsite,2,,,,,,POPBAL,,,N,,,,<Null>,,,0.211582074349747,1696.2734375,173.992425100968
26,Adair Village,2010,"Lane Council of Governments, August 2011",,,PFOC,,D,<Null>,AV-11,offsite,2,,,,,,POPBAL,,,N,,,,<Null>,,,0.182812636988308,1465.6328125,146.461346452362
27,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,S,<Null>,AV-15,offsite,2,,,,,,FRALAT / ROSPIS - CRADOU / SCHPHO - HOLLAN,,,N,,,,WD2006-0673,,,0.0534681442963672,427.953125,203.710874218513
28,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,S,<Null>,AV-15,offsite,2,,,,,,FRALAT / ROSPIS - CRADOU / SCHPHO - HOLLAN,,,N,,,,WD2006-0673,,,0.538099780014589,4306.859375,858.730311038459
29,Adair Village,2010,"Lane Council of Governments, August 2011",,,PEMC,,S,<Null>,AV-15,offsite,2,,,,,,FRALAT / ROSPIS - CRADOU / SCHPHO - HOLLAN,,,N,,,,WD2006-0673,,,0.0985318134378691,788.6640625,214.668812567202
30,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW",,U,,TRU-5,Visual,2,,,,,,GLYOCC-CALSTA,,,Y,,,,,,,0.781615833504207,6254.1328125,974.567035797576
31,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW",,U,,TRU-14,Onsite,2,,,,,,FRALAT/SOLDUL-RUBARM/DIPSYL-VERAME,,,Y,,,,,,,1.0408135012314,8327.2109375,2609.85053700022
32,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,TRU-12,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.156308200977049,1250.6953125,590.97121142277
33,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEMf, PFO",,U,,TRU-10Ef,Visual,2,,,,,,FRALAT/CRADOU/LOLMUL-POAANN,,,N,,,,,,,3.54532096272055,28364.7265625,1976.28278993713
34,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-10Cf,Onsite,2,,,,,,LOLMUL-POAANN,,,N,,,,,,,14.2213754849518,113776.4921875,4860.5406813735
35,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW",,U,,TRU-5,Visual,2,,,,,,GLYOCC-CALSTA,,,Y,,,,,,,0.773386508144064,6187.640625,905.086134567729
36,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-10Df,Visual,2,,,,,,LOLMUL,,,N,,,,,,,0.455056858829333,3640.8515625,380.207514359015
37,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-15f,Onsite,2,,,,,,RUBARM/LOLMUL-HOLLAN,,,N,,,,,,,2.24435003896725,17956.6015625,621.176146634941
38,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-10Af,Onsite,2,,,,,,LOLMUL-JUNBUF,,,N,,,,,,,1.35451110029081,10836.71875,858.494972987502
