OBJECTID,LABEL,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1,Adams Township,2601890,61,27,10,17,34,14,24,37,,0,0,0,0.37037037037037,0.411764705882353,,0,2335145419.62891,372236.508200235
2,Addison,2601920,219,95,35,60,124,51,86,133,8,0,0,0,0.368421052631579,0.411290322580645,0.0365296803652968,0,2086111291.05432,388829.899328688
3,Adrian,2601950,1076,536,191,345,540,237,428,648,61,0,0,0,0.35634328358209,0.438888888888889,0.0566914498141264,0,1929500283.46033,478469.932480884
4,Airport,2601980,516,249,91,158,267,116,207,309,17,0,0,0,0.365461847389558,0.434456928838951,0.0329457364341085,0,2318119546.21265,335503.307432365
5,Akron-Fairgrove,2602010,183,84,33,51,99,45,78,105,,0,0,0,0.392857142857143,0.454545454545455,,0,2569049690.26563,460145.999420713
6,Alanson,2621810,141,70,26,44,71,32,58,83,8,0,0,0,0.371428571428571,0.450704225352113,0.0567375886524823,0,1172731539.74219,201057.964023235
7,Alba,2602040,39,21,6,15,18,6,12,27,,0,0,0,0.285714285714286,0.333333333333333,,0,1849303197.05371,299585.285400198
8,Albion,2602070,500,238,85,153,262,110,195,305,28,0,0,0,0.357142857142857,0.419847328244275,0.056,0,1818229772.17847,335549.481766602
9,Alcona,2602160,210,81,27,54,129,54,81,129,,0,0,0,0.333333333333333,0.418604651162791,,0,11083460315.8037,562474.205808738
10,Algonac,2602190,353,162,59,103,191,76,135,218,14,0,0,0,0.364197530864198,0.397905759162304,0.0396600566572238,0,1300048700.47412,765398.458769249
11,Allegan,2602220,745,377,146,231,368,161,307,438,28,0,0,0,0.387267904509284,0.4375,0.0375838926174497,0,4356295765.6936,505583.714756845
12,Allen Park,2602520,400,170,56,114,230,89,145,255,7,0,0,0,0.329411764705882,0.38695652173913,0.0175,0,104285689.932861,53493.4843844254
13,Allendale,2602550,249,117,36,81,132,48,84,165,7,0,0,0,0.307692307692308,0.363636363636364,0.0281124497991968,0,891182785.916992,134338.567183624
14,Alma,2602640,599,270,105,165,329,145,250,349,14,0,0,0,0.388888888888889,0.440729483282675,0.0233722871452421,0,2842725137.98926,357916.854403598
15,Almont,2602670,134,61,19,42,73,25,44,90,8,0,0,0,0.311475409836066,0.342465753424658,0.0597014925373134,0,1607389644.67139,314704.487082679
16,Alpena,2602730,1052,477,164,313,575,231,395,657,20,0,0,0,0.343815513626834,0.401739130434783,0.0190114068441065,0,16896884267.4561,1168154.32774196
17,Anchor Bay,2602790,490,218,62,156,272,90,152,338,17,0,0,0,0.284403669724771,0.330882352941176,0.0346938775510204,0,798715847.663086,173903.174623414
18,Ann Arbor,2602820,1210,558,170,388,652,218,388,822,69,0,0,0,0.304659498207885,0.334355828220859,0.0570247933884298,0,2890793260.70996,382787.356735718
19,Arenac Eastern,2603060,108,43,17,26,65,30,47,61,,0,0,0,0.395348837209302,0.461538461538462,,0,2457892030.43555,356651.280242934
20,Armada,2603240,138,46,10,36,92,34,44,94,,0,0,0,0.217391304347826,0.369565217391304,,0,2066122221.25684,281163.455512986
21,Arvon Township,2603270,9,,,,7,,,6,,0,0,0,,,,0,3496089473.87891,395731.370838547
22,Ashley,2603480,114,48,17,31,66,27,44,70,,0,0,0,0.354166666666667,0.409090909090909,,0,1674741765.91113,526471.967717398
23,Athens,2603510,119,53,18,35,66,21,39,80,,0,0,0,0.339622641509434,0.318181818181818,,0,2076681618.43262,317662.456144766
24,Atherton,2603540,218,108,39,69,110,48,87,131,10,0,0,0,0.361111111111111,0.436363636363636,0.0458715596330275,0,253805015.45459,111056.943652144
25,Atlanta,2603570,135,60,18,42,75,28,46,89,,0,0,0,0.3,0.373333333333333,,0,5394763150.83691,434920.007819814
26,Au Gres-Sims,2603600,129,50,17,33,79,35,52,77,,0,0,0,0.34,0.443037974683544,,0,1947172617.04688,421261.1286816
