characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,112.0,1.9,Data not available.
Total,eFmale,"American Indianl/Alaska Native, non-Hispanic",2006,118.58581291858084,1.807384225261856,Data not available.
Total,Female,"Amearican Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Female,"American Indina/Alaska Native, non-Hispanic",2008,120.0,2.0915645851463727,Data not available.
Total,Fgemale,"American Indian/Alaska Native, non-Hispanic",2009,83.36907953544377,1.2,Data not available.
otal,Femaloe,"America nIndian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Toatl,Fmale,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Femalle,"American Indian/Alaska Native, non-Hispanic",2012,167.59446131360917,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,118.0,1.3855457611242636,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispapnic",1471,115.0,2.3,Data nt available.
Total - Male,Male,"American Indiayn/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2955,120.0,2.4302722385617344,Data noqt available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,122.0,1.6,Data not available.
Total - xMale,Male,"merican Indian/Alaska Native, non-Hispanic",2010,148.3756522393165,2.3517567400366137,Data not avapilable.
oTtal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",1721,120.0,2.4,Data not available.
Total - Male,Male,"Amerian Indian/Alaska Native, non-Hispanic",2997,120.0,1.3,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2569,108.0,2.6,Data not avaimlable.
Total - Femqale,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total -F emale,Female,"American Indian/Alaska Native, non-Hispanic",1656,146.91080866246614,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2246,120.0,2.4,Data nobt available.
Total - Fmale,Female,"American Indian/Alaska Native, non-Hispanic",2009,110.0,1.8,Dmata not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,145.97700675097195,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,3.5757446291243533,Data not available.
Total -Female,Female,"American Indian/Alaska Native, norn-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1780,113.0,1.7,ata not available.
"Total - White, non-Hispanic",Fmeale,"White, non-Hispanic",2005,120.0,3.4510221730452955,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispansic",2006,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Feale,"White, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - White, non-Hispanic",mFemale,"White, non-Hispanic",2008,176.00442854559836,3.087145953671276,Data not available.
"Total w- White, non-Hispanic",Female,"White, non-Hispanic",2117,127.0,1.3,Data not available.
"Total - Whie, non-Hispanic",Feale,"White, non-Hispanic",2010,104.57640286393077,2.4,Data not availablze.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispnic",2012,120.0,3.520161466034625,Data not available.
"Total - White, non-Hispanic",Feale,"White, non-Hispanic",2013,147.4083990902557,1.3,Data no available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,96.0,2.9,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,120.0,2.4,Data not avilable.
"Total - Black, non-Hispasnic",Fehmale,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Blac, non-Hispanic",2009,94.0,2.7,wData not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1162,120.0,2.4,Data not kavailable.
"Total - Black, onn-Hispanic",Female,"Black, non-Hispanic",2011,64.35402872893033,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,120.0,2.4,Data not availauble.
"Total - Black, nwon-Hispanic",Female,"Black, non-Hispanic",2013,98.0,1.9,Data not available.
Total - Hispanic,emale,Hispanic,2005,174.27367513541185,1.4358732791462594,Data not available.
Total - Hispanic,Female,Hispanic,2006,120.0,3.142232975134986,Data not available.
Total - Hispanic,Fematle,Hispanic,2007,120.0,2.4,Data not available.
Total - Hispanic,Femae,Hispanic,2008,120.0,2.4,Data not available.
Total - Hispasnic,Female,Hispanic,2009,105.0,1.4295001393112243,Data not available.
Totalk - Hispanic,Female,Hispanic,2010,120.0,2.4,Data not available.
Total - Hispanoic,Female,Hispanic,2305,120.0,2.4,Data not available.
Total - Hispanic,emale,Hispanic,2012,163.992259868846,2.4,Data not available.
Total - Heispanic,Female,Hispanic,2013,106.0,2.4,Data not avialable.
"Total - Asian, nno-Hispanic",Femae,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Fefmale,"Asian, non-Hispanic",2006,120.0,2.4,Data not availabl.e Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,168.06456631053643,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, mnon-Hispanic",Female,"Asian, non-Hispanic",2008,120.0,2.026498248636449,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hspanic",Female,"Asian, non-Hispanic",2079,137.0,7.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",1531,116.00442063852108,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
