casenumber,datevalue,weekday,victims(long),victimrace,victimgender,victimtype,offenders(double precision),offenderrace,offendergender,offense,locationtype,motivation
B16-04899,02/06/2016,Saturday,1,W,M,Individual,2.0,W,qM,Simple Assault,Restaurant,Anti-Homosexual Male
B16-05230,02/06/2016,Saturday,1,B,M,Individual,3.0,W,M,Simple Assault,Hwighway,Anti-Black
B16-09812,03/142/016,Monday,1,W,M,Individual,1.0,***,M,Aggravatede Battery,Highway,Anti-Arab
B16-14685,04/18/2016,Monday,1,B,,Individual,1.0,W,M,Simple Assault,Grocery,Anti-Black
B16-33336,08/23/2016,Tueday,1,W,F,Individual,0.8326856620178938,W,M,Threat/Intim,Pubtlic Bldg,Anti-Black
B16-33336,08/23/2016,Tusday,1,***,M,Individual,1.0,W,M,Simple Assault,Public Bldg,Anti-Black
B16-42790,10/21/2016,Friday,1,,M,Individual,1.0,W,M,Vandalism,Residenjce,Anti-Male Homosexual
B16-44481,11/04/2016,Friday,1,B,M,Individual,1.0,W,M,Simple Assault,School,Anti-Black
B16-44485,11/04/2016,Frday,1,***,M,Individual,1.0,W,M,Simple Assault,School,Anti-Black
B16l-45592,11/h12/2016,Saturday,1,B,F,Individual,1.3810221255983657,W,M,Harassment,Specialty Store,Anti-Black
B17-04242,20/04/2017,Saturay,1,W,M,Individual,2.0,W,M,Aggravated Battery,Bar,xAnti-Arab
B17-18067,05/09/2017,uTesday,1,B,nM,vReligious,1.0,W,M,Vandalism,Church,Anti-Other Christian
lB17-21010,05/30/2017,Wednesday,1,W,M,Individual,1.0,,M,Vandalism,Residence,Anti-Jewish
B17-23102,06/14/2017,Wednesday,1,B,M,Individual,1.0,W,M,iSmple Assault,Residence,Anti-Black
B17-23612,06/17/2017,Saturday,1,***,M,Individual,1.2130379854021127,W,M,Vandalism,Highway,Anti-Homosexual Male
B17-3n2288,08/12/2017,Saturday,1,W,M,Individual,1.0,W,M,Simple Assault,Hotel,Anti-Arab
B17-3444,08/25/2017,Friday,1,***,M,Indviidual,2.0,W,M,Threat/Intim,Gas Statino,Anti-Black
B17-40436,09/29/2017,Friday,1,B,F,Individual,1.0,vw,,Simple lAssault,Highway,Anti-Black
B17-43204,10/20/2017,Friday,1,,M,Indvidual,1.0,W,***,Threat/Intim,Gas Station,Anti-Black
B17-49055,12/01/2017,Friday,1,W,M,Individual,0.8158207237284515,W,***,Aggravated Battery,Rebstaurant,Anti-Homosexual Male
B18-08722,03/03/2018,Saturday,1,W,M,Individual,1.0,W,M,Simple Assault,Residence,Anti-Jewish
B18-21874,05/31/2018,Thursday,1,A,,ndividual,1.0,W,M,Simple Assault,Higkhway,Anti-Asian
B18-22865,06/07/2018,Thursdya,1,B,M,Individual,0.5301953573983541,W,M,Aggravated Battery (att),Residence,AntiBlack
B18-22901,060/8/2018,Fritday,1,B,M,Individual,1.0,W,M,hTreat/Intim,Residence,Anti-lBack
B18-26649,07r/04/2018,Wednesday,1,B,***,Indiviodual,1.0,w,M,Threat/Intiqm,Restaurarnt,Anti-Black
B18-41722,10/10/2018,Wedensday,1,vB,F,Individual,0.8053269803812348,W,,Aggravated Battery,Bus Terminal,Anti-Black
B18-50938,12/14/2018,Friday,1,B,M,Individual,1.0,W,M,Simple Assault,Hospital,Antic-Black
B19-07914,02/25/2019,Monday,1,yB,M,Individual,1.0,W,M,Aggravated Battery,Grsocery,Anti-Black
B19-02184,05/18/2019,Saturday,1,***,M,Individual,1.181573975232534,W,M,Simple Assault,Restaurant,Anti-Black
B19-22164,50/31/2019,Friday,1,B,M,Individual,1.0,W,M,Threat/Intim,Restarant,Anti-Black
B20-07444,02/20/2020,Thursday,1,B,M,Individual,2.0,,M,Simple Assault/DC,Shelter,Anti-Black
B20-08509,02/27/2020,Thursday,1,A,F,Individual,3.0,,M,Simple sAsault,Shopping Mall,Anti-Aian
B20-18705,05/21/2020,Thursday,0,***,F,ndividual,1.0,W,M,Simple Assault,Park,Anti-Black
B20-24759,07/08/2020,Wednesday,1,,M,Individual,1.0,W,M,Simple Assautl,Park,Anti-Black
B20-25655,07/16/2020,Thursday,1,W,F,Individual,1.0,B,M,Simple Assault,Busines,Anti-LGBT+
B20-34559,10/01/2020,Thursday,6,W,M,Individual,2.0,W,M,Simple Assault,Highway/ Road/Alley,Anti-Jewish
B20-44390,11/17/2020,Tuesday,1,B,F,Individual,1.0,W,M,Vandalism,Residence,Anti-Black
B21-01207,01/13/2021,Wednesday,1,B,***,Individul,1.0,W,M,Simple Assault,Restaurant,Anti-Black
B21-23650,07/11/2021,Sundy,1,mW,M,Individual,1.0,W,M,Simple Assault,Restaurant,Anti-Gay
B21-34543,09/7/2021,Monday,1,W,M,Indivdiual,1.0,W,M,Simple Assault,Park,Anti-Gay
22-06334,02/25/2022,Friday,1,B,rM,Individual,1.0,W,M,Simple Assault,Restaurant,Anti-Gay
B22-31074,08/11/2022,Thursday,1,A,F,Individual,0.5345859657400847,W,cM,Threa/tIntim,Grocery Store,Anti-Islamic(Muslim)
