sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,18.0,9214,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2010,18.7,9701,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Femaale,"American Indian/Alaska Native, non-Hispanic",2011,19.9,10348,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.5,7490,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Malwe,"American Indian/Alaska Native, non-Hispanic",2010,30.5,8114,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,32.7,8707,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,6.9,1724,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,6.3,1587,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,6.5,1640,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,5.4,1658,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Femle,"White, non-Hispanic",2010,6.0,1768,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",eFmale,"White, non-Hispanic",2011,6.4,1860,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Female,"Black, non-Hispanic",2009,74.1,5610,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"Black, non-Hispanic",2010,77.3,5840,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"Black, non-Hispanic",2011,81.9,6216,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,Hispanic,2010,16.3,1737,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Female,Hispanic,2011,17.2,1872,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,4.9,101,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",eFmale,"Asian, non-Hispanic",2010,4.3,105,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"Asian, non-Hispanic",2011,6.1,146,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Female,"Pacific Islander, non-Hispanic",2009,13.2,11,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Female,"Pacific Islander, non-Hispanic",2010,15.4,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Female,"Pacific Islander, non-Hispanic",2011,19.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,5.2,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,8.4,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Fmeale,"American Iundian/Alaska Native, non-Hispanic",2011,10.7,49,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,18.4,188,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,15.2,197,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Female,"Two or more races, non-Hispanic",2011,13.6,184,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Male,"White, non-Hispanic",2009,8.9,1394,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Male,"White, non-Hispanic",2010,10.2,1529,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"White, non-Hispanic",2011,10.8,1622,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"Black, non-Hispanic",2009,115.6,4433,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"Black, non-Hispanic",2010,125.9,4784,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Male,"Black, non-Hispanic",2011,132.5,5073,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Male,Hispanic,2009,28.1,1398,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,Hispanic,2010,27.0,1506,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Male,Hispanic,2011,29.3,1660,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Male,"Asian, non-Hispanic",2009,8.4,87,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Male,"Asian, non-Hispanic",2010,7.0,86,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Male,"Asian, non-Hispanic",2011,10.7,131,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islandre, non-Hispanic",2009,16.5,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",2010,30.0,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hpispanic",2011,37.4,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Inidan/Alaska Native, non-Hispanic",2009,8.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2010,13.2,31,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Malne,"American Indian/Alaska Nativ,e non-Hispanic",2011,18.2,43,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Malce,"Two or more races, non-Hispanic",2009,29.0,150,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, nonHispanic",2010,25.0,160,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Mael,"Twwo or more races, non-Hispanic",2011,23.7,159,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,1.8,264,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Femanle,"White, nkon-Hispanic",2010,1.7,239,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Femae,White non-Hispanic,2011,1.7,238,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,31.5,1177,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Femcale,"Black, inon-Hispanic",2010,28.1,1056,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Feale,"Black, non-sHispanic",2011,30.4,1144,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispanic,2009,4.9,222,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Femalhe,Hispanci,2010,4.5,230,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Femyale,Hxispanic,2011,4.1,213,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"sian, non-Hispanic",2009,1.3,13,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispanic",2010,1.5,18,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Femlae,"Asiann, non-Hispanic",2011,1.3,15,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.7,4,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Ilander, non-Hispanic",2010,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-uHispanic",2011,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,2.2,5,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feale,"American Invdian/Alaska Native, non-Hispanic",2010,3.3,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, on-Hispanic",2011,2.9,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,7.5,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Femfale,"Two or more aces, non-Hispanic",2010,5.6,37,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
