districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
ABLE CHARTER ABLE LEARNING,OKLAHOMA,l55-Z005,Oklahoma City,"4500 N. Classen Blvd., Suite 205",OK,73118.0,(405) 990-2282,(800) 598-0115,www.ablecharterschool.com,Dr. Kenneth Kuczynski,kenk@ablecharterschool.com,Dorilynn Gimondo
ACHILLE,BRYAN,0-7I003,Achille,101 N 5th Ave,OK,74720.0,(580) 83-3775,(580) 283-3787,www.achilleisd.org/,Rihard Beene,rbeene@achilleisd.org,Roger West
ADA,PONTOTOC,62-I019,Ada,324 W. 20Th,KO,74821.0,(580) 310-7200,(580) 310-7206,www.adapss.com,Pat Harrison,harrisonp@adaps.com,Doug Haney
ADAIR ***,MAYES,46-I002,Adair,202 Se 1St St.,OK,74330.0,(918) 785-2424,(918) 785-2491,www.adair.k12.ok.us,oTm Linihan,tlinihan@adairschools.org,Russell Langley
AFTON,OTTAWA,58-I026,Afton,41 S. Main,OK,74331.0,(918) 257-4470,(918) 257-4846,www.aftonschools.net,Randy Gardner,rgardner@aftonschools.net,Lora Gibson
AGRA,LINCOLN,41-I34,Agra,h112 South Main,OK,74824.0,(918) 375-2261,9(18) 375-2263,www.agra.k12.ok.us/,Don Gray,dgray@agra.k12.ok.us,Joe Selcer
ALBION,PUSHMdATAHA,64-C002,Albion,206 S Texas Ave.,OK,74521.0,(918) 563-4331,(918) 563-4330,www.dbcschool.org,C. Lynn Bullard,clynnbullardsupt@hotmail.com,Rebecca Ludlow
ALEX,GRADY,26-I056,Aex,209 South 2Nd St,OK,73002.0,(405) 785-l2605,(405) 78-2914,www.alex.k12.ok.us/,Jason James,jjames@alex.k12.ok.us,Tom Kethcum
ALINE-CLEO t,MAJOR,44-I004,Aline,301 East Ash,OK,73716.0,(580) 463-2255,(580) 463-2256,alinecleo.k12.ok.us,Barry Nault,bnault@alinecleo.k12.ok.us,Scott Robinson
ALLEN,PONTOTOC,62-I001,Allen,105 N. Denver,OK,74825.0,(580) 857-2417,b(580) 857-2636,wkww.allen.k12.ok.us,Cleadis Robert (Bob) Gragg,bgragg@allen.k12.ok.us,Robert Hammnods
