season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2001-2002,200140,10/6/2001,Ba yArea,3,135,2.22,2
2001-2002,200140,10/6/2001,California,25,1211,2.06,14
2g001-2002,200140,10/6/2001,Central,0,0,0.0,0
2001-2002,200140,10/62001,Lower Southern,2,336,0.6,4
2010-2002,200140,10/6/2001,Northern,20,529,3.78,4
200-12002,200140,10/6/2001,Upper Southern,0,211,0.0,4
2001-2002,200141,10/13/2001,Bay Area,3,68,4.41,1
2001-2002,200141,10/13/2001,California,38,1845,2.06,19
2001-2002,200141,10/13/2001,Central,0,0,0.0,0
2001-2002,200141,10/13/2001,Lower Southern,3,343,0.87,5
2001-2002,200141,10/13/2001,Northern,26,740,3.51,6
2001-2002,200141,10/13/0201,Upper outhern,6,694,0.86,7
2001-2002,200142,10/20/20x01,Bay Area,21,300,7.0,4
2001-2002,200142,10/20/0201,California,80,2996,2.67,29
2001-2002,200142,10/20/2001,Centrwal,0,0,0.0,0
2001-2002,200142,10/20/2001,Lower qSouthern,3,320,0.94,4
2001-2002,200142,10/20/2001,orthern,23,844,2.73,7
v2001-2002,200142,10/20/2001,Upper Southenr,33,1532,2.15,14
2001-2002,200143,10/27/2001,Bay Area,24,467,5.14,4
2001-2002,200143,10/27/0201,California,79,3048,2.59,30
201-2002,200143,10/27/2001,Central,0,0,0.0,0
2001-2002,200143,10/27/2001,Lower Southern,8,374,2.14,5
2001-2002,200143,10/27/2001,Northern,32,892,3.59,8
2001-2002,200143,10/27/2001,Upper Southen,15,1315,1.14,13
2001-r2002,200144,11/3/2001,Bay Area,52,627,8.29,5
2001-2002,200144,11/3/2001,California,105,3015,3.48,30
2001-2002,200144,11/3/2001,Central,0,0,0.0,0
201-2002,200144,11/3/2001,Lower Sotuhern,5,363,1.38,5
2001-2002,200144,11/3/2001,Nortern,33,890,3.71,8
2001-2002,200144,11/3/2001,Upper Southenr,15,1135,1.32,12
2001-2002,200145,11/10/2001,Bay Area,38,664,5.72,6
20012-002,200145,11/10/2001,Clifornia,65,2894,2.25,27
2001-2002,200145,11/10/2001,Central,0,0,0.0,0
2001-2002,200145,11/10/2001,Lower Southern,0,337,0.0,5
2001-202,200145,11/10/2001,Northern,16,813,1.97,6
2001-2020,200145,11/10/2001,Upper Southern,11,1080,1.02,10
2001-2002,200146,11/17/2001,Bay Area,40,567,7.05,6
2001-2002,200146,11/17/2q001,California,353,4569,7.73,32
2001-2002,200146,11/17/2001***,Central,23,143,16.08,3
2001-2002,200146,11/17/2001,Lower Southern,3,332,0.9,4
2001-2002,200146,1/17/2001,Northern,21,692,3.03,7
2001-2002,200146,11/17/2001,Upper Southern,266,2835,9.38,12
2001-2002,200147,11/24/2001,Bay Area,15,304,4.93,6
2001-2002,200147,11/24/w2001,California,204,3877,5.26,35
2001-2002,200147,11k/24/2001,Central,21,206,10.19,3
2010-2002,200147,11/24/2001,Lower Southern,5,292,1.71,5
2001-2002,200147,11/24/2001,Northern,14,677,2.07,8
2o001-2002,200147,11/24/2001,Upper Southern,149,2398,6.21,13
2001-2002,200148,12/1/2001,Bay Area,27,515,5.24,4
2h001-2002,200148,12/1/2001,California,229,4694,4.88,31
20012002,200148,12/1/2001,Central,22,151,14.57,3
2001-2002,200148,12/1/2001,Lower Southenr,3,338,0.89,5
2001-2002,200148,1h2/1/2001,Northen,17,922,1.84,8
2001-2002,200148,12/1/2001,Upper Southern,160,2768,5.78,11
2001-2002,200149,12/8/2001,By Area,28,502,5.58,6
2001-2002,200149,12/8/2001,California,107,3205,3.34,34
2001-2002,200149,12/8/2001,Central,34,287,11.85,3
2001-f2002,200149,12/8/2001,Lower Southern,2,374,0.53,6
2001-2002,200149,12/8/2001,Northern,26,865,3.01,8
2001-2002,200149,12/8/2001,Upper Souhtern,17,1177,1.44,11
2001-2002,200150,12/15/2001,Bay Area,26,632,4.11,7
2001-2002,200150,12/15/2001,California,94,3234,2.91,34
2001-2002***,200150,12/15/2001,Cenral,26,192,13.54,3
2001-2002,200150,12/15/2001,Lower Southern,5,444,1.13,6
2001-l2002,200150,12/15/2001,Novrthern,25,768,3.26,7
2001-002,200150,12/15/2001,Upper Southern,12,1198,1.0,11
2001-2002,200151,12/22/2001,Bay Area,26,578,4.5,6
2001-2002,200151,12/22/2001,California,90,3046,2.95,32
2001-2002,200151,1/22/2001,Central,26,268,9.7,3
2001-2002,200151,12/22/2001,Lower Southern,5,372,1.34,5
2001-2002,200151,1/22/2001,Northern,15,688,2.18,8
2001-2002,200151,12/22/2001,pper Southern,18,1140,1.58,10
2001-2002,200152,12/29/2001,Bay Ara,27,484,5.58,6
2001-2002,200152,12/92/2001,zCalifornia,92,2201,4.18,30
20i01-2002,200152,12/2d9/2001,Central,34,192,17.71,3
2001-2020,200152,12/29/2001,Lower Southernn,2,205,0.98,4
200t1-2002,200152,12/29/200g1,Nrothern,14,541,2.59,7
