business_id,date,description,code,critical,OBJECTID
31334,20190409,"Lighting provided as required, fixtures shielded",,false,0
31334,20220810,Wiping cloths:  properly used and stored,,false,1
31334,20220810,Nonfood-contact surfaces clean,,false,2
31334,20221212,Wiping cloths:  properly used and stored,,false,3
31334,20230512,"Ware washing facilities:  installed, maintained, used, test strips",,false,4
31334,20231005,Certified food protection manager,,false,5
31334,20231005,"Ware washing facilities:  installed, maintained, used, test strips",,false,6
32112,20190411,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",,false,7
32112,20190411,Food/Non-food contact surfaces of equip/utensils clean,,false,8
32112,20191120,"Physical facilities installed, maintained and clean",,false,9
32112,20211022,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,,true,10
32112,20211022,PROPER COLD HOLDING TEMPERATURES,,true,11
32112,20211022,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",,true,12
32112,20211022,"Proper cooling methods used; adequate equipment for temperature control",,false,13
32112,20211022,PROPER COOLING TIME AND TEMPERATURE,,true,14
32112,20211022,"Physical facilities installed, maintained and clean",,false,15
32112,20211029,"Physical facilities installed, maintained and clean",,false,16
32112,20220524,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",,false,17
32112,20220524,Nonfood-contact surfaces clean,,false,18
32112,20220524,"In-use utensils, properly stored",,false,19
32112,20221213,"Personal cleanliness; hair restraints",,false,20
32112,20221213,"Ware washing facilities:  installed, maintained, used, test strips",,false,21
32112,20221213,"Physical facilities installed, maintained and clean",,false,22
32112,20221213,"Food properly labeled; original container",,false,23
32112,20230705,Certified food protection manager,,false,24
32112,20230705,"Contamination prevented during food preparation, storage and display",,false,25
32112,20230627,Certified food protection manager,,false,26
32112,20230627,NO BARE HAND CONTACT WITH READY-TO-EAT FOODS OR APPROVED ALTERNATE METHOD FOLLOWED,,true,27
32112,20230627,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",,true,28
32112,20230627,Food separated and protected,,false,29
32112,20230627,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,,true,30
32112,20230627,PROPER COLD HOLDING TEMPERATURES,,true,31
32112,20230627,TIME AS A PUBLIC HEALTH CONTROL:  PROCEDURES AND RECORDS,,true,32
32112,20230627,"Personal cleanliness; hair restraints",,false,33
32112,20230627,Wiping cloths:  properly used and stored,,false,34
32112,20230627,"In-use utensils, properly stored",,false,35
32112,20230627,"Toilet facilities:  properly constructed, supplied, cleaned",,false,36
32112,20230627,"Ware washing facilities:  installed, maintained, used, test strips",,false,37
32114,20190618,"Container, properly labeled",,false,38
32114,20190618,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,,false,39
32114,20190618,"Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used",,false,40
32114,20190618,"Installed, maintained",,false,41
32114,20200107,Adequate hand washing facilities supplied and accessible,,false,42
32114,20200107,"Physical facilities installed, maintained and clean",,false,43
32114,20200107,Food separated and protected,,false,44
32114,20200107,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",,false,45
32114,20200107,"In-use utensils, properly stored",,false,46
32114,20210722,Certified food protection manager,,false,47
32114,20210722,"Ware washing facilities:  installed, maintained, used, test strips",,false,48
32114,20210722,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",,false,49
32114,20210722,Thermometers provided and accurate,,false,50
32114,20220519,Certified food protection manager,,false,51
32114,20220519,Food separated and protected,,false,52
32114,20220519,"Food properly labeled; original container",,false,53
32114,20220519,Wiping cloths:  properly used and stored,,false,54
32114,20220519,"In-use utensils, properly stored",,false,55
32114,20220519,"Physical facilities installed, maintained and clean",,false,56
32114,20221201,Food separated and protected,,false,57
32114,20221201,"Food properly labeled; original container",,false,58
32114,20221201,"Personal cleanliness; hair restraints",,false,59
32114,20221201,Wiping cloths:  properly used and stored,,false,60
32114,20221201,"Physical facilities installed, maintained and clean",,false,61
32114,20221201,"Hot and cold water available; adequate pressure; plumbing maintained",,false,62
32114,20230531,Adequate hand washing facilities supplied and accessible,,false,63
32114,20230531,Thermometers provided and accurate,,false,64
32114,20230531,"Contamination prevented during food preparation, storage and display",,false,65
32114,20230531,"In-use utensils, properly stored",,false,66
32114,20230531,Nonfood-contact surfaces clean,,false,67
32114,20230531,"Physical facilities installed, maintained and clean",,false,68
32114,20230531,"Hot and cold water available; adequate pressure; plumbing maintained",,false,69
32140,20181205,"Food/Non-food contact surfaces designed, constructed, maintained, installed",,false,70
32140,20181205,"Storage, handling of clean equipment/utensils/single service articles",,false,71
32140,20181205,"Installed, maintained",,false,72
32140,20181205,"Floors constructed, drained, clean, good repair, covering installation, easily cleanable",,false,73
32140,20181205,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",,false,74
32140,20190415,"Clean clothes, hair restraints",,false,75
32140,20190415,Outer openings protected,,false,76
32140,20190415,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",,false,77
32140,20190415,"Installed, maintained",,false,78
32140,20190415,Food/Non-food contact surfaces of equip/utensils clean,,false,79
32140,20200131,"Personal cleanliness; hair restraints",,false,80
32140,20200131,"Single use/single service articles:  properly stored, used",,false,81
32140,20200131,"Physical facilities installed, maintained and clean",,false,82
32140,20190812,Food stored covered,,false,83
32140,20190812,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",,false,84
32140,20190812,"Single use/single service articles:  properly stored, used",,false,85
