OBJECTID,JURIS_NAME,County_name,City_name,City_Name_Proper,RATE,START_DATE,DateStamp,DateCreated,SHAPE_Length,SHAPE_Area
540,ADELANTO,SAN BERNARDINO,ADELANTO,Adelanto,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,122818.004500041,202527203.3358
541,AGOURA HILLS,LOS ANGELES,AGOURA HILLS,Agoura Hills,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,29624.5283799749,29638745.6990421
542,ALAMEDA,ALAMEDA,ALAMEDA,Alameda,0.1075,2022/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,45905.0266787553,94792820.7615333
543,ALBANY,ALAMEDA,ALBANY,Albany,0.1075,2022/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,25246.5685768133,21206890.5197317
544,ALHAMBRA,LOS ANGELES,ALHAMBRA,Alhambra,0.1025,2020/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,25462.3382417289,28881666.2795674
545,ALISO VIEJO,ORANGE,ALISO VIEJO,Aliso Viejo,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,33779.8583231963,25900816.6504407
546,ALTURAS,MODOC,ALTURAS,Alturas,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,23788.7587212131,13363838.6504019
547,AMADOR CITY,AMADOR,AMADOR CITY,Amador City,0.0775,2009/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,4618.24364815908,1307519.37094454
548,AMERICAN CANYON,NAPA,AMERICAN CANYON,American Canyon,0.0775,2018/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,34991.2653046583,25705065.0194382
549,ANAHEIM,ORANGE,ANAHEIM,Anaheim,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,147762.260691955,191034924.952601
550,ANDERSON,SHASTA,ANDERSON,Anderson,0.0775,2014/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,47507.348524566,32458449.9188461
551,ANGELS CAMP,CALAVERAS,ANGELS CAMP,Angels Camp,0.0775,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,30295.3816418008,14886738.4222063
552,ANTIOCH,CONTRA COSTA,ANTIOCH,Antioch,0.0975,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,74770.9526551326,124862442.545936
553,APPLE VALLEY,SAN BERNARDINO,APPLE VALLEY,Apple Valley,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,105052.541794829,294422748.972437
554,ARCADIA,LOS ANGELES,ARCADIA,Arcadia,0.1025,2020/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,48662.4076836886,42082462.5252254
555,ARCATA,HUMBOLDT,ARCATA,Arcata,0.085,2015/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,75159.8531864655,51385121.7849115
556,ARROYO GRANDE,SAN LUIS OBISPO,ARROYO GRANDE,Arroyo Grande,0.0775,2007/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,31880.1315167474,22988070.906902
557,ARTESIA,LOS ANGELES,ARTESIA,Artesia,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,17023.7680703391,6128511.79149088
558,ARVIN,KERN,ARVIN,Arvin,0.0825,2009/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,26372.5719742767,18685945.7746176
559,ATASCADERO,SAN LUIS OBISPO,ATASCADERO,Atascadero,0.0875,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,57362.8729966597,102496335.894799
560,ATHERTON,SAN MATEO,ATHERTON,Atherton,0.09375,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,31011.3909381934,20731745.8413248
561,ATWATER,MERCED,ATWATER,Atwater,0.0875,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,45476.2846178595,27574038.106507
562,AUBURN,PLACER,AUBURN,Auburn,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,59836.9235103745,30627246.2221444
563,AVALON,LOS ANGELES,AVALON,Avalon,0.1,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,33400.2838547808,28673864.9397036
564,AVENAL,KINGS,AVENAL,Avenal,0.0825,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,55437.4453120481,77386706.3249131
565,AZUSA,LOS ANGELES,AZUSA,Azusa,0.1025,2020/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,58591.2726912347,36615291.5838382
566,BAKERSFIELD,KERN,BAKERSFIELD,Bakersfield,0.0825,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,530581.649903293,592693248.335008
567,BALDWIN PARK,LOS ANGELES,BALDWIN PARK,Baldwin Park,0.1025,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,32301.8437625128,25658148.8734087
568,BANNING,RIVERSIDE,BANNING,Banning,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,98625.7763665,87710252.0676532
569,BARSTOW,SAN BERNARDINO,BARSTOW,Barstow,0.0875,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,124527.821850706,159114489.687661
570,BEAUMONT,RIVERSIDE,BEAUMONT,Beaumont,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,95609.0276645405,114564041.754688
571,BELL,LOS ANGELES,BELL,Bell,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,24189.3665496884,9895746.09619464
572,BELL GARDENS,LOS ANGELES,BELL GARDENS,Bell Gardens,0.1025,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,14228.3602249487,9303030.09178816
573,BELLFLOWER,LOS ANGELES,BELLFLOWER,Bellflower,0.1025,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,21825.9131832647,23316773.4600963
574,BELMONT,SAN MATEO,BELMONT,Belmont,0.09875,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,28146.252778649,19129337.03606
575,BELVEDERE,MARIN,BELVEDERE,Belvedere,0.0825,2022/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,13727.3326842405,9484327.89397567
576,BENICIA,SOLANO,BENICIA,Benicia,0.08375,2015/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,42808.5935030401,66403114.3324452
577,BERKELEY,ALAMEDA,BERKELEY,Berkeley,0.1025,2022/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,47084.7316251647,74855346.5317242
578,BEVERLY HILLS,LOS ANGELES,BEVERLY HILLS,Beverly Hills,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,31778.1528307453,21616869.7413312
579,BIG BEAR LAKE,SAN BERNARDINO,BIG BEAR LAKE,Big Bear Lake,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,56912.6342407388,24469808.4819325
580,BIGGS,BUTTE,BIGGS,Biggs,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,16154.3877964339,3845265.81811316
