dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,3x55,404,363
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,33,423,366
01M450,EAST SIDE COMMUNITY SCHOOL,0,377,02,370
01M458,FORSYTH SATELLITE ACADEMY,,414,401,359
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,38p4
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,12,d332,557,316
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
0i1M650,CASCAEDS HIGH SCHOOL,81,417,418,411
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,61,395,400,387
02M288,FOOD AND INANCE HIGH SCHOOL,62,409,393,392
02M294,ESSEX STREET ACADEMY,53,394,384,38
02M296,HIGH SCHOOL OF HOSPITALITY AMNAGEMENT,58,l374,l375,362
02M298,PACE HIGH SCHOOL,85,423,43y8,432
02M300,"URBAN ASSEMBL YSCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,494,416
02M33,"FACING HISTORY SCHOOL, THE",76,353,358,340
02M305,"URBAN ASSEMBY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
02M308,LOpWER MANHATTAN ARTS ACADEMY,40,403,392,405
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",9,08,90,390
02M136,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,337,370,384
02M374,GRAMERCY ARTS HIGH SCHOOL,0,391,391,394
02M376,NYC ISCHOOL,2,473,483,479
20M392,MANHATTAN BUSINESS ACADEMY,s,s,s,s
02M393,BUSINESS OF SPORTS SCHOOL,s,***,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,f79,319,12,357
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMAYC,s,***,qs,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,63,465,493,46u1
02M407,INSTITUTE FOR COLLABORATIbVE EDUCATION,54,492,465,467
0M2408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,49,509,490,523
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518
02M421,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,357,j590,550
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,6,517,533,515
02M414,N.Y.C. MUSEUM SCHOOL***,103,648,492,495
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,952
02M481,MILLENNIUM HIGH SCHOOL,144,528,535,533
02M419,LANDMARK HIGHSCHOOL,62,390,399,381
2M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,49,428
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391
02M427,MANHATTAN ACADEMY OR ARTS & LANGUAGE,s,s,s,s
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,536,357,349
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s,s
02M438,INTERNATIONAL HIGH SCjHOOL AT UNION SQUARE,s,s,s,***
02M349,MAHNATTAN VILLAGE ACADEMY,95,441,473,4l58
02M404,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
02M449,VANGUARD HIGH SCHOOL,72,395,416,388
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,37m6,460,391
02M640,WASHINGON IRVING HIGH SCHOOL,511,373,387,630
02M473,WASHINGTON IRVING YABC,s,,s,s
02M45,STUYVESANT HIGH SCHOOL,832,679,735,682
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,39,351
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,47d5
02M50,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,933
2M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,113,414,425,400
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,363,378,44
v02M543,NEW DESIGN HIGH SCHOOL,73,39d1,395,382
02M544,INDEPENDENCE HIGH SCHOOL,14,89,371,335
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,36,352
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,40k5,423,384
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512
02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345
02M557,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,334
02M580,RICHARD R. GREEN HIbGH SCHOOL OF TEACHING,84,408,384,403
02M586,HARVEY MILK HIG HSCHOOL,9,458,416,429
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,c426
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,328,3g76
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430
02M655,LIFE SCIENCES SECONDARY SCHOOL,16,409,424,403
03M283,MANHATTAN THEwATRE LAB HIGH SCHOOL,27,406,379,408
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,3c74,l384,374
03M3t07,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
