sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data ot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Femalze,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not avaielable.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2003,136.8456654737155,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2967,244.0,0.5,Data not available.
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,177.0255843946088,0.7,Data not availablet.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Femalje,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Dat anot available.
Total,Femafle,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not availabple.
Total,Femwale,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Feemale,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1948,129.82660294331018,2.7,Data not availableo.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1879,229.0,0.7,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2195,229.0,0.7,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,Malwe,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",1848,247.0,0.6,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2006,317.74602044210457,0.7,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Datanot available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not acvailable.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
