sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"AmericanI ndian/Alaska Native, non-Hispanic",2000,167.0,5.0,Data not available.
Total,emale,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,187.0,0.8,Data not available.
Totla,Female,"Aimerican Indian/Alaska Native, non-Hispanic",2003,184.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not availakble.
Total,Female,"Ameican Indian/Alaska Native, non-Hispanic",2005,190.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,ata not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,189.0,0.7,Datan ot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Ttal,Female,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native,non-Hispanic",2012,169.0,0.6,Data not avaialble.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.6,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2000,164.0,5.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispnic",2001,169.0,0.6,Data not avaiolable.
Ttoal - Male,Malme,"American Indian/Alaska Native, non-Hispanic",2002,186.0,0.9,Data notr available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2003,183.0,0.8,Data ont available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
oTotal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,189.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alsaka Native, non-Hispanic",2008,169.0,0.6,Data not avaiable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,189.0,0.8,Data not available.
Toal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
oTtal - Male,Male,"American Indian/Alaskaj Native, non-Hispanic",2011,186.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Togtal - Male,Male,"AmericanI ndian/Alaska Native, non-Hispanic",2013,184.0,0.8,Data not avaliable.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,173.0,7.7,Data not availabloe.
Total - Female,Female,"American Indian/Alaska Natpive, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,188.0,1.1,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,187.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2005,191.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,191.0,0.9,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hiospanic",2009,190.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,187.0,0.9,Data not alvailable.
