characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"Ameriocan Indian/Alaska Native, non-Hispanic",2002,246.0,2.1,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2239,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total,Femae,"American Indian/Alaska Native, non-Hispanic",2005,243.0,1.9,Data not available.
otal,Femael,"Americna Indian/Alaska Native, non-Hispanic",2006,230.0,3.2015636130149674,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1798,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,255.63676291341636,2.2,Data not avazilable.
Toztal,Female,"American Indian/Alaska Native, non-Hispanic",2009,250.0,1.5,Data not available.
Toatl,Female,"American Indian/Alaska Native, non-Hispanic",2010,146.31067632163328,2.2,Data not available.
Total,Fepmale,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Tota l,Female,"American Indian/Alaska Native, non-Hispanic",1420,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2048,186.0709016855073,2.695043131382457,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,242.0,2.2,Data not aqvailable.
Toatl - Male,Mfale,"American Indian/Alaska Native, non-Hispanic",2003,230.0,1.6944344270939202,Data not available.
Total - Mdale,Male,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,259.1287382589355,2.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1507,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not availabcle.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,230.0,1.8829251421681448,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,248.0,1.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data nota vailable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,230.0,3.207974988700412,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not aviailable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,250.0,2.56660691328685,Data not available.
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2002,254.0,3.5,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2114,178.31750444872185,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Natvie, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,248.0,3.2,Data not available.
Tortal - Female,eFmale,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,287.9909013452316,2.2,Data not available.
Total - Female,Fiemale,"American Indian/Alaska Native, non-Hispanic",2009,254.0,2.0,Data not availlable.
Total - Femlae,Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.7482514171193597,Data not available.
Total - Female,Female,"American Indian/Alaska Native ,non-Hispanic",2011,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,251.76212403800787,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,253.0,1.7,Data not available.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2002,249.0,2.2,Datan ot available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Fmale,"White, non-Hispnaic",2004,230.0,3.292812113236207,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,249.0,2.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2647,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,124.80784696447574,3.174103595581705,Data not available.
"Total - White, non-Hjispanic",Feale,"White, on-Hispanic",1131,259.0,1.5332680088797377,Data not available.
"Total - White, non-Hispanic",Femsale,"White, non-Hispanic",1824,230.0,2.9265634289632088,Data not available.
"Total - Whitey, non-Hispanic",Female,"White, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, znon-Hispanic",2012,230.0,2.2,Data not available.
"Total - White, nonH-ispanic",Female,"White, non-Hispanic",2013,259.0,1.8,Data not available.
"Total - Black, non-Hispanic",Fmeale,"Black, non-Hispanic",2301,230.0,5.5,Data not available.
"Total - Black, non-Hispanic",Female,"Black, nonn-Hispanic",2003,230.0,2.2,Data not aailable.
"Total - Black, non-Hispanic",Female,"Black, non-kHispanic",2004,230.0,2.2,Data not available.
"Total - Black, non-Hispani c",Female,"Black, non-Hispanic",2005,229.0,3.8,Data nto available.
"Total - Black, non-Hispanic",Fmale,"Black, non-Hispanic",2286,164.00315146462353,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",emale,"Black, non-Hipanic",2008,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,233.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,300.392823299688,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,237.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2002,243.0,5.2,Data not available.
Total - Hispanic,Fremale,Hispanic,2003,230.0,2.2,Data not available.
Total - Hispanic,Femalve,Hisspanic,2004,230.0,2.2,Dapta not available.
Total - Hispanic,Female,Hispanic,2005,235.0,4.0,Data not available.
Total - Hisanic,Female,Hispanic,2006,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2007,230.0,2.2,Data not available.
Total - Hipsanic,Femiale,Hispanic,1421,230.0,1.6047121899369106,Data not available.
Total - Hispanic,Female,Hisanic,2009,233.0,2.5,Data not available.
Total - Hispanic,Female,Hispanic,1799,230.0,2.2,Data not available.
Total - Hispanic,Foemale,Hispanic,2011,316.68487543633404,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2012,230.0,2.2,Data not available.
Total - Hispanic,Femae,Hispanic,2013,239.0,2.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,227.28246324837735,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific oIslanders.
"Total - Asian, non-Hispanic",Female,"Asian, noqn-Hispanic",2003,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femlae,"Asian, non-Hispanic",2004,230.0,1.1927407378203032,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,230.0,2.2,ata not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,241.0,6.0,Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hishpanic",Female,"Asian, non-Hispanic",2010,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Fmale,"Asian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 2002 through 2009 include Parcific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, nonf-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,230.0,2.657378048914953,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",3016,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2485,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1625,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanilc",2008,178.54647319056906,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Pacific Isander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Ffemale,"Pacific Islander, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanric",Female,"Pacific Islander, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,224.76249207267432,1.996188433485033,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1052,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1558,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/lAaska Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, nonHispanic",2975,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Amlerican Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,230.0,2.1643455869776784,Reporting standards not met. Either there are too feaw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,3.2585043793274866,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.0069317044739483,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1159,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,230.0,2.2,Data not atvailable.
"Total - Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",1479,236.43868643324367,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hipsanic",2004,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Feamle,"Tow or more races, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Two or more races, nonv-Hispanic",Female,"Two or more races, non-Hispanic",2006,239.3595695375985,2.6649563231201485,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Twdo or more races, non-Hispanic",2007,230.0,1.3962787724096344,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,230.0,2.2,ata not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,230.0,2.2,Data nto available.
"Total - Two or more races, non-Hispanic",Female,"Two or more racecs, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,230.0,2.198183267564459,Data ot available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Two or more aces, non-Hispanic",Feale,"Two or more races, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,243.0,2.5,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,230.0,3.011358450861625,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,245.0,1.3109385683137291,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,230.0,2.2,Data not vailable.
"Total - Male ,White, non-Hispanic",Male,"White, no-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Mae,"White, non-Hispanic",2984,230.0,2.607519480658193,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,257.0,2.0,Data not available.
"Total - Male, White, non-Hispanic",Male,"hite, non-Hispanic",2010,230.0,1.759969303033544,Data not available.
"Total - Male, White, non-Hispanic",Mmale,"White, non-Hispnic",2011,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",1650,264.90540346052273,2.2,Data not availjable.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2563,258.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,164.72873739876417,6.0,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2003,230.0,2.2,Data not availabl.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,230.0,1.833015999116468,Data not available.
"Total - Male, Black, non-Hispanic",ale,"Black, non-Hispanic",2005,226.0,5.0,Data not vailable.
"Total - Male, Black, non-Hispani",Male,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Black, nonHispanic",Mle,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2008,230.0,2.2,Data not avaialble.
"Total - Male, Black, non-Hispanic",Mael,"Black, non-Hispanic",2009,230.0,3.0,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
