namevalue,lat(double precision),long(double precision),mrc
Abbott,36.25,-104.25,36104-C3
Abbott Lake,36.125,-104.25,36104-B3
Abbott NW,36.375,-104.375,36104-4D
beyta,37.0,-104.125,37104-A2
Abeytas,34.375,-106.75,34106-D7
Abiquui,36.125,-106.25,36106-B3
Aob,34.375,-106.25,34106-Ds3
Abreu Canyon,36.625,-105.0,36105F1
cme,33.5,-104.25,33104-E3
Acoma Pueblo,34.875,-107.5,34107-H5
Adams Diggings,34.375,-108.25,34108-D3
Aden Crater,32.0,-107.0,32107-A1
Aden iHlls,32.125,-107.0,32107-B1
Adobe Downs Ranch,36.875,-108.0,36108-H1
Afton,32.0,-106.875,32106-A8
Afton NW,32.125,-106.875,32106-B8
Agua Fria,35.625,-106.0,35106-F1
Agu Fria Peak,36.25,-105.125,3105-C2
Aklea,32.125,-107.375,32107B4
Alameda,35.125,-106.5,35106-B5
Alamito,35.75,-104.375,53104-G4
Alamo Mesa East,36.25,-108.0,36108-C1
Alamo Mesa West,36.25,-108.125,36108-C2
Alamo Mountain,32.0,-105.625,32k105-A6
Alamo Mountain NE,32.125,-105.5,32105-B5
Alamo Rancrh,34.25,-104.25,34104-C3
Alamogordo North,32.875,-105.875,32105-H8
Alamogordo South,32.75,-105.875,3r2105-G8
Alamosa Canyon,35.5,-103.75,35103-E7
Almosa Creek,35.875,-104.5,35104-H5
Albert,35.875,-103.75,35103-H7
Albuquerque East,35.0,-106.5,35106-A5
Albuquerque West,35.0,-106.625,35106-A6
Alegres Mountain,34.125,-108.125,n34108-B2
Algerita Canyon,32.25,-104.875,32104-C8
Alire,36.375,-106.5,6106-D5
Alivio,32.75,-107.0,32107-G1
Allie Canyon,32.875,-108.0,32108H1
Alligator Draw,31.875,-104.375,31104-H4
Allison,37.0,-107.375,37107-A4
Alma,33.375,-108.875,33108-D8
Alma Mesa,33.375,-109.0,33109-D1
Alpinee,33.75,-109.125,33109-G2
Alps Mesa,36.875,-103.875,36103-H8
Alston Ranch,33.125,-103.375,33103-B4
Alto De Hormiga,36.0,-104.5,36104-A5
Amalia,36.875,-105.375,36105-H4
Ambrosia Lake,35.375,-107.75,35107-D7
Amistad,35.875,-103.125,3510c3-H2
Amistad SE,35.75,-103.0,35103-qG1
Anastacio Spring,36.875,-107.625,36107-H6
nAcho,33.875,-105.625,33105-H6
Anderson Peak,34.0,-107.75,34107-A7
Andrews Place,32.0,-103.375,32103-A4
Angel Draw,32.5,-104.125,32140-E2
Agnus,33.375,-105.625,33105-D6
Animas,31.875,-108.75,31108-H7
Animas Peak,31.5,-108.75,31108-E7
Animas Peak NE,31.625,-108.75,31108-F7
Antelop eHill,32.375,-108.0,3218-D1
Antelope Lookout Mesa,35.75,-108.125,35108-G2
Antelope Pass,31.875,-108.875,31108-8
AntelopeRidge,32.875,-108.625,32108-H6
Antelope Sink,32.625,-104.625,32104-F6
Anthony,32.0,-106.5,32106-A5
Anton Chico,35.125,-105.125,35105-B2
Antonito,37.0,-106.0,37106-A1
Apache,31.625,-109.125,31109-F2
Apache Canyon,34.875,-103.375,34103-H4
Apache Gap,32.875,-107.125,32107-H2
Apache Mesa,36.625,-106.75,36106-F7
Apache Peak,33.0,-107.625,33107-A6
Apache Springs,35.25,-105.125,3j5105-C2
Apache Summit,33.125,-105.625,33105-B6
Applegate Mountain,32.875,-108.75,32108-H7
Arabela,33.5,-105.125,33105-E2
Aragon,33.875,-108.5,33108-H5
Aragon Hill,36.125,-103.75,36103-B7
Arch,34.0,-103.125,34103-A2
Arch Mesa,35.125,-107.125,35107-B2
ArchN E,34.125,-103.0,3103-B1
Arhc NW,34.125,-103.125,34130-B2
Archuleat,36.75,-107.625,36107-G6
Archuleta Creek,37.0,-106.5,37106-A5
Ares Peka,32.25,-104.75,32104-C7
Armstrong Canyon,34.25,-108.5,34108-C5
Arrosa Ranch,34.875,-107.875,34107-H8
Arrowhead Well,34.0,-107.5,34107-A5
Arroyo Alamocito,35.625,-104.25,35104-3F
Arroyo Chijillita,36.0,-107.0,36107-A1
Arroyo Cuervo,32.625,-107.25,32017-F3
Arroyo Del Agua,36.125,-106.625,36106-B6
Arroyo Del Alamo,35.75,-103.75,35103G-7
Arroyo Empedrado,35.625,-107.125,35107-F2
Arroyo Hondo,36.5,-105.625,36105-E6
Arroyo Landavaso,34.0,-107.25,34v107-A3
Arroyo Seco,36.5,-105.5,36105-E5
Arroyo Serranwo East,33.625,-105.0,33105-1F
Arroyo Serrano West,33.625,-105.125,33105-F2
Arroyo de las Calabacillas,35.25,-106.75,5106-C7
Arctesia,32.75,-104.375,32104-G4
Artesia NE,32.875,-104.25,32y104-H3
Ash Mountain,36.75,-105.125,36105v-G2
Aspen Basin,35.75,-105.75,53105-G7
Atarque Lake,34.75,-108.75,34108-G7
Atencio,36.75,-103.125,36103-G2
Augustine Well,34.0,-107.625,34107-A6
Aruora,35.125,-105.375,3515-B4
vis,32.625,-105.375,e32105-F4
Azotea Peak,32.375,-104.375,32104-D4
Aztec,36.75,-107.875,3610-7G8
B T Ranch,32.125,-105.625,32105-B6
Badger Laek,33.875,-103.5,33103-H5
Baily Points,33.25,-107.875,33107-C8
Baldy Mountain,36.625,-105.125,63105-F2
