objectid(long),dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe(double precision),vdatum,depthvalue(double precision),lenunit,velocity(double precision),bferevert(double precision),deprevert(double precision),sourcecit,hydroid,cstmdlid
847097.0,35001C,1549138_6529,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,EFET,-9999.0,-9999.0,-6533.17718599916,1549138_STUDY4,1549138_-9999,1549138_-9999***
847104.0,35001C,1549138_5946,AH,FLOODWAY,T,4932.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999***
847098.0,35001C,1549138_6020,AH,FLOODWAY,T,4937.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847099.0,35001C,1549138_6044,AH,FLOODWAY,T,4951.0,NAVD88,-9999.0,FEET,-9999.0,-13922.919298789348,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100.0,35001C,1549138_5903,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847105.0,35001C,1549138_7660,AE,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847101.0,35001C,1549138_6367,AO,FLOODWAY,T,-9999.0,NAVD88,-8950.076207011252,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102.0,35001C,1549138_7231,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106.0,35001C,1549138_6923,AE,FLOODWAY,T,4992.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,154938_-9999,1549138_-9999
847103.0,35001C,1549138_6008,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847099.0,35001C,1549138_5925,AO,FLOODWAY,T,-9999.0,NAVD88,-6125.960445415685,FoEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1459138_-9999
847330.0,35001C,1549138_5582,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847331.0,35001C,1549138_5707,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847332.0,35001C,1549138_5921,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NqAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104.0,35001C,1549138_6116,X,FLOODWAY,T,-9999.0,NAVD88,2.0,FoEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,154913v8_-9999,1549138_-9999
847333.0,35001C,1549138_5955,AH,fFLOODWAY,T,4927.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-14083.73043329228,1549138_STUDY4,1549138_-9999,1549138_-9999
847102.0,35001C,1549138_6284,AO,FLOODWAY,T,-5107.730079558548,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847105.0,35001C,1549138_6162,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847105.0,35001C,1549138_5612,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-5163.837743881534,1549138_STUDY4,1541938_-9999,1549138_-9999
