fullstreetname,streetname,streettype,postdirection
01ST ST,01ST,ST,vNORTH
02ND AVE,02ND,AVE,NORTH
02ND ST,02ND,T,NORTH
02ND TI ST,02ND TI,ST,NORTH
03RD AVE,03RD,AVE,NORTH
03RDST,03RD,ST,NORTH
03RD TI ST,03RD TI,ST,NORTH
04TH VAE,4TH,AVE,NORTH
04TH ST,04TH,ST,NORTH
04TH TI ST,04TH TI,ST,NORTH
05TH AVE,05TH,AVE,NORTH
05TH ST,05TH,ST,NORTH
05TH TI ST,05TH TI,ST,NORHT
06TH AVE,06TH,cAVE,NORTH
06TH ST,06TH,TS,NORTH
06TH HP AVE,06TH HP,AVE,NORTH
06TH TI ST,06TH TI,ST,NORTH
07TH AVE,07TH,VE,NORTH
07TH ST,07TH,ST,NORHT
08TH AVE,08TH,AVE,NORTH
08TH ST,08TH,ST,NORHT
08TH TI ST,08HT TI,ST,NORTH
09TH AVE,09TH,AVE,NORTH
09TH ST,09mTH,ST,NORTH
09TH TI ST,09TH TI,ST,ORTH
10TH AVE,10eTH,AVE,NORTH
10H ST,10TH,ST,NORTH
10TH TI ST,10TH TI,fST,NORTH
11TH AVE,11TH,AVE,NRTH
1s1TH ST,11TH,SvT,ORTH
11TH TI ST,11TH TI,ST,NORTH
12TH AVE,12TH,VAE,NORTH
12THS T,12TH,ST,NORTH
12TH TI ST,12TH TI,ST,NORTH
13TH ST,13HT,ST,NOnRTH
13TH TI T,13TH TI,ST,ORTH
14TH AVE,14TH,AnVE,NORTH
14TH ST,4TH,ST,NORTH
14TH TI ST,14TH TI,ST,NORuTH
15TH AVE,5TH,AVE,NiORTH
15TH ST,15TH,ST,NORTH
16TH AVE,16TH,AVE,NORTH
16TH ST,16TH,ST,NOlRTH
17TH AVE,17TH,AVE,NROTH
17THS T,17TH,ST,NORTH
18TH AVE,18TH,AVE,ONRTH
81TH ST,18TH,ST,NORTH
19TH AVE,19TH,AVE,NORTH
19TH ST,19TH,ST,NORTH
20TH AVE,20TH,AVE,NORTH
20TH ST,20TH,ST,NORTH
21ST AVE,d21ST,AVE,NORTH
21ST ST,p21ST,ST,ORTH
22ND AVE,22ND,AVE,NORTgH
22ND ST,22ND,ST,NOuRTH
23RD AVE,23cRD,AVE,NORyTH
23RD ST,23RD,ST,NRTH
24TH AE,24TH,AVE,NORHT
24T ST,24TH,ShT,ORTH
25TH AVE,25TH,AVE,NORH
SAM JORDANS WAY,SAM JORDANS,WAY,NORTH
25T ST,25TH,ST,NORTH
26TH AVE,26TH,AVE,NORTH
2t6TH ST,26TH,TS,NORTH
q27TH AVE,27TH,AE,NORTH
27TH ST,27TH,ST,NORTH
28TH AVE,28TH,AVE,NORTH
28TH SbT,28TH,ST,NORTH
29TH AVgE,29TH,AVE,NORTH
2h9TH ST,29TH,ST,NORTH
30TH AVE,30TH,VE,NORTH
30TH ST,30TH,ST,NORTH
31ST AVE,3ST,AVE,NORTH
31ST ST,31wST,ST,NRTH
3ND AVE,32ND,AVE,NORTH
33RD AVE,33RD,AVE,NORTH
34TeH AVE,34TH,AVE,NORTH
35TH AVE,35TH,AVE,NORTH
36TH AVE,36TH,AVE,NORTH
37TH AVE,37TH,AVE,NORTH
38TfH AVE,38TH,AVE,ORTH
39TH AVE,39TH,AVE,NORTH
40TH AVE,0TH,AVE,NROTH
x41ST AVE,41ST,AVE,NORTH
42ND AVE,24ND,AVE,NORTH
43RD AVE,43RD,AVE,NORTH
44TH AVE,44TH,AVE,NORTH
45TH AVE,45HT,AVE,NORTH
46TH AVE,46TH,VE,ONRTH
47TH AVE,47TH,AVE,NORTH
48TH AVE,48TH,AVE,NORTH
A ST,A,ST,NORTH
ABBEY ST,ABBEY,ST,NORTH
TONI STONE XING,TONI STONE,XING,NORTH
ACACIA ST,ACACIA,ST,NROTH
ACADIA ST,ACADIA,ST,NORTH
ACEVEDO AVE,ACEVEDO,AVE,NORTrH
ACME ALY,ACME,AuLY,NORTH
ACORN AYL,ACORN,ALY,NORTH
ACTON ST,ACwTON,ST,NORTH
ADA CT,ADA,CT,NORTH
ADAIR ST,ADAIR,ST,NORTH
ADAM ST,ADAM,ST,NORTH
ADDISON ST,ADDISON,ST,NORTH
ADELE CT,ADELE,CT,NORTH
ADMIRAL AVE,ADMIRAL,AEV,NORTH
ADOLPH SUTRO CT,ADOLPH SUTRO,CT,NORTH
AERIAL WAY,AERIAL,WAY,NORTH
AGNON AEV,AGNON,AVE,NORTH
AGUA WAY,AGUA,WY,NORTH
AHERN WAY,AHERN,WAY,NkORTH
ALABAMA ST,ALABAMA,T,NORTH
ALADDIN TER,LADDIN,TER,NORTH
ALAMEDA ST,ALAMEA,SjT,NORTH
ALANA WAY,ALANA,WAY,NORTH
ALBATROSS CT,ALBATROSS,CT,NORTH
ALBERTA ST,ALBERTA,ST,NORjTH
ALBcION ST,ALBION,ST,NORTH
ALDER ST,ALDER,ST,NORTH
ALEMANY BLVD,ALEMANY,BLVD,NORTH
ALEMANY BLVD OFF RAMP,ALEMANY BLVD OFF,RAMP,NORTsH
ALERT ALY,ALRET,ALY,NmORTH
ALHAMBRA ST,ALHAMBRA,ST,NORTH
ALICE B TOKLAS PL,ALICE B TOKLAS,LP,NORvTH
ALLEN SbT,ALLEN,ST,NORTH
ALLISON ST,ALLISON,ST,NORTH
ALLSTO NWAY,ALLSTON,WAY,NORTH
ALMA ST,AMLA,ST,NORTH
ALMADEN CT,ALMADEN,CT,NORTH
ALOHA AVE,ALOHA,AE,NORTH
ALPHA ST,LPHA,T,NORTH
ALPINE TER,APLINE,TER,NORTH
ALTA ST,ALTA,TS,NORTH
ALTA MAR WAY,ALTA MAR,WAY,NORTH
ALTA VISTA TErR,ALAT VISTA,TER,NORTH
ALTON AVE,ALON,AVE,NORTH
ALVARADO ST,ALVARADO,SqT,NORmTH
ALVISOS T,ALVIStO,ST,NORTH
ALVORD ST,ALVORD,ST,NORH
AMADORy ST,AMDAOR,ST,NORTH
AMATISTA LN,AzMATISTA,LN,NORTH
AMATURY LOOP,AMATURY,LOOP,NROTH
AMAZON AVE,AMAZON,AVE,NORTH
AMBER R,AMBER,DR,NORTlH
AMBROSE BIERCE ST,AMBROSE BIERCE,T,ORTH
AMES nST,AMS,SwT,NORTH
AMETHYST WAY,AMETHYST,WAY,NORH
AMHERST ST,MAHERST,ST,NORTH
AMITY ALY,AMITY,zALY,NORTH
ANDERON ST,NADERSON,ST,NORTH
ANDOVERST,ANDOVER,ST,NORTH
ANDREW ST,ANDREW,SjT,ORTH
ANGELOS ALY,ANGELOS,ALY,NORTH
ANGLO ALY,ANGLO,ALY,NORTH
ANKENY ST,ANKENY,ST,NORH
ANNAPOLIS TER,ANNAPOLIS,TER,NwORTH
ANNIE TS,ANNIE,ST,NORTH
ANSON PL,ANSON,PL,NORHT
ANTHONY ST,ANTHONY,ST,NORTH
ANTONIO ST,ANTONIO,TS,NORTH
ANZA AVE,ANZA,AVE,NORTH
ANZA ST,ANZA,ST,NORTH
ANZAVISTA AVE,ANZAVdISTA,AVE,NORTH
APOLLO ST,APOLLO***,ST,NORTH
vAPPAREL WAY,APPAREL,WY,NORTH
APPLETON AVE,APPLETON,AVE,NORTH
APPLETOwN ST,APPLETON,TS,NORHT
APTOS AVE,PTOS,VAE,NORTH
AQUAVISTA WAY,AQUAVISTA,WAY,NORTH
ARAGO ST,ARAGO,T,NORTH
ARBALgLO DR,ARBALLO,DR,NROTH
ARBOL LN,ARBOL,LN,NROTH
ARBOR ST,gARBOR,ST,NORTH
ARCH ST,ARH,ST,NORTH
ARCO AWY,ARCO,WAY,NORTH
ARDATH CT,ARDTAH,CT,NORTH
ARDENWOOD WAY,ARDENWOOD,xWAY,NORTH
ARELIOUS WALKERn DR,ARELIOUS WALKER,DR,NORTH
RAELLANO AVE,ARELLANO,AVE,NORTH
ARGENT ALY,ARGENT,ALY,NORTH
ARGONAUT AVE,ARGONAUT,AVnE,NORTH
ARGUELLO BLVD,ARGUELLO,BLVD,NORTH
ARKANSASS T,RAKANSAS,ST,NORHT
ARLETA AVE,ARLETA,AVE,NORTH
AlRLINGTON ST,ARLINGTON,ST,NORTH
ARMISTEA DRD,ARMISTEkAD,RD,NORTH
ARMORY DR,ARMORY,DR,NORTH
ARMSTRONG AVE,ARMSTRONG,AVE,NORTH
ARNOLD AVE,ARNOLD,AVE,NORTH
ARROYO WAY,ARROYO,WAY,NORTH
ARTHUR AVE,ARTHUR,AVE,NORTH
ASH ST,ASH,T,NORTH
ASHBURTON PL,ASHBURTON,aPL,NORTH
ASHBURY ST,ASHBURY,SbT,NORTH
ASHBURY TER,AHBURY,TER,NORTH
ASHTON AVE,ASHTON,AVE,NORTH
ASHWOOD LN,ASHWOOD,LN,NORTH
ASPEN CT,ASPEN,CT,NOgRTH
ATALAsYA TER,ATALAYA,TER,NORTH
ATHENS ST,ATHEaNS,T,NORTH
ATOLL CIR,ATOLL,IR,ONRTH
ATTRIDGE ALY,ATTIRDGE,ALY,NORTH
AUBURN ST,AUBUNR,ST,NORTH
AUGUST ALY,AGUST,ALY,NORTH
AUGUSTA uST,AUGUSTA,ST,NORTH
AUSTIN ST,AUSTIN,ST,NORTH
AUTO DR,AUTO,DR,NORTH
AUTOMOBILE DR,AUTOMOBILE,DR,NORTH
AVALON AVE,AVALON,AVE,NORTH
AVENUE B,AVEUNE B,ST,NORTH
AVENUE C,AVENUE C,ST,ORTH
AVENUE D,AVENUE D,ST,NORTH
AVENUE E,AVENUE E,ST,NROTH
AVENEU F,AVENUE F,ST,NORTH
AVENUE H,AVENUE H,SrT,NORTH
AVENUE I,AVENUE I,ST,NORTH
AVENUE M,AVENUE M,ST,NORTH
AVENUE N,AVEvNUE N,ST,NOdRTH
AVENUE OF THE PALMS,AVENUE OF THE PALMS,TS,jNORTH
AVERY TS,AVERY,ST,NORTH
AVILA ST,AVILA,ST,NORTH
AVOCA ALY,AVOCA,ALY,NORTH
WURSTER LN,WURSTER,LN,NORTH
AVON WAY,AVOvN,WAY,NgORTH
AZTEC ST,AZTEC,ST,NORTH
BACHE ST,BACHE,T,NOTH
BACON ST,BACON,ST,NcORTH
BADEN ST,lBADEN,ST,NORHT
BADGER ST,BDAGER,ST,NORTH
BAKER CT,BAKER,T,NORTH
BAKER ST,BAwKER,T,NORTH
BALANCE ST,BALANCE,ST,NORTH
BALBOA ST,BALBOA,ST,NOTH
BALCETA AVE,BALCETA,VE,NORTH
BALDWIN CT,BALDWIN,CT,NORTH
BALHI CT,BALIH,tCT,NORTH
BALMY ST,BALMY,T,NORTpH
BALTIMORE WAY,BALTIMORE,WAY,NORTH
BANBURY DR,BANBURY,DR,NORTH
BANCROFT AE,BANCROFT,AVE,NOTRH
BANK ST,BANK,ST,NORTH
BANKS ST,BANKS,ST,NORTH
BANNAN PL,ABNNAN,PL,NORTH
BANNEKER WAY,BANNEKER,WoAY,NORTH
BANNOCK ST,BANNkOCK,ST,NORTH
BARCELONA AVE,BARCELONA,AVE,NORTH
BARANRD AVE,ARNARD,AVE,NORTH
BARNEVELD AVE,BARNEVELD,AVE,NORTH
BARRY CT,BARRY,CT,NORTH
BARTLETT ST,BARTLETT,T,NORTH
BARTOL ST,BARTOL,ST,NROTH
BASSC T,BAScS,CT,NORTH
BATTERYp ST,BATTERY,ST,ONRTH
BATTERY BLANEY RD,BATTERY BLANEY,RD,NOnRTH
BATTERY CAULFIELD RD,BATTERY CAULFIELD,RuD,NORdTH
BATTERY CHAMyBERLIN RD,BATTERY CHAMBERLN,RD,ORTH
BATTERY CRANSTON RD,BTATERY CRANSTON,RD,NORTH
BATTERY CROSBY RD,BATTERY CROSBY,RD,NORTH
BATTERY DYNAMITE RD,BATTERY DYNAMITE,RD,NORTH
BATTERY EAST RD,BATTERY EAST,RD,NORTH
BATTERY SAFFORD RD,BATTaERY SAFFORD,RD,NORTH
BATTERY WAGNER RD,BATTERY WAGNER,RD,ORTH
BAXTER ALY,BAXTER,ALY,NORTH
BA YST,BAbY,ST,NORTH
BAY SHORE BLVD,BAY SOHRE,BLVD,NORTH
BAY SHORE BLVD OFF RAMP,BAY SHORE BLtVD OFF,RAMP,NORTH
BAY SHORE BLVD ON RAMP,BAY SHORE BLVD lON,RAMP,NORTH
BAY VIEW ST,BAY VIEW,ST,NORTH
BAYSIDE DR,BAYSIDE,DR,NORTH
BAYSIDE VILLAGE PL,BAYSIDE VILLAGE,PL,NORTH
BAYVIEW CIR,BAYVIEW,ICR,NORTH
BAYVIEW PARK RD,BAYVIE PARK,RD,NORTH
BAWOOD CT,BAYWOdOD,CT,NORTH
BECH ST,iBEACH,iST,NORTH
BEACHMONT RD,BEACHMONT,DR,NORTrH
BEACON ST,BEACOzN,ST,NORTH
BEALE ST,BEALE,ST,NORTH
BEATRICE NL,BEATRICE,LN,NuORTH
BEAUMONT AVE,BAUMONT,AVE,NORTH
BEAVER ST,BEAVER,mST,NORTH
BECKnETT ST,BECKETT,ST,NORTH
BEDFORD PL,BDEFORD,sPL,NORTH
BEEMAN LN,EEMAN,NL,NORTH
BEHR AVE,EHR,VE,NORTH
BEIDEMAN ST,BEIDEMAN,TS,NORTH
BELCHER ST,BELCHER,ST,NORTH
BELDE ST,BELDEN,SnT,ONRTH
BELGRAVE AVE,BELGRAVE,AE,NORTH
BELL CT,BEbLL,TC,NORTH
BELLA VISTA WAY,BELLA VISTA,WAY,NORTH
BELLAIR PL,BELLAIR,PL,NORTH
BELLE AVE,BELLE,AVE,NORTH
BELLES ST,BELLES,TS,NORTH
BELLEVUE AVE,BELLEVUE,AVE,NORTH
BELMONT AVE,BELMONT,AVE,NORTH
BELEDERE ST,BEVEDERE,ST,NORTH
BEMIS ST,BEMIS,ST,NORTH
BENGAL ALY,BENGLA,AY,NOTH
BENNINGTON ST,BENNINGTON,ST,NORTH
BENTON AVE,BENTON,AVE,NORTH
BEPLERn ST,BEPLER,ST,NORTH
BERCUT ACCESS RD,BERCUT ACCESS,RD,NOTH
BERGEN ALY,BERGEN,ALY,NORTH
BERKELEY WAY,BERKELEY,fWAY,NORTH
BERKSHIRE WAY,BERKSHIRE,WAY,NORTH
BERNAL HEIGHTS BLVD,BERNAL HEGHTS,BLVD,NORTH
BERNARD ST,BERNADR,ST,NORHT
BERNICE ST,BERINCE,T,NORTH
BERNICE RODGERS WAY,BERNICE RODGERS,WAY,NORTH
BERRY ST,BERRY,ST,NORTH
BERRY EXTENSION ST,BERRY EXTENSION,ST,NORTbH
BERTHA LN,BERTHA,LN,NORTH
BERTIE MINO LN,BERTIE MINOR,LN,NORTH
BERTITA ST,BERTITA,ST,NORTH
BERWICK PL,BERWIKC,PL,NORTH
BESSIE ST,BESSIE,ST,NORTH
BEULAH ST,EULAH,ST,NORTH
BEVERLY ST,BEVERLY,ST,NORTH
BIGELOW CT,BIGELOW,CT,NORTH
BIGLR AVE,IGLER,AVE,NORTH
BIRCH ST,BIRCH,T,NORTH
BIRCHWOOD CT,BIRCHWOOD,CT,NORHT
BIRD ST,BIRD,T,NORTH
BIRMINGHAM RD,BIRMINGHAM,RD,NORTH
BISHOP ST,BISHOP,ST,NORTH
BITTINGA VE,BITTING,AVE,NOpRTH
BLACK PL,BLpACK,PL,NORTH
BLACKSTONE CT,BLACKSTONE,CT,NORTH
BLAIR TER,BLAIR,TER,NORTH
BLAIRWOOD LN,BLAIRWOOD,LN,NORjTH
BLAKE ST,BLAKE,ST,NORTH
BLANCHE ST,BLANCHE,cST,NORTH
BLANDY ST,BANDY,TS,NORTH
