NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
00023,7151,60,00023715160,REFRESH OPTIVE MEGA-3,10,PART349,N,2,ML ,24.000,N/A,NR,08/22/2008,05/30/2017,07/27/2021,
00121,0649,05,00121064905,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,01,0074553,N,1,ML ,5.000,N/A,AA,07/30/1996,09/01/1996,07/29/2021,
00121,0649,40,00121064940,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,01,0074553,N,1,ML ,5.000,N/A,AA,07/30/1996,09/01/1996,07/29/2021,
00121,0898,05,00121089805,Atovaquone Oral Suspension USP,01,0210692,N,1,ML ,5.000,N/A,AB,10/11/2018,10/11/2018,07/29/2021,
00121,0898,18,00121089818,Atovaquone Oral Suspension USP,01,0210692,N,1,ML ,5.000,N/A,AB,10/11/2018,10/11/2018,07/29/2021,
00121,0898,42,00121089842,Atovaquone Oral Suspension USP,01,0210692,N,1,ML ,5.000,N/A,AB,10/11/2018,10/11/2018,07/29/2021,
00121,0902,04,00121090204,PrednisoLONE Sodium Phosphate Oral Solution,01,0075988,N,1,ML ,120.000,N/A,AA,05/25/2004,05/25/2004,07/29/2021,
00121,1298,40,00121129840,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,01,0074553,N,1,ML ,6.670,N/A,AA,07/30/1996,09/01/1996,07/29/2021,
00121,1298,93,00121129893,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,01,0074553,N,1,ML ,6.670,N/A,AA,07/30/1996,09/01/1996,07/29/2021,
00143,9091,01,00143909101,Doxorubicin HCL Inj USP 200mg/100mL x 1 (NovaPlus),01,0064097,N,1,ML ,100.000,N/A,AP,09/13/1994,05/20/1996,07/30/2021,
00143,9299,01,00143929901,"GANCICLOVIR for Injection USP, 500 mg (IP)",01,0076222,N,1,EA ,1.000,N/A,NR,07/16/2003,06/17/2021,07/30/2021,
00143,9299,10,00143929910,"GANCICLOVIR for Injection USP, 500 mg x 10",01,0076222,N,1,EA ,10.000,N/A,NR,07/16/2003,06/17/2021,07/30/2021,
00254,2053,01,00254205301,Chlorzoxazone Tablets USP 375mg 100,01,0212743,N,1,TAB,1.000,N/A,AB,11/02/2020,06/17/2021,07/30/2021,
00642,7471,01,00642747101,TYBLUME TABLETS,03,0209405,S,1,EA ,28.000,N/A,NR,03/30/2020,06/16/2021,07/28/2021,
00781,3474,32,00781347432,CARMUSTINE FOR INJ W/ DILUENT,01,0211202,N,1,EA ,1.000,N/A,AP,03/12/2021,06/17/2021,07/27/2021,
00781,9227,75,00781922775,PHENYLEPHRINE HCL INJ NOVAPLUS,01,0208905,N,1,ML ,5.000,N/A,AP,01/31/2019,09/06/2019,07/27/2021,
00781,9227,95,00781922795,PHENYLEPHRINE HCL INJ NOVAPLUS,01,0208905,N,1,ML ,5.000,N/A,AP,01/31/2019,09/06/2019,07/27/2021,
00781,9228,70,00781922870,PHENYLEPHRINE HCL INJ NOVAPLUS,01,0208905,N,1,ML ,10.000,N/A,AP,01/31/2019,09/06/2019,07/27/2021,
00832,1410,03,00832141003,MOXIFLOXACIN HYDROCHLORIDE EQ 0.5%,01,0212616,N,1,ML ,3.000,N/A,AT,02/10/2021,06/01/2021,07/27/2021,
11527,0735,16,11527073516,SODIUM FLUORIDE RINSE 0.2%,07,       ,N,1,ML ,473.000,N/A,NR,04/15/2021,06/01/2021,07/30/2021,
13107,0083,01,13107008301,Lorazepam Tablets 0.5 mg - 100/Bottle,01,0203572,N,1,TAB,100.000,N/A,NR,12/22/2017,08/01/2018,07/26/2021,
13107,0084,01,13107008401,Lorazepam Tablets 1 mg - 100/Bottle,01,0203572,N,1,TAB,100.000,N/A,NR,12/22/2017,08/01/2018,07/26/2021,
16729,0044,15,16729004415,"Atorvastatin Calcium Tabs, 10 mg, 90 count",01,0207687,N,1,TAB,1.000,N/A,AB,03/30/2018,08/02/2018,07/30/2021,
16729,0045,15,16729004515,"Atorvastatin Calcium Tabs, 20 mg, 90 count",01,0207687,N,1,TAB,1.000,N/A,AB,03/30/2018,08/06/2018,07/30/2021,
16729,0046,15,16729004615,"Atorvastatin Calcium Tabs, 40 mg, 90 count",01,0207687,N,1,TAB,1.000,N/A,AB,03/30/2018,08/06/2018,07/30/2021,
16729,0047,15,16729004715,"Atorvastatin Calcium Tabs, 80 mg, 90 count",01,0207687,N,1,TAB,1.000,N/A,AB,03/30/2018,08/06/2018,07/30/2021,
17478,0415,01,17478041501,"Ephedrine Sulfate Injection, USP 50 mg/mL",03,0208609,I,1,ML ,1.000,N/A,AP,03/01/2017,02/01/2018,07/29/2021,
23155,0019,01,23155001901,"Sulfasalazine 500mg tabs, 100ct",01,0080197,N,1,TAB,1.000,N/A,NR,09/30/1990,06/09/2021,07/28/2021,
23155,0735,01,23155073501,"Terazosin Caps 1mg, 100ct",01,0075614,N,1,CAP,1.000,N/A,AB,01/30/2001,09/08/2009,07/28/2021,
23155,0736,01,23155073601,"Terazosin Caps 2mg, 100ct",01,0075614,N,1,CAP,1.000,N/A,AB,01/30/2001,09/08/2009,07/28/2021,
23155,0737,01,23155073701,"Terazosin Caps 5mg, 100ct",01,0075614,N,1,CAP,1.000,N/A,AB,01/30/2001,09/08/2009,07/28/2021,
23155,0738,01,23155073801,"Terazosin Caps 10mg, 100ct",01,0075614,N,1,CAP,1.000,N/A,AB,01/30/2001,09/08/2009,07/28/2021,
24208,0600,01,24208060001,Alaway Preservative Free Antihistamine Eye Drops,01,0208158,N,2,EA ,20.000,N/A,NR,09/24/2020,01/29/2021,07/26/2021,
24338,0260,08,24338026008,Nymalize 60mg/10ml Oral Solution 237ml 8oz,03,0203340,S,1,EA ,237.000,N/A,NR,12/13/2019,05/04/2020,07/26/2021,
25021,0414,50,25021041450,Argatroban Injection 50mg/50mL (1mg/mL),01,0214235,N,1,ML ,50.000,N/A,AP,01/21/2021,04/15/2021,07/30/2021,
31722,0135,01,31722013501,Potassium Chloride 20MEQ,01,0214422,N,1,TAB,100.000,N/A,AB,12/29/2020,07/02/2021,07/30/2021,
31722,0135,05,31722013505,Potassium Chloride 20MEQ,01,0214422,N,1,TAB,500.000,N/A,AB,12/29/2020,07/02/2021,07/30/2021,
42543,0741,07,42543074107,"Buspirone HCl Tablets 5mg, 500 (VA)",01,0202330,N,1,TAB,500.000,N/A,AB,08/25/2014,01/02/2015,07/27/2021,
42543,0742,07,42543074207,"Buspirone HCl Tablets 10mg, 500 (VA)",01,0202330,N,1,TAB,500.000,N/A,AB,08/25/2014,12/16/2014,07/27/2021,
42543,0744,03,42543074403,"Buspirone HCl Tablets 30mg, 60 (VA)",01,0202330,N,1,TAB,60.000,N/A,AB,08/25/2014,03/01/2019,07/27/2021,
42543,0787,06,42543078706,"Buspirone HCl Tablets 7.5mg, 100 (VA)",01,0202330,N,1,TAB,100.000,N/A,AB,08/25/2014,03/02/2017,07/27/2021,
42794,0005,02,42794000502,AMILORIDE HYDROCHLORIDE USP 5MG 100CT TABLETS,01,0079133,N,1,TAB,1.000,N/A,AB,01/30/2009,06/14/2021,07/30/2021,
42806,0562,01,42806056201,Chlordiazepoxide Hcl Cap 10mg 100ct,01,0085472,N,1,CAP,100.000,N/A,AB,09/30/1990,06/17/2021,07/30/2021,
42806,0563,01,42806056301,Chlordiazepoxide Hcl Cap 25mg 100ct,01,0085475,N,1,CAP,100.000,N/A,AB,09/30/1990,06/17/2021,07/30/2021,
42806,0632,01,42806063201,Metformin HCL 500MG ER USP 100 Tab Epic,01,0211052,N,1,TAB,100.000,N/A,AB,09/24/2018,06/15/2021,07/30/2021,
42806,0633,01,42806063301,Metformin HCL 750MG ER USP 100 Tab Epic,01,0211052,N,1,TAB,100.000,N/A,AB,09/24/2018,06/10/2021,07/30/2021,
43547,0379,09,43547037909,Duloxetine DR 20mg 90ct,01,0206653,N,1,CAP,90.000,N/A,AB,05/18/2017,10/03/2017,07/27/2021,
47781,0155,30,47781015530,NAPROXEN SODIUM ER ORAL TABLET ER 24HR 750MG,04,0020353,I,1,TAB,30.000,N/A,AB,01/05/1996,01/06/2021,07/28/2021,
47781,0393,60,47781039360,HYDROCODONE BITATRATE ER 30MG,01,0208269,N,1,TAB,60.000,N/A,AB,03/01/2021,03/03/2021,07/28/2021,
47781,0397,60,47781039760,HYDROCODONE BITATRATE ER 100MG,01,0208269,N,1,TAB,60.000,N/A,AB,03/01/2021,03/03/2021,07/28/2021,
48102,0051,01,48102005101,Dexamethasone 4mg 100's,01,0088481,N,1,TAB,1.000,N/A,BP,09/30/1990,06/01/2021,07/26/2021,
50242,0210,60,50242021060,Gavreto 100mg 60 Capsules,03,0213721,S,1,CAP,60.000,N/A,NR,07/01/2021,07/01/2021,07/28/2021,
50242,0210,90,50242021090,Gavreto 100mg 90 Capsules,03,0213721,S,1,CAP,90.000,N/A,NR,07/01/2021,07/01/2021,07/28/2021,
50268,0105,11,50268010511,Baclofen Tab 5mg,01,0211659,N,1,TAB,1.000,N/A,AB,11/23/2018,06/01/2021,07/29/2021,
50268,0105,15,50268010515,Baclofen Tab 5mg,01,0211659,N,1,TAB,50.000,N/A,AB,11/23/2018,06/01/2021,07/29/2021,
50268,0237,11,50268023711,Diclofenac Sodium 1% Gel,01,0208077,N,2,GM ,1.000,N/A,AB,03/18/2016,06/01/2021,07/29/2021,
50268,0237,20,50268023720,Diclofenac Sodium 1% Gel,01,0208077,N,2,GM ,20.000,N/A,AB,03/18/2016,06/01/2021,07/29/2021,
50268,0331,11,50268033111,Flucytosine 250mg Capsule,01,0204652,N,1,CAP,1.000,N/A,AB,07/07/2017,06/01/2021,07/29/2021,
50268,0331,12,50268033112,Flucytosine 250mg Capsule,01,0204652,N,1,CAP,20.000,N/A,AB,07/07/2017,06/01/2021,07/29/2021,
50268,0332,11,50268033211,Flucytosine 500mg Capsule,01,0204652,N,1,CAP,1.000,N/A,AB,07/07/2017,06/01/2021,07/29/2021,
50268,0332,12,50268033212,Flucytosine 500mg Capsule,01,0204652,N,1,CAP,20.000,N/A,AB,07/07/2017,06/01/2021,07/29/2021,
50268,0357,11,50268035711,Glyburide Metformin 5mg/500mg Tab,01,0077870,N,1,TAB,1.000,N/A,AB,11/14/2007,06/01/2021,07/29/2021,
50268,0357,15,50268035715,Glyburide Metformin 5mg/500mg Tab,01,0077870,N,1,TAB,50.000,N/A,AB,11/14/2007,06/01/2021,07/29/2021,
50268,0398,11,50268039811,Hydroxyzine Pamoate Cap 25mg,01,0040156,N,1,CAP,1.000,N/A,AB,07/15/1996,06/01/2021,07/29/2021,
50268,0398,50,50268039850,Hydroxyzine Pamoate Cap 25mg,01,0040156,N,1,CAP,50.000,N/A,AB,07/15/1996,06/01/2021,07/29/2021,
50268,0399,11,50268039911,Hydroxyzine Pamoate Cap 50mg,01,0040156,N,1,CAP,1.000,N/A,AB,07/15/1996,06/01/2021,07/29/2021,
50268,0399,50,50268039950,Hydroxyzine Pamoate Cap 50mg,01,0040156,N,1,CAP,50.000,N/A,AB,07/15/1996,06/01/2021,07/29/2021,
50268,0479,11,50268047911,Lisinopril Hydrochlorothiazide 10/12.5mg tab,01,0077912,N,1,TAB,1.000,N/A,AB,09/27/2006,06/01/2021,07/29/2021,
50268,0479,15,50268047915,Lisinopril Hydrochlorothiazide 10/12.5mg tab,01,0077912,N,1,TAB,50.000,N/A,AB,09/27/2006,06/01/2021,07/29/2021,
50268,0480,11,50268048011,Lisinopril Hydrochlorothiazide 20/12.5mg tab,01,0077912,N,1,TAB,1.000,N/A,AB,09/27/2006,06/01/2021,07/29/2021,
50268,0480,15,50268048015,Lisinopril Hydrochlorothiazide 20/12.5mg tab,01,0077912,N,1,TAB,50.000,N/A,AB,09/27/2006,06/01/2021,07/29/2021,
50268,0481,11,50268048111,Lisinopril Hydrochlorothiazide 20/25mg tab,01,0077912,N,1,TAB,1.000,N/A,AB,09/27/2006,06/01/2021,07/29/2021,
50268,0481,15,50268048115,Lisinopril Hydrochlorothiazide 20/25mg tab,01,0077912,N,1,TAB,50.000,N/A,AB,09/27/2006,06/01/2021,07/29/2021,
50268,0520,11,50268052011,Methocarbamol Tablet 500mg,01,0090200,N,1,TAB,1.000,N/A,AA,11/06/2009,06/01/2021,07/29/2021,
50268,0520,15,50268052015,Methocarbamol Tablet 500mg,01,0090200,N,1,TAB,50.000,N/A,AA,11/06/2009,06/01/2021,07/29/2021,
50268,0545,11,50268054511,Methylphenidate ER Tablet 18mg,01,0211009,N,1,TAB,1.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0545,12,50268054512,Methylphenidate ER Tablet 18mg,01,0211009,N,1,TAB,20.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0546,11,50268054611,Methylphenidate ER Tablet 27mg,01,0211009,N,1,TAB,1.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0546,12,50268054612,Methylphenidate ER Tablet 27mg,01,0211009,N,1,TAB,20.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0547,11,50268054711,Methylphenidate ER Tablet 36mg,01,0211009,N,1,TAB,1.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0547,12,50268054712,Methylphenidate ER Tablet 36mg,01,0211009,N,1,TAB,20.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0548,11,50268054811,Methylphenidate ER Tablet 54mg,01,0211009,N,1,TAB,1.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0548,12,50268054812,Methylphenidate ER Tablet 54mg,01,0211009,N,1,TAB,20.000,N/A,AB,09/03/2019,06/01/2021,07/29/2021,
50268,0652,11,50268065211,Pilocarpine Hydrochloride 5mg Tab,01,0077220,N,1,TAB,1.000,N/A,AB,10/14/2005,06/01/2021,07/29/2021,
50268,0652,12,50268065212,Pilocarpine Hydrochloride 5mg Tab,01,0077220,N,1,TAB,20.000,N/A,AB,10/14/2005,06/01/2021,07/29/2021,
50268,0817,11,50268081711,Venlafaxine HCL ER 37.5mg Capsule,01,0203332,N,1,CAP,1.000,N/A,AB,03/12/2020,06/01/2021,07/29/2021,
50268,0817,15,50268081715,Venlafaxine HCL ER 37.5mg Capsule,01,0203332,N,1,CAP,50.000,N/A,AB,03/12/2020,06/01/2021,07/29/2021,
50268,0818,11,50268081811,Venlafaxine HCL ER 75mg Capsule,01,0203332,N,1,CAP,1.000,N/A,AB,03/12/2020,06/01/2021,07/29/2021,
50268,0818,15,50268081815,Venlafaxine HCL ER 75mg Capsule,01,0203332,N,1,CAP,50.000,N/A,AB,03/12/2020,06/01/2021,07/29/2021,
50268,0819,11,50268081911,Venlafaxine HCL ER 150mg Capsule,01,0203332,N,1,CAP,1.000,N/A,AB,03/12/2020,06/01/2021,07/29/2021,
50268,0819,15,50268081915,Venlafaxine HCL ER 150mg Capsule,01,0203332,N,1,CAP,50.000,N/A,AB,03/12/2020,06/01/2021,07/29/2021,
50383,0349,10,50383034910,Docu Liquid 10mL UD; (Docusate Sodium) inner pack,09,PART334,N,2,ML ,10.000,N/A,NR,09/30/1990,06/17/2021,07/29/2021,
50383,0349,11,50383034911,Docu Liquid 10mL UD; (Docusate Sodium),09,PART334,N,2,ML ,1000.000,N/A,NR,09/30/1990,06/17/2021,07/29/2021,
51293,0618,01,51293061801,"Diphenoxylate Hydrochloride and Atropine Sulfate Tablets, USP",01,0207128,N,1,TAB,100.000,N/A,AA,10/21/2020,06/01/2021,07/29/2021,
51293,0618,10,51293061810,"Diphenoxylate Hydrochloride and Atropine Sulfate Tablets, USP",01,0207128,N,1,TAB,1000.000,N/A,AA,10/21/2020,06/01/2021,07/29/2021,
51991,0981,01,51991098101,"Zolpidem Tartrate ER Tablets, USP 6.25mg CIV",01,0213592,N,1,TAB,100.000,N/A,AB,10/27/2020,07/29/2021,07/30/2021,
51991,0982,01,51991098201,"Zolpidem Tartrate ER Tablets, USP 6.25mg CIV",01,0213592,N,1,TAB,100.000,N/A,AB,10/27/2020,07/30/2021,07/30/2021,
52427,0805,01,52427080501,"STALEVO TABLETS, 12.50/50/200MG",03,0021485,S,1,TAB,100.000,N/A,A1,06/11/2003,06/07/2021,07/28/2021,
55111,0783,01,55111078301,DRL FEXO 60mg TAB 100ct BTL,01,0076502,N,2,TAB,1.000,N/A,AB,04/11/2006,04/12/2006,07/29/2021,
55292,0142,01,55292014201,SIGNIFOR LAR 40MG KIT,03,0203255,S,1,EA ,1.000,N/A,NR,12/15/2014,03/10/2015,07/27/2021,
55292,0143,01,55292014301,SIGNIFOR LAR 60MG KIT,03,0203255,S,1,EA ,1.000,N/A,NR,12/15/2014,03/10/2015,07/27/2021,
55513,0488,24,55513048824,LUMAKRAS (sotorasib),03,0214665,S,1,TAB,240.000,N/A,NR,05/28/2021,06/03/2021,07/26/2021,
55513,0488,40,55513048840,LUMAKRAS (sotorasib),03,0214665,S,1,TAB,240.000,N/A,NR,05/28/2021,06/03/2021,07/26/2021,
57841,1200,01,57841120001,Aemcolo,03,0210910,S,1,TAB,12.000,N/A,BE,11/16/2018,02/01/2019,07/28/2021,
59651,0215,30,59651021530,Azelastine HCl Nasal Spray 205.5 mcg (0.15%) - 30 mL,01,0212775,N,1,EA ,30.000,N/A,NR,11/12/2020,06/24/2021,07/26/2021,
59651,0224,01,59651022401,Pilocarpine HCl Tablets 5 mg - 100/Bottle,01,0212377,N,1,TAB,100.000,N/A,NR,08/13/2019,04/27/2021,07/26/2021,
59651,0225,01,59651022501,Pilocarpine HCl Tablets 7.5 mg - 100/Bottle,01,0212377,N,1,TAB,100.000,N/A,NR,08/13/2019,04/08/2021,07/26/2021,
59651,0306,01,59651030601,Chlorzoxazone Tabs USP 500 mg - 100/Bottle,01,0089853,N,1,TAB,100.000,N/A,NR,09/30/1990,06/11/2021,07/26/2021,
59651,0306,05,59651030605,Chlorzoxazone Tabs USP 500 mg - 500/Bottle,01,0089853,N,1,TAB,500.000,N/A,NR,09/30/1990,06/11/2021,07/26/2021,
59651,0337,01,59651033701,Minocycline HCl Tablets 50 mg - 100/Bottle,01,0213662,N,1,TAB,100.000,N/A,NR,05/01/2020,04/07/2021,07/26/2021,
59651,0338,01,59651033801,Minocycline HCl Tablets 75 mg - 100/Bottle,01,0213662,N,1,TAB,100.000,N/A,NR,05/01/2020,04/07/2021,07/26/2021,
59651,0339,50,59651033950,Minocycline HCl Tablets 100 mg - 50/Bottle,01,0213662,N,1,TAB,50.000,N/A,NR,05/01/2020,04/07/2021,07/26/2021,
59651,0361,01,59651036101,Ibuprofen Tablets USP 600 mg - 100/Bottle,01,0213794,N,1,TAB,100.000,N/A,NR,05/08/2020,01/11/2021,07/26/2021,
59651,0362,01,59651036201,Ibuprofen Tablets USP 800 mg - 100/Bottle,01,0213794,N,1,TAB,100.000,N/A,NR,05/08/2020,01/11/2021,07/26/2021,
61269,0105,56,61269010556,BACITRACIN ZINC OINTMENT,10,PART333,N,2,GM ,28.000,N/A,NR,06/01/1997,06/01/1997,07/27/2021,
61269,0220,63,61269022063,Clotrimazole Vaginal Cream 1% (1),01,0074165,N,2,GM ,45.000,N/A,NR,10/01/1993,07/01/2003,07/27/2021,
61269,0735,14,61269073514,Miconazole Nitrate Cream 2 %,10,PART333,N,2,GM ,14.000,N/A,NR,06/01/1997,06/01/1997,07/27/2021,
61269,0735,42,61269073542,Miconazole Nitrate Cream 2 %,10,PART333,N,2,GM ,42.500,N/A,NR,06/01/1997,06/01/1997,07/27/2021,
61269,0735,56,61269073556,Miconazole Nitrate Cream 2 %,10,PART333,N,2,GM ,28.000,N/A,NR,06/01/1997,06/01/1997,07/27/2021,
62135,0309,05,62135030905,CIPROFLOXACIN HCL 500MG TAB,01,0076896,N,1,TAB,500.000,N/A,AB,11/04/2004,04/01/2021,07/30/2021,
