OBJECTID,ZCTA5CE10,ALAND10,County,GlobalID,INTPTLON10_1,ID,Zip,Visits_Age_0_to_17
1,48371,110655621,,934f66a2-f12b-4b3e-b9c6-2e22052a5703,-083.2915307,,,
2,48380,65730039,,2f1d0f19-8027-408a-9b8b-60ae9951c3f8,-083.6668237,44,48380,2
3,48081,10178038,,af8fec7d-cde1-4321-955f-d25e9c9b1689,-082.8950389,,,
4,48315,33063561,,948472bf-36d4-4d89-864c-62a48708331a,-082.9965620,18,48315,1
5,48317,31361812,,8a478f90-bd2d-486d-89a6-71e2ae577915,-083.0519717,19,48317,6
6,48088,11490620,,2f9c923a-8980-4027-b43e-7256d6650be1,-082.9829908,,,
7,48048,49265723,,9d2642bd-4cb4-4639-9a79-d5fedc0abc7d,-082.7958699,7,48048,2
8,48236,19463663,Wayne,fb102a47-5808-422e-96fd-96e4d4b610fb,-082.8931944,,,
9,48383,38623150,,cbf4bde4-996e-4b6e-afb9-89d3fae40dd6,-083.5258410,45,48383,4
10,48335,19519357,,ec0ee584-395f-4ebb-a9ef-c9c14a5abddc,-083.4051512,,,
11,48320,2832858,,8141ae42-ba37-4093-94d6-85691f03e26d,-083.3380921,,,
12,48165,24100791,,5784671a-4771-46f5-a7b3-8a8895e18467,-083.6169224,,,
13,48363,52310794,,b60df2f6-6e69-4aee-b6ff-9b08cf14b24e,-083.1624995,,,
14,48073,19104791,,52b73d29-993a-44fb-be55-ee27e57fb95f,-083.1643617,,,
15,48083,22379873,,35348dc1-0992-4913-b369-617c8f8a8ce3,-083.1168587,,,
16,48213,16923386,Wayne,a7ef4979-5356-461f-94ec-359bf984504e,-082.9952131,80,48213,4
17,48216,5747286,Wayne,b9443bfc-a601-4b9c-a141-859713daa49e,-083.0787461,83,48216,4
18,48221,14119737,Wayne,2dce2617-8835-42f9-80f2-8562ede06794,-083.1486085,86,48221,17
19,48215,10395926,Wayne,afc6319d-6e98-49e6-9601-a206ebf95ff9,-082.9543435,82,48215,7
20,48227,19504196,Wayne,4ed6a307-87cf-418a-b52d-4e1195b3f66c,-083.1925916,91,48227,23
21,48128,6123655,Wayne,eeae68df-5287-482e-9488-92095094288e,-083.2599691,,,
24,48230,8360759,Wayne,559f45b7-d6a4-4c37-8085-94b30720a776,-082.9218416,,,
25,48187,46813620,Wayne,66900243-85ab-441c-8eeb-f7d7d45f573c,-083.4835758,65,48187,4
26,48225,6854875,Wayne,e7e50808-3f70-484b-91a6-6bc9b629f5da,-082.9296100,89,48225,9
27,48218,6872362,Wayne,e7464adf-65b7-4f0b-8502-d51ab67fde50,-083.1266716,84,48218,4
28,48178,131199506,,fd85caed-fbad-4efc-b7e5-f4d417587591,-083.6568721,,,
29,48062,102252058,,cbf5c56d-6020-415f-8fbe-81df8526037a,-082.7964708,8,48062,2
30,48036,21551261,,658a671d-622b-4f92-aa55-669930ded1e0,-082.9131436,4,48036,7
31,48312,29136295,,6d309f21-f40a-48c5-abf1-b24e28d618e6,-083.0089258,,,
32,48043,10615453,,f953061b-7b51-441f-8435-544b41be765e,-082.8815059,5,48043,8
33,48309,40034011,,5f3eadaa-260a-4f13-b2a3-ad4d13fd00a3,-083.1835878,33,48309,1
34,48301,19082075,,eb769ffb-c88b-4fcc-b8bd-73cbed041b30,-083.2821684,31,48301,2
35,48331,24056347,,a3dbb0af-034e-42ed-b5bc-4fae33aa9288,-083.4089353,37,48331,4
36,48357,30436623,,d0d2246c-457c-40d1-bd5a-f5eaf4d83a08,-083.6464004,,,
37,48356,36733900,,c442a269-5d4c-436b-930b-378a8af0cc21,-083.5929054,,,
38,48360,30939560,,bf2d1bdf-e7ba-4c18-9a54-936f10501dd8,-083.2600828,,,
39,48328,23415085,,360cfc40-8876-44e4-8ec0-abc3082ca59f,-083.3590983,36,48328,2
40,48205,16531627,Wayne,6f98db83-3195-4929-974c-3416f46a8cd6,-082.9811418,72,48205,17
41,48214,13014076,Wayne,3e019424-36c7-4874-90b2-c198a9566595,-082.9876441,81,48214,3
43,48101,18182907,Wayne,571e3216-9e5a-468d-8bc6-86b6f4a51480,-083.2103905,48,48101,6
45,48223,15679754,Wayne,7ce8c10e-3968-4273-aabb-d22dd5104843,-083.2463272,87,48223,4
46,48217,5921036,Wayne,3358ce25-c806-4b43-8ba1-e4ca766daa6a,-083.1550783,,,
48,48185,31512594,Wayne,4e3f426b-2523-4bdd-bfc2-855ac4a14570,-083.3842091,63,48185,2
49,48208,8190764,Wayne,75ac66bf-c1bd-45a0-abb7-912d1dff4169,-083.0919366,75,48208,2
50,48096,94741211,,0eccb61f-3191-437d-9d76-02492e259f6b,-082.9204704,,,
51,48313,23503570,,3c626dc0-40a3-4093-a546-168495efc8e3,-083.0029032,16,48313,2
52,48091,20698268,,3dc0f8c4-0f73-430d-9c04-bd653ee4b287,-083.0579860,12,48091,10
53,48316,28762237,,8dc0114d-23e7-4fa2-856b-128bcd975b95,-083.0572439,,,
54,48047,46696164,,fe1a3a65-f67a-4fd9-be93-b601d51f2f56,-082.7738418,6,48047,4
55,48045,37852081,,de032eb5-a36a-4eb5-a0e3-07446a79bcc0,-082.8181134,,,
56,48397,462102,,ffbcf8c4-dd1f-4bb7-b957-cc47baa5aa74,-083.0410352,,,
57,48340,19451041,,312a49f2-96cb-4f91-be80-c37cbfea5631,-083.2879038,39,48340,12
58,48220,11479188,,a0712063-4bd3-40a0-b3fe-fc87695755da,-083.1352127,29,48220,2
59,48329,26456696,,689791b9-2f00-472b-ba44-9075e3b74d9e,-083.3886216,,,
60,48076,18438102,,a322a022-2d8b-4ef0-a638-dfb9b3681847,-083.2308736,27,48076,2
61,48393,34281698,,dc44f60a-5def-40ea-8ba5-53a848e3dd76,-083.5450877,47,48393,6
62,48359,27891596,,ddd9b438-dd1e-4bb6-8c9f-17b924ffecbb,-083.2755218,43,48359,2
63,48167,46056638,Wayne,73e0302a-bec0-4283-a787-37dc3c147d2d,-083.5246583,,,
64,48070,3847786,,4d668be3-623c-434b-8da8-e9501134f6cc,-083.1680876,,,
65,48207,16061703,Wayne,d5910183-a2fb-45ad-b4c8-b6b4f70febba,-083.0189600,74,48207,5
67,48188,46715127,Wayne,f415b899-fae0-4502-982d-e4c3cbe4fe9b,-083.4827194,66,48188,2
68,48126,25386287,Wayne,d8deeaf5-de05-42ba-9a9e-6b0cb2123072,-083.1832135,53,48126,24
69,48228,22299441,Wayne,17ae8144-cd6d-431b-831a-d3240f956e11,-083.2170142,92,48228,30
70,48219,21773613,Wayne,0f688c7e-07bb-4e57-90d9-063b5d401c39,-083.2514284,85,48219,27
71,48203,20756114,Wayne,4cd19992-9fbf-4a5c-998a-f2ed8aa5040b,-083.1043384,71,48203,21
73,48233,48551,Wayne,b6ffb7fd-39eb-4fe5-b9ee-792f957e6f89,-083.0616620,,,
76,48341,16553506,,3d995d1a-720b-4c15-8397-d4aa651e2981,-083.2968413,40,48341,1
77,48302,28779375,,8e068112-74dd-4c99-b9c4-9489c68b8cd3,-083.2934674,,,
