OBJECTID,ID,NAME,START_DATE,END_DATE,AGENCY,AGENCY_TYPE,DESCRIPTION,PROJECT_TYPE,PROJECT_STATUS,PERMIT_NUMBER,EXTERNAL_ID,BUDGET_ID,PAVE_CURB_TO_CURB,SHAPE_Length,SHAPE_Area
74098,46663,Spot Rehab Crews,,,SPU,Water/Sewer,7496601 - DRAINAGE FRAME & GRATE RING/COVER CASTING REPLACE EXISTING - WASTEWATER MAINTENANCE HOLE - 051-008,Excavation,Active,,7496601,BC-SU-C370B,0,61.8351950345879,304.210588547653
74155,53640,Spot Rehab Crews,2018/03/21 00:00:00+00,2022/12/30 00:00:00+00,SPU,Water/Sewer,8708335 - SEWER/WW CASTING RAISE/LOWER - WASTEWATER MAINTENANCE HOLE - 071-031,Excavation,Active,,8708335,BC-SU-C370B,0,61.8356593040617,304.215147248071
74165,62223,Spot Rehab Crews,2019/12/15 00:00:00+00,2022/12/30 00:00:00+00,SPU,Water/Sewer,10515753 - SEWER/WW RING & COVER CASTING REPLACE EXISTING - WASTEWATER MAINTENANCE HOLE - 049-019,Excavation,Active,,10515753,BC-SU-C370B,0,61.8352716312924,304.211345460216
74329,63025,METERING - GI PIPE RENEWAL,2020/03/23 00:00:00+00,2023/01/08 00:00:00+00,SPU,Water/Sewer,"10873683 - SERVICE RENEW - 2"" DOM - SERVICE - 2"" DOM  / MAS-09054420-1",Excavation,Active,,10873683,BC-SU-C110B,0,61.8346297016995,304.205023843382
74346,63693,2019 MOVE SEATTLE - SDOT PIONEER SQUARE IMPROVEMENTS,,,SPU,Water/Sewer,11211735 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - SEC OCCIDENTAL AVE S/S MAIN ST,Excavation,Active,,11211735,BC-SU-C410B,0,61.8350211203694,304.208880466608
74371,70059,Spot Rehab Crews,,,SPU,Water/Sewer,13057438 - WW MAINLINE DIG SPOT 12 INCH - COMBINED MAIN LINE - 061-251 061-252,Excavation,Active,,13057438,BC-SU-C370B,0,61.8355620466658,304.214200271704
74372,70061,Spot Rehab Crews,,,SPU,Water/Sewer,13057387 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 022-121 022-120,Excavation,Active,,13057387,BC-SU-C370B,0,61.834493474396,304.203679393557
74381,70393,Drainage Rehab Program,,,SPU,Water/Sewer,12599064 - DRAINAGE FRAME & GRATE RING/COVER CASTING REPLACE EXISTING - CATCH BASIN - NWC 15TH AVE NE/NE 52ND ST,Excavation,Active,,12599064,BC-SU-C370B,0,61.8343641200654,304.202413451784
74386,70427,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"12632208 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-L0062791-1",Excavation,Active,,12632208,BC-SU-C110B,0,61.8343196894559,304.201969317565
74394,70495,DEMAND METERING,2023/01/28 00:00:00+00,2023/02/03 00:00:00+00,SPU,Water/Sewer,"13087096 - SERVICE RENEW - 1-1/2"" DOM - METER - 1 1/2"" / PCN-S0342492-1",Excavation,Active,,13087096,BC-SU-C110B,0,61.8340916600928,304.199726623916
74441,62676,3X SKIPPED READ,2023/01/28 00:00:00+00,2023/02/03 00:00:00+00,SPU,Water/Sewer,"10772637 - SERVICE RENEW - 2"" DOM - SERVICE - 2"" DOM / PCN-R0142180-1",Excavation,Active,,10772637,BC-SU-C110B,0,61.8339222033535,304.198062696707
74590,70627,Drainage Rehab Program,,,SPU,Water/Sewer,12021664 - DRAINAGE LATERAL REPAIR - DRAINAGE LATERAL,Excavation,Active,,12021664,BC-SU-C370B,0,61.8352353021614,304.210984057491
74592,70631,Drainage Spot Improvements,,,SPU,Water/Sewer,11863504 - DRAINAGE STRUCTURE (DEEP) INSTALL - CULVERT - 3902 SW 106TH ST,Excavation,Active,,11863504,BC-SU-C380B,0,61.8360063952285,304.218574956414
74696,69665,Spot Rehab Crews,,,SPU,Water/Sewer,13001858 - WW MAINLINE DIG SPOT 12 INCH - COMBINED MAIN LINE - 053-075 053-074,Excavation,Active,,13001858,BC-SU-C370B,0,61.8351560643545,304.210208056588
74710,70415,METERING - GI PIPE RENEWAL,2021/02/18 00:00:00+00,2023/01/02 00:00:00+00,SPU,Water/Sewer,"11938967 - SERVICE RENEW - 1-1/2"" DOM - SERVICE - 1 1/2"" / BAD-09439637-1",Excavation,Active,,11938967,BC-SU-C110B,0,61.8346526009666,304.205242220898
74713,70434,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"12323988 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-H0017754-1",Excavation,Active,,12323988,BC-SU-C110B,0,61.8343072399424,304.201860169302
74857,70515,2019 MOVE SEATTLE - SDOT PIONEER SQUARE IMPROVEMENTS,,,SPU,Water/Sewer,11466033 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - NEC WESTERN AVE/YESLER WAY,Excavation,Active,,11466033,BC-SU-C370B,0,61.8349944931806,304.208614894439
74858,70516,2019 MOVE SEATTLE - SDOT PIONEER SQUARE IMPROVEMENTS,,,SPU,Water/Sewer,11466112 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - S/S YESLER WAY 154'E OF ALASKAN E RDWY WAY,Excavation,Active,,11466112,BC-SU-C410B,0,61.8349944931806,304.208614894439
74864,70566,Spot Rehab Crews,2022/12/19 00:00:00+00,2023/01/01 00:00:00+00,SPU,Water/Sewer,11332346 - DRAINAGE STRUCTURE REPAIR - WASTEWATER MAINTENANCE HOLE - 048-465,Excavation,Active,,11332346,BC-SU-C370B,0,61.8352675657216,304.211298993849
74882,70951,Rehab Progr Mangmnt,,,SPU,Water/Sewer,13135436 - CNTRCTR MAINLINE REHAB DIG FULL - COMBINED MAIN LINE - 014-202 014-200,Excavation,Active,,13135436,BC-SU-C370B,0,61.8344854344903,304.203605934893
74894,73724,Hard Surface Restoration @ 5900 24TH AVE NW,2023/01/30 00:00:00+00,2023/02/28 00:00:00+00,Lumen,Telecommunications,,Other Construction,Active,,N.984993,,0,61.8343555253886,304.202330052077
74895,73741,JB0001243087-Comcast-Cannon,2023/04/17 00:00:00+00,2023/04/19 00:00:00+00,Comcast,Telecommunications,"- PLACE NEW SPLICE CASE
- NEW AERIAL STRIKE .625 COAX TO CUSTOMER BUILDING",Aerial Work,Active,,,,0,128.746308883686,962.750023374397
74896,73809,Lining Rehab Crew Programmatic,,2023/12/31 00:00:00+00,SPU,Water/Sewer,13764159 - MAINLINE GRIND MILL - COMBINED MAIN LINE - 037-236 037-435,Excavation,Active,,13764159,BC-SU-C370B,0,61.8347789554184,304.206483677114
74946,73795,CSG 729175 MINOR,2023/01/30 00:00:00+00,2023/01/30 00:00:00+00,Comcast,Telecommunications,,Excavation,Active,,,,0,61.8349474781168,304.208153804392
74954,63094,SPOT SEWER UNIT PRICE CONTRACT 5 - UPC 5,,,SPU,Water/Sewer,10974235 - CNTRCTR STRUCTURE INSTALL - DRAINAGE LATERAL,Excavation,Active,,10974235,BC-SU-C370B,0,61.8350446491734,304.209104915789
75127,73838,Compliance gas service replacement,2023/03/06 00:00:00+00,2023/03/10 00:00:00+00,Puget Sound Energy,Gas,"Business owner built over existing gas SVC line, On 16th Ave S, tie-in to 2"" PEI main (832265), install 157' of 2"" MPE main, relocate two meter manifold to NE corner of House 2530.  On Beacon Ave S, C&C 5/8"" PEI SVC @ 2"" PEI main (802184-1980)",Excavation,Active,,109143529,,0,473.522707991468,4051.73875360499
75284,73302,CSG 786622 MINOR,2022/11/22 00:00:00+00,2022/12/30 00:00:00+00,Comcast,Telecommunications,,Excavation,Active,,,,0,61.8338728576022,304.197581198671
75323,70422,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"12957465 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-G0082019-1",Excavation,Active,,12957465,BC-SU-C110B,0,61.8348413578363,304.207103775667
75328,70477,Water Svc Line Renewal Small,2023/01/14 00:00:00+00,2023/01/20 00:00:00+00,SPU,Water/Sewer,"12917593 - SERVICE RENEW - 2"" DOM - SERVICE - 2"" DOM / MAS-08111992-1",Excavation,Active,,12917593,BC-SU-C110B,0,61.8356657627338,304.215218360096
75329,70479,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"13129353 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-S0335926-1",Excavation,Active,,13129353,BC-SU-C110B,0,61.8339150352983,304.197996757979
75330,70486,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"12957445 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-J0081968-1",Excavation,Active,,12957445,BC-SU-C110B,0,61.8348413578363,304.207103775667
75331,70488,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"12632245 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-T0353077-1",Excavation,Active,,12632245,BC-SU-C110B,0,61.8343196894559,304.201969317565
75336,70545,Spot Rehab Crews,,,SPU,Water/Sewer,13003683 - SEWER/WW RING & COVER CASTING REPLACE EXISTING - WASTEWATER MAINTENANCE HOLE - 004-069,Excavation,Active,,13003683,BC-SU-C370B,0,61.8342135561358,304.200925631764
75343,70588,Spot Rehab Crews,2019/04/09 00:00:00+00,2022/12/30 00:00:00+00,SPU,Water/Sewer,9951174 - SEWER/WW CASTING RAISE/LOWER - WASTEWATER MAINTENANCE HOLE - 078-050,Excavation,Active,,9951174,BC-SU-C370B,0,61.8357281155722,304.215845785716
75350,70652,Drainage Rehab Program,,,SPU,Water/Sewer,12623360 - DRAINAGE STRUCTURE (SHALLOW) INSTALL - CULVERT - 3902 SW 106TH ST,Excavation,Active,,12623360,BC-SU-C370B,0,61.8360063952285,304.218574956414
