STATEFP,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ELSDLEA,UNSDLEA,SCSDLEA,Shape_Length,Shape_Area,OBJECTID
04,0400082,Colorado River Union High School District,00,09,12,G5410, ,E,2711174279,74672820,+35.1052137,-114.4678343, , ,00082,3.42480075680473,0.275385682727662,1
04,0400450,Agua Fria Union High School District,00,09,12,G5410, ,E,244608317,772930,+33.4814273,-112.4078710, , ,00450,0.763610198117751,0.0238042612348796,2
04,0400720,Antelope Union High School District,00,09,12,G5410, ,E,7937907674,3400,+32.9920489,-113.8173717, , ,00720,3.82521490410725,0.765869217327802,3
04,0401160,Bicentennial Union High School District,00,09,12,G5410, ,E,9842286614,22988821,+33.6694969,-113.9521527, , ,01160,5.55456112772171,0.959081279835729,4
04,0401410,Buckeye Union High School District,00,09,12,G5410, ,E,3167025534,214246,+33.3198987,-112.8117940, , ,01410,3.16701810644706,0.306665555436039,5
04,0401740,Casa Grande Union High School District,00,09,12,G5410, ,E,3365420269,1173327,+32.8391529,-111.9208947, , ,01740,3.50108463384276,0.324257658381454,6
04,0403450,Glendale Union High School District,00,09,12,G5410, ,E,153669445,412847,+33.5743168,-112.1351943, , ,03450,0.667416130626266,0.0149628076789852,7
04,0405070,Mingus Union High School District,00,09,12,G5410, ,E,1320301124,401767,+34.8350635,-112.0838977, , ,05070,1.85492454637018,0.130140594692179,8
04,0406030,Patagonia Union High School District,00,09,12,G5410, ,E,1795991592,1646872,+31.5472872,-110.6799581, , ,06030,1.91248672641628,0.170752089879563,9
04,0406330,Phoenix Union High School District,00,09,12,G5410, ,E,449335264,1959449,+33.4408648,-112.0990258, , ,06330,1.16101532294356,0.043758983845016,10
04,0407530,Santa Cruz Valley Union High School District,00,09,12,G5410, ,E,1857326937,3443533,+32.6430009,-111.4370935, , ,07530,2.32208535483914,0.178810929548242,11
04,0408340,Tempe Union High School District,00,09,12,G5410, ,E,428697190,2542665,+33.3111998,-111.9835387, , ,08340,1.03220103897222,0.0417529488475156,12
04,0408520,Tolleson Union High School District,00,09,12,G5410, ,E,264915186,636237,+33.4119203,-112.2743781, , ,08520,0.880815938234637,0.0257403719920867,13
04,0408910,Valley Union High School District,00,09,12,G5410, ,E,1470352516,694059,+31.8655400,-109.6700375, , ,08910,2.41564751402575,0.140166366110823,14
04,0409630,Yuma Union High School District,00,09,12,G5410, ,E,6343357962,13167916,+32.5295065,-114.0048912, , ,09630,4.88751709584782,0.609829659260023,15
06,0629130,Oroville Union High School District,00,09,12,G5410, ,E,1661911053,69733992,+39.6041742,-121.4309121, , ,29130,2.47420988131487,0.181614289432753,16
06,0606005,Scott Valley Unified School District in Forks of Salmon,00,07,12,G5410,A,F,1665938719,4125722,+41.2663944,-123.1705167, , ,06005,2.27398819790618,0.179459972144464,17
06,0602630,Anaheim Union High School District,00,07,12,G5410, ,E,104952769,301696,+33.8273173,-117.9621537, , ,02630,0.590080033299657,0.0102506952280139,18
06,0618060,Huntington Beach Union High School District,00,09,12,G5410, ,E,115079995,103961121,+33.6846338,-118.0211933, , ,18060,0.638996013059,0.0212978006828051,19
06,0630250,Petaluma Joint Union High School District,00,07,12,G5410, ,E,636425199,43431377,+38.1985401,-122.6342942, , ,30250,2.06457856602754,0.0699377396373557,20
06,0635110,San Rafael City High School District,00,09,12,G5410, ,E,93228854,60996689,+38.0055686,-122.5028113, , ,35110,0.729468460538542,0.015820157871504,21
06,0638790,Tamalpais Union High School District,00,09,12,G5410, ,E,442349553,319574431,+37.9455929,-122.6862035, , ,38790,2.05449153773694,0.0780922364662502,22
06,0630210,Perris Union High School District,00,07,12,G5410, ,E,126795193,41199,+33.7737016,-117.2937067, , ,30210,0.594676680441456,0.0123448349821142,23
06,0612070,El Dorado Union High School District,00,09,12,G5410, ,E,2881731625,28367357,+38.7079090,-120.5909221, , ,12070,3.02988148938031,0.30137058759159,24
06,0606034,Perris Union High School District in Menifee (9-12),00,09,12,G5410,A,F,151615219,449104,+33.6659701,-117.1730163, , ,06034,0.658436111686164,0.0147822174966461,25
06,0606035,Perris Union High School District in Nuview (9-12),00,09,12,G5410,A,F,111296584,677928,+33.8160205,-117.1115181, , ,06035,0.559760937384127,0.0109037390217792,26
06,0606036,Perris Union High School District in Romoland (9-12),00,09,12,G5410,A,F,80712394,0,+33.7442890,-117.1582982, , ,06036,0.464487469249563,0.00785314602359017,27
06,0642350,Wheatland Union High School District,00,09,12,G5410, ,E,400884692,3672417,+39.0852587,-121.4073702, , ,42350,1.23245536201007,0.0421189827189642,28
06,0611820,East Side Union High School District,00,09,12,G5410, ,E,354466683,516255,+37.3270983,-121.7770803, , ,11820,1.3403132883845,0.0360890232020711,29
06,0626310,Mountain View-Los Altos Union School District,00,09,12,G5410, ,E,96960374,9223664,+37.3868098,-122.0998178, , ,26310,0.72095406285596,0.0108035374924955,30
06,0614430,Fremont Union High School District,00,09,12,G5410, ,E,144990966,349209,+37.3293586,-122.0614987, , ,14430,1.05155688045902,0.014776279693386,31
06,0622800,Los Gatos-Saratoga Joint Union School District,00,09,12,G5410, ,E,365682810,2432712,+37.1752816,-121.9659947, , ,22800,1.37107695356197,0.0373522901916579,32
06,0607230,Campbell Union High School District,00,09,12,G5410, ,E,78525461,75582,+37.2754238,-121.9462937, , ,07230,0.612567671244412,0.00798558921944213,33
06,0606039,Healdsburg Unified (9-12) in West Side Union,00,09,12,G5410,A,F,196912799,928878,+38.5871134,-122.9989798, , ,06039,0.937707035612002,0.0204567088790258,34
06,0638730,Taft Union High School District,00,09,12,G5410, ,E,1441819227,2410560,+35.3198328,-119.6178338, , ,38730,2.68405778651132,0.143161645777263,35
06,0641430,Wasco Union High School District,00,09,12,G5410, ,E,1991513939,4717058,+35.6380655,-119.7608514, , ,41430,3.02934570436095,0.198647527349489,36
06,0621270,Le Grand Union High School District,00,09,12,G5410, ,E,465322765,0,+37.2358769,-120.2614016, , ,21270,1.13395567540146,0.0472500296977987,37
06,0624660,Merced Union High School District,00,09,12,G5410, ,E,1803930975,9497004,+37.3573198,-120.5256084, , ,24660,2.43880981844953,0.184431991901225,38
06,0606038,Healdsburg Unified (7-12) in Alexander Valley Union,00,07,12,G5410,A,F,171901135,174852,+38.6860805,-122.7921333, , ,06038,0.971286258905891,0.0178123321685512,39
06,0640500,Upper Lake Union High School District,00,09,12,G5410, ,E,1463481829,74175570,+39.3010039,-122.8366093, , ,40500,2.869538585768,0.160566393207986,40
06,0609810,Corning Union High School District,00,09,12,G5410, ,E,1570512173,13598799,+39.8936816,-122.4874293, , ,09810,2.5604876042746,0.16682599793001,41
06,0632010,Red Bluff Joint Union High School District,00,09,12,G5410, ,E,5521383158,16847255,+40.2517209,-122.1687429, , ,32010,5.34624134871702,0.586033489508467,42
06,0614760,Fullerton Joint Union High School District,00,09,12,G5410, ,E,112064956,173318,+33.9036909,-117.9491871, , ,14760,0.662829377060169,0.0109403444449342,43
06,0608160,Chaffey Joint Union High School District,00,09,12,G5410, ,E,423092397,183824,+34.1385568,-117.5776791, , ,08160,1.29187370284656,0.0413720477377998,44
06,0606006,Trinity Alps Unified School District in Burnt Ranch,00,09,12,G5410,A,F,544147058,3143,+40.8894393,-123.4325603, , ,06006,1.68039652163039,0.0581416235553075,45
06,0606007,Trinity Alps Unified School District in Coffee Creek,00,09,12,G5410,A,F,927376106,2326281,+41.2034758,-122.7097356, , ,06007,1.79079733594652,0.0997490407142082,46
06,0606025,Hamilton Unified School District in Capay (9-12),00,09,12,G5410,A,F,30867909,929530,+39.7787191,-122.0754139, , ,06025,0.291249025389798,0.0033429266023062,47
06,0606003,Twin Rivers Unified School District in Elverta,00,09,12,G5410,A,F,64094764,36883,+38.7392057,-121.4806566, , ,06003,0.521819471623248,0.00664449438422763,48
06,0606004,Twin Rivers Unified School District in Robla,00,07,12,G5410,A,F,25662730,0,+38.6551086,-121.4473217, , ,06004,0.253174019312464,0.00265582421618535,49
06,0602670,West Sonoma County Union High School District,00,09,12,G5410, ,E,835756694,195335944,+38.4845855,-123.0858851, , ,02670,2.36070174088198,0.106458810446041,50
06,0635830,Santa Rosa High School District,00,07,12,G5410, ,E,476308297,913262,+38.4570453,-122.6692775, , ,35830,1.42560443695604,0.0492549610422622,51
06,0621060,Lassen Union High School District,00,09,12,G5410, ,E,6353914812,381951421,+40.6096275,-120.4598515, , ,21060,3.93831114660625,0.716551994215825,52
06,0606026,Woodlake Unified School District (9-12) in Stone Corral,00,09,12,G5410,A,F,50054221,0,+36.4785934,-119.1969225, , ,06026,0.340347123256428,0.00503333174887929,53
06,0606027,Woodlake Unified School District (9-12) in Three Rivers Union,00,09,12,G5410,A,F,1823003251,6070456,+36.4369892,-118.6715322, , ,06027,2.51100975029538,0.183847376320418,54
06,0606028,Exeter Unified School District (9-12) in Sequoia Union,00,09,12,G5410,A,F,91819336,3118304,+36.3580610,-119.0522089, , ,06028,0.603180926883731,0.00953234632616787,55
06,0606029,Exeter Unified School District (9-12) in Outside Creek,00,09,12,G5410,A,F,39229412,0,+36.2563219,-119.1940883, , ,06029,0.288858741081258,0.00393378874317199,56
06,0635670,Santa Maria Joint Union High School District,00,09,12,G5410, ,E,1462812759,159622933,+34.8746921,-120.3547359, , ,35670,2.45211670979408,0.159963467150248,57
06,0635850,Santa Ynez Valley Union High School District,00,09,12,G5410, ,E,3040023379,223865181,+34.6358707,-119.8949947, , ,35850,3.49580092045537,0.32091869005515,58
06,0611700,Dunsmuir Joint Union High School District,00,09,12,G5410, ,E,666714229,2649733,+41.1423017,-122.3099775, , ,11700,1.50562018285948,0.071794225855051,59
06,0619830,Kingsburg Joint Union High School District,00,09,12,G5410, ,E,253780307,932528,+36.4693360,-119.5329896, , ,19830,1.09940504562343,0.0256131167301948,60
06,0634140,San Benito High School District,00,09,12,G5410, ,E,2659327006,1725481,+36.6535732,-121.0991880, , ,34140,3.4678558065975,0.268194779073773,61
06,0603030,Northern Humboldt Union High School District,00,09,12,G5410, ,E,1820419553,34335691,+40.9721687,-123.9071651, , ,03030,3.36857714418532,0.198390823924007,62
06,0614190,Fortuna Union High School District,00,09,12,G5410, ,E,1457886363,18488776,+40.4941728,-123.8376331, , ,14190,3.00769023951662,0.156868638282807,63
06,0607920,Centinela Valley Union High School District,00,09,12,G5410, ,E,23876673,91687,+33.9102802,-118.3480805, , ,07920,0.265480466959088,0.00233651445717873,64
06,0642510,William S. Hart Union High School District,00,07,12,G5410, ,E,1013490580,14100729,+34.4865289,-118.5520651, , ,42510,1.49476886055174,0.100837187846593,65
06,0606009,Trinity Alps Unified School District in Douglas City,00,09,12,G5410,A,F,343810502,32384,+40.5911229,-122.8702226, , ,06009,1.06245741540415,0.0365810619271209,66
06,0606010,Trinity Alps Unified School District in Junction City,00,09,12,G5410,A,F,365520900,631179,+40.8290137,-123.0228589, , ,06010,1.05577021535578,0.0390830499616648,67
06,0606011,Trinity Alps Unified School District in Lewiston,00,09,12,G5410,A,F,266070955,7814052,+40.7461333,-122.8022178, , ,06011,0.976704195265008,0.0291936803188059,68
06,0606012,Trinity Alps Unified School District in Trinity Center,00,09,12,G5410,A,F,521918877,54482114,+40.9469937,-122.7266042, , ,06012,1.34035472268896,0.0616443418019081,69
06,0608550,Chowchilla Union High School District,00,09,12,G5410, ,E,584227872,2275784,+37.0721241,-120.2969305, , ,08550,1.39236846020074,0.0594274733509176,70
06,0606053,Gonzales Unified (9-12) School District,00,09,12,G5410,A,F,171474797,264130,+36.5897368,-121.4746436, , ,06053,0.681392695065978,0.0172944766939222,71
06,0625150,Modesto City High School District,00,09,12,G5410, ,E,430240392,3661698,+37.6623610,-121.0342213, , ,25150,1.62480434056354,0.044307304221388,72
06,0606018,Washington Unified School District (9-12),00,09,12,G5410,A,F,116724995,44038,+36.6451008,-119.7975716, , ,06018,0.728414276501328,0.0117671210883434,73
06,0606016,Dinuba Unified (9-12) in Kings River Union,00,09,12,G5410,A,F,16236442,0,+36.4914661,-119.4534660, , ,06016,0.210571851621591,0.00163297579696372,74
06,0618930,Jefferson Union High School District,00,09,12,G5410, ,E,83585084,142459568,+37.6901929,-122.4962701, , ,18930,1.02569166747838,0.0230790532250051,75
06,0636972,Victor Valley Union High School District,00,07,12,G5410, ,E,1423251273,6360388,+34.6629905,-117.4472535, , ,36972,1.67373973281115,0.140590709739957,76
06,0606019,Santa Barbara Unified School District (7-12),00,07,12,G5410,A,F,291568990,178333731,+34.4401000,-119.8456870, , ,06019,1.41105367982568,0.0460916804142257,77
06,0614820,Galt Joint Union High School District,00,09,12,G5410, ,E,669657054,7125442,+38.2857504,-121.2399046, , ,14820,1.89461927956798,0.0696837514963522,78
06,0626880,Nevada Joint Union High School District,00,09,12,G5410, ,E,1886938332,28171109,+39.2776911,-120.9336868, , ,26880,2.67597560861161,0.19991432357453,79
06,0612910,Escondido Union High School District,00,09,12,G5410, ,E,272444532,3141331,+33.1232648,-117.0594888, , ,12910,1.10740177563518,0.0266259582578718,80
06,0613530,Fallbrook Union High School District,00,09,12,G5410, ,E,717773151,99538673,+33.3802376,-117.3901004, , ,13530,1.55182367793377,0.0791983783639476,81
06,0616230,Grossmont Union High School District,00,09,12,G5410, ,E,1206856624,22238919,+32.7738000,-116.8175945, , ,16230,2.0089712584488,0.11829218960973,82
06,0619110,Julian Union High School District,00,09,12,G5410, ,E,1624960064,3926945,+33.0470228,-116.4590731, , ,19110,2.28249117614878,0.157222784229291,83
06,0634380,San Dieguito Union High School District,00,07,12,G5410, ,E,209031316,108314193,+33.0161063,-117.2545162, , ,34380,0.828827236137496,0.0306233801943079,84
06,0638640,Sweetwater Union High School District,00,07,12,G5410, ,E,388171653,23090298,+32.6023081,-116.9846947, , ,38640,1.12314692184511,0.0395109619489098,85
06,0610860,Delano Joint Union High School District,00,09,12,G5410, ,E,1197023972,5348009,+35.7630952,-119.2469519, , ,10860,2.65457817212005,0.119832199587173,86
06,0639930,Tulare Joint Union High School District,00,09,12,G5410, ,E,942029657,1567296,+36.1055200,-119.3706428, , ,39930,1.76178224052377,0.0944505847323912,87
06,0606107,Porterville Unified (9-12) School District,00,09,12,G5410,A,F,4879354498,1041555,+36.0714962,-118.5589696, , ,06107,6.70059081267253,0.488103835233628,88
06,0601650,Acalanes Union High School District,00,09,12,G5410, ,E,205137702,4413448,+37.8772150,-122.1288576, , ,01650,0.915100401396141,0.0214587499764361,89
06,0621600,Liberty Union High School District,00,09,12,G5410, ,E,514832039,49305470,+37.9222276,-121.6683590, , ,21600,1.44531272249932,0.057806861095679,90
06,0608010,Central Union High School District,00,09,12,G5410, ,E,405421038,177538,+32.7410776,-115.6421516, , ,08010,1.27153776277625,0.0390211322980431,91
06,0606020,Lammersville Joint Unified School District (9-12),00,09,12,G5410,A,F,70915952,1137220,+37.7473502,-121.5819582, , ,06020,0.407469390607377,0.00736576101802455,92
06,0602820,Antelope Valley Union Joint High School District,00,09,12,G5410, ,E,3597857476,18975633,+34.6548837,-118.1499193, , ,02820,3.30538907918488,0.355659803953552,93
06,0606037,Alhambra Unified (9-12) School District,00,09,12,G5410,A,F,11666276,120610,+34.0587656,-118.0964295, , ,06037,0.18709337595353,0.00115101788349301,94
06,0612120,El Monte Union High School District,00,09,12,G5410, ,E,54665317,3700728,+34.0694766,-118.0373239, , ,12120,0.399165125143155,0.00570021713192497,95
06,0642480,Whittier Union High School District,00,09,12,G5410, ,E,103987496,672705,+33.9670928,-118.0376700, , ,42480,0.52567263715117,0.0102093394301579,96
06,0606022,Santa Paula Unified (9-12) in Briggs,00,09,12,G5410,A,F,56357270,1186892,+34.3587415,-119.1331432, , ,06022,0.405954713475556,0.00563790205561403,97
06,0606023,Santa Paula Unified (9-12) in Mupu,00,09,12,G5410,A,F,103472343,10762,+34.5090691,-119.0476898, , ,06023,0.509195906074195,0.0101541301875397,98
06,0606024,Santa Paula Unified (9-12) in Santa Clara,00,09,12,G5410,A,F,44264830,1096975,+34.4127008,-119.0010042, , ,06024,0.340878626958544,0.0044479421303657,99
06,0605940,Bret Harte Union High School District,00,09,12,G5410, ,E,1101576550,13456648,+38.1478436,-120.4651598, , ,05940,2.93931517480589,0.114601102108205,100
06,0606017,Dinuba Unified (9-12) in Monson-Sultana Joint Union,00,09,12,G5410,A,F,57001317,0,+36.5189083,-119.3310929, , ,06017,0.452050139424386,0.00573489476065234,101
06,0611780,East Nicolaus Joint Union High School District,00,09,12,G5410, ,E,379108089,3107688,+38.8548216,-121.5333568, , ,11780,1.0589598654938,0.0396676209443534,102
06,0638610,Sutter Union High School District,00,09,12,G5410, ,E,619789966,4761309,+39.0624282,-121.7735887, , ,38610,1.91702451248546,0.0649994983502995,103
