indicatorvalue,unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue(long),yearnum(long),age,agenum(double precision),estimate(double precision),flagvalue
Death rates fo suicide,"Deaths per 100,000 resident population, age-adjusted",1,otal,0,All persons,0.0,1950,1,All ages,0.0,13.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All prsons,0.0,1960,2,All ages,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1970,3,All ages,0.0,13.1,t...
Death rate sfor suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1980,4,All ages,0.0,12.2,...
Death ratfes for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1981,5,All ages,0.0,12.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Togtal,0,All persons,0.0,1982,6,All aegs,0.0,12.5,...
Death rates fr suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All perosns,0.0,1983,7,All ages,0.0,12.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,Albl persons,0.0,1984,8,All agies,0.0,12.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1985,9,All ages,0.0,12.5,.s..
Death rates for suqicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1986,10,Awll ages,0.0,13.0,...
Death rates fqor suicide,"Deaths per 100,000 resident population, age-adjusted",1,Ttal,0,All ptersons,0.0,1987,11,All ages,0.0,12.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1988,12,All ages,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All pesons,0.0,1989,13,All ages,0.0,12.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All prsons,0.0,1990,14,All ages,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1991,15,All ages,0.0,12.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1992,16,Al lages,0.0,12.0,..q.
Death rates for sicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1993,17,All ages,0.0,12.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1994,18,Allages,0.0,11.9,...***
Death ratesf or suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1995,19,All ages,0.0,11.8,.l..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1996,20,All ages,0.0,11.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1997,21,All ages,0.0,11.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1998,22,All ages,0.0,11.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1999,23,All ages,0.0,10.5,...
Death rates wfor suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2000,24,All ages,0.0,10.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2001,25,All akges,0.0,10.7,v...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2002,26,All ages,0.0,10.9,...
