characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,112.0,1.9,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total,kFemale,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total,Femalle,"American Indian/Alaska Native, non-Hispanic",2009,118.0,1.2,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Femalje,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2013,118.0,1.0,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,115.0,2.3,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,122.0,1.6,Data not available.
Total - Male,Maxle,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Male,Maqle,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2013,120.0,1.3,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,108.0,2.6,Data not available.
Total - Female,Femdale,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,110.0,1.8,Data not available.
Total - Female,Femlae,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Female,Fqemale,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Female,Feamle,"American India/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Feamle,"American Indian/Alaska Native, non-Hispanic",2013,113.0,1.7,Data not available.
Total,Female,"White, non-Hispanic",2005,120.0,2.2,Data not available.
Total - Hispanic,Female,"White, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Female,"White, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Female,Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Female,"White, non-Hispanic",2009,127.0,1.3,Data not available.
Total,Female,"White, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Male,Female,"White, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Hispanic,Female,"White, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Male,Female,"White, non-Hispanic",2013,127.0,1.3,Data not available.
Total - Hispanic,Female,"Black, non-Hispanic",2005,96.0,2.9,Data not available.
Total - Male,Female,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Female,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Fqemale,"Black, non-Hispanic",2009,94.0,2.7,Data not available.
Total - Female,Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Hispanic,Female,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Hispanic,Female,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
Total,Female,"Black, non-Hispanic",2013,98.0,1.9,Data not available.
Total - Male,Female,Hispanic,2005,99.0,3.2,Data not available.
Total - Female,Female,Hispanic,2006,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2007,120.0,2.4,Data not available.
Total,Female,Hispanic,2008,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2009,105.0,1.9,Data not available.
Total - Male,Female,Hispanic,2010,120.0,2.4,Data not available.
Total - Female,Female,Hispanic,2011,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispaniic,2012,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,Hispanic,2013,106.0,2.4,Data not available.
Total - Female,Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Hispanic,Female,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2009,137.0,7.0,Data for 2005 and 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Black, non-Hispanic",Female,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2013,122.0,7.8,Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Amercan Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femlae,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Femle,"Americaxn Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femalje,"American Indian/Alraska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Asian, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Female,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2013,125.0,6.3,Data not available.
Total - Male,Male,"White, non-Hispanic",2005,122.0,2.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Male,"White, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Male,"White, non-Hispanic",2009,131.0,1.7,Data not available.
"Total - Male, White, non-Hispanic",Mael,"White, non-Hispanic",2010,120.0,2.4,Data not available.
Total,Male,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"hite, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Male,"White, non-Hispanic",2013,130.0,1.7,Data not available.
Total - Male,Male,"Black, non-Hispanic",2005,98.0,3.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Male,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Male,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Female,Male,"Black, non-Hispanic",2009,96.0,3.5,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Male,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Male,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Male,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
Total,Male,"Black, non-Hispanic",2013,100.0,2.4,Data not available.
Total,Male,Hispanic,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Male,Hispanic,2006,120.0,2.4,Data not available.
Total,Male,Hispanic,2007,120.0,2.4,Data not available.
Total,Male,Hispanic,2008,120.0,2.4,Data not available.
Total,Male,Hispanic,2009,109.0,2.4,Data not available.
Total,Male,Hispanic,2010,120.0,2.4,Data not available.
Total,Male,Hispanic,2011,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Male,Hispanic,2012,120.0,2.4,Data not available.
Total - Male,Male,Hispanic,2013,108.0,2.7,Data not available.
Total - Female,Male,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - American Indian/Alaska Native, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"PacificI slander, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanhic",2010,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mayle,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Madle,"Pacific Islander, nocn-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",uMale,"Pacific Islader, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"merican Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"America Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Maqle,"merican Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mle,"Amerifcan Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Inbdian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Maile,"Aerican Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mle,"Two or omre races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malse,"Two or more races, non-Hispankic",2008,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mae,"Tgwo or more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two ro more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or morfe races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mxale,"Two or more racesn, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",sMale,"Two or more racies, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,116.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",Femalle,"White, non-Hinspanic",2006,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Femalce,"White, non-Hispaic",2007,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Femle,"Whte, non-Hispanic",2009,120.0,2.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"Whte, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Fmale,"Whiteg, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Feamle,"Whit, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Feale,"White, non-Hisapnic",2013,123.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Femlae,"pBlack, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanicp",2007,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Femdale,"Black, on-Hispanic",2009,92.0,3.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Feale,"Bltack, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Femalye,"Back, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Femae,"Black,n on-Hispanic",2013,95.0,3.0,Data not available.
"Total - Female, Hispanic",Female,Hipsanic,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Femalke,Hispanic,2006,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2008,120.0,2.4,Data not available.
"Total - Female, Hispanic",Femcale,Hispnaic,2009,100.0,2.6,Data not available.
"Total - Female, Hispanic",Femlae,Hspanic,2010,120.0,2.4,Data not available.
"Total - Female, Hispanic",Fmale,ispanic,2011,120.0,2.4,Data not available.
"Total - Female, Hispanic",Fepmale,Hispaic,2012,120.0,2.4,Data not available.
"Total - Female, Hispanic",Femayle,Hispnic,2013,103.0,3.6,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femalse,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Aisan, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,Asian non-Hispanic,2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femae,"Asian, nno-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fcemale,"wAsian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asin, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispadnic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femmale,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"acific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispnic",2009,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",oFemale,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femae,"Pacifizc Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",emale,"Pacific Islander, nonH-ispanic",2012,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",eFmale,"Pacific Islkander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"Americna Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fhemale,"American India/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fegmale,"American Indian/Atlaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaskua Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feamle,"bAmerican Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fekmale,"Ameican Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",eFmale,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feale,"Two or more rcaes, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more races, non-Hisapnic",2008,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femhale,"Twoor more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, nonHispanic",2010,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fezmale,"Two or more races, non-Hispanihc",2011,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feale,"Two or more rapces, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femle,"Tw oor more races, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
