OBJECTID_1,OBJECTID,Perimeter,Area,ACRES,DELINSQMI,TINWSYS_IS,PWS_ID,PWS_Name,PWS_label,TINWSYS_D_,TINWSF_IS,TINWSF_NAM,TINWSF_WAT,Src_label,DWS_ID,OREGON_DWP,CITY,CNTY_NAME,EPA_METHOD,OR_METHOD,Comments,FIPS_CNTY,OR_CNTY_NU,TINWSYS_ST,UTM_ZONE,SDWIS_link,UpStrm_Cd,UpStrmPWSs,DwnStrm_Cd,Assessment,SUBBASIN,SUBBASIN_N,HUC12_NHD,HUC12_WBD,WRD_basin,DATE_DEL,INITIALS_D,DATE_DIG,INITIALS_1,DATE_PROC,INITIALS_P,METHOD,Comment,HUC4_edit,Separate,SQMI,Shape__Area,Shape__Length
1,1,15765.9077839,10378138.9919,238.250241152,0.372266001848,3976,4100556,NETARTS WATER DISTRICT,Netarts Water District,C,21805,WEST FALL CREEK,SW,West Fall Creek, ,0,NETARTS,TILLAMOOK,HM,HYDROGEOLOGIC MAPPING,"Delineation from Tom Pattee (OHA-Springfield); Email 03/15/2017",57,29,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00556,0, ,0,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100556,17100203,Wilson-Trask-Nestucca,171002030901,Netarts Bay-Frontal Pacific Ocean, ,2017/03/14 00:00:00+00,SDA,2017/03/14 00:00:00+00,SDA,2017/03/14 00:00:00+00,SDA,DRG_AI, , ,JoinToRight,0.372266001848,1959478.1796875,6852.66281612016
2,2,23588.7687754,16166420.7245,371.131436877,0.579892870196,3976,4100556,NETARTS WATER DISTRICT,Netarts Water District,C,11807,EAST FALL CREEK,SW,East Fall Creek,100841,50,NETARTS,TILLAMOOK,HM,HYDROGEOLOGIC MAPPING,"Delineation from Tom Pattee (OHA-Springfield); Email 12/10/2015",57,29,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00556,188,NO,209,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100556,17100203,Wilson-Trask-Nestucca,171002030901,Netarts Bay-Frontal Pacific Ocean, ,2000/11/02 00:00:00+00,AECZ,2000/11/02 00:00:00+00,AECZ,2000/11/02 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,0.579892870196,3052594.453125,10245.8503515439
3,3,35288.0306582,45269183.8431,1039.24161893,1.62381502978,4007,4101062,RAINBOW ROCK VILLAGE MHP,Rainbow Rock Village Mhp,C,11756,TAYLOR CREEK WELLS - WELL #1,GU,Taylor Creek Wells - Well #1, ,0,Brookings,CURRY,HM,HYDROGEOLOGIC MAPPING,"Surface water DWSA by TP for IG (sda 08SEP2006); SURFACE WATER MAPPING; DRG-AI",15,8,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=01062,0, ,0,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4101062,17100312,Chetco,171003120110,South Coast,South Coast,2006/12/31 00:00:00+00,sda,2006/12/31 00:00:00+00,sda,2006/12/31 00:00:00+00,sda,HM,Moved from groundwater DWSAs (sda30JAN2017)., ,JoinToRight,1.62381502978,7638422.3984375,14501.7736492949
4,5,12689.4947029,4116013.12902,94.4910374913,0.147642246099,3961,4100394,IDANHA CITY WATER,Idanha City Water,C,20865,MUD PUPPY CREEK, ,Mud Puppy Creek, ,0,IDANHA,LINN, , , ,43,22,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00394,214,YES,109,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100394,17090005,North Santiam, , , ,2011/02/14 00:00:00+00,SDA,2011/02/14 00:00:00+00,SDA,2011/02/14 00:00:00+00,SDA,DRG_AI,New delineation added 14FEB2011 (sda).,"done; NA",JoinToRight,0.147642246099,756791.03125,5440.43075259049
5,6,21385.3636384,22641652.2781,519.782893594,0.812160771345,3961,4100394,IDANHA CITY WATER,Idanha City Water,C,11706,SPRING (RAINBOW CREEK), ,"Spring; Rainbow Creek", ,0,IDANHA,LINN, , , ,43,22,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00394,217,NO,108,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100394,17090005,North Santiam, , , ,2011/02/14 00:00:00+00,SDA,2011/02/14 00:00:00+00,SDA,2011/02/14 00:00:00+00,SDA,DRG_AI,New delineation added 14FEB2011 (sda).,"done; NA",JoinToRight,0.812160771345,4161714.6484375,9165.83013263994
6,9,99373.4951102,375947190.701,8630.59445579,13.4853038389,3886,4100287,EUGENE WATER & ELECTRIC BOARD,Eugene Water & Electric Board,C,11788,MCKENZIE RIVER, ,McKenzie River,100440,124,EUGENE,LANE, , ,DWSA split using 'waterhsed' tool in ArcGIS at new intake/well (BF - 8/2/18),39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00287,2,NO,67,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100287,17090004,McKenzie, , , ,2000/10/02 00:00:00+00,AECZ,2000/10/02 00:00:00+00,AECZ,2000/10/02 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,13.4853038389,67678070.859375,42156.1671288967
7,10,974408.646519,31985359998.6,734285.765392,1147.32150857,3992,4100808,COUNTRY VIEW MH ESTATES,Country View MH Estates,C,11895,ROGUE RIVER, ,Rogue River,101244,176,ASHLAND,JACKSON, , , ,29,15,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00808,3,NO,195,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100808,17100307,Upper Rogue, , , ,2000/03/28 00:00:00+00,AECZ,2000/03/28 00:00:00+00,AECZ,2000/03/28 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,1147.32150857,5513177956.54688,404631.353783972
8,11,1011618.89509,21123385655.3,484928.148511,757.700232147,3353,4100492,"LOWELL, CITY OF",City of Lowell,C,18153,DEXTER LAKE, ,Dexter Lake, ,129,LOWELL,LANE, , , ,39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00492,5,NO,73,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100492,17090001,Middle Fork Willamette, , , ,2006/05/23 00:00:00+00,SDA,2006/05/23 00:00:00+00,SDA,2006/05/23 00:00:00+00,SDA,DRG_AI, , ,JoinToRight,757.700232147,3749518209.44531,426340.298030143
9,12,975329.058439,16990079977.9,390040.127146,609.437698744,3731,4100372,"HERMISTON, CITY OF",City of Hermiston,C,11878,COLUMBIA RIVER, ,Columbia River,106194,21,HERMISTON,UMATILLA, , , ,59,30,OR,11,https://yourwater.oregon.gov/inventory.php?pwsno=00372,7,NO,70,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100372,17070101,Middle Columbia-Lake Wallula, , , ,2000/11/16 00:00:00+00,AECZ,2000/11/16 00:00:00+00,AECZ,2000/11/16 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,609.437698744,3258516567.95313,426867.325756223
10,13,846982.008652,18800449109.3,431600.649938,674.376015616,3950,4100279,"ESTACADA, CITY OF",City of Estacada,C,11695,CLACKAMAS RIVER, ,Clackamas River,100426,70,ESTACADA,CLACKAMAS, , , ,5,3,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00279,9,NO,18,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100279,17090011,Clackamas, , , ,2000/02/02 00:00:00+00,KTS,2000/02/02 00:00:00+00,KTS,2000/12/14 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,674.376015616,3498223272.89844,365393.494397978
