region,region_code,period,students_trained_period,students_trained_cumul,students_trained_target,students_enroll,students_enroll_trained
South Carolina,SC,2012-09,7.00,115.00,0.00,32.00,14.00
South Carolina,SC,2012-12,19.00,134.00,0.00,5.00,4.00
South Carolina,SC,2013-03,30.00,164.00,0.00,16.00,13.00
South Carolina,SC,2013-06,0.00,164.00,0.00,5.00,1.00
South Carolina,SC,2013-09,1.00,165.00,0.00,0.00,0.00
South Dakota,SD,2010-09,0.00,0.00,0.00,1.00,1.00
South Dakota,SD,2010-12,0.00,0.00,0.00,12.00,9.00
South Dakota,SD,2011-03,2.00,2.00,0.00,27.00,20.00
South Dakota,SD,2011-06,58.00,60.00,0.00,128.00,95.00
South Dakota,SD,2011-09,21.00,81.00,0.00,65.00,55.00
South Dakota,SD,2011-12,84.00,165.00,0.00,41.00,32.00
South Dakota,SD,2012-03,153.00,318.00,0.00,121.00,107.00
South Dakota,SD,2012-06,0.00,318.00,0.00,0.00,0.00
South Dakota,SD,2012-09,1.00,319.00,0.00,0.00,0.00
South Dakota,SD,2012-12,0.00,319.00,0.00,0.00,0.00
South Dakota,SD,2013-03,0.00,319.00,0.00,0.00,0.00
South Dakota,SD,2013-06,0.00,319.00,0.00,0.00,0.00
South Dakota,SD,2013-09,0.00,319.00,0.00,0.00,0.00
Tennessee,TN,2010-09,0.00,0.00,0.00,25.00,14.00
Tennessee,TN,2010-12,0.00,0.00,0.00,31.00,15.00
Tennessee,TN,2011-03,13.00,13.00,0.00,14.00,9.00
Tennessee,TN,2011-06,20.00,33.00,0.00,173.00,54.00
Tennessee,TN,2011-09,36.00,69.00,0.00,324.00,111.00
Tennessee,TN,2011-12,38.00,107.00,0.00,86.00,24.00
Tennessee,TN,2012-03,83.00,190.00,0.00,70.00,21.00
Tennessee,TN,2012-06,24.00,214.00,0.00,67.00,20.00
Tennessee,TN,2012-09,18.00,232.00,0.00,109.00,22.00
Tennessee,TN,2012-12,18.00,250.00,0.00,68.00,21.00
Tennessee,TN,2013-03,49.00,299.00,0.00,17.00,5.00
Tennessee,TN,2013-06,6.00,305.00,0.00,24.00,14.00
Tennessee,TN,2013-09,25.00,330.00,0.00,1.00,0.00
Texas,TX,2010-09,0.00,0.00,0.00,124.00,76.00
Texas,TX,2010-12,4.00,4.00,0.00,119.00,40.00
Texas,TX,2011-03,72.00,76.00,0.00,187.00,105.00
Texas,TX,2011-06,58.00,134.00,0.00,107.00,51.00
Texas,TX,2011-09,100.00,234.00,0.00,337.00,169.00
Texas,TX,2011-12,109.00,343.00,0.00,266.00,147.00
Texas,TX,2012-03,86.00,429.00,0.00,159.00,80.00
Texas,TX,2012-06,161.00,590.00,0.00,160.00,77.00
Texas,TX,2012-09,64.00,654.00,0.00,126.00,46.00
Texas,TX,2012-12,88.00,742.00,0.00,114.00,71.00
Texas,TX,2013-03,114.00,856.00,0.00,62.00,37.00
Texas,TX,2013-06,9.00,865.00,0.00,12.00,7.00
Texas,TX,2013-09,41.00,906.00,0.00,0.00,0.00
Utah,UT,2010-09,0.00,0.00,0.00,2.00,1.00
Utah,UT,2010-12,0.00,0.00,0.00,9.00,5.00
Utah,UT,2011-03,0.00,0.00,0.00,79.00,45.00
Utah,UT,2011-06,13.00,13.00,0.00,59.00,42.00
Utah,UT,2011-09,20.00,33.00,0.00,43.00,34.00
Utah,UT,2011-12,196.00,229.00,0.00,153.00,146.00
Utah,UT,2012-03,87.00,316.00,0.00,44.00,44.00
Utah,UT,2012-06,0.00,316.00,0.00,0.00,0.00
Utah,UT,2012-09,0.00,316.00,0.00,1.00,1.00
Utah,UT,2012-12,1.00,317.00,0.00,0.00,0.00
Utah,UT,2013-03,1.00,318.00,0.00,0.00,0.00
Utah,UT,2013-06,0.00,318.00,0.00,0.00,0.00
Utah,UT,2013-09,0.00,318.00,0.00,0.00,0.00
Virginia,VA,2010-09,0.00,0.00,0.00,147.00,108.00
Virginia,VA,2010-12,0.00,0.00,0.00,6.00,1.00
Virginia,VA,2011-03,106.00,106.00,0.00,228.00,150.00
Virginia,VA,2011-06,15.00,121.00,0.00,40.00,17.00
Virginia,VA,2011-09,121.00,242.00,0.00,226.00,170.00
Virginia,VA,2011-12,52.00,294.00,0.00,3.00,1.00
Virginia,VA,2012-03,156.00,450.00,0.00,245.00,176.00
Virginia,VA,2012-06,9.00,459.00,0.00,8.00,4.00
Virginia,VA,2012-09,135.00,594.00,0.00,153.00,110.00
Virginia,VA,2012-12,33.00,627.00,0.00,10.00,4.00
Virginia,VA,2013-03,146.00,773.00,0.00,42.00,37.00
Virginia,VA,2013-06,2.00,775.00,0.00,50.00,41.00
Virginia,VA,2013-09,45.00,820.00,0.00,1.00,1.00
Virgin Islands,VI,2010-09,0.00,0.00,0.00,0.00,0.00
Virgin Islands,VI,2010-12,0.00,0.00,0.00,0.00,0.00
Virgin Islands,VI,2011-03,0.00,0.00,0.00,1.00,1.00
Virgin Islands,VI,2011-06,1.00,1.00,0.00,0.00,0.00
Virgin Islands,VI,2011-09,0.00,1.00,0.00,0.00,0.00
Virgin Islands,VI,2011-12,0.00,1.00,0.00,1.00,1.00
Virgin Islands,VI,2012-03,0.00,1.00,0.00,0.00,0.00
Virgin Islands,VI,2012-06,1.00,2.00,0.00,0.00,0.00
Virgin Islands,VI,2012-09,0.00,2.00,0.00,0.00,0.00
Virgin Islands,VI,2012-12,0.00,2.00,0.00,0.00,0.00
Virgin Islands,VI,2013-03,0.00,2.00,0.00,0.00,0.00
Virgin Islands,VI,2013-06,0.00,2.00,0.00,0.00,0.00
Virgin Islands,VI,2013-09,0.00,2.00,0.00,0.00,0.00
Vermont,VT,2010-09,0.00,0.00,0.00,21.00,8.00
Vermont,VT,2010-12,0.00,0.00,0.00,0.00,0.00
Vermont,VT,2011-03,9.00,9.00,0.00,28.00,13.00
Vermont,VT,2011-06,0.00,9.00,0.00,1.00,1.00
Vermont,VT,2011-09,13.00,22.00,0.00,42.00,27.00
Vermont,VT,2011-12,1.00,23.00,0.00,0.00,0.00
Vermont,VT,2012-03,26.00,49.00,0.00,1.00,0.00
Vermont,VT,2012-06,0.00,49.00,0.00,1.00,0.00
Vermont,VT,2012-09,0.00,49.00,0.00,2.00,2.00
Vermont,VT,2012-12,0.00,49.00,0.00,0.00,0.00
Vermont,VT,2013-03,2.00,51.00,0.00,0.00,0.00
Vermont,VT,2013-06,0.00,51.00,0.00,0.00,0.00
Vermont,VT,2013-09,0.00,51.00,0.00,0.00,0.00
Washington,WA,2010-09,0.00,0.00,0.00,23.00,13.00
Washington,WA,2010-12,1.00,1.00,0.00,27.00,21.00
Washington,WA,2011-03,40.00,41.00,0.00,102.00,62.00
Washington,WA,2011-06,122.00,163.00,0.00,199.00,144.00
Washington,WA,2011-09,101.00,264.00,0.00,185.00,123.00
Washington,WA,2011-12,116.00,380.00,0.00,43.00,42.00
Washington,WA,2012-03,71.00,451.00,0.00,57.00,48.00
Washington,WA,2012-06,1.00,452.00,0.00,0.00,0.00
Washington,WA,2012-09,1.00,453.00,0.00,1.00,0.00
Washington,WA,2012-12,76.00,529.00,0.00,77.00,76.00
Washington,WA,2013-03,0.00,529.00,0.00,0.00,0.00
Washington,WA,2013-06,0.00,529.00,0.00,0.00,0.00
Washington,WA,2013-09,0.00,529.00,0.00,0.00,0.00
Wisconsin,WI,2010-09,0.00,0.00,0.00,40.00,37.00
Wisconsin,WI,2010-12,0.00,0.00,0.00,52.00,37.00
Wisconsin,WI,2011-03,0.00,0.00,0.00,120.00,89.00
Wisconsin,WI,2011-06,88.00,88.00,0.00,84.00,59.00
Wisconsin,WI,2011-09,73.00,161.00,0.00,211.00,137.00
Wisconsin,WI,2011-12,55.00,216.00,0.00,119.00,63.00
Wisconsin,WI,2012-03,107.00,323.00,0.00,35.00,28.00
Wisconsin,WI,2012-06,108.00,431.00,0.00,33.00,21.00
Wisconsin,WI,2012-09,19.00,450.00,0.00,14.00,10.00
Wisconsin,WI,2012-12,23.00,473.00,0.00,3.00,2.00
Wisconsin,WI,2013-03,10.00,483.00,0.00,0.00,0.00
Wisconsin,WI,2013-06,0.00,483.00,0.00,0.00,0.00
Wisconsin,WI,2013-09,0.00,483.00,0.00,0.00,0.00
West Virginia,WV,2010-09,0.00,0.00,0.00,15.00,11.00
West Virginia,WV,2010-12,0.00,0.00,0.00,1.00,0.00
West Virginia,WV,2011-03,9.00,9.00,0.00,1.00,0.00
West Virginia,WV,2011-06,0.00,9.00,0.00,28.00,19.00
West Virginia,WV,2011-09,20.00,29.00,0.00,31.00,19.00
West Virginia,WV,2011-12,8.00,37.00,0.00,0.00,0.00
West Virginia,WV,2012-03,18.00,55.00,0.00,6.00,6.00
West Virginia,WV,2012-06,0.00,55.00,0.00,0.00,0.00
West Virginia,WV,2012-09,0.00,55.00,0.00,15.00,11.00
West Virginia,WV,2012-12,11.00,66.00,0.00,1.00,0.00
West Virginia,WV,2013-03,7.00,73.00,0.00,8.00,7.00
West Virginia,WV,2013-06,0.00,73.00,0.00,0.00,0.00
West Virginia,WV,2013-09,0.00,73.00,0.00,0.00,0.00
Wyoming,WY,2010-09,0.00,0.00,0.00,0.00,0.00
Wyoming,WY,2010-12,2.00,2.00,0.00,2.00,2.00
Wyoming,WY,2011-03,0.00,2.00,0.00,3.00,3.00
Wyoming,WY,2011-06,1.00,3.00,0.00,6.00,3.00
Wyoming,WY,2011-09,4.00,7.00,0.00,6.00,5.00
Wyoming,WY,2011-12,4.00,11.00,0.00,14.00,6.00
Wyoming,WY,2012-03,25.00,36.00,0.00,19.00,17.00
Wyoming,WY,2012-06,0.00,36.00,0.00,0.00,0.00
Wyoming,WY,2012-09,0.00,36.00,0.00,0.00,0.00
Wyoming,WY,2012-12,0.00,36.00,0.00,0.00,0.00
Wyoming,WY,2013-03,0.00,36.00,0.00,0.00,0.00
Wyoming,WY,2013-06,0.00,36.00,0.00,0.00,0.00
Wyoming,WY,2013-09,0.00,36.00,0.00,0.00,0.00
