characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,15.3,2.38,Reporting standards not met.,367967,59229.6,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,15.7,2.27,Reporting standards not met.,380883,56750.9,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,11.1,3.388234998229666,Reporting standards not met.,275729,51377,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1388,16.5,2.49,Reporting standards not met.,416297,65031.8,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,11.9,1.85,Reporting standards not met.,299738,47923.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,13.8,2.25,Reporting standards not met.,350937,58842.3,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,15.2,2.32,Reporting standards not met.,388254,60899.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,10.2,1.74,Reporting standards not met.,259796,45897.6,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,12.5,2.968782544539695,Reporting standards not met.,311837,59642.2,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,11.1,2.26,Reporting standards not met.,272833,57242.3,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2684,7.2,1.58,Reporting standards not met.,174790,39648.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1220,8.5,1.63,Reporting standards not met.,206783,40708.4,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2410,5.9,1.27,Reporting standards not met.,147120,32285.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1405,21.0,3.61,Reporting standards not met.,258058,46495.3,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,20.8,3.4,Reporting standards not met.,257074,43852.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2692,12.9,2.72,Reporting standards not met.,164623,35980,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,21.8,3.7,Reporting standards not met.,281019,49902.7,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,15.6,2.79,Reporting standards not met.,201837,37241.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,18.5,3.4,Reporting standards not met.,239794,45815.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1857,14.3,2.81,Reporting standards not met.,187123,37899,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,15.6,3.2146494001272026,Reporting standards not met.,203362,38352.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,16.6,3.55,Reporting standards not met.,212091,46791.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,14.9,3.41,Reporting standards not met.,186456,44418.7,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.27,Reporting standards not met.,111677,29157.2,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,9.6,2.21,Reporting standards not met.,120278,28367.6,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,7.7,2.9154179121846084,Reporting standards not met.,98819,25384.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1181,4.257575866543023,2.18,Reporting standards not met.,109909,26236.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,10.5,2.26,Reporting standards not met.,123809,27431.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1870,9.2,2.22,Reporting standards not met.,111106,27510.3,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,11.0,2.43,Reporting standards not met.,135277,30758.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,7.9,1.89,Reporting standards not met.,97900,23733.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.2,Reporting standards not met.,111144,27947.5,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,16.2,3.09,Reporting standards not met.,201131,39696,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1448,4.5,1.18,Reporting standards not met.,56435,15005.4,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2851,8.1,2.36,Reporting standards not met.,99746,29446.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1722,7.1,2.17,Reporting standards not met.,86376,26892.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,5.3,1.62,Reporting standards not met.,63114,19832.5,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,7.3,1.89,Reporting standards not met.,86505,22853.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,3.9,1.34,Reporting standards not met.,48302,16653.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1179,13.7,2.54,Reporting standards not met.,212443,40755.9,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,12.9,2.33,Reporting standards not met.,199636,37222.2,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,9.3,2.05,Reporting standards not met.,144012,32829,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,16.3,2.9,Reporting standards not met.,249064,46032.3,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1538,13.5,2.41,Reporting standards not met.,205198,37632.3,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,10.6,2.26,Reporting standards not met.,160966,35391.1,Reporting standards not met.
