OBJECTID,FOLIO_ID,EVENT_ADDR,FIELD_INSP_BY,CREATED_DATE,LAST_EDITED_DATE,YEAR_,MONTH_,DAY_,COMMENTS,PARCELS_IMPACTED,RECID,P_AREA,SHAPE_Length,SHAPE_Area
1,SED P-13 1960,6115 S Pilgrim St,,,2021/02/23 23:32:11+00,1960,4,15,"A landslide originated in the alley behind these properties, and deposited material in the yard at 6115 S Pilgrim St.  The shape of this polygon does not represent the particular shape of the slide.",,1,2802.40198793,240.581443131842,2802.39969629514
8,SED R-3 1914,9830 Arrowsmith Ave S,,,2021/02/23 23:32:11+00,1914,1,7,"This polygon represents sliding and settlement following the grading of Rainier Ave S.  The house at 9830 slid and large cracks opened up on the property.  This rectangle does not represent the shape or extent of the slide; it just tags the properties that submitted claims for damages.","9833 Rainier Ave S, Lots 27-27, Block 32 (now part of parcels D and F, via Lot Boundary Adjustment no. 3016759)",8,10863.04976289,582.7107093656,10863.0504155373
22,SED MC-1-A 1940,344 McGilvra Blvd E,,,2021/02/23 23:32:11+00,1940,1,2,"This landslide occurred in association with the break of a water main, depositing material onto the above address.  This polygon was derived from a sketch in the file.",344 McGilvra Blvd E,22,1880.47069056,167.917472783917,1880.4688547778
25,SED S-4,2921 11th Ave S,,,2021/02/23 23:32:11+00,1934,12,21,Slide geometry taken from depiction in file. See file SED S-4,"2921, 2927",25,77477.15496461,1256.10191620713,77477.1603570678
26,SED 25-A-1 1934-1938,25th Ave S,,,2021/02/23 23:32:11+00,1934,,,This polygon represents areas of cracking or slides as described in the 1934-1938 Slide Area & Conditions survey.  Refer to attached file.,,26,67663.87199978,1271.35266155545,67663.8658477217
34,SED A-1-B,,,,2021/02/23 23:32:11+00,,,,,,34,64688.55547406,1079.17782714342,64688.54032182
37,SED H-9,13th Ave S & S Hanford St,,,2021/02/23 23:32:11+00,1972,3,7,Slide geometry approximated from photographs found in the file. See file SED H-9 and/or attachment for additional information. Refer to point 807.,,37,162795.65790715,1625.76759467818,162795.670854987
39,SED C-11,3302 Cheasty Blvd S,,,2021/02/23 23:32:11+00,1955,11,26,The center of Cheasty Blvd S slid down against the house at 3302.  This rectangle doesn't represent the particular shape of the event.,3302 Cheasty Blvd S,39,4978.98479348,291.439943397481,4978.98336776993
40,SED A-1-C 1948,,,,2021/02/23 23:32:11+00,1948,3,9,Polygon does not represent the exact geometry of the slide but tags the impacted property.  File SED A-1-C 1948 has been missing since 7/2018.,3061,40,3607.95811229,293.38378489137,3607.95941072352
41,SED 33-B,3400 Blk of 33rd Ave SW,,,2021/02/23 23:32:11+00,1970,12,29,This polygon tags the appropriate parcels. It does not represent the extent of the slide event. Slide occurred as a result of loading by dumping on an old set-down.,,41,8107.6720334,363.956346976742,8107.67313665354
