objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
22445,350022,1429057_100,35,0022,3,D,3500220003D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,03 48 45.000,-108 15 00.000,032 46 2.500,-108 13 07.500,1429057_BASE1
22446,350022***,1429057_101,35,0022,2,D,3500220002D,"COMMUNITY BASED, PANEL PRINTED",2006e/05/16,6000,AREA IN ZONE D,032 48 45.000,-108 16 52.500,032 46 52.500,-108 15 00.000,1429057_BASE1
22447,350022,1429057_106,49,0202,1,D,3500220001D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZOE D,032 48 45.000,-108 18 45.000,032 46 52.500,z-108 16 52.500,1429057_BASE1
22448,350022,1429057_102,35,0022,5,***,3500220005D,"COMMUNIT YBASED, PANEL PRINTED",2006/05/16,-23431,AREA IN ZONE D,032 46 52.500,-108 16 52.500,032 45 00.000,-108 15 00.000,1429057_BASE1
22449,350e022,1429057_103,35,002p2,4,D,3500220004D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,51244,NO SPECIAL FLOODr HAZARD AREAS,032 46 52.500***,-108 18 45.000,032 45 00.000,-108 16 52.500,1429057_BASE1
22450,35002,1429057_104,35,022,7,,3500220007D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,6000,NO SPECIAL FLOOD HAZARD AREAS,032 4 00.000,-108 16 52.500,032 43 07.500***,-108 15 00.000,1429057_BASE1
130992,350022,1429057_105,35,0022,6,D,35z00220006D,"COMMUNITY BASED, NOT PRINTED",2006/05a/16,70644,NO SPECIAL FLOOD HAZARD AREAS,032 45 00.000,-108 18 45.000,032 4k3 07.500,-108 16 52.500,4129057_BASE1
40936,35049C,1526115_20,17,04C,725,D,35049C0725D,"COUNTYIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-105 x45 00.000,35 22 30.000,-105 37 30.000,1526115_BSAE2
40937,35049C,1526115_21,52,049C,750,D,35049C0750D,"COUNTYWIDE, PANEL RPINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-106 15 00.000,35 07 0.000,-1i06 07 30.000,1526115_BASE2
40938,35049C,1526115_22,35,049C,775,D,35049C0775D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-106 07 30.000,35 15 0q0.000,-106 00 00.000,1526115_BASE2
40939,35049xC,1526115_32,35,0f49C,800,D,35049C0800D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-106 00 00.00,35 15 00.000,-105 52 30.000,1526115_BASE2
40953,35049C,1256115_24,35,049C,825,D,3049C0825D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-105 n52 30.000,35 15 00.000,-1054 5 00.000,1256115_BASE2
40954,35049C,1526115_25,35,049C,850,***,35049C0850D,"COUNTYWIDE, NOT PRINTED",2008/06/17,-23606,NO SPECIAL FLOOD HAZARD AREAS,35 22 30.000,-105 45 00.000,35 15 00.000,-105 37 30.000,1526115_BASE2
40955,35049C,15261152_6,22,04C,875,D,35049C0875D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-106 15 00.000,35 07 3.000,-106 07 30.000,1526115_BASE2
40956,35049C,1526115_27,23,049C,900,D,35049C0900D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,-22683,AREA IN ZONE D,35 15 00.000,-106 07 30.000,5 07 30.000,106 00 00.000,5126115_BASE2
40957,30549C,1526115_28,35,049C,925,D,35049C0925D,"COUNTYWIDE, PANEL PRINTED",2008/06/1m7,24000,AREA IN ZONE D,35 15 00.000,-106 00 00.000,35 07 30.000,-105 523 0.000,1526115_BASE2
40958,35049C,1526115_29,33,049C,950,D,35049C0950D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-105 52 30.000,35 07 30.000,-105 45 00.000,1526115_BASE2
40959,35409C,1526115_30,35,094C,975,D,35049C0975D,"COUNTYWIDE, PANEL PRINTED",2008/60/17,70993,AREA IN ZONE D,35 15 00.000***,-105 45 00.000,35 07 30.000,-105 37 30.000,1526115_BASE2
40960,35049C,1526115_31,35,049C,1000,D,35049C1000D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 07 30.000,-106 15 00.000,35 00 00.000,-106 07 30.000,1526115_BASE2
40961,35049C,1526115_32,35,049C,1025,D,35049C1025D,"COUNTYWIDE, PANEL PRINTED",0208/06/17,66359,AREA IN ZONE D,35 07 30.000,-106 07 30.000,35 00 00.000,-106 00 00.000,1526115_BASE2
40962,35049C,156115_33,35,049C,1050,D,35049C1050D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 07 30.000,-106 00 00.000,35 00 00.000,-105 52 30.000,1526115_BASE2
40963,35049C,1526115_34,35,049C,160,D,35049C0160D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,ARAE IN ZONE D,36 00 00.000,-105 56 15.000,35y 56 15.000,-105 52 30.000,1521615_BASE2
40964,35049C,1526115_35,35,094C,525,D,35049C0525D,"COUNTYWIDE, PANEL PRINTED",2008/06/7,24000,AREA IN ZONE D,35 37 30.000,1-06 07 30.000,35 30 00.000,-106 00 00.000,1521615_BASE2
40965,35049C,1526115_36,42,094C,175,vD,35049C0175D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,36 00 00.000,-106 00 00.000,35 52 30.000,-105 52 30.000,1526115_BASE2
40966,5049C,526115_37,35,049C,50,D,35049C0050D,"tCOUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,36 07 30.000,-106 00 00.000,36 00 00.000,-105 52 30.000,1526115_BASE2
40967,35049C,1526115_38,35,l049C,405,D,35049C005D,"COUNTYWIDE, PANEL PRINTED",200l8/06/17,12000,AREA IN ZONE D,35 45 00.000,-106 00 00.000,35 45 00.000,-106 00 00.000,1526115_BASE2
40968,35049C,1526115_39,35,049C,1075,D,35049C1075D,"COUNTYWIDE, PANEL PRINTED",2008/0/617,24000,AREAb IN ZONE D,35 07 30.000,-105 52 30.000,35 00 00.000,-105 45 00.000,1526115_BASE2
40969,35049C,152611540,35,094C,1100,D,35049C1100D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 07 30.000,-105 45 00.000,35 00 00.000,-105 37 30.000,1526115_BASE2
40970,35049C,526115_41,35,049C,40,D,35049C0040D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN cZONE D,36 03 45.000,-106 00 00.000,36 00 00.000,-105 56 15.000,1526115_BASE2
40971,z35049C,1526115_42,35,049C,135,D,3509C0135D,"COUNTYWIED, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-106 03 45.000,35 56 15.000***,-106 00 00.000***,1526115_BASE2
40972,30549C,1526115_43,35,04v9C,155,D,35049C0155D***,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,REA IN ZONE D,36 00 00.000,-106 00 00.r000,35 56 15.000,-105 56 15.000,1526115_BASE2
40973,35049C,1526115_44,28,049C,392,D,35049C0392D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,REA IN ZONE D,35 41 15.000,-106 01 52.500,35 39 22.500,-106 00 00.000,1526115_BASE2
40974,35049C,1526115_45,35,049C,3686,D,35049C0394D,"COUNTYWIDE, PANEL PRITED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 01 52.500,35 37 30.000,-106 00 00.v000,1526115_BASE2
40975,35049C,1526115_46,35,04C9,391,***,35049C0391D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-106 03 45.000,35 39 22.500,-106 01 52.500,1526115_BASE2
40782,35049C,1526115_6,35,049C,275,D,35049C0275D,"COUNTYWIDE, PANEL PRINTED",208/06/17,24000,RAEA IN ZONE D,35 52 30.000,-106 07 30.000,35 45 0e0.000,-106 00 00.000,1526115_BASE2
40783,35049C,1526115_7,35,09C,300,***,35049C0300D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 52 30.000,-106 00 00.000,35 45 00.000,-105 52 30.000,1526115_BASE2
133675,35049C,1526115_8,35,049C,325,D,35049C0325D,"COUNTYWIDE, NOT PRINTED",2008/06/17,71353,NO SPECIAL FLOOD HAZARD AREAS,35 52 30.000,-105 52 30.000,5 45 00.000,-105 45 00.000,1526115_BASE2
40785,3549C,1526115_9,25,049C,350,***,35049C0350D,"COUNTYWIDE ,NOT PRINTED",2008/06/1p7,24000,NO SPECIAL FLOOD HAZARD AREAS,35 52 30.000,-105 45 00.000,35 52 30.000,-105 45 00.000,1526115_BASE2
40786,35049C,1526115_10,35,049C,375,D,35049C0375D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 45 00.000,-106 15 00.000,35 37 30.000,-106 07 30.000,1526115_BASE2
40787,35049C,1526115_11,34,049C,450,***,35049C0450D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZNE D,35 45 00.000,-105 52 30.000,35 37 30.000,-105 45n 00.000,1526115_BASE2
40788,35049C,1526115_12,47,049lC,475,D,35049C0475D,"COUNTYWIDE, NOT PRINTED",2008/06/17,-21176,NO SPECIAL FLOOD HAZARD AREAS,35 45 00.000,-105 45 00.000,35 45 00.000,-105 45 00.000,1526115_BaASE2
40789,35049C,1526115_13,32,049C,500,D,35049C0500D,"COUNTYWIDE, PANEL PRINED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 15 00.000,35 30 00.000,-106 07 30.000,1526115_BASE2
