ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Start_Date,End_Date,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
1,Louisville KY Metro Council Districts Before 2010 Redistricting ,​Polygon coverage delineating council districts before redistricting using the 2010 census data with an attribute showing the district number. Other descriptive attributes will be added at the appropriate time. Boundaries based on aggregations of precinct polygons adjusted to fit property boundaries and physical features.,LOJIC,Other,"Metro Council, Lojic",Lojic,,Public,Lojic,Not updated (historical only),,2017/08/07 03:59:59+00,8/31/2020,Citywide,Not applicable,Open Data Link
2,Louisville KY Urban Service District ,​The Urban Service District is the old City of Louisville boundary before the City of Louisville and Jefferson County merged in 2003. This area is still used as a taxing district which provides special services like fire protection and solid waste pickup services.,LOJIC,Metro Technology Services,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/27 03:59:59+00,,Citywide,Not applicable,Open Data Link
3,Louisville Metro Area KY Major Roads ,"Includes Major Road Network from Oldham County (KY), Trimble County(KY) , Harrison County (IN), Clark County (IN), Floyd County (IN), Bullitt County (KY) , Shelby County(KY) , Spencer County (KY), Hardin County(KY) , Meade County (KY), Jefferson County(KY) , Henry County (KY).",LOJIC,Metro Technology Services,LOJIC,LOJIC,LOJIC,Public,CSV and ArcGIS,Continuous,,2020/08/27 03:59:59+00,,Citywide,"Street address;#Not applicable",Published on Open Data Portal
4,Louisville Metro Area KY Map Grid ,"​Map Grid used in the LOJIC Street Atlas, the 1 inch = 100 foot and 1 inch = 200 foot map series.",LOJIC,Unknown,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/29 03:59:59+00,,Citywide,Not applicable,Open Data Link
5,Louisville Metro Area KY TARC Bus Routes,"​The dataset is a Lojic Map and data sheet for TARC bus routes, added to Open Data Portal on 08/27/2020, Link to Open Data Portalhttps://data.louisvilleky.gov/dataset/louisville-metro-area-ky-tarc-bus-routes",LOJIC,Metro Technology Services,Civic Innovation and Technology,LOJIC,Direct Link,Public,csv file,Continuous,,2020/08/01 03:59:59+00,,Citywide,Not applicable,TARC Bus Routes
6,Louisville Metro Area KY TARC Bus Shelters,​The TARC Shelters dataset contains all point locations of shelters at bus stops in the Louisville metropolitan area. One shape and one record exists for each individual stop location. Data is updated to August 2017.,LOJIC,Metro Technology Services,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/27 03:59:59+00,8/28/2020,Citywide,Not applicable,Open Data Link
7,Louisville Metro Area KY TARC Bus Stops ,​The TARC Bus Stops dataset contains all point locations of bus stops in the Louisville metropolitan area.,LOJIC,Metro Technology Services,LOJIC,LOJIC,LOJIC,Public,CSV and ArcIS,Continuous,,2020/08/27 03:59:59+00,,Citywide,Latitude/longitude,Published on Open Data Portal
8,Louisville Metro Areas Interest,"​Types of areas include industrial parks, significant cemeteries, airports, tourist sites, major manufacturing complexes, major malls, parks not maintained by the Louisville Metro Parks department, and higher educational complexes.",LOJIC,Metro Parks & Recreation,LOJIC,LOJIC,LOJIC,Public,ArcGIS,Continuous,,2020/08/01 03:59:59+00,,Citywide,Not applicable,Published on Open Data Portal
9,Louisville Metro KY Areas of Interest,"​
Shows boundaries for Areas for Interest within Jefferson, Oldham and Bullitt Counties.
Types of areas include industrial parks, significant cemeteries, airports, tourist sites, major manufacturing complexes, major malls, parks not maintained by the Louisville Metro Parks department, and higher educational complexes.​


",LOJIC,Unknown,,LOJIC,LOJIC,Public,Unknown,Continuous,,,,Citywide,"Other;#Not applicable",Published on open data portal
10,Louisville sanitary and recycling pickup routes,"​These recycling pickup route areas are used by Louisville Metro Public Works - Solid Waste in the Urban Service District in Jefferson County, Kentucky.",LOJIC,PW&A - Solid Waste Mgmt Srvs,Waste Management,LOJIC,LOJIC,Public,CSV and ArcGIS,Continuous,,2020/08/27 03:59:59+00,,Citywide,Not applicable,Published on Open Data Portal
