CITY,LIBRARY NAME,POPULATION,ASSOCIATED SYSTEM,SYSTEM HEADQTRS, MAILING ADDRESS,ZIP CODE,LIBRARY CONTACT,PHONE,FAX,EMAIL,URL,COUNTY,HOURS,CONG DIST,LIBRARY ADDRESS
Ada,Ada Public Library,16942,,,124 S Rennie,74820,Jennifer Greenstreet,(580) 436-8124,(580) 436-0534,jgreenstreet@ada.lib.ok.us,http://www.adapl.okpls.org/,Pontotoc,Mon-Fri 8-7; Sat 9-1,4,"124 S Rennie
Ada, OK 74820
(34.774221174000445, -96.67701273999967)"
Allen,Allen Public Library,694,,,PO Box 343,74825,Paula Nelson,(580) 857-2933,(580) 857-2933,director@allen.lib.ok.us,http://www.allen.okpls.org/,Pontotoc,Mon-Thu 12-6; Fri 11-5,4,"214 E Broadway
Allen, OK 74825
(34.879129289000446, -96.4143922509997)"
Altus,Southern Prairie Library System,296368,,Yes,PO Box 1141,73521,Katherine Hale,(580) 477-2890,(580) 477-3626,khale@spls.lib.ok.us,http://www.spls.lib.ok.us/,Jackson,"Mon, Fri, Sat 10-6; Tue-Thu 10-9",3,"421 N Hudson
Altus, OK 73521
(34.641400312000485, -99.33527228499969)"
Altus,Altus Public Library,19814,Southern Prairie Library System,,PO Box 1141,73521,Donna Smith,(580) 477-2890,(580) 477-3626,dsmith@spls.lib.ok.us,http://www.spls.lib.ok.us/,Jackson,"Mon, Fri, Sat 10-6; Tue-Thu 10-9",3,"421 N Hudson
Altus, OK 73521
(34.641400312000485, -99.33527228499969)"
Alva,Alva Public Library,4884,,,504 7th ST,73717,Sandra Hamilton,(580) 327-1833,(580) 327-5329,shamilton@alva.lib.ok.us,http://www.alvalibrary.okpls.org/,Woods,Mon 10-9; Tue-Sat 10-5:30,3,"504 7th ST
Alva, OK 73717
(36.80366191100046, -98.66845203299965)"
Anadarko,Anadarko Community Library,6747,,,215 W Broadway,73005,Keisha Gordon,(405) 247-7351,(405) 247-2024,library@cityofanadarko.org,http://www.anadarkopl.okpls.org/,Caddo,Mon-Thu 9-6; Fri 9-5; Sat 9-12,3,"215 W Broadway
Anadarko, OK 73005
(35.07494294400044, -98.24626069999965)"
Antlers,Antlers Public Library,2428,,,104 SE 2nd ST,74523,Patti Lehman,(580) 298-5649,(580) 298-3567,antlerslibrary@antlers.lib.ok.us,http://www.antlerslibrary.okpls.org/,Pushmataha,"Tue, Thur 10-6; Wed 9-5; Fri 10-5; Sat 9-12",2,"104 SE 2nd ST
Antlers, OK 74523
(34.23030622700048, -95.62025951599969)"
Apache,Apache Public Library,1445,,,PO Box 593,73006,Donna Case,(580) 588-3661,(580) 588-2112,apachelib@pldi.net,http://www.apachepubliclibrary.okpls.org/,Caddo,"Mon, Wed 9-2; Tue, Thu 12-6",3,"111 E Evans
Apache, OK 73006
(34.893852972000445, -98.3633588459997)"
Ardmore,Chickasaw Regional Library System,95607,,Yes,601 Railway Express ST,73401,Lynn McIntosh,(580) 223-3164,(580) 223-3280,lmcintosh@crlsok.org,http://www.crlsok.org,Carter,Mon-Thu 8:30-7:30; Fri 8:30-5; Sat 10-2,4,"601 Railway Express ST
Ardmore, OK 73401
(34.17026748000046, -97.16356336999968)"
Ardmore,Ardmore Public Library,24553,,,320 E ST NW,73401,Daniel Gibbs,(580) 223-8290,(580) 221-3240,dgibbs@ardmorelibrary.org,http://www.ardmorepublic.lib.ok.us/,Carter,Mon-Thu 10-8; Fri 10-6; Sat-Sun 1-5,4,"320 E ST NW
Ardmore, OK 73401
(34.178535842000485, -97.13321761299966)"
Arkoma,Arkoma Public Library,1998,Southeastern Public Library System of Oklahoma,,PO Box 446,74901,Carol Burgess,(918) 875-3971,(918) 875-3013,burgess@oklibrary.net,http://www.oklibrary.net/arkoma,LeFlore,"Tue 10-7; Wed, Thu 10-6; Fri 12-5; Sat 9-3",2,"1000 Main ST
Arkoma, OK 74901
(35.34755223700046, -94.44619458499966)"
Atoka,Atoka County Library,3114,Chickasaw Regional Library System,,215 E A ST,74525,Alice Withrow,(580) 889-3555,(580) 889-8860,atoka@crlsok.org,http://www.crlsok.org,Atoka,Mon-Thu 11:30-5:30; Fri 11:30-2:30;  Sat 10-1,2,"215 E A ST
Atoka, OK 74525
(34.38693115600046, -96.12632482999965)"
Barnsdall,Ethel Briggs Memorial Library,1242,,,PO Box 706,74002,Cecelia Hibdon,(918) 847-2118,(918) 847-2118,chibdonlibrary@yahoo.com,,Osage,Mon-Fri 2-6,3,"410 S 5th
Barnsdall, OK 74002
(36.55773691000047, -96.16177881099969)"
Bartlesville,Bartlesville Public Library,36099,,,600 S Johnstone,74003,Joan Singleton,(918) 338-4161,(918) 336-7495,jsinglet@bartlesville.lib.ok.us,http://www.bartlesville.lib.ok.us/,Washington,Mon-Thu 9-8; Fri-Sat 9-5:30; Sun 1:30-5:30,1,"600 S Johnstone
Bartlesville, OK 74003
(36.74765950800048, -95.97810599399969)"
Battiest,Battiest Reading Center,,Southeastern Public Library System of Oklahoma,,PO Box 199,74722,Deana Martin,(580) 241-7838,(580) 241-5368,,http://www.sepl.lib.ok.us,McCurtain,,2,"PO Box 199
Battiest, OK 74722
(34.39330319000044, -94.9246976499997)"
Beaver,Beaver County Pioneer Library,5636,,,PO Box 579,73932,Denise Janko,(580) 625-3076,(580) 625-3076,beavercountylibrary@gmx.com,http://www.beaverpl.okpls.org/,Beaver,Mon-Thu 10-6; Sat 9-12,3,"201 Douglas AVE
Beaver, OK 73932
(36.816104029000485, -100.51965145099967)"
Bethany,Bethany Library,19406,Metropolitan Library System,,3510 N Mueller,73008,Katrina Prince,(405) 789-8363,(405) 606-3239,kprince@metrolibrary.org,http://www.metrolibrary.org,Oklahoma,Mon-Thu 9-9; Fri 9-6; Sat 9-5,5,"3510 N Mueller
Bethany, OK 73008
(35.50644733100046, -97.63218240899965)"
Binger,Binger Public Library,708,,,PO Box 202,73009,Judy Hill,(405) 656-2543,,,,Caddo,"Mon, Thu 11-4",3,"217 W Main
Binger, OK 73009
(35.308791345000486, -98.3417171649997)"
Bixby,Bixby Library,21137,Tulsa City-County Library System,,20 E Breckenridge,74008,Carolyn Trammell,(918) 549-7514,(918) 549-7517,ctramme@tulsalibrary.org,http://www.tulsalibrary.org,Tulsa,Mon 10-8; Tue-Thu 12-8; Fri 10-6; Sat 10-5,1,"20 E Breckenridge
Bixby, OK 74008
(35.94143478500047, -95.88293201199969)"
Blackwell,Blackwell Public Library,7031,,,123 W Padon,74631,Linda Mayden,(580) 363-1809,(580) 363-7214,lmayden@blackwellok.org,,Kay,Mon-Fri 10-6; Sat 10-2,3,"123 W Padon
Blackwell, OK 74631
(36.802266176000444, -97.28334865199969)"
Blanchard,Blanchard Public Library,7800,Pioneer Library System,,PO Box 614,73010,Becky Pauls,(405) 485-2275,(405) 485-9452,bpauls@pioneerlibrarysystem.org,http://www.pioneer.lib.ok.us,McClain,Mon-Thu 10-7; Fri 10-6; Sat 10-1; Sun 1-5,4,"205 NE 10th
Blanchard, OK 73010
(35.145901241000445, -97.65675769999967)"
Boise City,Soutar Memorial Library,2475,,,PO Box 1088,73933,Alma Fay Twyman,(580) 544-2715,(580) 544-2705,soutarlib@yahoo.com,http://www.soutarlibrary.okpls.org/,Cimarron,"Tue, Thu 11:30-6; Wed 9-12 & 1-6, Fri 12 -6, Sat 9 - 12",3,"102 S Ellis
Boise City, OK 73933
(36.72859094500046, -102.5175742669997)"
Boley,Boley Public Library,1126,,,PO Box 234,74829,Billie Partridge,(918) 667-3337,,,,Okfuskee,Mon-Fri 3:30-6:30,2,"17 N Cedar
Boley, OK 74829
(35.55484047500045, -96.44480651399965)"
Boswell,Boswell Reading Center,703,Southeastern Public Library System of Oklahoma,,PO Box 811,74727,Carla Grubbs,(580) 566-2866,,boswellpl09@duracom.net,http://www.sepl.lib.ok.us,Choctaw,Mon-Fri 9-3,2,"610 Valliant
Boswell, OK 74727
(34.02850016500048, -95.8778293209997)"
Bristow,Montfort & Allie B Jones Memorial Library,4253,,,111 W 7th AVE,74010,Donna Lawrence,(918) 367-6562,(918) 367-1156,dlawrence@bristow.lib.ok.us,http://www.bristow.lib.ok.us,Creek,"Mon, Wed, 9-6; Tue, Thu 9-7; Fri 9-3;  Sat 9-1",3,"111 W 7th AVE
Bristow, OK 74010
(35.83386782800045, -96.3918305259997)"
Broken Arrow,Broken Arrow Library,100073,Tulsa City-County Library System,,300 W Broadway,74012,Ann Gaebe,(918) 549-7500,(918) 549-7504,agaebe@tulsalibrary.org,http://www.tulsalibrary.org,Tulsa,Mon-Thu 10-8; Fri-Sat 10-5,1,"300 W Broadway
Broken Arrow, OK 74012
(36.052439137000476, -95.79339732099965)"
Broken Arrow,South Broken Arrow Library,100073,Tulsa City-County Library System,,3600 S Chestnut,74011,Emily Tichenor,(918) 549-7662,(918) 549-7665,etichen@tulsalibrary.org,http://www.tulsalibrary.org,Tulsa,Mon-Thu 10-8; Fri-Sat 10-5,1,"3600 S Chestnut
Broken Arrow, OK 74011
(36.016500229000485, -95.81812503899965)"
Broken Bow,Broken Bow Public Library,4123,Southeastern Public Library System of Oklahoma,,404 N Broadway,74728,Judy Williams,(580) 584-2815,(580) 584-9449,judyw@oklibrary.net,http://www.oklibrary.net/brokenbow,McCurtain,Mon-Thu 9-7; Fri 9-5; Sat 9-3,2,"404 N Broadway
Broken Bow, OK 74728
(34.03050480900049, -94.73827340799966)"
