Social Security Administration (SSA),,,,,,,,,,,,,
Asian & Pacific Islander Semi-Annual Bilingual Employee Data (Nationally),,,,,,,,,,,,,
"NOTE: A fiscal year (FY) runs from October-September. For example, October of FY 2015 is October of calendar year 2014.",,,,,,,,,,,,,
"* No survery was done for the second half of 2015, thus the data for July 2015 matches the data for January 2015 ",,,,,,,,,,,,,
** Survey was done one time during these years,,,,,,,,,,,,,
,,,,,,,,,,,,,
Language,"FY 2013
January","FY 2013
July","FY 2014
January","FY 2014
July","FY 2015
January","FY 2015
July*","FY 2016
February**","FY 2017
September**","FY 2018
January","FY 2018
August","FY 2019
April","FY 2020
October","FY 2021
March"
Bahasa ,1,0,1,1,1,1,1,1,1,1,1,2,1
Bengali (Bangla) [India],12,12,12,11,13,13,15,12,13,15,19,14,11
Burmese,11,4,4,5,4,4,6,6,9,9,9,7,8
Cambodian,0,0,0,0,0,0,47,46,45,57,44,43,41
Cambodian [Khmer],52,46,56,62,65,65,14,13,11,11,14,20,18
Cantonese,269,256,256,255,71,71,32,121,178,176,181,174,172
Cebuano [Philippines],1,1,2,1,2,2,2,2,1,3,1,0,0
Chamorro [Guam],10,9,10,10,10,10,10,8,8,8,7,7,6
Chinese,145,143,148,150,151,151,218,207,221,202,207,175,191
Chinese-Amoy [Taiwan],2,1,1,1,1,1,2,2,1,1,1,1,1
Chinese-Cantonese,46,51,54,54,207,207,159,53,53,53,8,25,21
Chinese-Chaochow [Chaozhou],7,5,5,5,2,2,2,2,4,3,1,4,4
Chinese-Foochow [Fuzhou],1,1,1,2,1,1,1,2,2,1,2,4,2
Chinese-Fukien [Fujian],2,3,2,1,1,1,3,1,1,3,3,3,0
Chinese-Hakka,2,2,1,0,0,0,0,0,0,1,1,1,0
Chinese-Hokkien,0,0,0,0,0,0,0,0,0,1,0,1,1
Chinese-Hunanese [Xiang],1,1,1,1,1,1,1,1,1,1,1,1,1
Chinese-Mandarin,173,172,165,163,185,185,157,146,147,147,149,139,153
Chinese-Mien,21,21,20,18,19,19,21,18,17,17,18,18,18
Chinese-Shanghainese,2,2,3,4,3,3,4,3,3,3,2,2,2
Chinese-Szechwanese,1,1,1,1,1,1,1,1,1,1,1,1,1
Chinese-Taiwanese ,5,8,5,7,5,5,10,7,5,5,6,8,6
Chinese-Teochew,1,1,1,1,3,3,1,1,1,1,3,0,0
Chinese-Toisan ,0,0,0,0,0,0,9,9,10,5,6,12,9
Chinese-Wenzhounese,,,,,,,,,,,,,0
Filipino,2,3,4,1,6,6,10,5,5,0,3,3,2
Gaddang [Phillipines/Indonesia],1,0,0,0,0,0,0,0,1,1,16,2,0
Gujarati [India],18,21,17,15,13,13,11,8,12,13,7,12,11
Hindi [India],57,60,53,52,54,54,47,46,51,46,43,54,51
Hmong,130,130,133,123,103,103,125,123,132,137,137,148,143
Ilocano/Ilokano [Philippines],15,12,14,14,13,13,15,9,10,0,3,9,10
Ilonggo (Hiligaynon) [Philippines],2,2,1,1,1,1,1,2,1,5,7,1,1
Indonesian,3,2,3,3,3,3,2,2,3,0,2,3,3
Japanese,25,24,24,25,18,18,22,14,20,0,14,19,18
Kannada [India],3,3,3,3,3,3,3,3,3,0,2,3,2
Khmu/Khamu [Northern Laos Region],2,2,2,2,14,14,2,2,2,5,26,3,2
Korean,81,77,80,74,83,83,94,87,95,93,82,95,119
Lahu,0,0,0,0,0,0,1,0,1,0,7,1,1
Laotian [Lao/Thailand],43,43,46,48,45,45,43,44,40,42,37,37,38
Malay [Malaysia],4,2,2,3,3,3,3,3,3,0,3,3,3
Malayalam [India],1,1,1,1,1,1,1,1,1,2,2,4,3
Marathi,1,1,1,3,1,1,1,1,1,1,0,1,0
Pampangan [Philippines],2,3,1,2,5,5,2,2,1,0,1,1,1
Pangasinan [Philippines],,,,,,,,,,,,,0
Punjabi [India],36,33,35,36,38,38,31,27,26,27,34,33,37
Samoan,15,11,16,16,16,16,16,10,18,1,16,17,14
Sinhala [Sri Lanka],1,2,1,1,1,1,0,0,0,0,0,0,1
Tagalog [Philippines],176,154,163,160,164,164,153,138,146,138,128,121,132
Tai Dam ,1,1,1,1,1,1,1,1,1,1,2,1,1
"Taishanese/Toisan/Toishanese
(Same as Chinese-Toisan)",8,5,9,11,17,17,0,0,0,0,7,,3
Tamil [Sri Lanka],7,7,6,5,5,5,3,4,4,4,6,5,6
Telugu [India],1,0,1,0,1,1,0,0,0,3,0,0,2
Thai,34,29,26,24,27,27,22,24,24,24,26,23,17
Urdu,24,21,17,6,14,14,13,17,7,17,9,5,0
Urdu [Pakistan],16,0,0,0,0,0,16,17,15,17,34,21,10
Vietnamese,326,303,318,320,336,336,311,273,310,273,293,295,319
Vietnamese Laotian,,,,,,,,,,,,,0
Visayan [Philippines],4,4,4,3,2,2,4,3,4,1,1,4,3
TOTALS,"1,804","1,696","1,731","1,706","1,734","1,734","1,669","1,528","1,670","1,576","1,633","1,586","1,620"
