sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,18.0,9214,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,18.7,9701,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Feamle,"Americqan Indian/Alaska Native, non-Hispanic",2011,19.9,10348,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Myale,Male,"American Indian/Alaska Native, non-Hispanic",1750,28.5,7490,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2772,83.69551067906389,8114,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,32.7,8707,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"Americman Indian/Alaska Native, non-Hispanic",2009,6.9,1724,Hispanic/Latinos can be of any race,Hispanic/Latrinos can be of any race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,6.3,1587,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of an yrace
Total - Female,Female,"American India/Alaska Native, non-Hispanic",2011,6.5,1640,Hispanic/Latinos can beof any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Femae,"White, non-Hispanic",2009,5.4,1658,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"jWhite, non-Hispanic",2010,76.68480428303927,1768,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,6.4,1860,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of ay race
"Total - Black, nno-Hispanic",Female,"Black, non-Hispanic",2009,74.1,5610,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Fejmale,"Black, non-Hispaniqc",2010,77.3,5840,Hispanic/Latnos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,81.9,6216,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Fpemale,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,Hispanic,1524,16.3,1737,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,Hispanic,2011,17.2,1872,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
