characteristic,sex,raceethnicity,yearvalue(long),percentage,standarderroronpercentage(double precision),noteonpercentage,countinthousands(double precision),standarderroroncountinthousands(double precision),noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,35.5%,0.45,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,9452.0,144.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,36.3%,0.45,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,9845.0,148.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,36.7%,0.43,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10033.0,141.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,37.8%,0.43,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10364.0,204.7024953047064,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,38%,0.42,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10611.0,-112.8820102229485,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2409,38.9%,0.43,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10834.0,146.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1099,37.3%,0.42,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10586.0,270.8969182283951,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,38.8%,-7.592080648945947,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,11161.0,148.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,39.6%,0.42,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,11466.0,149.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,41.3%,0.42,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,12073.0,153.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1546,41.2%,0.57,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,12213.0,170.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
